Title     : How to Create a $50M ARR Inbound Revenue Machine with Justyn Howard  and Mike Volpe
Video ID  : q3kbBvAojvU
[24:40.47]  insight is and and the cool thing about
[24:42.39]  10,000 trials a month that you can test
[24:44.10]  a whole bunch of stuff right which which
[24:47.94]  not everyone has that luxury but the
[24:49.26]  thing that we found is even the smallest
[24:51.21]  businesses the higher value plan that
[24:54.45]  they signed up for the more likely they
[24:56.19]  were to spend more later which is kind
[24:58.62]  of counterintuitive so let's say I'll
[25:00.30]  just use fake numbers but the person who
[25:02.31]  signed up for the hundred dollar plan
[25:03.39]  even a ten person business yeah was less
[25:07.05]  likely to grow with us than if they
[25:08.46]  signed up for a 300 dollar plan they
[25:10.20]  were more likely to increase that spend
[25:11.67]  and so you know just through a lot of
[25:14.43]  learnings we've we've tried to chip away
[25:15.72]  at that problem so so pricing is one I
[25:19.41]  think that not focus when you're working
[25:27.09]  on inbound and SAS in general right
[25:28.65]  you're focused on character LTV and I
[25:30.27]  think early on we we took a look at our
[25:34.71]  numbers and we said yeah those are
[25:35.73]  pretty good let's just keep growing keep
[25:37.47]  investing et cetera without taking the
[25:39.09]  time to dig in and figure out what was
[25:41.16]  actually in those numbers yeah this is
[25:44.07]  the other thing we were talking about -
[25:45.24]  how like the
[25:46.23]  ridges of all these ventures across your
[25:47.79]  whole business yeah they're like evil
[25:49.92]  because they hide all the interesting
[25:51.60]  information yeah and a verge is not your
[25:53.91]  friend at all so talk more about that
[25:55.35]  yeah so if you think about you know like
[25:57.21]  early on we looked at okay what's our
[25:59.13]  what's our our blended cost of
[26:02.52]  acquisition or what is the LTV de CAC
[26:06.12]  for this particular channel or something
[26:07.95]  like that
[26:08.43]  and we focused on kind of those
[26:09.60]  high-level things and we said okay you
[26:10.80]  know we're kind of happy with those
[26:11.70]  numbers but without peeling back the
[26:14.94]  onion a little bit further you don't
[26:16.11]  find the opportunities to actually
[26:17.10]  optimize that yeah when you dig in and
[26:19.35]  you say okay you know this channel on
[26:21.93]  the whole is successful about half of
[26:23.28]  its completely wasted and then you click
[26:26.58]  in a little bit further and you find out
[26:27.81]  okay in this region or to this landing
[26:30.15]  page etc and just getting to kind of
[26:33.12]  cocky about the metrics that we had
[26:34.77]  early on shielded these opportunities
[26:36.78]  for growth and every time we uncover one
[26:39.60]  of those and we still cover them today
[26:40.73]  we kick ourselves because we're saying
[26:42.99]  should we we could have figured that out
[26:44.13]  six years ago think about where we be
[26:46.88]  because we weren't kind of being real
[26:51.27]  with the data and I think in some ways
[26:52.53]  it's scary right if you're saying well
[26:53.88]  we're getting two to one payback or
[26:55.08]  three to one payback you know let's not
[26:56.91]  let's not punch the gift horse but the
[27:01.82]  reality is every opportunity to grow and
[27:05.31]  get better is in those next five six
[27:08.31]  seven layers of data yeah yeah that that
[27:10.47]  four to one LTV decock hides that part
[27:12.81]  of your business is eight to one yeah
[27:14.22]  and part of your business is one and a
[27:15.48]  half to watch yep
[27:16.32]  right like and you really need to drill
[27:17.76]  in to understand what those different
[27:19.02]  segments are and and yeah there could be
[27:22.38]  so many insights there at one point we
[27:24.60]  sort of got to the point at HubSpot that
[27:25.92]  we started to do that kind of analysis
[27:27.33]  and what we realized was that all the
[27:29.25]  almost all the companies with fewer than
[27:31.86]  10 employees we're actually like pretty
[27:34.20]  bad economics for us yeah right
[27:36.03]  and that leads you to like okay well
[27:39.09]  there's pricing changes we can make
[27:40.71]  there's you know lead scoring changes an
[27:43.20]  allocation the sales reps changes we can
[27:44.94]  make there's you know pointing sales
[27:47.31]  reps in the right direction there's
[27:48.60]  changes the pitch and the messaging
[27:50.46]  there's changes to what type of lead
[27:52.05]  generation you're doing
[27:52.89]  there's a million changes you can make
[27:54.24]  throughout the entire business to kind
[27:56.22]  of shift it to where your payback ratios
[27:58.83]  are much better
[27:59.46]  Yeah right and it's it's you know you
[28:02.10]  justify it to yourselves early on and I
[28:03.75]  think probably a lot of people have
[28:05.07]  found themselves in this position by
[28:06.33]  well it's its market share like okay
[28:08.67]  this customer might not be profitable
[28:10.11]  this one is blended we look good let's
[28:12.27]  just get a bunch of logo yeah and the
[28:15.12]  problem with that is that again you're
[28:17.43]  masking your opportunities but you're
[28:19.50]  also building bad habits you're you're
[28:22.47]  asking the sales team to work on on
[28:24.21]  leads and prospects that aren't as
[28:26.37]  valuable your churn numbers are
[28:28.46]  artificial and you're just you're not
[28:30.99]  dealing with a real business yet yeah
[28:33.30]  not dealing with the real business yet
[28:35.28]  you know the thing we don't worry about
[28:37.59]  cool all right so any parting advice is
[28:41.13]  there one we had a bunch of things here
[28:42.72]  we're gonna dive into I think we're
[28:44.01]  close on time like what do you wanted
[28:46.08]  what it was the one word of wisdom you
[28:47.73]  would leave these folks with one word in
[28:52.80]  one minute so segmentation is and I mean
[28:59.58]  this in every sense in understanding
[29:01.71]  what the what the productivity at the
[29:05.31]  rep level is per lead what the the in
[29:08.73]  your ad campaigns figuring out which
[29:11.04]  which keywords are performing well and
[29:12.54]  and click down five more times yeah your
[29:15.03]  point like earlier we were talking about
[29:16.62]  how at a specific AdWords campaign or a
[29:19.68]  campaign group or something like that
[29:20.79]  might look like it's performing really
[29:22.74]  well yeah but with in there there's ten
[29:24.93]  keywords yeah eight of which are great
[29:26.73]  and to that's a and also a for like
[29:29.22]  individual sales reps like a sales team
[29:30.90]  like a sales manager might look great
[29:32.40]  yep but for the reps are good and one is
[29:34.23]  really bad or you know within each
[29:36.54]  segment of customers or each vertical
[29:38.34]  industry it's like keep clicking in and
[29:40.14]  find those you know the sweet spots and
[29:42.54]  the not so sweet spots of the business
[29:43.89]  and continue to morph it over time yep
[29:45.30]  and and find those signals that that are
[29:47.34]  hidden in that kind of good-looking wine
[29:49.95]  there's some bad stuff in there and and
[29:52.05]  just to close with an example you know
[29:55.71]  we had a period where we cut our ad
[29:58.71]  spend by probably 60 or 70 percent Wow
[30:01.86]  and the next month increased the yield
[30:03.90]  from that by maybe 30% Wow just because
[30:07.29]  we we got real and said let's put our
[30:09.15]  energy elsewhere and so segmentation the
[30:11.82]  awesome thing about SAS
[30:13.35]  is there's plenty of art involved but
[30:15.27]  there's math and science can't lie yeah
[30:17.82]  and if you get really good about getting
[30:19.65]  intimate with your data like all the
[30:20.97]  answers are in there so all right
[30:22.86]  apparently just got to get intimate with
[30:24.36]  the data yeah
[30:25.50]  and that's we're gonna be really into my
[30:26.97]  30 everyone Justin Howard your honor
[30:29.10]  thank you sprout social
[30:30.07]  [Applause]
[30:38.68]  you
