Title     : Building Consumer Grade Enterprise Products  | SaaStr Software Community
Video ID  : nfI_NuNXSnM
[26:24.63]  like where you're combining hey here's
[26:26.67]  what our customers want and need and who
[26:28.50]  they are here's what we're capable of
[26:30.12]  building and here's where we want to go
[26:31.50]  and you you kind of find your way
[26:33.69]  between all three of those and if you
[26:35.76]  lost one of them like if product was
[26:37.38]  only product and vision you might end up
[26:40.35]  in the in the world where you're like we
[26:41.94]  built this thing that we think is so
[26:43.29]  awesome and then this group over here is
[26:45.42]  that cool are you gonna pay for it
[26:47.40]  because none of our people are gonna pay
[26:48.66]  for it like similarly if you only build
[26:51.09]  what customers need what you would
[26:52.47]  likely end up having is the solution
[26:54.18]  that's only relevant for today and
[26:55.92]  tomorrow will be outdated or somebody
[26:58.17]  will already beat you so you really do
[26:59.85]  need to have all three I'm serious that
[27:02.70]  I think actually the key to success is
[27:05.01]  not to say this is your world this is my
[27:06.96]  world but partnering together to bring
[27:08.73]  that value to the users when we were
[27:11.46]  building the growth see my box the first
[27:12.99]  thing we did which was different I guess
[27:15.18]  from a consumer a little bit in the
[27:17.10]  sense that we built we took somebody
[27:18.63]  from customer success and actually gave
[27:20.67]  a person a seat at the table together
[27:22.23]  was a product team and we worked
[27:24.03]  together to bring things to the market
[27:25.83]  so for example a beat us thing we've
[27:27.39]  talked about earlier in the b2b space
[27:28.89]  how do we do it how do we make sure
[27:30.81]  customers are comfortable with it what
[27:32.58]  are the different parameters and there
[27:34.23]  is no way that in a b2b space that the
[27:36.21]  product manager can do that on their own
[27:37.68]  so actually I think the key is to say
[27:40.38]  Gross's one thing for the company and
[27:42.27]  how do we partner together to deliver
[27:43.83]  that versus just to say this is your
[27:45.81]  swim Lane this is my swim lane don't
[27:47.70]  kind of come into my world I don't think
[27:50.22]  that will be a recipe for success yeah
[27:52.78]  wanting to add on that so what we're
[27:55.00]  figuring out right now crunch face is
[27:56.80]  like which surfaces should marketing be
[27:58.69]  coming up with growth experiments for in
[28:00.70]  which surfaces should the product can be
[28:02.23]  coming up with growth experiments and
[28:03.49]  really at this point we're like whatever
[28:05.20]  if you have a growth experiment put it
[28:06.85]  on the board and we'll prioritize it
[28:08.92]  based off of potential impact and then
[28:10.45]  we'll tile it it in
[28:11.44]  so there's we're starting to see some
[28:12.85]  obvious things like okay maybe our
[28:14.35]  homepage is marketing own but even the
[28:16.57]  home page for a product like crunchbase
[28:18.22]  where you're doing your search in the in
[28:19.84]  the products like well is product is the
[28:22.42]  home page product or is it marketing I'm
[28:24.28]  not sure so we just kind of said blur it
[28:26.17]  out until we can't blur it out anymore
[28:27.82]  yeah and I think the question is how do
[28:29.98]  we get the most girls to the company
[28:31.30]  yeah and then whichever team has set up
[28:33.25]  a success and it might be different in
[28:34.66]  different companies whichever team is
[28:36.37]  set up for success and has the tools
[28:37.81]  let's partner together and bring more
[28:39.46]  stuff together to the users and bring
[28:41.17]  more value rather than sort of find that
[28:43.48]  very clear organizational line so let's
[28:48.73]  not leave out our sales folks so let's
[28:52.81]  talk pricing and business model for a
[28:54.46]  minute a lot of companies when they
[28:58.21]  start they go try to do like freemium
[29:01.33]  should I do like prosumer consumer full
[29:05.53]  enterprise model how do you know what
[29:08.92]  are some of the signals that would let
[29:11.08]  you know whether you start with a
[29:13.21]  consumer model and kind of do that
[29:14.77]  Bottoms Up
[29:16.41]  business like bottoms up pricing versus
[29:19.03]  you know starting with enterprise and
[29:20.56]  having a consumer you know aspect of the
[29:24.37]  product I know one product and marketer
[29:29.65]  people ahead
[29:33.84]  it's a scale question if you have a lot
[29:37.66]  of individuals who can buy and use your
[29:40.81]  product then a self-serve or a b2c play
[29:44.26]  probably makes sense and a freemium play
[29:46.60]  will really open up the top of your
[29:48.55]  funnel if your product is more account
[29:52.45]  based like you there are only certain
[29:53.80]  companies that this could really work
[29:55.18]  for then maybe freemium building the
[29:57.58]  infrastructure around a freemium model
[29:58.81]  isn't necessary and really what you need
[30:01.24]  our Rockstar salespeople who can help
[30:03.40]  those specific companies understand how
[30:05.50]  this product can help them so it's kind
[30:07.75]  of like a question of is your product
[30:10.00]  suited for the masses or is your product
[30:12.61]  only relevant for a select number of
[30:14.98]  companies I think it also depends maybe
[30:18.76]  the user base that you're serving from
[30:21.16]  what type of companies and what type of
[30:22.54]  profile because I think it's serving
[30:24.25]  really large enterprises it might be
[30:26.71]  unlikely they're in specific verticals
[30:29.05]  like government or financial services
[30:30.61]  that they would allow the premium to be
[30:32.26]  used in their enterprise so you might
[30:34.06]  likely have to build trials or allow
[30:36.52]  them to use a product for a while so I
[30:38.95]  think that layer is also quite
[30:40.27]  interesting but also like from a b2b
[30:42.76]  pricing point of view you see another
[30:45.13]  trend today where people are charging
[30:47.02]  for the more horizontal use case this is
[30:49.03]  the more for the masses where people are
[30:51.19]  starting to you charge based on usage
[30:53.11]  rather than just a license and I think
[30:56.14]  that's very interesting in a lot of the
[30:57.70]  emerging products because then it's
[30:59.71]  actually puts that prioritization
[31:01.63]  question upside down a little bit
[31:03.34]  because if your pricing is based on
[31:05.35]  usage then it's really really really
[31:07.54]  important to look at the user so you
[31:09.16]  actually buy DNA creating a very
[31:10.87]  different product and a different type
[31:12.67]  of company kind of building on that
[31:16.72]  question is there ever a time where it
[31:19.09]  is not appropriate to use consumer
[31:22.60]  patterns in the enterprise yeah but I'd
[31:26.86]  say you know the the design process is
[31:30.91]  pretty generally applicable across
[31:32.80]  enterprise and consumer but there are
[31:35.35]  specific things that are focus of
[31:37.27]  consumer that may not be appropriate for
[31:39.16]  enterprise that
[31:40.45]  you know if you think about a lot of the
[31:42.73]  goal of consumer software is to make to
[31:45.34]  simplify the interface and and to reduce
[31:48.82]  friction and there certainly are use
[31:50.89]  cases where friction a little bit of
[31:53.32]  friction is probably not a bad thing
[31:55.39]  when there when it when lots of money or
[31:58.27]  lives my piece at stake and so I think
[32:01.15]  that's where that's where you kind of
[32:03.01]  really need to take a step back and say
[32:04.81]  how far do we want to go I think the
[32:06.82]  other thing is that it can be easy to
[32:10.45]  get into a trap of like hey more people
[32:12.91]  coming in and clicking on stuff inside
[32:14.89]  of our app is better right this is what
[32:17.26]  we want we want to drive lots of
[32:18.76]  engagement but that may not be good for
[32:22.30]  the business that may not be good for
[32:23.50]  the individual you know you probably
[32:24.64]  don't want to create someone who's
[32:26.41]  addicted to your enterprise I don't know
[32:27.82]  if anybody's created an addictive
[32:29.11]  enterprise app yet I think guessing
[32:30.70]  probably not slack is maybe the closest
[32:33.90]  but that's not necessarily a great place
[32:36.43]  to be either right so it's about what's
[32:38.14]  the value that you're delivering to the
[32:39.97]  business and to the individual and so
[32:42.16]  some of those metrics need to be taken
[32:44.05]  with a little bit of a grain of salt as
[32:45.43]  well actually we have a great example
[32:47.08]  about so of that addiction sort of in
[32:49.63]  how do you think about that unless box
[32:51.94]  works we announced that we build what we
[32:53.86]  call feed series pretty familiar with
[32:56.14]  that and that's basically a way for us
[32:59.26]  to say hey you don't have to go into
[33:00.88]  each folder to figure out what your
[33:02.53]  coworker is updated all the work that's
[33:04.78]  happening will surface it to you using
[33:06.67]  machine learning so it will be the best
[33:08.98]  of what you need to know and we can kind
[33:11.11]  of predict that the goal is not for you
[33:13.45]  every time you're in a subway or in a
[33:15.34]  car to like list through I may be on the
[33:17.80]  red light list row and look what's
[33:20.29]  happening in the world the goal is for
[33:21.52]  you to be up to date with your work
[33:23.17]  there's there no further updates
[33:24.79]  we shouldn't artificially keep doing
[33:26.56]  that right so the goal is not to get you
[33:27.91]  addicted to the software but actually
[33:29.32]  make you more effective and make the
[33:31.42]  software smart from that point of view
[33:33.40]  yeah it makes me think of like when
[33:35.41]  you're on YouTube or Netflix and there's
[33:37.24]  the auto roll which is like hey you
[33:38.44]  finished that document would you like to
[33:39.73]  read this one here it goes
[33:41.88]  a little bit much so there are many
[33:43.50]  other practices I think that way too
[33:44.94]  from a notifications point of view if
[33:46.50]  you look at the consumer companies they
[33:48.69]  will goodness rattle that new around how
[33:52.56]  much can we notify you how much can we
[33:54.39]  push how much can we email you in some
[33:57.15]  companies you just simply cannot email
[33:58.98]  your customers directly to end users
[34:00.75]  there's fishing there's so many
[34:02.37]  different considerations they may have
[34:04.50]  certain policies so if you're leading
[34:05.91]  them deep linking them somewhere in a
[34:07.38]  product that might not be okay either
[34:08.94]  you have to think about how often you
[34:11.31]  have to release does it come customers
[34:13.41]  because in let's say pharmaceuticals you
[34:16.02]  will have send boxes where they have to
[34:17.67]  make sure they validate the software in
[34:20.04]  order to push it to the users because
[34:21.66]  there's all kinds of compliance and
[34:23.31]  policies involved is that and very
[34:25.65]  similar for a be testing so I think when
[34:27.60]  you're in a b2b world it can I have to
[34:29.46]  take the consumer best practices and put
[34:31.80]  a spin on it and like a b2b spin to
[34:33.72]  really make sure that you're thinking
[34:34.83]  about the regulations the custom
[34:36.87]  policies that they might have and what
[34:38.85]  actually brings more value to your users
[34:41.46]  and more value to your customers versus
[34:43.65]  just doing it for the sake of sort of
[34:45.42]  best practices of consumer so a final
[34:52.71]  question for you guys what is one thing
[34:55.59]  that everybody in this room can do after
[34:58.23]  they leave here to you know can be very
[35:01.56]  small very grand granular but to you
[35:04.29]  know to tell if their product is moving
[35:07.29]  that direction and I'll give an example
[35:08.69]  Craig when we worked at Salesforce I was
[35:11.22]  in like a divot I was like a head of
[35:13.38]  design for a division at Salesforce and
[35:15.15]  you're the gatekeeper and I had some you
[35:19.29]  know I was trying to get some all these
[35:20.79]  actions into the app for my you know own
[35:23.07]  agenda and Craig you're like you can
[35:24.99]  only have three actions on this page and
[35:27.63]  so you got to pick or on this view so
[35:29.01]  you got to pick which one
[35:30.63]  are there any just things that are you
[35:33.06]  know might be very obvious to you but
[35:34.68]  you know what's a recommendation that
[35:36.51]  you know just to improve the experience
[35:38.43]  for you know anyone in this room that
[35:40.14]  you guys have well I feel kind of bad
[35:43.89]  that I was a gatekeeper I didn't mean to
[35:45.84]  speak that but no I think I think
[35:49.29]  there's a couple things one of them is
[35:51.45]  is you know I think something that
[35:53.61]  Salesforce is incredibly good
[35:54.99]  is they ruthlessly prioritize and I
[35:57.60]  think you can extend that beyond just
[35:59.55]  like hey which features are we going to
[36:01.35]  build down to exactly what options are
[36:03.87]  we going to expose to a user what are
[36:06.09]  the most important things and so I think
[36:07.53]  it's kind of related to what you were
[36:08.94]  just referencing which is be ruthless
[36:11.22]  about your prioritization and we'd
[36:12.75]  always do these kind of bubble sorts of
[36:14.19]  which is more important this or this
[36:15.45]  this or this this or this and kind of go
[36:17.43]  through that that exercise which was
[36:18.93]  incredibly valuable the other one and
[36:21.21]  I'll sound a little bit like a broken
[36:22.44]  record which is if you can figure out a
[36:25.26]  way to get yourself and your product
[36:27.21]  teams in front of users to watch them
[36:29.73]  use your product that is probably the
[36:31.44]  number one thing you can do to make your
[36:33.06]  product better I would ask people who
[36:39.75]  didn't buy you why they chose your
[36:42.15]  competitor and that might give you some
[36:45.24]  signal on whether it's a feature issue
[36:47.52]  or a purchase flow issue or a
[36:49.71]  consideration issue and I think in the
[36:51.93]  question of whether to consumer eyes or
[36:53.58]  not to consumer eyes it would be
[36:55.44]  important not to just get caught up and
[36:57.60]  how maybe sexy it seems and really
[37:00.21]  understand is this the reason why people
[37:03.21]  are not handing over their credit card
[37:06.60]  or opening up a Pio or is it something
[37:09.45]  else because if your issue is
[37:10.97]  acquisition of new users that's the
[37:13.29]  thing you need to figure out if your
[37:14.79]  issue is that people are not renewing
[37:16.47]  after year one or month one then I would
[37:18.99]  want to know why are they not doing that
[37:20.58]  and see if consumerization is the answer
[37:22.59]  to that you don't need to spend time on
[37:24.33]  something that's a nice-to-have you
[37:25.56]  should only spend time on something that
[37:26.94]  is the game-changer for you yeah I would
[37:29.52]  add to that and I love data so I might
[37:31.38]  be slightly biased from that one but I
[37:32.79]  think I would even take it a step before
[37:34.50]  that understand what your issue is is
[37:36.21]  that that position of the users is it
[37:37.80]  retention of the users and I think try
[37:40.08]  to get post on a quantitative if you do
[37:42.24]  have the sort of infrastructure for that
[37:43.98]  but at least on a qualitative from a
[37:46.38]  qualitative point of view yes why why
[37:48.00]  does the users turn so maybe they from a
[37:50.40]  bio point of view maybe the about a
[37:51.72]  different product but also from a user
[37:53.55]  point of view maybe they bought your
[37:54.90]  product but why did they stop using your
[37:56.73]  product or why didn't they engage with
[37:58.71]  your product to begin with and on a flip
[38:00.93]  side what is that value of the users
[38:03.57]  that they perceived what does that aha
[38:05.01]  moment for which telecast this product
[38:06.87]  really does help me
[38:08.07]  and understanding those two I think are
[38:10.29]  very key to going anywhere for there
[38:12.51]  from a grouse point of view shinee craig
[38:16.29]  Bella thank you so much for sharing your
[38:18.36]  insight on the topic thank you
