Title     : Where is Venture Today?  And How Do You Hack It?  A Deep Dive w/ Sunil Dhaliwal, GP Amplify Partners
Video ID  : 8w6K7slhLX4
[23:34.08]  to mixmax they're going to see it
[23:35.76]  and it's wonderful even over three or
[23:37.28]  four months it does build a relationship
[23:39.20]  right even if you didn't see them in
[23:40.24]  person it's
[23:40.96]  if that is the best hack of all and send
[23:43.36]  that monthly update the first of each
[23:44.80]  month with confidence and
[23:46.24]  it's going to get opened right and i
[23:47.76]  think there's another piece to just
[23:49.04]  sending metrics which is
[23:50.96]  don't be shy about setting some
[23:52.80]  expectations
[23:54.16]  making some claims about where you're
[23:55.92]  going to go right if you really are
[23:57.68]  going to say
[23:58.24]  in the next such period of time we
[24:00.88]  confidently feel like we're going to get
[24:02.24]  these things knocked down
[24:04.08]  just the simple act of telling someone
[24:06.24]  what you plan to do
[24:07.44]  and then actually in hindsight having
[24:09.28]  delivered it there's no greater
[24:11.36]  credibility builder to me
[24:13.28]  than when somebody actually is willing
[24:14.96]  to put those stakes in the ground and
[24:16.16]  then deliver is what they say they're
[24:17.68]  going to do
[24:18.40]  because it's very easy to like have a
[24:20.80]  bunch of arrows against the wall
[24:22.24]  and then go oh yeah that was our target
[24:23.68]  you know paint some bull's-eyes around
[24:24.96]  those arrows hit
[24:25.92]  but when you actually go out there and
[24:27.52]  say this is our plan
[24:29.36]  and then you deliver 90 on this metric
[24:32.56]  and 120
[24:33.52]  on that metric and not right on target
[24:35.28]  on this other metric
[24:36.96]  as an investor you get a lot of
[24:38.64]  confidence that
[24:40.88]  what you're telling me is not a story
[24:42.80]  just meant to
[24:44.32]  get me excited and show up but like
[24:46.08]  you're actually showing me
[24:48.08]  that the business is doing what i said
[24:51.04]  it was going to do
[24:52.00]  and that's a huge deal yeah it's a good
[24:54.88]  insight you know a related point and
[24:56.16]  then i want to spend our last couple of
[24:57.20]  minutes talking about
[24:58.24]  datadog as in crowded spaces but you
[25:00.72]  know the other reminder why uh
[25:02.08]  based on what you said and why i love
[25:03.36]  that monthly emails we for you know when
[25:05.12]  i'm a found before i
[25:06.16]  before i had invested when i was a
[25:07.28]  founder sometimes i feared i was almost
[25:09.12]  wasting vc's time i took my time
[25:10.80]  seriously but you'd roll up to sandhill
[25:13.04]  and you'd wait for the receptionist and
[25:15.20]  and he would get you a perrier and situ
[25:17.20]  and then you'd wait 20 minutes in the
[25:18.48]  conference room
[25:19.60]  and plug in your laptop it wouldn't work
[25:21.52]  i felt like i was wasting
[25:23.20]  a little bit wasting batteries or
[25:25.04]  sequoia's time but
[25:26.32]  that's wrong if if if an investor that
[25:28.64]  has been doing this more than one week
[25:30.80]  takes their time out to spend an hour
[25:32.48]  with you even a half an hour
[25:34.16]  they give a right they care and
[25:36.24]  they're gonna if
[25:37.20]  they're gonna remember that meeting
[25:38.48]  probably and if you send that monthly
[25:40.16]  update
[25:40.88]  there's going to be a connection right
[25:42.00]  no one's wasting their time out there
[25:43.52]  right and
[25:44.24]  the vcs do care they may only care about
[25:46.32]  you as an object to make money but that
[25:48.72]  but forget but remember they care no
[25:50.40]  one's wasting their time out there are
[25:51.68]  they that meeting never happened that
[25:53.20]  zoom isn't
[25:53.76]  it's going to end in five minutes if
[25:55.04]  they don't care so take advantage of
[25:56.48]  that
[25:56.96]  and show show that you hit the goals you
[25:58.88]  set out and the interest will remain
[26:00.48]  right
[26:01.28]  i i completely agree with that and and
[26:04.08]  one of the
[26:04.64]  i mean the great tools in the
[26:06.72]  entrepreneur's favor is you have this
[26:09.52]  you know the update is asymmetrically in
[26:12.40]  your favor from a time
[26:13.84]  invested point of view right i can write
[26:16.64]  update once
[26:17.68]  i can deliver that to 25 people rather
[26:20.56]  than taking 25 meetings
[26:22.72]  and of those 25 people if 10 of them
[26:26.08]  never open it
[26:27.12]  god bless you just figured out 10 people
[26:29.20]  not to spend a minute with
[26:30.72]  but for the 15 that do
[26:34.16]  and the five that write you back and the
[26:36.24]  two that are like this is really cool
[26:37.92]  let's catch up an email
[26:39.12]  like what a fantastic opt a way to
[26:41.84]  optimize your
[26:42.64]  own time in your own to really think
[26:44.88]  about who gives a
[26:46.56]  because i always tell people that this
[26:48.64]  is a truism i throw around a ton and i
[26:50.56]  believe it's true of
[26:51.76]  all sorts of early stage fundraising is
[26:54.16]  it is a
[26:54.88]  search problem it is not a sales problem
[26:57.68]  right
[26:58.24]  you rarely are going to go in and pitch
[27:01.44]  your heart out and overcome objection
[27:03.36]  over a projection
[27:04.72]  to get someone who doesn't fundamentally
[27:07.12]  believe or is it fundamentally primed to
[27:08.64]  be excited about you
[27:09.68]  to overcome that inherent bias to the
[27:12.72]  negative
[27:13.68]  but what you're really trying to do is
[27:15.76]  identify the people
[27:16.88]  that gravitate to what you say are like
[27:18.80]  oh that that really makes sense like i
[27:20.40]  really love that idea
[27:21.52]  and tell me more about this and and you
[27:24.16]  know those interactions like you've been
[27:25.76]  in um
[27:26.16]  you've been as an investor and as a as a
[27:28.16]  founder i'm sure you've been in these
[27:29.60]  meetings
[27:30.64]  where you just you get this dialogue
[27:33.04]  there is nothing
[27:34.00]  more important i think in a fundraising
[27:36.00]  process than getting to that moment
[27:38.08]  like where do i have engagement and if
[27:40.40]  you think about how you get to
[27:41.52]  engagement
[27:42.64]  man it sucks if you've got to do 25
[27:44.88]  one-hour meetings
[27:46.64]  with in pre-covered days the travel time
[27:49.04]  and the laptop setup time
[27:50.40]  but right now if you're keeping a whole
[27:52.72]  bunch of people drip fed
[27:54.08]  and updated on your company you get way
[27:56.96]  more efficiency in your time to figure
[27:58.88]  out the three or five or seven that
[28:00.72]  actually give a darn
[28:02.48]  that's way in your favor as a founder
[28:04.32]  and people should not be afraid of using
[28:06.40]  that as a tool
[28:07.92]  it is good but it's way in your favor
[28:09.52]  right in this digital world you can
[28:11.44]  there's so many signals if these
[28:12.72]  investors you keep warm are interested
[28:14.40]  right even just opening that
[28:15.68]  email so you're right it's um so much
[28:18.16]  better than schlepping up and down
[28:19.60]  or flying flying to the bay area lose
[28:22.56]  losing a week i mean me some customers
[28:24.48]  but
[28:24.96]  boy i'm gonna fly out from belgium to
[28:27.04]  meet a bunch of i mean you blow you blow
[28:28.88]  10 days doing that right what'd you do
[28:30.64]  with the week of your time i had seven
[28:32.16]  vc meetings that's insane like
[28:34.16]  yeah killed it i could i couldn't meet
[28:36.24]  with my customers because i had to do it
[28:38.24]  oh my i want to cry when i hear that
[28:41.12]  right
[28:41.84]  all right last one let's talk just for a
[28:43.60]  minute about datadog
[28:44.88]  and the reason i i want to talk about
[28:46.32]  datadog is you invested early
[28:48.72]  and there's a lot of great things about
[28:50.56]  datadog i like one the reason i find it
[28:52.56]  interesting is a case study and
[28:54.64]  and we have we we kind of highlighted it
[28:57.12]  at our first
[28:57.76]  europe in paris we did it with olivier
[29:00.00]  but it's it's it's
[29:01.44]  such a beloved product right and
[29:03.04]  obviously it's done incredibly well on
[29:04.56]  the public and better than we thought
[29:06.08]  right i don't know what datadog i
[29:08.16]  remember
[29:09.52]  i remember talking with some folks right
[29:10.96]  before zoom one public and they were
[29:12.40]  thinking it would be worth 4 billion and
[29:13.92]  it's worth a little bit more today
[29:17.20]  and i don't know what the expectations
[29:18.48]  were on datadog it was it's a great like
[29:20.24]  the growth is you know top
[29:21.84]  three percent right but they weren't but
[29:23.76]  this one is another one that
[29:24.72]  outperformed but but
[29:26.08]  what's fun about both of those is
[29:27.52]  they're iconic if you talk to
[29:29.52]  developers especially we talked to folks
[29:31.28]  that have put significant products into
[29:33.28]  production right that that are stressed
[29:34.80]  about they love they loved
[29:36.24]  the next generation loves datadog don't
[29:37.76]  they they just love it all the founders
[29:39.44]  all the ctos
[29:40.64]  they love it but yet it's a crowded
[29:43.04]  space
[29:43.76]  it is a crowded space and certainly
[29:45.52]  probably when you invested so
[29:48.00]  what are the learnings for founders in
[29:49.60]  in both winning and crowded spaces and
[29:51.28]  why did you
[29:52.08]  why did you invest in a crowded space
[29:54.00]  yeah um
[29:55.12]  and i think what's a crowded space or
[29:57.04]  not is gonna
[29:58.24]  shift based on your perceptions at the
[30:00.16]  moment and the perceptions in hindsight
[30:01.92]  and who you define as you're for sure
[30:04.48]  and and and all that sort of stuff so i
[30:07.04]  mean
[30:07.68]  i i i will let's continue down the path
[30:10.72]  to answer the meta question but in a lot
[30:13.36]  of ways
[30:14.32]  um maybe this is the right answer for
[30:17.12]  for the meta question
[30:18.56]  um i didn't look at datadog as the most
[30:21.28]  crowded space
[30:22.08]  in the world what i looked at datadog as
[30:26.24]  was these are founders who deeply
[30:29.76]  understand their domain right they have
[30:32.40]  lived this
[30:33.12]  problem olivier and bran engineering
[30:36.88]  teams
[30:37.52]  and as running in their context of
[30:39.68]  running engineering teams they
[30:41.68]  knew the tools that they wish they had
[30:43.84]  or they had to build for themselves
[30:45.92]  there's this emerging thing called the
[30:48.24]  cloud was showing up and
[30:50.00]  there was no systems management tools
[30:51.84]  there was no server you know like
[30:53.60]  basic stuff that they had relied on in
[30:56.48]  the
[30:57.12]  client server world or the end tier
[30:59.04]  world like you just didn't have those
[31:01.12]  tools and so they found themselves
[31:02.56]  making them or at least really
[31:04.08]  understanding what the gaps were and so
[31:07.12]  it's a thing that we believe deeply in
[31:09.04]  which is this founder market fit
[31:11.20]  this idea that you as a founder are in a
[31:14.64]  prime position to understand what the
[31:17.04]  customer needs maybe because you've been
[31:18.72]  the customer maybe because you've
[31:20.32]  worked on similar solutions that was
[31:22.56]  number one
[31:23.36]  as i just it really was a bet on
[31:25.52]  individuals that we
[31:26.80]  thought got the problem better than
[31:29.52]  others
[31:30.80]  the other thing was there was a catalyst
[31:33.76]  right they just didn't go out and say
[31:36.40]  you know zoom socks making this up the
[31:38.72]  2020 version zoom sucks
[31:40.72]  zoom would be better if it had these
[31:42.08]  three features that can be a successful
[31:44.32]  company but it can't
[31:45.52]  be as big of a company what would have
[31:48.40]  been
[31:48.88]  i'll make this up if all of a sudden in
[31:51.12]  2020 zoom
[31:52.48]  magically only worked on a desktop
[31:56.40]  right and somebody was like i think this
[31:58.80]  video conferencing thing can
[32:00.00]  go can go way beyond that and the
[32:02.64]  catalyst here is like
[32:04.48]  we think mobile is going to take off and
[32:06.32]  and what if there was no product for
[32:07.84]  mobile we could go make it for mobile
[32:09.36]  there was a catalyst there right and in
[32:11.28]  the early days of data dog
[32:13.68]  the catalyst was really clearly
[32:16.96]  people if you go to the cloud as soon as
[32:19.68]  you decide to stand up your first cloud
[32:21.84]  instance
[32:23.04]  all that old tooling the monitoring and
[32:25.68]  the performance management and
[32:27.12]  ultimately the logging and other things
[32:28.48]  they got like
[32:29.44]  it's gone like that entire stack forget
[32:31.92]  it if your new world
[32:33.84]  is going to be built off of cloud you're
[32:36.08]  going to re-platform
[32:37.28]  all of these key building blocks to
[32:39.28]  support you as an ops and infrastructure
[32:41.28]  person
[32:42.32]  and so not only do we feel like these
[32:44.48]  people have the right answer for what
[32:46.00]  the product should be
[32:47.68]  but the belief was there was going to be
[32:50.16]  this pull
[32:51.28]  that if they got it right that at that
[32:54.00]  moment
[32:55.12]  you know people are going to show up
[32:56.64]  they're going to flip on their cloud
[32:57.76]  instance they're going to go this amazon
[32:59.04]  thing's really cool
[33:00.16]  what's the first thing i need to do to
[33:01.36]  make my life easier well i got to have a
[33:02.80]  monitoring solution
[33:04.00]  and in hindsight when you think about
[33:06.64]  why it's bigger than anyone
[33:08.48]  ever has expected i think there's two or
[33:10.32]  three reasons the first is
[33:12.40]  is the best proxy for aws growth in the
[33:15.44]  private markets
[33:16.40]  like that's that's a fair insight right
[33:18.16]  it is a proxy right yeah it's a very
[33:19.92]  good proxy for that and so there we got
[33:21.52]  so much pull
[33:22.32]  the second thing and you highlighted
[33:23.76]  this when we were talking offline about
[33:25.28]  how excited your team was about
[33:26.88]  something like new relic
[33:28.08]  they they were very smart in
[33:29.84]  understanding a very consistent product
[33:31.68]  experience
[33:32.40]  and having a very good relationship with
[33:34.24]  a buyer
[33:35.44]  that allowed them to extend into a few
[33:37.36]  other product categories for every
[33:38.80]  natural extensions
[33:40.40]  so monitoring went to apm and so when
[33:43.36]  they
[33:43.76]  launched and went after new relic it was
[33:46.40]  it was
[33:47.04]  been a huge hit to the new relic market
[33:48.72]  cap and a big opportunity for datadog
[33:50.72]  and then they kind of then went
[33:52.00]  after logging with splunk and i think
[33:54.56]  one of the another reason why they both
[33:56.96]  they've grown is not just because the
[33:58.64]  market size is so big in
[34:00.48]  the market growth is so big in cloud but
[34:02.80]  because they have
[34:03.84]  found really nice ways to extend into
[34:05.84]  adjacencies and this is like a big
[34:07.44]  company move this is not like a small
[34:09.20]  founder move small founders should not
[34:10.64]  be thinking about this in like the first
[34:12.16]  couple years of their company first time
[34:13.76]  sure but but everyone gets there to
[34:15.36]  build a billion a billion er everyone
[34:17.20]  has multiple products we've learned
[34:18.64]  right so you've got to do it
[34:20.32]  and then and then i'd say the third
[34:21.60]  thing which was absolutely
[34:23.44]  unclear at the time or unknown is you
[34:26.24]  know you just have founders who turn out
[34:28.24]  to be
[34:29.36]  execution animals like they they are
[34:32.64]  just
[34:33.52]  really really good executors and hirers
[34:36.40]  and
[34:37.36]  product thinkers and they they wake up
[34:39.60]  and they they fight to win every single
[34:41.76]  day
[34:42.72]  and you know datadog is a very
[34:45.40]  execution-oriented culture
[34:47.04]  and yeah they have they have done they
[34:49.12]  have taken the hand of cards that they
[34:51.68]  that they were dealt and did every
[34:54.24]  single thing
[34:55.04]  right and not everything but like
[34:56.88]  they've made the right call
[34:58.72]  made many more times and they've made
[35:00.16]  the wrong one and and you know that's
[35:03.36]  i don't know if they're what their
[35:04.56]  market cap is now 30 something billion
[35:06.40]  dollars it's
[35:06.96]  it's an insane amount of money
[35:08.32]  especially for guys that probably raised
[35:10.00]  their
[35:10.40]  their seed round at something like a
[35:11.92]  four or five cap
[35:14.32]  you know done every single thing right
[35:16.80]  along the way
[35:17.52]  and building a really efficient scalable
[35:19.44]  business
[35:21.04]  yeah that um and maybe we could break on
[35:22.72]  this this is good coverage that that
[35:24.56]  i forgot what term issues that insane
[35:26.00]  commitment to or
[35:28.24]  it's just um you know it just turns out
[35:30.64]  that's what builds the deck of corn and
[35:31.92]  the unicorn it's not enough
[35:33.36]  but it's it's just it's next level right
[35:35.92]  if you want to go join a ceo
[35:37.84]  or a company look for that look for that
[35:39.44]  insane commitment right
[35:41.36]  uh it really is true it's not it's not a
[35:43.28]  trope and
[35:44.72]  um and you talk about what i think your
[35:46.72]  term was founder product fit or what's
[35:48.24]  the term that you use
[35:50.32]  i like it but on the other hand i almost
[35:52.16]  feel like it's it's table stakes like i
[35:54.48]  just
[35:54.80]  know like if you don't deeply understand
[35:58.32]  your market even if you weren't even if
[36:00.48]  you weren't an engineer in the space if
[36:01.52]  you don't deeply understand the market
[36:02.88]  at least after 10 customers
[36:04.64]  it's a no so i'm with you right but if
[36:06.64]  you have to combine that with this
[36:08.16]  insane
[36:09.04]  insane level next level commitment right
[36:11.20]  it is so hard right
[36:13.52]  there's a difference there between when
[36:15.44]  you're writing a
[36:16.68]  pre-product pre-customer check
[36:20.16]  and when you can actually talk to
[36:21.44]  customers because you're right right
[36:23.04]  with
[36:23.52]  our mutual investment in gorgeous is not
[36:26.00]  a place where
[36:27.04]  where romaine and alex were like we have
[36:29.76]  lived the customer support problem so
[36:32.00]  deeply and insanely but once they got to
[36:34.40]  the point where they had enough
[36:35.84]  interactions with customers they
[36:37.28]  understood it as well as anybody
[36:39.12]  before then you know i would say there
[36:41.44]  was a question as to
[36:42.56]  how perfect they were for that domain
[36:44.96]  and they have really
[36:46.16]  built that experience but i think a lot
[36:48.00]  of times when you're looking at
[36:49.28]  particularly really technical products
[36:51.68]  putting yourself in my shoes
[36:53.20]  particularly really technical products
[36:54.80]  and
[36:55.28]  very early before you even have you know
[36:59.20]  a beta product built you you do have to
[37:02.08]  have a really deep level of confidence
[37:04.08]  that those founders
[37:06.32]  really have an understanding of the
[37:07.60]  customer they're going after and the
[37:08.96]  problem they're trying to solve
[37:10.48]  for certain domains and at least for us
[37:13.52]  that's been a
[37:14.72]  has been a big recipe for why you know
[37:17.44]  some of these companies have worked
[37:19.44]  worked extremely well and and some of
[37:21.60]  the ones in the portfolio that are still
[37:23.04]  growing why we think they've got this
[37:24.48]  unfair edge
[37:25.76]  but um you know that is that is our
[37:28.32]  approach it's not everyone's approach
[37:29.68]  there's no monopoly on ways that that
[37:31.36]  you can be a successful investor
[37:32.88]  like one learning over 20 something
[37:35.12]  years is that
[37:36.64]  so yeah for whatever it's worth well
[37:39.12]  sunil this was great
[37:40.32]  um we went really long but i learned a
[37:42.72]  lot
[37:44.00]  congratulations on the new fund no
[37:45.60]  pressure right you only have to turn the
[37:47.44]  275 plus 100
[37:49.68]  let's see let's do some quick math if
[37:51.28]  you want a top decile fund how many
[37:53.12]  unicorns do you
[37:54.16]  we don't even want to think about how
[37:55.20]  many unicorns you need in that fund
[37:56.56]  right
[37:57.28]  we had to return a billion and if we're
[37:58.56]  owning you know 15 so
[38:00.40]  here's to creating somewhere like eight
[38:02.08]  plus billion dollars of marketing eight
[38:03.92]  yeah in one funnel you have to have
[38:07.76]  eight unicorns
[38:09.12]  to really hit the top deci outperform
[38:11.12]  it's founders think about
[38:12.72]  it's it's so much easier to be an
[38:14.24]  investor than a founder but eight
[38:15.68]  unicorns per fund is not easy
[38:18.32]  it is it is not easy all right with that
[38:21.12]  we'll break thanks for thanks for taking
[38:22.96]  the covert break uh so you know we'll
[38:24.72]  chat soon
[38:25.44]  awesome talking to you bye
