Title     : Byron Deeter, Bessemer Ventures  + Jason Lemkin on Cloud 100, Growing 100% at $100m ARR, & More
Video ID  : 9xmaCjU8Kt4
[24:23.28]  you definitely have this this sort of
[24:25.36]  latent backlog of strategic assets that
[24:27.52]  are finding outlets through other needs
[24:29.04]  yeah so keep going so how is how
[24:31.12]  will there be a lot will be enough m a
[24:32.88]  to keep up with all these unicorns with
[24:34.48]  a thousand unicorns that we'll have soon
[24:37.60]  the strategics haven't done their part
[24:39.44]  here and
[24:40.80]  part of it's been pricing evaluations
[24:42.56]  where the multiples are just tough
[24:43.84]  certainly for the legacy vendors to pay
[24:46.40]  two or three x their own multiple to
[24:48.16]  acquire scale assets but also the amazon
[24:51.12]  web services microsoft azures the google
[24:53.20]  clouds haven't strategically leaned into
[24:55.84]  large-scale acquisitions and that's a
[24:58.24]  wild card of whether or not they will
[25:00.64]  and so that's where you see a lot more
[25:03.20]  activity in the public markets via space
[25:05.20]  traditional listings hopefully more
[25:06.64]  direct listings that's where you see
[25:08.48]  private equity weighing in more heavily
[25:10.08]  and that's where you see a lot of
[25:10.96]  companies staying private longer and
[25:12.64]  doing these massive financings which in
[25:14.64]  many ways are partial exits because they
[25:16.48]  can get some liquidity and still build
[25:18.16]  the businesses
[25:19.52]  we do think when multiples pull back you
[25:22.56]  will see some uh increased m activity as
[25:25.60]  we did in 2008 as we did in 2016 um we
[25:29.20]  just had such a great run that these
[25:30.80]  companies have been priced out of the
[25:32.16]  hands of people with big balance sheets
[25:34.96]  they are they're probably like you you
[25:36.32]  do have to earn that it when you when
[25:37.84]  you raise that great round at 40 or 60
[25:39.76]  times revenue uh it can be challenging
[25:42.16]  for a for a tech company to buy you
[25:44.64]  right in all but the most optimistic
[25:46.40]  scenarios
[25:48.08]  absolutely and i can't tell you how many
[25:49.68]  times we get our companies get
[25:51.20]  approached by buyers who um you know
[25:53.76]  come into these markets saying you know
[25:56.00]  great and here's a price and you should
[25:57.52]  love to work with us and it's like that
[25:59.28]  price is is below what we just financed
[26:01.92]  at and half of what we can go public at
[26:04.48]  you know what's the appeal why why would
[26:06.16]  we do this our founders you know time
[26:08.40]  and time again we'll we'll look at their
[26:10.24]  options and say like i want to build
[26:11.52]  something great those are the people
[26:12.56]  that we gravitate towards those the
[26:13.92]  people we work with and you know
[26:15.52]  occasionally you'll have like an off
[26:16.96]  zero octa situation where johannio says
[26:19.76]  like i i really buy into the octovision
[26:21.84]  i want to be part of this i mean
[26:23.60]  all right well good thoughts on mma just
[26:25.36]  one other thing i just want to tie this
[26:26.96]  all together and then um and then maybe
[26:28.88]  let's let's let's spend a little last
[26:30.88]  few minutes on the cloud 100
[26:33.84]  40 just looking again at the bvp nasdaq
[26:36.96]  website from this morning like you
[26:38.16]  talked about 40.2 percent average
[26:40.32]  revenue growth in the bvd nasdaq 40.2 i
[26:43.84]  mean
[26:44.80]  you know just a few years ago like 20
[26:46.96]  something was pretty good right one
[26:48.40]  shoot ipod for sas four different
[26:49.92]  between 40 and 20 is not 2x when you
[26:52.40]  compound it it's like infinity right
[26:54.40]  it's massive it's massive we forget the
[26:57.04]  difference right because um and um
[27:00.00]  so
[27:00.80]  tell us for especially for founders
[27:03.68]  and then we can talk about how that fits
[27:05.12]  into like different bars for the cod 100
[27:06.96]  but
[27:07.84]  how has that raised the bar for venture
[27:09.28]  financing how has it raised the bar for
[27:10.96]  seed a b c
[27:12.96]  do you have to be growing even faster
[27:14.40]  than two years ago to get a term sheet
[27:15.92]  from bessemer or in general like has the
[27:18.24]  because we read about all these rounds
[27:20.40]  but i think for some founders it's even
[27:21.76]  harder to get funded than a couple years
[27:23.12]  ago
[27:24.56]  uh the bar of awesome is higher and
[27:28.08]  uh that's the
[27:29.52]  the good and bad news meaning the range
[27:31.60]  of possibilities is much bigger but the
[27:34.32]  competitive set is spectacular
[27:37.68]  and
[27:38.72]  you know time is the limiting factor for
[27:42.24]  for active venture firms and i think
[27:43.92]  this is one of the distinctions there's
[27:45.36]  a lot of passive money out there now
[27:46.88]  there's a lot of different ways to
[27:48.00]  finance but at least for the earlier
[27:49.52]  rounds we're saying hey i want a board
[27:51.28]  member i want someone to be helpful i
[27:52.96]  want someone who's seen this before etc
[27:55.60]  there is scarcity of time and
[27:58.24]  uh the companies that we're funding
[28:00.32]  early on tend to be the ones that are
[28:01.92]  growing north of 100
[28:04.00]  and can be 10 billion plus companies and
[28:07.04]  you know
[28:07.92]  you know me buyer and eater can do
[28:10.00]  you know one or two of those a year
[28:12.24]  and my partners can do their one or two
[28:14.40]  a year and we can do you know
[28:17.12]  some growth investments we can do more
[28:18.40]  seed investments et cetera but in terms
[28:19.84]  of like the core venture activity and so
[28:22.00]  that is um that's the same answer for um
[28:25.12]  for other partners that other firms that
[28:26.64]  you want on your board and so um yes uh
[28:30.08]  the the hurdle's higher but wow when
[28:32.08]  it's working um you can build something
[28:35.04]  freaking spectacular and massive and and
[28:38.32]  world-changing and that is now possible
[28:41.36]  in cloud in a way that had never been
[28:44.32]  conceivable
[28:45.84]  you know just a few years back
[28:47.84]  let me simplify it to maybe one thing
[28:49.28]  i'm shocked the number of companies
[28:52.32]  startups i guess we can't really call
[28:53.68]  them startups at 100 million
[28:56.16]  or more that are growing a hundred
[28:57.44]  percent or more i'm shocked right and
[28:59.52]  some of these were coveted boosts right
[29:01.36]  we can we can talk about a bunch of
[29:02.72]  folks in the collaboration software that
[29:04.24]  crossed a hundred percent it 100 even
[29:06.08]  200 million last year and they got a
[29:07.60]  covered boost
[29:08.88]  but when you look at companies
[29:11.68]  routinely is probably the wrong word but
[29:13.12]  that regularly grow 100 at 100 million
[29:15.60]  right um what is what does that mean a
[29:17.60]  10 million error is is what if you're
[29:19.76]  going 100 like that's not nearly as good
[29:21.92]  100 of 10 million it's not nearly as
[29:24.24]  good as 100 does that mean it's not good
[29:26.32]  enough to get like what is how does it
[29:27.76]  change the bar let's just simplify to
[29:29.28]  one thing and and then how does it
[29:30.64]  change the bar at 10 million are to pick
[29:32.40]  a line does it not change the bar is the
[29:33.92]  bar gone up is it 1.5 is it 150
[29:36.72]  is it 200
[29:38.56]  it's awesome that you ask that exact
[29:40.08]  question because literally i've had two
[29:41.44]  board meetings in the last week where um
[29:44.16]  the team was wrestling with exactly this
[29:46.00]  exact question and um they're pushing
[29:48.88]  for the triple um which is the 200
[29:51.20]  growth over the coming year we've got a
[29:52.64]  baseline plan at the double
[29:54.40]  but
[29:55.36]  that is very much the mindset now
[29:57.68]  which is a take outs you know take out
[30:00.32]  capital as a resource
[30:02.00]  team bandwidth is really the resource
[30:03.68]  market tam you know really isn't for
[30:05.52]  most of these companies anymore and it's
[30:07.04]  it's all about what can we do and you
[30:09.60]  know us as a service provider here so
[30:11.60]  much of our energy now is around team
[30:13.20]  building and recruiting um because that
[30:15.52]  tends to be the bottleneck but we are
[30:17.84]  definitely seeing you know the more of
[30:20.00]  these triple triple double double models
[30:21.92]  uh the hat tip to niraj and the battery
[30:23.60]  folks i think coined it
[30:25.44]  but
[30:26.24]  that's now possible later in their lives
[30:29.12]  and you're seeing businesses that 10
[30:30.64]  million plus that are completely capable
[30:33.04]  of tripling for another year or two
[30:34.88]  before they decelerate into the 100
[30:37.52]  growth double
[30:38.72]  in those out years and kova definitely
[30:41.28]  gave some businesses a boost but this
[30:43.52]  work from home stuff is going to
[30:44.72]  continue these hybrid models are
[30:46.08]  continued cloud is the way of the future
[30:48.32]  for software and i you know my rough
[30:51.76]  guess is is probably 25 of our cloud 100
[30:54.80]  companies this year at least are above
[30:56.40]  100 million growing over 100 right now
[30:59.04]  okay well that's maybe that's what we
[31:01.04]  could almost wrap up on of the cloud 100
[31:02.88]  about a quarter of them
[31:04.56]  are growing more 100 or more at 100
[31:07.28]  million in revenue
[31:08.72]  that would be that would be my guess
[31:10.16]  that's not a slice i've done directly
[31:12.16]  we'll show all sorts of um
[31:14.24]  slices of metrics benchmarks etc on
[31:16.64]  august 10th when it drops
[31:18.96]  but but just
[31:20.96]  estimating based on the valuations and
[31:23.20]  the other metrics i know um that uh that
[31:26.24]  wouldn't surprise you i'd take you over
[31:27.68]  on that yes
[31:28.88]  that's both for folks that should be
[31:30.80]  both inspiring and intimidating that a
[31:33.36]  hundred percent growth at 100 million
[31:34.72]  error isn't even top decile it's not
[31:36.56]  even top death style it's only top
[31:37.92]  quartile i don't know what that means
[31:39.68]  for venture returns what should venture
[31:41.36]  what should top decile venture returns
[31:43.04]  be then
[31:44.72]  well
[31:46.16]  exactly if the public index has produced
[31:48.32]  a 12x plus return then that that should
[31:50.56]  be what we're all benchmarking our funds
[31:52.40]  to so uh the bar has been raised for
[31:54.80]  awesome there as well
[31:56.32]  okay well let's wrap up that come look
[31:57.92]  come to the cloud 100 learn how
[32:00.64]  learn how top
[32:02.40]  quartile is growing 100
[32:04.48]  at 100 million in revenue you'll meet
[32:06.80]  digitally reese witherspoon again what's
[32:09.12]  the date byron for the cloud 100 august
[32:11.28]  10th you can sign up at vcloud
[32:12.64]  vcloud100.com
[32:15.60]  th cloud and then the number100.com
[32:18.72]  get your link there and uh as always
[32:21.52]  look forward to coming back to saster
[32:23.28]  where we'll release the new state of the
[32:24.80]  cloud
[32:26.00]  and pull in a lot more of this data and
[32:27.76]  go deep
[32:28.80]  and
[32:29.76]  love and appreciate the partnership and
[32:31.52]  the saster community has been such a big
[32:33.12]  part of my life and our company's lives
[32:34.96]  lots of gratitude for the content
[32:36.64]  sharing and the education that you've
[32:38.24]  done for entrepreneurs everywhere
[32:40.48]  thanks byron we'll talk to you soon
