Title     : Mastering SaaS Sales Hiring, Customer Retention, and Growth with OpenAI,  Retool, and 20VC
Video ID  : 0dPbrT6m3dY
[24:11.92]  as a manager and I think I had 900
[24:13.84]  inails within four hours of posting that
[24:17.28]  and you realize there's a certain level
[24:18.68]  of scale and brand recognition at this
[24:20.92]  company that you're going to have to
[24:22.00]  start thinking about even things like
[24:24.16]  the hiring process a little bit
[24:25.60]  differently because now how do you even
[24:26.84]  sort through those how do you even start
[24:29.04]  understanding who are the people that
[24:30.36]  you should be making that Outreach to
[24:31.92]  and one thing that we have done is we've
[24:34.28]  shifted a lot of the hiring process and
[24:36.96]  things that you would normally do more
[24:38.40]  at an on-site we shifted that earlier
[24:40.64]  because we have to inherently do a lot
[24:42.72]  more screening what is that elements
[24:44.80]  that you've shifted things like we do a
[24:46.88]  take-home assignment and normally you
[24:48.40]  would do that more in terms with the
[24:50.84]  inter with the actual onsite but we want
[24:53.24]  to shift it up because we need some of
[24:54.76]  those disqualifiers a lot earlier
[24:56.52]  because we just have too many to be able
[24:59.08]  I'm always struck with Tak home
[25:00.12]  assignments because people sit in
[25:01.28]  different camps do it with the company
[25:02.76]  that you're hiring for they can build up
[25:04.60]  some skills or that's unfair there's
[25:07.00]  asymmetric information that people hire
[25:08.56]  and have so much knowledge and they have
[25:09.84]  none which one's the right one I think
[25:12.44]  it depends and that's going to be the
[25:13.92]  the answer to a lot of these there's
[25:15.84]  been come on no what I would say is in
[25:19.20]  our situation I do think it's the right
[25:20.76]  thing to do that even though there's an
[25:22.28]  asymmetric information and potentially
[25:24.40]  there's going to be factors that maybe
[25:26.56]  some candidates don't have the ability
[25:27.88]  to be able to show up as well as they
[25:29.32]  could the reality is we've got to be
[25:31.20]  able to go in and do those screenings
[25:32.96]  earlier and if people have the time to
[25:34.88]  be able to show and do some of the
[25:36.28]  research that's a really good case that
[25:38.24]  this is going to be a strong candidate
[25:39.68]  that they've gone in and taken the time
[25:41.36]  to learn a little bit about our industry
[25:43.00]  as opposed to just raising their hand I
[25:45.28]  also think it's really easy to get
[25:47.16]  excited by a brand or a product or by
[25:49.12]  traction and if you have to do a
[25:50.92]  take-home that's tied to that company
[25:53.20]  it'll actually show do I have the
[25:55.32]  capacity to learn about this was I
[25:57.56]  excited while working on this takehome I
[25:59.24]  always tell candidates if you enjoyed
[26:00.68]  this take-home you're going to really
[26:01.80]  enjoy selling this but you have to enjoy
[26:03.92]  it and this is signal for you just as
[26:05.40]  much as it is for us on if an open-ended
[26:08.00]  platform sale is what excites you how
[26:10.80]  quickly do you know when you've made a
[26:13.64]  mish hire first 90 days yeah there's
[26:16.20]  variability but yeah I'd say within the
[26:17.72]  first 90 days if you haven't been able
[26:19.28]  to make that diagnosis then there's
[26:21.92]  something wrong with either your
[26:23.00]  onboarding or the way that your managers
[26:25.12]  are conducting one-on ones or the way
[26:27.32]  that you're evaluating people as they
[26:28.68]  come into the organization what have you
[26:29.96]  found of the most common first signals
[26:32.76]  that someone is not making the grade I
[26:34.84]  think follow through do they do what
[26:36.32]  they say they're going to do that
[26:38.04]  bizarrely manifests itself pretty
[26:39.84]  quickly so ownership and their ability
[26:41.92]  to act like an owner I think can show up
[26:43.72]  really quickly and that's usually one of
[26:45.72]  the biggest signals that it's been a
[26:47.24]  mish hire and then you just start to see
[26:49.08]  are they ramping are they hitting you
[26:50.52]  have some internal Milestones to show
[26:52.08]  are they grasping the material are they
[26:54.00]  ready to take that first call do they
[26:55.84]  need managers on their call for longer
[26:57.36]  than you'd anticipate how quickly do you
[26:59.48]  put new reps SDS BDS you name it in
[27:02.44]  front of customers two weeks two weeks
[27:05.08]  does That Vary on Deal
[27:08.32]  size do they go with someone else we
[27:10.96]  you'll have a buddy on those first few
[27:12.28]  calls but for the most part in the first
[27:14.20]  two weeks we do a certification process
[27:16.56]  where we ramp them if they don't pass
[27:18.28]  their certification we will have them
[27:19.92]  redo it and we'll give them another week
[27:21.88]  so sometimes three if they miss their
[27:23.84]  certification twice I think that's
[27:25.24]  another pretty strong signal that you
[27:26.64]  might have hired the wrong person how
[27:28.72]  quickly do we expect them to sign a deal
[27:31.36]  for their first Deal completely varies
[27:33.24]  by sedment so if they're working with 0
[27:34.92]  to 100 employees they should close their
[27:36.96]  first deal within their first two months
[27:39.04]  if they're working in the Enterprise if
[27:40.72]  it happens in the first 9 to 10 months
[27:42.36]  that's still completely normal Dom what
[27:44.92]  are your thoughts in terms of for you
[27:46.84]  the clearer signals that someone isn't
[27:49.20]  performing or is a mish hire yeah I
[27:51.56]  think it goes back to what Alor said you
[27:54.00]  should clearly Define what success looks
[27:56.12]  like you should have competencies and
[27:58.20]  clear learning path and if it they're
[28:00.56]  not being able to ramp or be able to
[28:02.16]  grasp the information or be able to
[28:03.48]  grasp the role or the customer Journey
[28:05.92]  you should have the ability to have
[28:07.72]  those checkpoints where you can make
[28:08.92]  those assessments and that doesn't mean
[28:10.44]  that the person's immediately fail but
[28:12.24]  it means that we're giving them the
[28:13.36]  chance that here's where our expectation
[28:15.20]  is we need to see this or that and give
[28:17.64]  them the chance to succeed of course but
[28:20.04]  you're going to be using those to be
[28:21.16]  able to set up and understand whether
[28:22.68]  that person does have the capabilities
[28:24.24]  to do what the role requires final
[28:26.76]  question before we do a quick far but
[28:28.20]  how do you think about the
[28:28.84]  verticalization of sales teams where you
[28:30.88]  think about okay we've got Healthcare
[28:32.48]  we've got fintech we've got you name
[28:35.60]  whatever we want to choose Professional
[28:37.04]  Services how do you think about
[28:38.60]  verticalization because some people say
[28:40.20]  that's super expansive massive change
[28:42.36]  for organizations but some also say
[28:44.44]  actually you can test it much more
[28:45.52]  efficiently give it a
[28:49.16]  go I mean I think that there's a scale
[28:52.84]  of verticalization there's hey we have a
[28:55.00]  New York team and let's inherently use
[28:57.60]  verticals is a proxy to regionality and
[29:00.00]  just say we're going to start having
[29:01.40]  some members of the New York team focus
[29:03.16]  on Financial Services maybe in the Bay
[29:05.44]  Area we'll have uh a a tech vertical and
[29:09.24]  maybe within the Midwest we're going to
[29:10.76]  have a manufacturing and it's really
[29:12.48]  more just aligning them to the types of
[29:14.84]  customers and the majority of the
[29:16.08]  companies that exist and that's one
[29:18.32]  level of doing a vertical strategy
[29:20.44]  there's another level which is we're
[29:22.24]  going to go in and start bringing in
[29:23.52]  vertical managers and we're going to
[29:25.24]  have people that have 20 years of
[29:26.84]  experience in media entertainment or
[29:29.40]  financial services and we're going to
[29:30.92]  start
[29:43.80]  verticalized to verticalization a little
[29:46.20]  too early and I do think you have to
[29:48.36]  really understand what your overall
[29:51.32]  value proposition and get your core
[29:53.08]  sales motion going before you just rush
[29:55.36]  to verticalization because the challenge
[29:57.60]  that you have have is that vertical is
[29:59.20]  not just a go to market strategy it's
[30:02.04]  also a product strategy so if you
[30:04.16]  suddenly just say we're going to go
[30:05.32]  after financial services and then
[30:06.96]  suddenly you realize your product
[30:08.64]  doesn't have the certifications the
[30:10.28]  regulations to be able to operate at
[30:12.04]  scale in that environment now you've got
[30:14.04]  a conflict between your product team and
[30:15.76]  your sales team um and your goto Market
[30:18.08]  team and so I do think that you have to
[30:19.84]  go in Eyes Wide Open that this isn't
[30:22.28]  just a go to market strategy you have to
[30:24.48]  have the corresponding backing of the
[30:26.20]  product team which means that you're
[30:27.72]  probably going to need to stack rank
[30:29.32]  which verticals that you really want to
[30:30.92]  go after be really thoughtful about what
[30:32.92]  does it mean and how much we're going to
[30:34.52]  commit to each of those and it's it's
[30:36.88]  something that really needs to be
[30:37.92]  thought about as something that's
[30:39.04]  jointly owned across product and go to
[30:40.72]  market I was going to say the product
[30:42.52]  and go to market piece as well because
[30:44.00]  that's very true for us in terms of
[30:46.16]  whenever we think about verticalization
[30:47.84]  it has to be an entire company decision
[30:50.20]  because the Integrations that are
[30:51.56]  required by a a typical large Bank are
[30:53.80]  very different than what you're going to
[30:55.28]  see from a legacy Enterprise software
[30:56.88]  company or from a regional manufacturing
[31:00.00]  company or a rubber Manufacturing
[31:01.56]  Company in Canada in addition to that
[31:04.52]  it's thinking through which motion
[31:06.04]  doesn't make sense if you're working
[31:07.48]  with Zer to 100 employees the sales
[31:09.52]  cycle looks pretty similar across the
[31:11.08]  board but if you're looking at say a
[31:12.88]  strategic segment where you have a rep
[31:15.00]  that only works with three or four
[31:16.60]  customers and you have OD with a bdr you
[31:19.28]  have a technical account manager you
[31:21.08]  have an AE verticalization makes a huge
[31:23.56]  difference because you liver die on the
[31:25.52]  success of those small number of
[31:27.08]  companies and account
[31:28.72]  and your ability to deeply understand
[31:30.84]  their business and draw transferable
[31:32.52]  conclusions from One customer to another
[31:35.28]  is a force multiplier it's not down
[31:37.80]  market so a lot of it is verticalized at
[31:40.24]  the right time with the right segment
[31:42.32]  and knowing that you're why you're
[31:43.56]  starting there and what problem you're
[31:44.88]  trying to solve is it acceleration of
[31:46.88]  deal Cycles is it ability for the
[31:48.80]  product team to focus on the
[31:50.00]  Integrations that really matter and when
[31:51.96]  you're aligned on that I think it makes
[31:53.72]  a lot of sense and I always think that
[31:55.72]  up Market is the right way to start with
[31:57.28]  verticalization finger stamps for up S
[32:00.64]  the quickest bit fire ever Don what
[32:02.40]  makes Sam Alman so special to work for I
[32:05.36]  always say like when you're looking for
[32:07.04]  a great founder you look for someone
[32:09.28]  that has product strategy that can be
[32:12.00]  customer facing and that can be
[32:13.64]  Visionary and if you get like one of
[32:15.16]  those you generally get a pretty good
[32:17.16]  founder if you get two of those someone
[32:18.88]  who's an amazing founder and I do think
[32:20.52]  if you get all three someone who truly
[32:22.84]  is a special founder I think he's great
[32:24.92]  he's a culture carrier he's very honest
[32:27.92]  and even though the mission is
[32:29.72]  incredibly important sometimes the
[32:31.52]  mission is incredibly daunting he's
[32:33.72]  really has a level of humility and
[32:36.04]  transparency that anyone that works with
[32:38.20]  the company appreciates El now final one
[32:41.00]  what advice would you give to a Founder
[32:42.88]  hiring their first sales leader or you
[32:46.20]  can choose the sales leader starting
[32:48.00]  their new job tomorrow what would your
[32:50.36]  biggest piece of advice be to them back
[32:52.24]  Channel back channel that would be my
[32:54.88]  most direct one I think meet in person
[32:57.20]  and spending a lot lot of time together
[32:58.72]  is so important I've realized that first
[33:00.96]  sales leader CEO relationship is an
[33:02.96]  incredibly important one and almost in
[33:04.96]  the same as any relationship
[33:06.36]  communication and expectations
[33:07.88]  management is so important and if you
[33:10.08]  are in a really successful one that's
[33:11.84]  humming you've developed a shorthand
[33:13.80]  because you know you're both optimizing
[33:15.12]  for the same things and you can't
[33:16.92]  identify that unless you spend a lot of
[33:18.44]  time together in person so I think it's
[33:20.40]  spend time together in person check
[33:22.40]  references back Channel really to know
[33:24.84]  someone and what motivates them listen I
[33:26.92]  cannot thank he both enough for doing
[33:28.68]  this thank you so much everyone this has
[33:30.20]  been great thank you
