Title     : 10 Things a CEO Should and Should Not Expect From the CMO  | SaaStr Software Community
Video ID  : I4cvu-d4rME
[26:10.21]  the pipeline and you hire for that
[26:11.80]  specific thing I think that is also
[26:13.51]  contributing back to those earlier
[26:15.19]  points around the CMO tenure if you
[26:17.89]  don't believe that your marketing leader
[26:19.60]  can span across
[26:20.87]  you're gonna have somebody there's it's
[26:22.91]  just there for a short amount of time
[26:24.29]  and you're not gonna get what is the
[26:26.66]  great benefit of having a partnership
[26:28.31]  for the long term and so I would
[26:30.80]  reconsider some of those questions that
[26:33.50]  as you are trying to find that right
[26:35.15]  market are really trying to understand
[26:37.43]  what what it is that you need you know
[26:39.35]  not just today but a little bit further
[26:41.21]  and this is somebody that you want to by
[26:43.10]  your side to do that if you can't say
[26:45.41]  that you're marketer is a trusted
[26:46.88]  adviser then it's probably not the right
[26:48.74]  fit but if they are then you're going to
[26:51.32]  continue to work with them as you do go
[26:53.66]  through those different challenges
[26:56.41]  totally agree the old camp of revenue
[26:58.79]  marketers and brand marketers being
[27:00.65]  these two bifurcated paths that's just
[27:02.15]  not this is not the reality of today's
[27:03.77]  landscape I want to keep going not
[27:08.33]  trusting a recruiter who may be
[27:10.52]  partnered with you to figure out which
[27:12.41]  somebody is is also just a crazy idea as
[27:15.35]  well in the same day I will be so upset
[27:18.86]  like somebody else a marine is the
[27:21.50]  greatest brand marketer and then later
[27:23.15]  no no she's a good demand marketer like
[27:25.64]  it's a the reality is good marketing is
[27:28.22]  being able to weave across those well if
[27:32.12]  you can't get enough of Marie and I you
[27:34.19]  can catch up in other places we we did
[27:36.32]  you know mention that video earlier up
[27:38.42]  online called b2b creatives and second I
[27:40.94]  was actually really fortunate to write a
[27:42.62]  book on category creation that's coming
[27:44.48]  out in October and Maria contributed a
[27:46.13]  chapter to it and so we you know gotta
[27:49.61]  know each other well I think just kind
[27:50.78]  of growing up here in the marketing
[27:51.74]  circles and I have so much respect for
[27:54.29]  your work and these are some great other
[27:56.21]  places to check it out no and I
[27:58.19]  appreciate that the book if you feel
[28:00.68]  like hey I'm not in doing category
[28:02.51]  creation I'm trying to disrupt my
[28:04.13]  category it's established we saw that
[28:06.11]  crazy chart for document sharing I think
[28:08.96]  this book does apply to both and I'm
[28:12.65]  gonna do a little plug for you because
[28:14.48]  you're so humble essentially those
[28:16.16]  pre-orders really matter I think this is
[28:18.11]  a book that oh no and I appreciate that
[28:20.30]  the book if you feel like hey I'm not in
[28:23.24]  doing category creation I'm trying to
[28:25.01]  disrupt my category it's established and
[28:27.35]  then good luck with your you're CEO and
[28:29.63]  CMO relationships right yeah thank you
[28:31.46]  everyone appreciate it
[28:45.14]  [Music]
[28:46.36]  you
