Title     : What's New at Greenhouse!  $200m ARR, AI in the Real World, Getting Bought by PE, More
Video ID  : dTdSjvbRsQ8
[23:43.08]  we just said um so there's some good
[23:46.80]  opportunities and some tricky
[23:48.48]  opportunities I think the tricky
[23:49.60]  opportunities the ones I said before is
[23:51.04]  like have the AI just scan all the
[23:52.68]  resumés and find the ones that are most
[23:54.64]  likely hired and send those forward
[23:56.56]  because like guess who's most likely to
[23:58.20]  get hired well it turns out same six
[23:59.92]  people everywhere same six people right
[24:01.84]  you know frat guys named Chad are going
[24:03.60]  to be like make it through your like
[24:04.92]  sales process work stripe like is that a
[24:06.68]  good thing like I don't know right um so
[24:09.40]  we want to avoid magnifying existing
[24:11.56]  biases at the same time um what there is
[24:14.72]  is um automatic taxonomy for example
[24:17.12]  what do I mean by that you might call
[24:18.48]  yourself a software engineer the other
[24:19.76]  guy calls himself a developer it's the
[24:21.40]  same job but the search engine making
[24:23.64]  sure you don't miss that applicant right
[24:25.24]  so can AI actually like converge your
[24:27.20]  skills
[24:28.32]  are you a C++ you know like all the
[24:30.00]  different things like salesperson versus
[24:31.84]  like you can really like simplify and
[24:34.12]  find people that may have the skills but
[24:36.36]  didn't type it correctly on their resume
[24:38.08]  and that whole era of people trying to
[24:40.24]  like jam as many keywords on their
[24:41.96]  resume as possible so that the ATS
[24:43.64]  wouldn't lose it like we can end that so
[24:45.76]  I think there is opportunity to do those
[24:48.32]  things the other stuff though like we go
[24:50.52]  back to the root cause of like why are
[24:52.08]  there so many applicants for certain
[24:53.44]  jobs in the first place and how can we
[24:55.92]  how can we fix that problem before it
[24:57.32]  even like rather than just get a bunch
[24:59.12]  of chaff and try to try to filter it out
[25:01.20]  afterwards like why don't we make our
[25:02.72]  customer much better at finding exactly
[25:05.12]  the people they need to find in the
[25:06.60]  first place yeah that is that's one of
[25:09.12]  the existential goals of greenhouse
[25:10.48]  since the beginning right I think that's
[25:11.76]  a real opportunity for us and something
[25:13.20]  that we're making a ton of progress on
[25:15.16]  all right one last AI question I know
[25:16.32]  you get tired of AI but just for what
[25:18.12]  you see in the field are you seeing from
[25:20.48]  buyers that there is any HR any AI
[25:23.60]  budget is there any because cios are
[25:25.80]  doing some of this but I don't know if
[25:26.84]  it boils down to you where people want
[25:28.84]  to experiment they've got another 20 or
[25:30.60]  $30,000 for AI and it's almost uh risky
[25:34.08]  if you don't tap into it right because
[25:35.48]  it may go to another vendor right are
[25:36.88]  you seeing this budgeted or is it not
[25:38.24]  really budgeted in your in your space uh
[25:40.56]  I don't know that I've seen like a
[25:41.80]  specific AI budget
[25:44.88]  exactly I think there is a a
[25:48.04]  very um there's a strong mix of
[25:51.68]  excitement yeah and fear in our in our
[25:54.84]  world that may be different in other
[25:56.36]  markets I think it's common yeah
[25:58.08]  excitement and fear right and kind of
[25:59.76]  like the HR like there's like a lot of
[26:01.48]  rules about this stuff um and people are
[26:04.08]  scared about getting it wrong but to
[26:05.84]  your point they don't want to miss the
[26:06.76]  boat and they see the opportunity so
[26:08.12]  there's like a lot of cautious optimism
[26:09.96]  I think everybody wants to try things
[26:11.76]  but I heard actually I was again in
[26:14.20]  these conferences I've been at um I
[26:16.12]  heard someone telling the story that
[26:17.16]  like oh yeah I'm using that stuff but I
[26:19.44]  use it on my personal account so people
[26:21.80]  are literally like logging on home
[26:24.20]  laptop and doing things for work that
[26:26.68]  they that they're kind of not allow to
[26:27.84]  do at work and then you know doing the
[26:30.04]  experiments that way because people are
[26:31.44]  people are nervous but they're like but
[26:32.68]  they can't not do it yeah they can't not
[26:35.20]  do it um okay just a couple things
[26:37.52]  before we run out of time I wanted to
[26:39.32]  chat about higher level stuff one before
[26:42.12]  we got on we were we were talking about
[26:44.40]  how much you travel even now as a CEO
[26:46.40]  and at around 200 million revenue and
[26:48.72]  and leverage that you get on your team
[26:51.72]  right and maybe just a few learnings for
[26:53.88]  folks I think you're in year 10ish of
[26:56.20]  greenhouse right maybe 11 to depending
[26:57.80]  on how you count I don't know 10 right
[26:59.80]  uh I don't think you can survive without
[27:01.52]  this leverage right even though you're
[27:03.12]  still traveling I think you said you
[27:04.52]  traveled like 80 you know half the last
[27:07.64]  three months so talk about this what
[27:08.84]  you've learned from getting leverage out
[27:10.16]  of the rest of your team yes I'm gr I'm
[27:12.20]  a grudging Platinum uh flyer on Delta um
[27:15.04]  look I think uh one thing I'll say is
[27:16.68]  like yeah like to your point you never
[27:17.96]  get away from in some ways you end up
[27:19.80]  doing more you know travel and being in
[27:22.24]  person with customers and um and that's
[27:24.52]  just to me um you know
[27:29.16]  no one I say no one can do what I do in
[27:31.32]  the sense that like there's only going
[27:32.52]  to be ever like one founding CEO of
[27:34.72]  green apps so that gives you a certain
[27:37.24]  kind of power in any room that's a real
[27:40.08]  that you really want to take advantage
[27:41.48]  of and so I don't make our products I
[27:44.40]  don't even write the product road map I
[27:46.16]  don't sell a single copy of greenhouse
[27:49.40]  or manage any customer accounts or solve
[27:51.32]  any their technical problems so there's
[27:52.60]  almost everything our company does I
[27:54.20]  can't do one thing I can do no it's true
[27:57.36]  no I know it's funny but one thing I can
[28:00.08]  do is you can put me in a room and I can
[28:02.64]  do my thing and so that's great for
[28:04.44]  customers it's great on stage uh it's
[28:06.44]  great in in internal Communications and
[28:09.08]  so like I try to think about like what
[28:11.40]  are the rooms that I need to be in
[28:13.24]  because I have the skill or because of
[28:15.12]  my position I try to be in a lot of
[28:16.64]  those because it's one of the ways I can
[28:18.32]  I can add value um but uh but the other
[28:21.48]  piece of it to your point is like if you
[28:23.28]  can
[28:24.40]  find uh people on your team that can add
[28:28.44]  that can be additive to your to your
[28:30.28]  life and that can help you get out of
[28:31.64]  the weeds and do the thing that you do
[28:33.00]  uniquely like that to me is the big
[28:35.00]  unlock in hiring what I mean by that is
[28:37.44]  I've described it as I feel like with my
[28:39.68]  team I have an anti-gravity uh device
[28:42.84]  meaning I don't get weighed down into
[28:44.68]  their world I don't have to go fix their
[28:46.96]  stuff I'm happy to help them we
[28:49.00]  collaborate a lot they're they come to
[28:51.00]  me to like break logs or like make
[28:52.76]  decisions but if I'm trying to do their
[28:55.32]  job I can't do my own and and a lot of
[28:58.00]  times I've given that advice to folks in
[28:59.76]  my organization as well which is I see
[29:02.40]  someone doing the job of one of their
[29:04.48]  team members and they're thinking like
[29:06.52]  well if I don't do this job it won't get
[29:07.92]  done and I'm like that's a bad smell
[29:10.40]  because it's not your job and so the
[29:12.24]  person whose job it is needs to be able
[29:13.64]  to do it and if they can't you got to
[29:15.84]  upskill them train them support them or
[29:17.80]  find someone who can do it so that you
[29:19.28]  can do your job so that I can do my job
[29:20.96]  and the feeling I always have is like I
[29:22.76]  remember I had someone ask me on my team
[29:24.32]  once like well if you're not there to
[29:26.80]  oversee it you know aren't you aren't
[29:28.72]  you worried that it's not going to get
[29:30.68]  done well and I was I was like no
[29:32.92]  because when I'm not there to oversee it
[29:34.76]  you're there to oversee it and you're
[29:36.56]  awesome and she was like oh right I said
[29:39.12]  so when you're not in the room when your
[29:40.56]  team is doing the work you should have
[29:42.32]  the feeling that like you're happy
[29:43.92]  because they're awesome and they're
[29:44.88]  doing it well if you don't have that
[29:46.48]  feeling like you can fix
[29:48.72]  that it's good all right two last kind
[29:51.48]  of tactical questions I want to get
[29:53.72]  peering peering into to your data and
[29:55.60]  your Coo's head before I lose you um
[29:58.24]  layoffs and rehiring Salesforce just
[30:01.24]  announced they wanted to like rehire
[30:02.84]  2,000 of people they laid off I just
[30:05.32]  wrote up samsara which is an rocket ship
[30:07.84]  they just said they way under hired for
[30:09.40]  sales reps um but also we know a lot of
[30:12.12]  unicorns and others that are deeply
[30:13.68]  struggling right so what does your data
[30:15.32]  say um how are we doing in your two
[30:18.08]  segments right sort of Enterprise
[30:19.44]  mid-market or smaller and what is what
[30:21.48]  are you seeing in the trends for the
[30:23.00]  coming 12 months yeah I mean to our
[30:25.36]  business first like um we're obviously
[30:27.44]  seeing um I shouldn't say Obviously you
[30:29.12]  wouldn't have asked um we're seeing um a
[30:32.28]  lot of stress on on small business and
[30:34.84]  and you know kind of VC backed small
[30:36.24]  small companies yeah there was an ERA
[30:38.60]  there uh of you know kind of free money
[30:40.96]  that that propelled a huge amount of
[30:42.32]  startup growth and that's not happening
[30:44.16]  anymore and so us and every other vendor
[30:47.24]  are seeing turn in that segment up just
[30:49.84]  because customers are going out of
[30:50.88]  business downgrade or churn overall like
[30:53.16]  what's more impactful for business I
[30:54.64]  mean the customer going out of business
[30:56.00]  custom business not Rene right and there
[30:58.00]  there's no playbook for that you know
[30:59.32]  there's no saster blog you can read to
[31:00.96]  tell you how no but but the ones we see
[31:02.76]  on Tech crunch do not represent the
[31:04.84]  entire world right the United States has
[31:06.80]  3% unemployment so we're Tech is never
[31:09.68]  the completely the real world as
[31:11.12]  critical as it is right that's right
[31:12.72]  that's right and we and we do um a
[31:14.56]  probably over index on not not even just
[31:16.44]  tech companies but like knowledge
[31:17.40]  workers more generally so uh we like to
[31:19.72]  say you know we sell the companies that
[31:21.32]  think of themselves as people first
[31:22.64]  meaning every hire you know makes a big
[31:24.92]  impact on your organization and you're
[31:26.24]  usually competing for tent and so these
[31:28.80]  are jobs that are like management
[31:30.68]  Consultants finance companies
[31:32.68]  advertising marketing media companies
[31:34.56]  like those are similar they have similar
[31:36.68]  Talent characteristics to a tech company
[31:38.72]  and so in all of those uh you know types
[31:41.44]  of Industries and and jobs um the buyers
[31:44.44]  are are are hiring less and in some
[31:47.40]  cases these layoffs are hitting um and
[31:49.72]  and and some of them are going out of
[31:50.88]  business so so you're not seeing yet a
[31:53.16]  reduction in stress in that segment
[31:54.80]  you're not seeing a little bit of a
[31:56.04]  rebound elevated i' say it's stopped
[31:57.76]  getting worse but it hasn't got better
[32:00.24]  yet got it um versus in the Enterprises
[32:03.36]  in the larger organizations even in
[32:04.88]  those S similar types of businesses
[32:07.12]  you're just seeing a lot more um you
[32:09.12]  know because they can plan over the long
[32:10.36]  term and so I know you just named know a
[32:12.76]  couple large organizations but I'd say
[32:14.12]  just in general the trend is much more
[32:15.96]  positive and much more healthy because
[32:17.88]  they just roll along and they stay you
[32:19.96]  know not going to go out of business
[32:20.88]  because there's you know interest rates
[32:22.08]  went up a few points yeah some even got
[32:24.48]  too lean right some of the folks got
[32:26.72]  talking with Iran from Monday at Sanel
[32:28.68]  this year I mean Monday grew 60% and did
[32:31.56]  a hiring freeze for a year it just can't
[32:33.28]  you can't do that forever no because you
[32:35.80]  your needs went up do one year you can
[32:38.24]  do it one year right everyone got the
[32:39.60]  memo that Capital markets are just like
[32:41.32]  valuing I you know a rule of 40 or
[32:43.48]  whatever so they so so they cut you know
[32:45.40]  they they made those ratios better for a
[32:47.00]  bit but yeah if you're still growing if
[32:48.52]  you're if you're blessed enough to have
[32:49.64]  a business that's growing like that you
[32:51.32]  gota you gotta keep up with it well
[32:52.96]  maybe you're not seeing it yet that's
[32:54.12]  why I don't but here's what I'm seeing
[32:55.52]  is like I think the memo like people
[32:58.08]  read about the layoffs right for big
[33:00.08]  companies not for startups or or or but
[33:02.48]  the truth is the layoffs are really just
[33:04.36]  about quickly getting lean quickly
[33:06.56]  getting fit like if you're a Salesforce
[33:08.88]  or even a smaller one like Monday or
[33:10.84]  whatever or samsar these are great
[33:13.00]  companies they're growing it's just Wall
[33:15.24]  Street said you got to be profitable
[33:16.84]  right so not only people do layoffs but
[33:19.76]  but quietly they did they did mostly
[33:21.96]  hiring fees in many cases for you which
[33:23.68]  probably wasn't great for Greenhouse for
[33:24.96]  those customers right not terrible cuz
[33:27.08]  not going to churn but you're not going
[33:28.60]  to sell much more if there's a hiring
[33:30.12]  but I don't think those I think there's
[33:31.88]  got to be this quiet reflation in 2024
[33:34.72]  because these hire no one can freeze for
[33:36.80]  two years and grow right no one can
[33:39.16]  freeze your mouth to God's ears man but
[33:41.24]  but but I'm seeing it anecdotally but
[33:43.44]  but you have you have more data you're
[33:44.84]  not seeing across the we know we know
[33:47.16]  what's gonna happen it's obviously just
[33:48.24]  a question question of when it's allal I
[33:50.52]  think the one maybe maybe one indicative
[33:53.00]  data point that we that we have is we
[33:55.00]  look at the use of recruitment agents
[33:57.36]  agencies uh across our customer base as
[33:59.92]  kind of a bell weather of how tight the
[34:01.12]  talent Market is because I see you stop
[34:03.56]  using them when when times are tight
[34:05.76]  gotc you know when you've got enough
[34:07.16]  applicants then you don't you know
[34:08.52]  you're not going to go spend 40 Grand to
[34:10.28]  to hire you know to hire an agency to
[34:11.92]  bring in an engineer or something yeah
[34:13.52]  um and when times are tough everyone
[34:15.08]  does that and so that's much more swingy
[34:17.28]  of spend than on like a SAS tool like
[34:20.00]  ours but we see all that spend and I can
[34:22.80]  tell you it's way down right now okay I
[34:26.00]  I may be slightly too bullish uh by by
[34:28.28]  looking yeah um and so it's uh you know
[34:31.56]  we look at that as as a real bellweather
[34:33.36]  of of of how competitive and and spendy
[34:37.28]  companies are being on hiring because
[34:39.00]  their Greenhouse bill is kind of con you
[34:40.56]  know they know we know what that is a
[34:41.72]  year in advance yeah but when they hire
[34:43.92]  agencies a lot they know we know pinch
[34:47.20]  all right last different question before
[34:48.92]  I lose you very different just because
[34:51.08]  it's it's niche but okay people don't
[34:53.28]  talk about enough private being private
[34:55.20]  Equity acquired or owned right right um
[34:58.04]  very so 2021 when times were good
[35:00.92]  greenhouse had crazy times after
[35:03.08]  lockdown right it was really bad and
[35:05.32]  then really good and then really like
[35:06.60]  you had more yo-yos everyone had yo-yo
[35:08.64]  it was really bad for it was really bad
[35:09.92]  for about three weeks yeah and then it
[35:12.40]  went very good for about two years yeah
[35:14.92]  so then Texas Pacific group bought your
[35:17.68]  investors out for a close to a billion
[35:20.68]  dollars all in right and you're still
[35:23.32]  here what more than two years later yeah
[35:26.40]  absolutely okay so you you get a little
[35:29.12]  bit of liquidity that's part of the deal
[35:30.92]  in a way I've always thought for a
[35:32.68]  certain founder it's not perfect but the
[35:36.00]  Best of Both Worlds because you can get
[35:37.40]  a little more liquidity than you might
[35:38.76]  otherwise get but you get to play
[35:40.20]  another card right you give up a little
[35:42.44]  bit right but you also get to play
[35:44.24]  another card what what but but also you
[35:47.08]  have this big shareholder right with
[35:48.84]  different goals and a and a and a slow
[35:51.80]  clock ticking that maybe is different
[35:54.44]  than an angel investor who's like Daniel
[35:56.84]  I love you whatever happens happens it's
[36:00.16]  a so what have you learned in this PE
[36:02.84]  world it's a great question I would say
[36:05.28]  a couple of things one maybe more advice
[36:07.60]  as a as a Founder which is yeah you know
[36:09.48]  you kind of mentioned like yeah when we
[36:10.96]  took when we took on um this investment
[36:14.20]  a bunch of early
[36:15.32]  shareholders sold um including people
[36:18.76]  like me and others who had been in early
[36:20.60]  not all of everything we had but just a
[36:22.60]  little bit and my advice to Founders has
[36:25.96]  always been is not necessarily about me
[36:27.80]  or anything new but it's always been
[36:29.68]  like as a startup founder your
[36:31.72]  opportunities for liquidity are very few
[36:33.56]  and far between fewer than we think in
[36:35.68]  the good times we get this wrong in the
[36:37.08]  good times right yeah when things are
[36:38.40]  going well you're just like oh yeah this
[36:39.56]  thing is gonna go up forever um but uh
[36:42.80]  but but it
[36:44.40]  might but even so like aren't a lot of
[36:47.24]  buyers all the time and it's hard to
[36:48.96]  it's hard to make those things happen so
[36:50.00]  when they come along like take advantage
[36:51.68]  of it because it's very very lumpy and
[36:53.36]  you know you never know when when or if
[36:54.76]  your next one will come so I know people
[36:57.08]  sometimes wrestle with that and they
[36:58.16]  worry I'm leaving money on the table
[36:59.88]  what if it triples in the next few years
[37:01.44]  like my my dreams are going to say
[37:02.64]  they're going to like don't regret
[37:04.92]  selling a little bit along the way uh
[37:08.60]  because you may not get another bite of
[37:10.32]  the Apple even if it feels like you're
[37:11.80]  you know you have all the choice in the
[37:12.72]  world so that's like one learning that
[37:14.44]  I've had over my 27e career doing this
[37:16.48]  three times in a row um and talking to
[37:18.56]  lots of other Founders who both made
[37:20.00]  that mistake and not um secondly is yeah
[37:24.20]  having private Equity um ownership is
[37:27.04]  different than Venture Capital they
[37:28.40]  different goals and um that's fine but
[37:31.64]  you got to understand it and I think
[37:33.28]  it's easy to not think about or to sort
[37:35.60]  of put it aside um but you know I'm I'm
[37:38.80]  accountable to three very different
[37:40.44]  stakeholders I'm accountable to my
[37:42.44]  customers and my employees and my
[37:44.52]  investors and so when that investor base
[37:46.36]  changes that's going to have a lot of
[37:48.12]  impacts on on what your strategy is and
[37:49.96]  you know for a average private Equity
[37:52.12]  investor you know they want to get a you
[37:53.96]  know triple not a grand slam and so
[37:57.12]  knowing like how do I deliver that in
[37:58.84]  the time frame that matters to them is
[38:01.16]  is is um it's just a different feel uh
[38:04.76]  than than having a VC who um you know if
[38:07.60]  their other investment is we work you
[38:09.84]  know hey like you're fine you nothing
[38:12.36]  there is that you're fine nothing you're
[38:14.00]  gonna do is gonna matter um you know for
[38:16.64]  for a PE like they want to manufacture
[38:18.56]  consistent wins like time and time again
[38:20.72]  did you did they because usually folks
[38:22.68]  like these big guys have a bench of
[38:24.68]  cosos they can bring in did you have
[38:26.72]  option to stay or transition out if you
[38:29.28]  wanted to did the conversation ever even
[38:30.92]  come up because you know with like with
[38:32.84]  other folks from the old days Kyle from
[38:34.24]  sales off transition out of a while Andy
[38:36.72]  from logical just got acquired for
[38:38.88]  almost 300 million raising very little
[38:41.12]  he they they brought in someone the day
[38:42.64]  the deal closed right so any learnings
[38:44.80]  from that process if it ever came up it
[38:46.92]  never came up with me in the room I can
[38:48.20]  tell you I see they wanted they wanted
[38:49.60]  you for because Greenhouse was big
[38:51.68]  enough you could it wouldn't do as well
[38:53.48]  but you could bring in a guy yeah I
[38:56.00]  don't recurring Revenue right or or or a
[38:58.72]  woman yeah I didn't I did I I try to use
[39:00.88]  that as a non-gender specific term but I
[39:02.88]  know what you meant I know what you look
[39:04.16]  I look I don't imagine I'm the only
[39:05.64]  person out of seven billion earthlings
[39:07.04]  that could run this company for sure at
[39:08.60]  the same time at this scale at this
[39:09.92]  scale right there's lots of people that
[39:11.40]  are qualified to run a company like this
[39:12.56]  at the same time like I said number one
[39:14.16]  I think there is something unique about
[39:15.44]  a Founder that that that is running a
[39:17.64]  business and and and and so I think that
[39:19.28]  does have power and number two like I
[39:21.24]  wanted to do it I was excited about it I
[39:22.60]  wasn't going anywhere and so we didn't
[39:24.80]  do this deal because we thought we
[39:26.88]  needed a change in management or because
[39:28.20]  I was ready to retire we did this deal
[39:29.56]  because it was a great way to finance
[39:30.60]  the business tbg is a great partner um
[39:33.40]  the growth fund which is investing in
[39:35.20]  growth businesses they're not a buyout
[39:36.56]  fund and the rise fund which invests in
[39:38.60]  in in positive social impact um was the
[39:41.40]  perfect partnership for us so like that
[39:43.04]  all made a ton of sense but um but no
[39:45.28]  John and I certainly didn't have any
[39:46.56]  intention to go anywhere and luckily uh
[39:48.72]  they agreed with that it's just every
[39:50.56]  and that's the that's a good that's an
[39:52.04]  maybe we'll break there is just it when
[39:53.52]  PE firms approach and everyone's
[39:55.28]  different and the funds are different
[39:56.16]  that described right but sometimes the
[39:58.28]  pitch to to Founders that achieve nine
[40:00.64]  figures or maybe even 50 million up in
[40:02.68]  revenue is look Daniel you're great but
[40:05.36]  you've been doing this eight years
[40:06.40]  you've been doing this nine years and if
[40:08.72]  you want Linda Linda at our at our fund
[40:12.68]  who was at whatever before she was at
[40:14.92]  workday and you're gonna love her and if
[40:16.80]  you want you just let us and the beauty
[40:19.36]  is there aren't that many exits as a
[40:21.68]  Founder that are like that clear like
[40:24.88]  it's tough to leave the day after night
[40:26.64]  o or the week before or the week before
[40:29.76]  you raise a round but PE is one of the
[40:32.56]  only times and if you get acquired by a
[40:34.76]  big tech company like they're gonna
[40:37.00]  force you to stay a couple years maybe
[40:38.80]  you you screw around but P can actually
[40:40.88]  come in and say Here's a few nickels on
[40:42.88]  the driveway just and like you literally
[40:46.08]  can go chill not be on a beach but uh
[40:48.88]  I've always thought that would be an
[40:50.08]  interesting moment to observe this
[40:51.96]  discussion right but it didn't happen
[40:53.64]  that way in this case right yeah that
[40:55.16]  wasn't that wasn't what we were trying
[40:56.16]  to put together and like I think you
[40:57.48]  said the key the key phrase which is not
[40:59.56]  all p is the same and so there's buyout
[41:01.32]  funds and there's growth funds and
[41:03.16]  there's different things doing different
[41:04.40]  different you know people doing rollups
[41:05.56]  and so there's all kinds of strategies
[41:06.80]  there for us it was a growth partner and
[41:09.16]  there was a social impact component to
[41:10.48]  it and so that that was like what we
[41:11.84]  needed and wanted pretty cool all right
[41:14.20]  Daniel this was great did we miss
[41:15.32]  anything we we want to touch on on
[41:16.80]  Greenhouse or any any thoughts you've
[41:18.16]  had in general did we miss anything I
[41:19.76]  talk about greenhous for for months but
[41:21.28]  no I think this was a great a great tour
[41:22.80]  through kind of like what's happening
[41:23.80]  these days around the company and I'm
[41:25.04]  hopefully helpful to people cool and
[41:26.92]  last one what's the next very last
[41:28.72]  question what's the next cool release
[41:31.08]  feature thing coming out for greenhous
[41:32.80]  what's the coolest thing we can we can
[41:34.36]  expect in the next uh three six nine 12
[41:37.00]  months is there something great coming
[41:38.24]  down the pipe yeah if you're not in our
[41:40.00]  industry this may not mean a whole lot
[41:41.20]  to you but for people that are people
[41:43.08]  that are Town acquisition nerds goals so
[41:46.32]  the idea that you can set company goals
[41:47.84]  or individual goals on hiring in
[41:49.96]  greenhous well hold on that's
[41:51.04]  interesting right I mean okr's goals
[41:53.36]  kpis is is one of the oldest categories
[41:55.52]  there is isn't it are you hitting your
[41:56.76]  goals like so like that's a really neat
[41:58.68]  new thing in Greenhouse that people are
[42:00.28]  um are doing uh in a lot of neat ways
[42:03.00]  and uh it helps with accountability uh
[42:05.04]  it helps with showing value to your
[42:06.92]  stakeholders and so little subtle and
[42:09.04]  goals based just around hiring and
[42:11.04]  people management or even broader than
[42:12.68]  that are you getting into the overall
[42:14.40]  ceg we're hiring platform so there but
[42:16.20]  but but there's a lot of stuff we do so
[42:17.64]  is it are you what kind of goal you know
[42:19.28]  we can talk about setting goals for
[42:20.96]  things like um getting scorecards
[42:22.84]  completed on time which is a huge
[42:24.52]  differentiator in the market we can talk
[42:26.28]  goals for like how many candidates do
[42:27.40]  you want in your pipeline by what day so
[42:29.12]  there's all kinds of different goals
[42:30.04]  setting you can do in greenhouse and the
[42:31.56]  nice part is the more people set goals
[42:33.24]  in Greenhouse the more we can automate
[42:35.16]  the process of saying like you're not on
[42:36.76]  track to hit your goal here's something
[42:38.60]  you can do about it and like and is it a
[42:41.52]  different module or is it part of the
[42:43.04]  core product or how you thinking about
[42:44.88]  it it's baked right in the more we see
[42:48.32]  people uh needing to hit those goals the
[42:50.24]  more things we can help them do to try
[42:51.92]  to do that cool all right Greenhouse
[42:53.92]  goals I'm very excited is that what it's
[42:55.24]  called or does it have a Pier name than
[42:57.00]  that GRE product marketing manager Jason
[42:59.88]  Lin you know I'm very into the
[43:02.00]  descriptive names uh all right Daniel
[43:04.60]  this was so great thanks for making all
[43:06.16]  of the time while you're in in a mega
[43:08.36]  mega month or two of travel it's great
[43:09.96]  and congratulations on the first decade
[43:12.32]  the first couple hundred million in in
[43:14.04]  ARR
