Title     : Klaviyo's $9.5B Revolution in eCommerce Marketing:  A Deep Dive with CEO Andrew Bialecki
Video ID  : zwzV0muXB64
[20:46.88]  pricing points in the industry yeah it's
[20:49.84]  a good question so it was actually
[20:50.88]  something we spent a bunch of time
[20:51.76]  thinking about when we started
[20:53.52]  um so at the time you know messaging
[20:57.12]  email
[20:57.84]  was very commoditized i mean the feeling
[21:00.24]  the kind of the feeling was
[21:01.52]  well email's free doesn't cost any sense
[21:03.92]  so
[21:04.56]  you know there's maybe some
[21:06.24]  infrastructure you need to do it but
[21:07.76]  it just whatever i mean it should become
[21:09.76]  pennies and then you know fractions of
[21:11.12]  pennies
[21:12.56]  um what we felt was different was we
[21:16.08]  actually invested a lot in not just
[21:18.72]  adding in like personalization but also
[21:20.32]  in doing the attribution side of helping
[21:21.76]  you figure out what worked
[21:23.20]  so it was i think about it was almost
[21:24.72]  like the a cost based model which is
[21:26.64]  what like email had become
[21:28.32]  and we want to flip it to a value-based
[21:29.92]  model so if we
[21:31.36]  we felt like if we could say hey the
[21:33.84]  value of the
[21:34.96]  you know the message you just sent was i
[21:37.44]  don't know it was a dollar
[21:38.72]  right uh because i don't know on average
[21:40.80]  you know you send it to
[21:41.76]  100 people and like 20 of them respond
[21:44.40]  to it and on average they spent
[21:45.68]  you know x dollars like if you could do
[21:47.52]  the math and do the attribution
[21:48.72]  correctly
[21:49.76]  um we felt like that could you could
[21:51.84]  change the whole calculus because the
[21:53.04]  other day what people were really after
[21:54.32]  was growth and that was actually
[21:55.84]  the that was the big distinguisher
[21:59.52]  differentiator
[22:00.48]  was we felt like a lot of what marketing
[22:03.44]  tech had become was it was basically
[22:04.72]  just to do stuff but if you ever want to
[22:06.16]  figure out like
[22:06.64]  what's the roi nobody wanted to make
[22:08.72]  that easy so
[22:09.92]  probably i think it was your number two
[22:11.52]  for us we invested a bunch in
[22:13.76]  how do we make sure we can handle
[22:15.12]  attribution internally so you didn't
[22:16.88]  have to use google analytics or
[22:18.00]  something or you know pay for some other
[22:19.12]  software to do it
[22:20.32]  and that's actually been really true for
[22:21.52]  today so if you talk to a lot of our
[22:22.80]  customers i mean
[22:23.84]  you know for years i get questions like
[22:25.52]  what's a good open rate
[22:26.88]  uh now those questions are gone
[22:28.64]  everybody asks it's like hey what's a
[22:30.08]  good return
[22:31.12]  um you know what's a good you know we
[22:32.72]  talk a lot about like revenue per email
[22:34.48]  sent or per campaign
[22:35.68]  yeah just keep obsessed with it we
[22:37.12]  actually in our product we just
[22:38.96]  deleted or kind of hid and de-emphasized
[22:41.84]  all of the classic
[22:42.96]  kind of email metrics things like open
[22:45.92]  rates click rates all that stuff we just
[22:48.00]  said hey you can you can find it but
[22:49.28]  it's a couple pages deep
[22:50.88]  instead we just said hey here's the
[22:52.56]  dollars that came out of this
[22:54.08]  and i think people loved that because
[22:55.92]  finally they felt like they had
[22:57.04]  something to say okay
[22:58.00]  the reason i spent so many hours right
[23:00.64]  building up this campaign
[23:01.84]  or building out this automation is
[23:03.76]  because i can see that i can see the
[23:05.12]  results we also think it
[23:06.24]  helped kind of gamify things it made it
[23:08.00]  a little more fun when you had something
[23:09.28]  that it's like hey every month i'm gonna
[23:10.40]  try to drive this number up
[23:11.76]  and then we found like the cool part was
[23:13.12]  a few years in we talked to customers
[23:15.12]  and they'd say
[23:15.92]  yeah we've now taken those metrics that
[23:18.08]  you show us
[23:19.28]  those are now like the kpis for our
[23:20.96]  business like that's how we drive
[23:22.64]  that's how we our whole team operates
[23:24.88]  you know if last month
[23:26.08]  you know 20 percent of our revenue came
[23:27.68]  from clavio the goal for the next three
[23:29.76]  months is let's get to 25.
[23:31.28]  so you're the dashboard you're the
[23:32.56]  dashboard for the roi of the company
[23:34.64]  right that's right that's right that's
[23:35.52]  right yeah so how so
[23:37.92]  make so sorry go ahead well maybe one uh
[23:40.80]  the point
[23:41.28]  that led to a big theme that we figured
[23:42.96]  out a few years in since 2013
[23:44.48]  2014 that we realized a lot of companies
[23:47.36]  looked at their customers as very
[23:48.48]  transactional it was i you know i drive
[23:50.72]  traffic i run ads i get somebody show up
[23:52.72]  they buy and that's the end of it
[23:54.48]  they didn't realize you know the value
[23:56.40]  of either pre-purchase or post-purchase
[23:58.72]  that relationship
[23:59.84]  and so all of a sudden we said it's like
[24:01.76]  hey you actually you can drive this
[24:03.60]  yourself
[24:04.16]  and by the way you know clayvio's a lot
[24:06.48]  more cost-effective much better roi than
[24:08.56]  any advertising you're ever going to do
[24:10.40]  and so that's where i mean we started
[24:12.16]  getting around this idea of hey
[24:13.52]  instead of like paid advertising or paid
[24:15.20]  marketing what if we got into like owned
[24:16.88]  marketing you know kind of at the idea
[24:18.00]  of like own media
[24:19.36]  and so he said okay what percentage of
[24:21.76]  your revenue is being driven from owned
[24:24.16]  channels right so that's where we think
[24:25.12]  about things that are direct
[24:26.08]  email you know your website text
[24:28.32]  messaging all these kinds of bits
[24:29.92]  and now our obsession is like how do we
[24:31.92]  drive that percentage up and up and up
[24:33.44]  to try to give more of those businesses
[24:35.28]  more control more ball control where
[24:37.04]  in the past they felt like if i don't
[24:38.72]  have somebody else kind of driving
[24:39.76]  traffic to me if that ever shuts off
[24:41.28]  you know i'm kind of dead to rights now
[24:42.88]  they feel like they're building a
[24:44.08]  community
[24:44.64]  you know a brand an ecosystem onto
[24:46.16]  themselves and does that push you a
[24:48.16]  little bit more at market so you can
[24:49.76]  have
[24:50.24]  those more mature conversations or can
[24:52.00]  you stay close to your smb roots and do
[24:54.08]  that
[24:54.88]  so it's interesting like you people used
[24:56.48]  to feel like that was only a thing that
[24:58.00]  big enterprise customers care about
[24:59.28]  because they had scale
[25:00.40]  but we very strongly believe and the
[25:03.20]  good news i think all of our partners do
[25:04.48]  too
[25:05.12]  it's really something you should be
[25:05.92]  doing from day one i mean once you have
[25:07.52]  one customer that's somebody that can
[25:09.20]  start
[25:09.52]  talking about you and your products yes
[25:12.00]  and so i think i think
[25:13.04]  the thing we've realized a lot of
[25:14.08]  businesses is they said we want to get
[25:15.92]  started early on
[25:17.36]  it just nobody's given us a playbook
[25:18.96]  it's so hard to do like
[25:20.56]  i mean running an ad campaign on google
[25:22.72]  or facebook or selling on amazon is so
[25:24.24]  straightforward
[25:25.44]  if we can't match the user experience of
[25:27.36]  that nobody's gonna i mean just you know
[25:29.28]  entrepreneurs when they're starting out
[25:30.40]  they don't have the time so we felt like
[25:32.32]  if we could match that more people could
[25:34.08]  start from day one
[25:35.12]  and actually they would make it easier
[25:36.48]  for them to yeah there's no reason why
[25:38.08]  they can't be driving a lot of their
[25:39.52]  sales
[25:40.56]  um you know from either repeat customers
[25:43.36]  or helping convert more customers
[25:45.04]  from day one which just makes the whole
[25:46.08]  business more likely to succeed yep and
[25:48.16]  does
[25:48.64]  um and just because it's a fun topic as
[25:51.76]  you
[25:52.24]  you know pricing based ultimately around
[25:54.32]  the lift you give
[25:55.28]  right is the magic in e-commerce
[25:56.80]  marketing right it's the magic right you
[25:58.16]  either get you can either send a
[25:59.20]  trillion emails
[26:00.32]  but what you really want is a lift right
[26:01.84]  and even modest changes can have
[26:03.68]  dramatic if anyone sold anything effects
[26:05.76]  are dramatic right
[26:06.80]  but if your pricing that way did it does
[26:09.20]  it did it slow
[26:10.08]  down sales because you had to talk
[26:11.76]  through it more rather than a hyper
[26:13.92]  transactional model and how did you with
[26:15.92]  smbs how did you how did you weigh that
[26:17.76]  trade off of having to educate folks
[26:19.36]  more in the buying process
[26:20.40]  yeah it's a good question so i so this
[26:21.76]  is one where we just use the heuristics
[26:23.20]  so
[26:23.52]  i finished your answering question about
[26:24.72]  pricing so we want to switch from this
[26:26.48]  like
[26:26.80]  cost-based to value-based model yeah so
[26:28.72]  what we decided was
[26:30.32]  uh you know we wanted to be viewed as
[26:33.20]  you know
[26:33.68]  a more advanced really more of a premium
[26:37.68]  product
[26:38.08]  it wasn't necessarily that we were more
[26:39.44]  advanced we had more bells and whistles
[26:41.12]  we just wanted to feel like we would get
[26:42.48]  you the you know the return that you
[26:44.00]  were looking for we were
[26:45.04]  serious companies that really want to
[26:46.08]  grow so we actually just came up with
[26:47.84]  this heuristic that was
[26:49.12]  hey we're going to take kind of we
[26:51.20]  looked at this you know we kind of
[26:52.48]  looked at the
[26:53.12]  pricing models of everybody else was out
[26:54.48]  there and said hey we're just going to
[26:56.16]  charge
[26:56.64]  you know 50 more 100 more and we just
[26:59.28]  made that our model
[27:00.24]  and we felt like that kind of put us in
[27:01.68]  this like premium spot it's worth it
[27:03.92]  you're providing more value right so
[27:05.36]  you're angry and high you're increasing
[27:06.64]  what i found is it was hard to get
[27:08.16]  people
[27:08.80]  to wrap up everybody loved the
[27:10.64]  attribution but
[27:12.08]  you know it's it's always hard to you
[27:13.68]  know to be convinced it's like well is
[27:15.04]  this
[27:15.28]  is that exactly the right way to you
[27:16.56]  know um you know do people want to pay
[27:19.28]  based on you know what they see and what
[27:20.96]  if the math changes and all this kind of
[27:22.24]  stuff so
[27:23.04]  we decided it's like we still would do
[27:24.56]  it our pricing model is still today
[27:26.24]  is based on effectively the number of
[27:28.32]  customers you have
[27:29.68]  um and how frequently uh and potentially
[27:32.16]  how frequently you message them um
[27:34.48]  but what we wanted to measure internally
[27:36.32]  is we looked for every single
[27:38.40]  uh you know business we worked with what
[27:40.08]  was their roi and we had kind of targets
[27:41.92]  of hey we wanted to be at least
[27:43.68]  you know at least 10x at least 20x and
[27:46.48]  so we target that and so
[27:47.84]  in a way that's like right so rather
[27:49.12]  than have like kind of a pure take rate
[27:50.80]  or something like that you pay some
[27:51.76]  percentage like
[27:52.80]  payment processing is really easy one
[27:54.08]  right where you can just do that it's
[27:55.20]  clear value out it makes a lot of sense
[27:56.88]  in our case because we were one step
[27:58.08]  removed like you know what we'll measure
[27:59.92]  that and we'll make sure that we kind of
[28:01.20]  tune it so it's in the right ballpark
[28:02.72]  it's never too
[28:03.36]  expensive but we feel like that gave us
[28:05.44]  a lot like we we felt comfortable
[28:07.28]  knowing when we talked to customers
[28:08.88]  hey we can afford to charge a little bit
[28:11.12]  more because we can draw a
[28:13.44]  you know pretty straight line between
[28:15.52]  the activities they're doing inside of
[28:16.56]  clavio
[28:17.52]  and then actual growth yeah and are you
[28:20.00]  usually at this point
[28:21.28]  i mean we're all veterans have they used
[28:23.76]  other products before
[28:25.44]  and then they're seeing that clavio can
[28:27.36]  give them more is that the typical flow
[28:29.04]  and today today's work
[28:30.56]  i think that's yeah i mean probably the
[28:32.24]  bulk of our customers fit in that bucket
[28:34.08]  uh yeah
[28:34.72]  they're i mean they're aware of their
[28:35.84]  obviously weird email they've used it
[28:37.20]  for their business in some way but they
[28:39.20]  they looked at you know gosh doing
[28:40.96]  automated email just felt so
[28:41.92]  unapproachable like there's so much data
[28:43.28]  work to be done
[28:44.16]  and then well i mean how do you do the
[28:45.44]  logic and can you do content i mean how
[28:47.20]  does all that stuff work and we just
[28:48.08]  made that easy
[28:49.36]  there are def i mean as we've grown an
[28:51.84]  increasing number of businesses have
[28:52.96]  come to us kind of from day one
[28:55.12]  and that is it's a really interesting
[28:56.96]  group because in that case i mean
[28:58.16]  everybody actually knows what email is
[28:59.84]  um but they're not used to you know like
[29:02.32]  how do i get going
[29:03.20]  from the start right so in that case
[29:05.20]  it's it's been it's been more fun
[29:06.56]  because we've said we've set ourselves a
[29:07.84]  goal okay
[29:08.56]  in an hour how do we make it possible
[29:10.56]  for somebody that's starting from zero
[29:12.24]  knowledge
[29:13.04]  to be not just you know know enough but
[29:15.04]  have set everything up where we can get
[29:16.24]  them their
[29:16.80]  first customer off an email or text
[29:18.64]  message uh based on
[29:20.72]  whatever just content design they can do
[29:22.40]  in one hour yeah and
[29:24.00]  that's been really cool because when
[29:25.04]  people see that kind of like that eureka
[29:26.48]  moment of like oh my gosh i can't
[29:27.76]  believe i just made a sale
[29:29.36]  uh really good things happen one they
[29:31.20]  start talking about us like crazy but
[29:32.64]  also two you know they're hooked right
[29:34.00]  they're gonna be looking for that second
[29:34.96]  that tenth that hundredth and now they
[29:36.40]  think is okay this is part of how i'm
[29:37.44]  gonna grow
[29:38.64]  yeah there's like a related question i
[29:39.76]  was thinking about just we're all we're
[29:41.36]  coming out of covid right so now there's
[29:42.96]  this new world we've got this postcoded
[29:44.96]  world
[29:46.00]  like e-commerce obviously we don't have
[29:47.52]  to talk about it exploded during kovid
[29:49.12]  right
[29:49.60]  but why was clavio a huge beneficiary
[29:52.80]  and the reason i asked the question
[29:54.08]  is i'm assuming a lot of your customers
[29:56.08]  look everyone knows that come march
[29:58.40]  of everyone went online like every store
[30:00.32]  had to go online
[30:01.60]  but some customers already were online
[30:03.36]  it's not the same and i assume a lot of
[30:05.28]  your customers were second generation
[30:07.04]  users they'd already used marketing
[30:08.48]  products so
[30:09.60]  why did klavio get a huge benefit right
[30:12.08]  um
[30:12.64]  because um weren't folks already using
[30:15.20]  other products beforehand
[30:17.52]  yeah so i mean they're kind of two
[30:19.44]  classes of folks there were you know
[30:21.20]  more digital natives yes um and
[30:23.52]  certainly that probably indexes towards
[30:25.12]  correlates with younger like you know
[30:26.80]  you know businesses and brands have
[30:27.92]  started more recently um
[30:30.00]  and then secondly so we saw a big um you
[30:32.64]  know uptick in last year is businesses
[30:34.00]  that were maybe
[30:35.28]  originally brick and mortar businesses
[30:37.04]  that we had always been thinking about
[30:38.40]  moving online but just didn't have a
[30:39.84]  reason to pull the trigger or it was on
[30:41.36]  their list but all of a sudden
[30:42.72]  right um the uh like
[30:45.92]  so we look at we kind of think there are
[30:47.60]  two big trends that happened
[30:49.04]  last year the first is like where does
[30:50.48]  the transaction take place and obviously
[30:51.92]  that shifted from being in a physical
[30:53.52]  store
[30:54.00]  to online and there's all the things
[30:55.76]  that okay logistics shipping all like
[30:57.60]  all things that make that
[30:58.48]  complicated and do they need clavio the
[31:00.08]  next day is it a first
[31:01.52]  purchase like there's like a couple apps
[31:03.04]  you've got to buy to go online is is
[31:04.96]  kavio one of those and there's others
[31:06.32]  you phase in later right
[31:07.76]  yeah right so i mean we we definitely
[31:09.36]  feel that like yeah if you're gonna you
[31:10.48]  need to you need to know your customers
[31:12.00]  and start building relations with them
[31:12.96]  from day one i mean you can wait till
[31:14.40]  later but you're wasting time
[31:15.92]  so that that was trend number one the
[31:17.60]  the other trend that clayvia really
[31:19.12]  plays into is not so much for the
[31:20.48]  transaction because we actually
[31:21.60]  click is not we don't we don't take the
[31:23.36]  actual order or process the payment so
[31:24.80]  we don't actually care what happens
[31:26.56]  what was interesting to us is we felt
[31:28.40]  like what online adoption
[31:30.40]  was accelerating was the uh kind of the
[31:32.88]  identification or the de-anonymization
[31:34.64]  of who the consumer is
[31:36.08]  so the analogy we made is like if you
[31:37.68]  walk into you know say a big box
[31:39.20]  retailer i mean whether it's your first
[31:40.56]  time in there or your 100th time
[31:42.16]  nobody has any idea it's an entirely
[31:44.08]  anonymous transactional
[31:46.00]  kind of experience which may be what you
[31:47.68]  want but it does mean that it's like
[31:48.96]  there's no
[31:49.60]  opportunities to contextualize or know
[31:51.52]  who you are or do any kind of
[31:52.64]  personalization which can be
[31:53.76]  sometimes frustrating the cool part
[31:55.92]  about online was
[31:56.96]  is now you know because we have this
[31:58.64]  kind of whether it's an email address or
[31:59.92]  a phone number or some basic information
[32:02.48]  now all of a sudden like if you want
[32:04.32]  there's the opportunity for that
[32:05.52]  business
[32:06.24]  to actually contextualize your like you
[32:08.32]  know when you visit your website
[32:09.52]  any messaging you get um and so we felt
[32:12.08]  like the
[32:12.72]  kind of online a single online
[32:15.12]  transaction kind of catalyzes that whole
[32:17.20]  relationship
[32:18.24]  because now you know each other and
[32:20.48]  obviously it's on the business to make
[32:21.92]  that useful if it's if it's just spam
[32:23.76]  it's not interesting like well that's
[32:24.88]  fine like everybody's just going to
[32:25.92]  unsubscribe or block it
[32:27.12]  yeah but it gave you an opportunity to
[32:28.88]  do that and so now we think about like
[32:30.80]  post covid i mean the big thing was now
[32:33.44]  we have all these businesses that
[32:34.80]  whether they're where they're entirely
[32:36.32]  digitally natives or they're some sort
[32:37.36]  of hybrid
[32:38.40]  uh they now have the opportunity to go
[32:41.04]  actually know more about their customers
[32:42.80]  and they're finding ways to stitch that
[32:44.32]  together
[32:44.80]  into the physical right experience as
[32:47.52]  well as the digital experience so
[32:48.56]  actually
[32:49.12]  we have people sending emails where sure
[32:51.12]  a lot of it is happening where the
[32:52.24]  transactions happening online
[32:53.60]  it's also a lot where the call to action
[32:54.96]  is like hey come business and store and
[32:56.16]  by the way because we know who you are
[32:57.60]  or you've told us something about
[32:58.48]  yourself we can kind of point you to the
[33:00.00]  right place
[33:00.88]  yeah and so especially for you know
[33:02.56]  large or more true brands i think that's
[33:03.92]  really interesting so this whole
[33:05.68]  de-anonymizing who the consumer is
[33:07.92]  making it so that consumers if they want
[33:09.84]  to be known
[33:10.88]  by that business they can start to build
[33:12.32]  that direct relationship we think
[33:13.92]  that's a really big trend and that
[33:15.68]  definitely really took off last year
[33:17.68]  yeah that's interesting um let's just
[33:20.40]  for for other founders an interesting
[33:22.00]  let's talk about platforms let's first
[33:23.28]  talk about the platforms you build on
[33:24.64]  and then let's talk about you as a
[33:25.84]  platform because it's a fun topic
[33:27.44]  the first one you talked about how you
[33:28.64]  exploded with shopify right i feel like
[33:30.32]  there's a paradox for founders today
[33:32.40]  right
[33:33.12]  which is you want diversification you
[33:34.96]  want to be in an ideal world you'd be on
[33:36.64]  shopify you'd be on woocommerce you'd be
[33:38.16]  on magento you'd be on big commerce
[33:39.92]  you'd be on whatever just launched out
[33:41.52]  of yc or on techcrunch right
[33:43.60]  but shopify's market share has grown
[33:46.08]  right and so i see more and more folks
[33:48.00]  who
[33:48.48]  no matter what they say it makes sense
[33:50.32]  to just bet on shopify right and so what
[33:52.96]  have you learned you've diversified
[33:54.40]  right you're on all the platforms
[33:56.08]  but what what's what are the learnings
[33:57.60]  behind the learnings on on where these
[33:59.36]  different platforms are going
[34:01.20]  yeah so maybe a couple things the first
[34:03.20]  is i think you definitely want to build
[34:05.44]  i think it's it's a good idea to build
[34:07.36]  you know your underlying tech
[34:08.88]  so that it's kind of agnostic right so
[34:10.96]  there's a level of indirection in
[34:12.24]  between
[34:12.80]  what you solve for and the other folks
[34:14.40]  that today and tomorrow can solve that
[34:16.40]  uh you know they can integrate with you
[34:17.92]  or help solve the problem so in our case
[34:19.28]  the issue was we built this database it
[34:21.04]  was great at storing customer data and
[34:22.56]  helping you use it
[34:23.36]  but we had to find some way to get it in
[34:25.36]  and so what that meant was we had to
[34:26.96]  build basically a separate layer
[34:29.12]  um that made it easy to connect to all
[34:31.60]  the different our bet was you know
[34:32.80]  whether it was sas or open source
[34:34.56]  people were going to choose sort of
[34:35.84]  rather than build themselves they're
[34:36.88]  going to start to choose
[34:37.84]  from a handful of platforms yes um so i
[34:39.92]  would definitely recommend doing that
[34:41.20]  like
[34:41.60]  it's kind of worth the extra investment
[34:43.36]  um now the
[34:44.88]  counterpoint to that is i mean certainly
[34:46.40]  like you talked about like power laws
[34:47.76]  like
[34:48.00]  there are going to be businesses that
[34:50.08]  just uh you know
[34:51.28]  win because they they build the best
[34:53.36]  products they build the best technology
[34:55.28]  and certainly shopify has been one of
[34:56.64]  those
[34:57.20]  and so we knew that was going to be the
[34:58.48]  case and that was honestly was part of
[35:00.56]  the calculus was
[35:01.60]  hey you know there's you know even if
[35:03.44]  there's there's not gonna be there may
[35:04.40]  be
[35:04.72]  you know a hundred different let's say
[35:06.88]  e-commerce platforms
[35:10.00]  but the reality is there's probably
[35:11.44]  gonna be five or ten that most will
[35:12.88]  standardize on and the top one or two
[35:14.24]  are probably a huge markets here just
[35:15.52]  because people don't want to have to
[35:16.24]  make endless numbers of decisions
[35:17.68]  um so we like what we tried to do was we
[35:20.48]  went to
[35:21.04]  every single um you know partner of ours
[35:23.20]  and so we could start with the ecommerce
[35:24.40]  ones
[35:25.04]  and basically looked at like who was
[35:26.96]  forward thinking you know
[35:28.56]  wanted to invest in building
[35:30.40]  relationships with other
[35:32.24]  you know soon-to-be hopefully like us
[35:34.16]  platforms out there
[35:35.60]  and the cool part was like i said like i
[35:36.88]  mean shopify and a few others they made
[35:38.80]  it
[35:39.12]  so easy to get started so we could just
[35:42.32]  tell that a lot of the ethos was similar
[35:44.24]  so i think like you kind of i look good
[35:46.00]  partnerships it's kind of like pulling
[35:47.12]  on a string right if both sides aren't
[35:48.96]  pulling
[35:49.52]  it just it's very easy very easy kind of
[35:52.08]  it doesn't stay tight anymore
[35:53.68]  so we always looked for partners that
[35:55.28]  you know kind of were equally as
[35:56.32]  invested as we were
[35:57.60]  and if they weren't that was okay we
[35:58.96]  just knew it's like we probably weren't
[35:59.92]  good there probably wasn't gonna bear a
[36:00.96]  lot of fruit
[36:01.76]  so um in this case like it was
[36:03.04]  definitely like nope everybody's working
[36:04.48]  the same direction or like you know
[36:05.92]  helping keep that string tight
[36:07.44]  um and uh yeah that really took off and
[36:09.52]  i again i give shopify a lot of credit
[36:11.12]  for
[36:11.68]  today i think we're early to this game
[36:13.12]  of realizing developers and building
[36:14.96]  ecosystem mattered
[36:16.08]  i think a lot of folks have now tried to
[36:17.76]  rinse and repeat their playbook
[36:19.52]  and and it probably gets to like how we
[36:21.12]  think about it you know as we've grown
[36:22.88]  like
[36:23.36]  i remember when we started we realized
[36:24.72]  there were developers coming to us
[36:25.92]  saying hey can we integrate with
[36:27.68]  clavio and whether it's to pull data out
[36:29.44]  so we can personalize the experiences
[36:30.64]  we're powering or we want to help push
[36:32.24]  more data in so you
[36:33.60]  people can use that for marketing
[36:35.36]  messaging um
[36:36.88]  yeah i mean we looked at companies like
[36:38.48]  shopify like twilio like salesforce as
[36:41.28]  examples of
[36:42.40]  companies that have done this really
[36:43.60]  well and understood developers and i
[36:45.20]  think it's still early days for us
[36:47.20]  but um you know those were companies
[36:48.80]  were like hey how do we replicate the
[36:50.64]  kind of magic they've built where people
[36:52.24]  say
[36:53.04]  this is the it's the best it's the most
[36:54.48]  efficient way for somebody else to build
[36:55.76]  their own business
[36:57.04]  yeah right um integrated with us and
[36:58.72]  we're not the only i mean we're not the
[36:59.84]  only company that has apis for into a
[37:01.84]  database to do analytics or to do
[37:03.52]  marketing messaging
[37:04.72]  but if we if we're the easiest to
[37:06.16]  integrate with i mean you know any any
[37:07.68]  small
[37:08.00]  startup they're going to put they're
[37:09.04]  going to put their time on what's likely
[37:11.28]  to you know what is kind of the greatest
[37:12.40]  mass but it's also the easiest to do
[37:14.40]  and if they can get it out yeah there
[37:16.80]  could be a temptation
[37:17.92]  as you become a system of record to to
[37:20.56]  make it easier to deposit data inside
[37:22.96]  than to remove the at least the
[37:24.32]  structured form of the data right
[37:26.48]  yeah i hope that's i mean i got a trend
[37:28.08]  i mean something that we also believed
[37:29.36]  in
[37:29.68]  you know when we were building you know
[37:31.04]  effectively b2b software was you know in
[37:33.36]  the consumer world you know there's this
[37:34.96]  kind of
[37:36.16]  uh it's becoming less implicit now but
[37:37.68]  there's this kind of uh this deal that
[37:40.00]  hey you could use the platform but the
[37:41.20]  data was never yours
[37:42.48]  so you know you take a picture and you
[37:44.16]  put it on facebook like it's not really
[37:45.92]  your data anymore
[37:47.28]  um i always felt like with b2b software
[37:49.52]  it's like you know for a business it's
[37:50.72]  gonna be so important that you get that
[37:52.08]  data interoperability
[37:53.68]  so we've just we've really tried to
[37:55.44]  partner up with companies that have the
[37:56.80]  same belief that felt like
[37:58.24]  okay what matters is data portability
[38:00.40]  matters and you know the best part about
[38:01.84]  apis is that you can yeah you can edit
[38:03.68]  the data
[38:04.00]  and you can pull it out for other use
[38:05.36]  cases the interesting part is how do you
[38:07.60]  do a really good job of
[38:08.96]  making sure that the people you're
[38:10.48]  working with care about let's say
[38:12.32]  privacy and security to the same extent
[38:14.32]  that you do that's a really fascinating
[38:16.56]  i think trend that's happened the last
[38:17.52]  couple of years
[38:18.08]  that we're really very focused on but at
[38:20.32]  the end of the day i mean yeah we look
[38:21.76]  at ourselves as we're just an extension
[38:23.28]  of i mean
[38:23.92]  hopefully a business could build what
[38:25.36]  we're building it just would take them a
[38:26.64]  while
[38:27.28]  so hey if we can help you know thousands
[38:29.44]  you know hopefully millions of small
[38:30.96]  businesses you know not have to pay that
[38:32.48]  cost
[38:33.12]  all the better and just let's talk about
[38:35.44]  just for one second
[38:36.40]  another topic is super interesting i
[38:37.60]  think and i may be misdescribing it for
[38:39.92]  cleveland but it's co-option so as you
[38:41.76]  scale then this is natural
[38:44.64]  shopify adds some low end functionality
[38:46.80]  right around email marketing for sure
[38:48.72]  right to its whole base
[38:49.84]  salesforce commerce cloud has always had
[38:51.76]  more enterprise functionality going back
[38:53.28]  to exact target and others
[38:55.04]  i found that typically that benefits
[38:58.32]  folks like klavio because worst case the
[39:01.04]  customer outgrows
[39:02.24]  some of that solution and they become a
[39:03.68]  lead like they start to generate
[39:05.52]  leads for you that you might not
[39:06.96]  otherwise get even if on day one
[39:08.96]  it's a little stressful to have a little
[39:11.60]  more competition
[39:12.80]  what were your learnings on that sort of
[39:14.08]  co-op petition yeah totally
[39:16.08]  well first of all yeah i think it's
[39:17.44]  probably generally true that uh
[39:19.28]  you know it's uh it's sort of like you
[39:21.68]  know uh
[39:22.56]  any press is good press so the more
[39:24.16]  people are thinking about this is like
[39:25.44]  it's something that matters
[39:26.96]  definitely helps um you know in the case
[39:29.36]  of the folks we work with i
[39:30.72]  we've always just had very kind of
[39:32.16]  upfront conversations that hey you know
[39:33.76]  if you
[39:34.48]  want to build what we built then like
[39:36.16]  just let us know i mean the world is big
[39:37.76]  enough like
[39:38.48]  we believe the technology we're building
[39:39.68]  is like i mean it applies to so many
[39:40.96]  different industries different verticals
[39:42.40]  like
[39:42.72]  there's a lot of ways we can direct
[39:43.92]  ourselves um so there's no point to be
[39:45.52]  you know kind of enemies here like we
[39:46.80]  can let's let's
[39:47.52]  let's be friends and if it doesn't make
[39:48.64]  sense just let us know um
[39:50.80]  the other part is is like yeah i mean
[39:52.40]  because of this like openness of you
[39:54.08]  know at least b2b
[39:55.28]  software i'm just a big believer it's
[39:57.44]  like if you build the best product like
[39:58.72]  consumers are going to kind of demand
[40:00.16]  your customers are going to demand
[40:01.84]  getting to interoperate with it and so
[40:03.44]  yes
[40:03.76]  substance i think competition is great
[40:05.28]  because it's it's kind of boring if we
[40:07.36]  just you know if you end up in these
[40:08.40]  kind of walled gardens you know when we
[40:10.08]  talk about steven inside clavio like if
[40:11.44]  we can't
[40:12.00]  build the best feature or the bet you
[40:15.12]  know the best use for you we can't solve
[40:16.80]  for some use case in the best way
[40:18.24]  then we're just gonna interrupt we're
[40:19.36]  gonna you know uh integrate with whoever
[40:21.68]  is the best
[40:22.96]  um and that's frankly makes things more
[40:24.64]  fun right maybe we talk about for our
[40:25.92]  product teams our engineering teams
[40:27.20]  we're more interested in building like
[40:28.56]  whatever the best possible experience is
[40:30.24]  rather than the ones that we know
[40:31.60]  that customers will buy because it comes
[40:33.36]  bundled with klaviyo or
[40:35.20]  or whatever so i i think it's just a
[40:37.20]  more fun way to work i mean
[40:38.88]  especially when we got when when mike
[40:40.24]  copeland when we got into claydio we
[40:41.76]  weren't doing so much to you know i
[40:43.20]  don't know build a big business as we
[40:44.88]  just wanted to build some of the
[40:45.84]  technology that we wished exist existed
[40:48.16]  and so that's i tell you all the
[40:50.08]  engineers that worked plea did the same
[40:51.20]  thing it's like
[40:52.48]  look if if you're here you know just to
[40:54.56]  kind of uh
[40:55.52]  build competitive moats that's just not
[40:57.20]  that exciting it's way more interesting
[40:59.04]  and i think for
[40:59.84]  folks like you and i that care about
[41:00.96]  technology we just want to see as much
[41:02.64]  technology in our lifetimes as we can so
[41:04.96]  let's you know the more we can actually
