Title     : Building a Second Unicorn:  A Deep Dive with Harness and AppDynamics Founder Jyoti Bansal
Video ID  : LMAxG-ddDkU
[23:19.12]  team from your first run
[23:20.80]  might not be the right fit to like join
[23:23.52]  you
[23:24.40]  on day zero again uh and the sales
[23:27.52]  hustle
[23:28.16]  right now can never stop hustling really
[23:31.28]  need to be
[23:32.24]  like super super hands on deck in the in
[23:35.44]  the early
[23:36.08]  phase of building your company uh which
[23:38.64]  resonates a lot
[23:40.00]  um and so you know we've talked a little
[23:42.48]  bit about what got easier what got
[23:44.64]  hard um what about surprises like what
[23:48.08]  was some what would what would you say
[23:49.92]  was you know
[23:50.72]  maybe like month two of harness
[23:54.16]  what was for you like oh i was really
[23:57.12]  not expecting this what just happened
[24:00.24]  uh yeah you know there are always some
[24:02.40]  surprises like you know i think
[24:04.16]  most of the surprises to me were more at
[24:06.96]  a personal level
[24:08.40]  like uh i think that number one is like
[24:10.16]  you know when i was
[24:11.52]  last at appdynamics uh you know we are
[24:13.52]  about thousand plus employees yeah
[24:15.36]  you know a few hundred million dollars
[24:16.48]  of revenue uh and you start operating at
[24:19.60]  a much higher level right you know
[24:21.04]  you're not into the day-to-day details
[24:22.96]  you are much more at a
[24:24.16]  strategic level right so you know you're
[24:26.32]  operating at 100 feet 2000 feet kind of
[24:28.32]  level
[24:29.20]  and when you start a company like the
[24:30.96]  harness the first few
[24:32.48]  uh you know uh you know say the first
[24:34.88]  few months
[24:36.08]  uh you have to go down to that you know
[24:38.32]  one feet level
[24:39.52]  and you know and start operating at that
[24:41.68]  again right
[24:42.72]  and that's a little bit of a you know i
[24:44.80]  kind of knew that
[24:46.00]  that's what you have to do but still it
[24:47.44]  was a surprise to me like you know that
[24:48.96]  that
[24:49.36]  uh adapt adapting to it and adjusting to
[24:52.08]  it
[24:52.56]  you know it takes it takes some time
[24:54.72]  like you have to deal with like really
[24:56.00]  small things on like you know do you
[24:57.20]  have uh
[24:58.16]  you know the you're hiring an engineer
[25:00.48]  uh you know to start
[25:01.76]  tomorrow and we have the you know uh
[25:04.88]  you know a desk for them right you know
[25:06.96]  it's uh and
[25:09.04]  something like that you will have to
[25:10.32]  like operate like you know because there
[25:11.68]  is really no one else you have to take
[25:13.12]  care of things and you know
[25:14.64]  kind of the job that happens in early
[25:16.16]  stage uh you know where
[25:17.92]  as founder you wear every hat you do
[25:19.68]  everything that whatever needs to be
[25:21.60]  taken like you know you have to be the
[25:23.12]  plumber for for that day you know
[25:24.88]  because office is flooding you gotta
[25:26.32]  still do it right
[25:27.52]  and that's that's still a bit of an
[25:29.44]  adjustment uh that was a little bit of a
[25:31.36]  surprise to me
[25:32.24]  that you know you've got to operate down
[25:33.60]  at the you know
[25:36.88]  at the one foot level i would say the
[25:40.00]  second surprise is also a bit of a
[25:42.64]  sort of a personal adjustment which is
[25:44.32]  uh the realization that there is really
[25:46.64]  no shortcut like you know if you have to
[25:48.40]  go through a journey like you know like
[25:49.92]  a
[25:50.16]  startup journey like in the b2b kind of
[25:52.72]  space like you know you start
[25:54.80]  you start with an idea it takes like you
[25:56.88]  know somewhere in the 12 to 18 months to
[25:59.04]  find your
[25:59.92]  initial product market fit you know your
[26:01.92]  initial set of customers and then you
[26:03.68]  start building a sales team and then you
[26:05.44]  go and
[26:06.24]  you know you go to a million dollars of
[26:07.52]  error and 10 billion dollars of ar and
[26:09.20]  25 million dollars of er and 50 million
[26:11.12]  and 100 million
[26:12.00]  but those are all you have to just go
[26:14.64]  through it and you there will be
[26:15.92]  challenges and
[26:17.28]  you know uh hiccups and you know big
[26:19.68]  obstacles sometimes to all of those
[26:21.52]  right there is no shortcut
[26:23.04]  and you're mentally used you know i had
[26:24.72]  to prepare myself i had to ask myself
[26:26.72]  actually especially in the first six
[26:27.92]  months a year
[26:28.96]  you know that am i pushing the org to go
[26:31.36]  too fast because i wanted to get
[26:33.04]  like you know because i was i was
[26:34.96]  running a much bigger company before
[26:36.64]  right so almost like you think
[26:38.00]  of you want to get there as soon as you
[26:40.08]  can but there are
[26:41.76]  there is no shortcut to get there you
[26:43.52]  have to go through the journey
[26:44.88]  and you know even if you go there very
[26:46.56]  fast and harness i would say is on track
[26:48.24]  to be
[26:49.36]  among the fastest uh companies to reach
[26:52.24]  many of those kind of revenue milestones
[26:53.84]  even in the
[26:54.56]  in the sas kind of world but still you
[26:56.00]  can't go any faster right so you you
[26:58.32]  know so i have to like stop myself on
[26:59.84]  like i can't
[27:00.88]  keep pushing my team to go any faster
[27:03.20]  it's like we can't this is no shortcut
[27:05.12]  you have to go through all of the grind
[27:06.32]  right
[27:07.12]  and that's like you know it was a bit of
[27:08.80]  a surprise that i need to go through
[27:10.00]  that kind of a
[27:10.88]  personal mental adjustment around that
[27:15.04]  makes sense um and do you uh
[27:18.24]  do you remember their like were there
[27:20.08]  like clear mistakes
[27:21.68]  that you had made adapt dynamics which
[27:23.76]  you're like yes definitely not doing
[27:25.76]  that again
[27:26.56]  i'm going to do things differently here
[27:28.48]  that worked out well
[27:29.68]  with harness yeah you know other than
[27:32.80]  the whole investor management thing
[27:34.80]  or not well industry management i
[27:38.48]  i would think is probably the biggest
[27:39.84]  one like you know it was a
[27:41.84]  you know it could become a drag
[27:43.28]  otherwise like so you know definitely
[27:44.80]  that's a mistake i wanted to avoid like
[27:46.32]  you know how we have the right uh pick
[27:48.24]  the right investors and how we manage
[27:49.92]  them so
[27:50.48]  i'm pretty happy with that uh but i
[27:52.88]  think if you look back at most companies
[27:54.56]  like if i look back at
[27:55.44]  dynamics you know successful outcome
[27:56.88]  everything um the mistakes
[27:59.84]  mostly come down to two categories right
[28:01.68]  you know either you make some kind of
[28:02.96]  strategy mistakes of like you know
[28:04.88]  you didn't go into a use case or a
[28:07.68]  product area or some hsn market or
[28:09.60]  something fast enough
[28:11.04]  and you let some competitors go there
[28:12.64]  faster or you
[28:14.16]  kind of didn't change or pivot you know
[28:16.24]  some product strategy somewhere
[28:17.68]  soon enough or something right that's
[28:19.36]  like the more of the you know
[28:20.80]  and a lot of them fall into the product
[28:22.32]  strategy go to market strategy you kind
[28:23.92]  of see made some wrong decisions
[28:25.68]  or you didn't correct your decision
[28:26.88]  trust fast enough the second category of
[28:29.52]  mistakes
[28:30.08]  almost always come into people right you
[28:32.40]  know that you didn't hire the right
[28:33.52]  person or you kind of like you know
[28:35.12]  didn't change a person soon enough or
[28:37.92]  you kind of like you know uh
[28:39.52]  so it's when i look back at app dynamics
[28:41.60]  like you know the mistakes come down
[28:43.44]  into two buckets like you know it's the
[28:45.36]  so you know at harness obviously like
[28:48.24]  you know
[28:48.72]  uh i try to avoid those mistakes you
[28:51.68]  know you still cannot get everything
[28:53.04]  hundred percent right like you know
[28:54.32]  it's just impossible like you know but
[28:55.76]  it's uh but we try you know i i look at
[28:57.92]  like can we reduce the mistakes and can
[28:59.84]  we
[29:00.72]  reduce the time to correct mistakes
[29:02.80]  right so it's it
[29:03.92]  really comes down to those two things
[29:05.20]  right so like you know we are just
[29:07.28]  you know uh uh you know a little bit
[29:09.60]  more conscious about
[29:11.28]  you know keep studying where the market
[29:13.12]  is evolving so that we are not
[29:15.04]  like that means like a few things we
[29:16.88]  missed out like you know when we
[29:18.48]  let's say uh you know how fast
[29:20.96]  everything moved to mobile apps for
[29:22.40]  example right so the mobile
[29:23.84]  apm we were at least a year behind at
[29:26.40]  market
[29:27.12]  at dynamics because we were you know uh
[29:30.24]  you know we were just not paying
[29:31.76]  attention enough to it right and then we
[29:33.52]  had to catch up and like build a good
[29:35.20]  mobile apm
[29:36.08]  uh you know for mobile apps a year later
[29:39.36]  we try to avoid those mistakes by like
[29:40.96]  you know having much more dedicated
[29:42.40]  focus on you know what are the things
[29:44.00]  where the market is going are we
[29:45.68]  constantly listening from our customers
[29:47.60]  are we you know and are we constantly
[29:49.20]  also listening to like what are the
[29:50.40]  other trends going so we can avoid some
[29:51.92]  of those kind of mistakes
[29:53.60]  people the same thing like you know it
[29:55.44]  allows us to you know
[29:56.80]  do slightly better but you know in
[30:00.00]  in reality it's impossible to not make
[30:02.88]  mistakes like you know
[30:04.48]  you have to move really slow you know
[30:06.16]  startups you're moving fast and you know
[30:07.76]  sometimes you just have to decide and
[30:09.68]  and and keep going right and you correct
[30:11.84]  from later if something goes wrong
[30:13.60]  so i i only look at like you know can i
[30:16.48]  reduce the rate of mistakes then
[30:18.16]  then we'll be we'll be fine right yeah i
[30:20.64]  think one thing um
[30:22.24]  that really stood out to me in what you
[30:23.92]  said is this idea of like when your
[30:25.36]  heads down building your company
[30:27.04]  sometimes you forget to look at what's
[30:28.80]  happening
[30:29.28]  outside the building you're so focused
[30:31.44]  on like what's going on inside the
[30:33.60]  building in your little world that you
[30:35.84]  don't even realize that there is a
[30:37.60]  bigger
[30:38.16]  opportunity or like a market shift
[30:40.64]  happening
[30:41.20]  outside that world that you would
[30:43.44]  actually be perfectly positioned for
[30:46.00]  um so it's important to make sure there
[30:47.92]  are people who can
[30:49.20]  you know nudge you when they see that
[30:51.28]  happening and you know people who can
[30:53.04]  make sure that you don't
[30:54.72]  miss it so really really good advice um
[30:57.92]  well so you know you said that harness
[31:00.40]  is growing really fast you guys recently
[31:03.04]  got
[31:03.60]  you know valued at 1.7 billion dollars
[31:06.56]  officially becoming a
[31:08.16]  unicorn um how does it feel is there you
[31:11.36]  know is the
[31:11.84]  is the sense of achievement the same for
[31:14.64]  you
[31:14.96]  and the team how does it feel the second
[31:17.44]  time around
[31:19.60]  you know it's a it's it's a good
[31:20.80]  question i think uh you know when app
[31:23.20]  dynamics
[31:24.48]  achieved the billion dollar unicorn mark
[31:26.56]  this was 20 14
[31:28.16]  15 around that time six seven years ago
[31:31.92]  uh
[31:32.40]  it felt like you know being a unicorn
[31:34.56]  was like sort of the pinnacle of
[31:36.88]  success for uh to be kind of startup uh
[31:39.76]  you know and so we've achieved a big
[31:41.12]  part of our journey when we became
[31:42.32]  unicorn that's what it feels like you
[31:43.60]  know that we have achieved a big we have
[31:44.96]  done
[31:45.52]  big part of our journey now the seven
[31:48.72]  years later the world has shifted in
[31:50.72]  very good ways as in the sense that
[31:52.48]  uh the opportunity and the market need
[31:55.28]  for like you know products in the the
[31:56.80]  say call the developer tools
[31:58.56]  devops ecosystem to like you know most
[32:00.48]  of the business applications sas
[32:02.64]  has become much bigger so the
[32:04.16]  addressable market is significantly
[32:05.76]  bigger than what it used to be
[32:07.36]  you know so you know getting to say 100
[32:08.80]  million error and like you know you
[32:10.24]  become a unicorn that was like you know
[32:12.56]  that was a big deal now i think the
[32:14.40]  market opportunities are bigger
[32:16.16]  uh so like you know when we at harness
[32:18.16]  when we hit a billion dollar
[32:19.84]  valuation as a unicorn it feels like the
[32:22.16]  journey is just starting
[32:23.68]  so it's it still doesn't feel like we
[32:25.92]  have accomplished a big part of our
[32:27.44]  journey
[32:28.08]  you know which was kind of a bit
[32:29.36]  different at the you know at the time of
[32:30.88]  the dynamic so that's that is the
[32:32.00]  difference so you know it's
[32:32.80]  there's a you know obviously you know to
[32:34.64]  our team you know to
[32:36.08]  you know to everyone's credit it's still
[32:37.44]  very hard to build a you know
[32:39.36]  a you know a billion dollar unicorn
[32:41.36]  company right but
[32:42.64]  i think at unicorn these days compared
[32:45.20]  to seven years ago
[32:46.80]  you know you have so much more potential
[32:48.56]  to uh you know to do
[32:50.32]  and so that's a little bit of the the
[32:52.48]  you know in some sense it's a great part
[32:53.92]  that there's
[32:54.56]  there's a lot more opportunity uh the
[32:56.48]  bad part is it comes with that that
[32:58.08]  expectation like you know what i call it
[32:59.68]  like you know
[33:00.40]  the deca corn is the new unicorn now
[33:02.24]  like you know what
[33:03.44]  right billion dollar was a special part
[33:05.84]  and now it's like you know
[33:07.20]  you know it's you gotta beat 10 billion
[33:09.76]  dollar to be
[33:10.64]  really special in the company these days
[33:13.12]  yeah
[33:13.68]  like getting that top percentile given
[33:16.64]  you know i think the
[33:17.60]  market has accelerated so much in its
[33:20.64]  growth
[33:21.28]  um yeah i it's it's funny i think one of
[33:24.56]  the things that
[33:25.44]  uh drives a lot of us as you know
[33:27.84]  founders and
[33:29.04]  uh folks in the software industry is we
[33:32.08]  we always want to be at the top of the
[33:34.16]  game and you know this is the new top of
[33:36.40]  the game
[33:37.12]  um so it's uh it's it's a it's a great
[33:41.12]  um question to ask yourself which is you
[33:44.16]  know what level are you operating at and
[33:46.48]  like what is it that you are going to
[33:48.16]  celebrate
[33:49.04]  um right well so shifting focus a little
[33:52.40]  bit i wanted to uh you know talk a
[33:54.16]  little bit more about
[33:55.28]  hardness and you know one thing that
[33:57.12]  actually stood out to me
[33:59.28]  is that if i think about the these two
[34:01.68]  companies there are a lot of fundamental
[34:03.92]  differences in how they are positioned
[34:06.32]  like app dynamics was
[34:08.32]  an early entrant in the in the
[34:10.96]  application performance monitoring space
[34:13.68]  and and you guys built an amazing
[34:16.16]  enterprise
[34:17.04]  top down sales engine i still hear
[34:20.40]  you know people who talk about like that
[34:22.32]  five minute demo
[34:24.24]  that you could like walk into the or
[34:26.56]  into the company and do
[34:28.16]  and i'll remember telling someone oh
[34:30.48]  like yeah which product marketer came up
[34:32.56]  with this and they would say yeah his
[34:34.32]  name was jyoti
[34:36.48]  so so kudos to that but then honest
[34:38.96]  feels like it's in a different
[34:40.16]  environment like you're disrupting a
[34:41.76]  very big existing
[34:43.52]  category um as opposed to like being the
[34:47.04]  early like
[34:48.08]  category define or you're a disruptor um
[34:51.44]  and the go to market motion might also
[34:53.92]  be different so we'd love to hear more
[34:55.92]  about that like how would you contrast
[34:57.68]  like the positioning
[34:58.88]  and go to market strategy for these yeah
[35:01.68]  uh
[35:02.08]  you know the the one similarity is that
[35:04.24]  you know both
[35:05.20]  dynamics and hardness are in the broader
[35:07.76]  developer
[35:08.80]  tools devops ecosystem kind of space
[35:11.76]  right
[35:12.48]  but the big difference is as you you
[35:14.08]  know number one as you as you outlined
[35:16.00]  is the uh at appdynamics you know uh
[35:19.44]  we were really defining that market you
[35:21.20]  know you know dynamics and a few
[35:22.88]  companies of what application
[35:24.16]  performance monitoring api market would
[35:25.84]  be it was still very early and being
[35:27.20]  defined
[35:28.56]  and harness you know people are doing ci
[35:31.12]  cd today people are doing devops today
[35:33.60]  uh so and so we are going and
[35:36.96]  going to the market and creating
[35:38.56]  something that is like significantly
[35:40.00]  disruptive and much better
[35:41.60]  way of doing it the the interesting
[35:43.52]  thing is like you know the the our
[35:45.04]  competition about 90 percent of the time
[35:46.88]  is people building it themselves right
[35:48.72]  so we
[35:49.20]  are you know so it's because they were
[35:50.88]  not really good products to do this so
[35:52.80]  most of the time people are doing it
[35:54.48]  like you know uh using some some
[35:56.48]  solutions and then kind of doing it on
[35:58.00]  top of it themselves putting a lot of
[35:59.44]  work up and effort
[36:00.88]  so we have to we have to design our
[36:02.40]  product like you know the bar becomes
[36:03.68]  much higher when you are
[36:04.64]  going into a new market you know you
[36:06.96]  even your v1 bar
[36:08.32]  doesn't have to be that high because you
[36:10.16]  know something is better than nothing
[36:12.24]  but when you're going in an existing
[36:13.52]  market where most people have a way to
[36:15.28]  solve the problem already in some ways
[36:16.80]  like either humble
[36:17.76]  or commercial or whatever it is right
[36:19.76]  your bar for your v1 is that you have to
[36:21.44]  be at least 5x10x better than the
[36:23.36]  existing approaches so that becomes uh
[36:25.20]  your first major difference compared to
[36:27.04]  you know
[36:27.52]  when you just look at the product
[36:28.88]  strategy and what the product market fit
[36:30.96]  would be
[36:31.60]  uh because the it's it's a much
[36:33.28]  different bar uh due to start just as a
[36:35.28]  starting bottom
[36:36.80]  the second thing is the the go to market
[36:38.96]  model you know
[36:40.24]  it it has it is significantly different
[36:42.72]  than abdomen versus hardness for two
[36:44.32]  reasons one is i think over the last
[36:46.24]  seven eight years especially in the
[36:48.40]  developer tools kind of space
[36:50.48]  much more uh power and influence have
[36:54.40]  shifted to the
[36:55.28]  practitioner to the developer level like
[36:57.04]  in ap dynamics you know we were very
[36:58.48]  well known as a very
[37:00.48]  you know really really world-class
[37:02.80]  top-down enterprise sales motion right
[37:04.96]  but so what we would do there is we
[37:06.72]  would go to the you know the senior
[37:08.40]  level execs you know
[37:09.68]  vps and c levels and we'll make the case
[37:12.08]  on
[37:12.72]  you know we had a process called you
[37:14.72]  know a business value assessment like
[37:16.48]  you know what is the
[37:17.68]  how do you do things today you know what
[37:19.52]  could be the new way of doing things
[37:21.20]  with app dynamics and what is the
[37:22.56]  business value you get
[37:23.68]  and will convince them and they will do
[37:25.20]  a trial and proof of concept and then
[37:26.72]  you
[37:27.12]  go and sell to them that doesn't work
[37:29.12]  anymore because if you just go to
[37:31.12]  go to the someone who's a decision maker
[37:33.44]  and unless you have got buy-in and
[37:35.52]  already ground-up adoption from
[37:37.20]  developers and the practitioners
[37:38.88]  no decision maker wants to give a tool
[37:41.84]  or a product to their teams to go and
[37:43.44]  use it like you know everyone
[37:44.72]  so it because they may they are all
[37:46.08]  scared like would they get attached
[37:47.28]  adoption would it work or not right
[37:49.20]  so you almost have to create this new
[37:50.72]  go-to-market model you know that you
[37:52.40]  know
[37:52.88]  what i call the you know sometimes you
[37:54.48]  call it the pinstrip strategy or like
[37:56.24]  you know the you know
[37:57.28]  you know sometimes you call it the
[37:58.32]  sandwich model that you go from the
[37:59.68]  bottom and you go from the top
[38:01.60]  then you have to go from the bottom to
[38:03.12]  the practitioner themselves so that
[38:04.72]  there's a very easy
[38:06.16]  premium trial experience open source
[38:08.64]  kind of models that you can go to them
[38:10.08]  and these people are
[38:11.28]  using your product and happy and uh you
[38:13.28]  know um
[38:14.32]  and you still have to build the sort of
[38:16.64]  the decision maker down the
[38:18.24]  the top down uh sales motion so that you
[38:20.80]  can monetize it and still create the
[38:22.64]  business value framework and uh
[38:24.56]  but but but you already have a lot of
[38:27.20]  the risk removed around adoption
[38:29.12]  because your users and developers are
[38:30.96]  already using it so it's it's definitely
[38:32.72]  a different kind of go to market
[38:34.08]  strategy than what we did at
[38:35.92]  app dynamics you know it's uh and to do
[38:38.56]  that we also look at like you know we
[38:39.76]  have to make sure that we are not
[38:40.72]  focused completely on large enterprise
[38:42.24]  that we have a very healthy mix of smb
[38:44.00]  mid market
[38:44.64]  and large enterprise so we are the smp
[38:46.88]  market keeps you honest in terms of like
[38:48.56]  you know how easy
[38:49.76]  and simple your product would be like
[38:51.36]  you know how fast of a sales process you
[38:53.04]  can do can you go to the the developers
[38:54.88]  and practitioners themselves
[38:56.56]  uh so at honest we do it differently
[38:58.32]  that you know we look at like you know
[38:59.92]  forty percent of our business comes from
[39:01.60]  smb mid market and sixty percent comes
[39:03.28]  from large enterprise you know
[39:04.88]  at app dynamics it was ninety five
[39:06.80]  percent coming from large enterprise and
[39:08.32]  you know very small part will come from
[39:09.84]  from assembly mid market so
[39:11.12]  it would develop deliberately uh change
[39:13.60]  the go to market strategy so we can kind
[39:15.52]  of address how
[39:16.88]  the buying patterns today in the in the
[39:19.20]  world of developer tools and and devops
[39:21.36]  are
[39:23.20]  right that makes a lot of sense is it so
[39:26.32]  given those differences like what were
[39:28.32]  some of the implications in terms of
[39:30.48]  like
[39:31.12]  you know when you were hiring the team
[39:32.88]  did you look for a different
[39:34.32]  type of profile for your product team
[39:36.80]  for your
[39:37.44]  sales team maybe marketing like what
[39:39.76]  were the implications on hiring given
[39:42.08]  that the market dynamics and the
[39:44.08]  go-to-market strategy was a little
[39:45.92]  different
[39:46.32]  i think it's a good question the hiring
[39:48.16]  becomes you know you have to hire the
[39:49.68]  right people who
[39:50.80]  have that mindset like you know so we at
[39:53.60]  honest we don't want to hire
[39:55.36]  people who only knew or cared about
[39:58.32]  top-down enterprise sales right we also
[40:00.08]  wanted to bring a healthy mix of people
[40:01.76]  who understood the
[40:02.56]  sort of the bottom-up uh you know
[40:04.48]  community driven
[40:06.08]  uh you know sales and marketing as well
[40:08.00]  right and then you try to bring a
[40:09.36]  healthy mix of that
[40:10.72]  same thing from a product design
[40:12.00]  perspective right you know and from
[40:13.20]  product design you
[40:14.08]  you know you want to make sure that you
[40:15.60]  have people who understand
[40:17.28]  the like you know the product led motion
[40:19.44]  and you know you
[40:20.40]  you can design the product you know
[40:22.40]  around that uh in addition
[40:24.00]  to like you know people who understand
[40:25.52]  like you know what do large enterprises
[40:26.96]  need to succeed right so we look at like
[40:28.48]  you know
[40:29.04]  and sometimes you may not find the same
[40:30.72]  person who understands both like you
[40:32.48]  know
[40:33.52]  but you have to hire the people who at
[40:35.12]  least have the you know
[40:36.72]  you know so you can come you can
[40:38.24]  complete the set of experiences in your
[40:39.84]  team
[40:40.96]  right actually take a question from our
[40:43.12]  audience which is
[40:44.08]  very very uh apt right now just you know
[40:48.00]  how do you what are like the signals or
[40:50.16]  signs that tell you okay you are ready
[40:52.32]  to go from
[40:53.76]  hustling for every deal to like having
[40:56.08]  to build sales machinery like what is
[40:58.24]  that tipping point what do you look for
[41:00.16]  and you say okay we are ready
[41:01.44]  we're ready to get started on the
[41:03.04]  machine uh
[41:04.96]  well i i think uh the biggest is like
[41:08.16]  where you are in terms of your revenue
[41:09.76]  is uh you know i think the the
[41:11.28]  getting to the first million of revenue
[41:13.44]  i would say is about
[41:15.12]  80 hustle and uh and maybe 20
[41:18.64]  machine and process in there getting
[41:21.04]  from a you know let's say a million to
[41:22.72]  10 million dollars of revenue
[41:24.64]  will be about maybe you know uh
[41:28.00]  60 hustle and 40 machine when you start
[41:31.04]  getting from 10 million to 25 million
[41:32.56]  dollars of of
[41:34.24]  of ar let's say then it starts to shift
[41:36.56]  like you know it starts shifting from
[41:38.16]  like you know it's 70
[41:39.28]  machine and 30 hustle and when you start
[41:41.12]  getting from like 25 million
[41:43.28]  plus it becomes 90 machine right
[41:46.40]  so there is almost like a like the scale
[41:48.48]  that comes with it like you know that
[41:49.68]  because initially you don't even you
[41:51.04]  can't
[41:51.68]  make a machine out of something until
[41:53.12]  you don't even know what to what the
[41:54.64]  formula is
[41:55.84]  so initially you have in that process to
[41:57.52]  find the formula the zero to one million
[41:59.04]  you're still finding the product market
[42:00.24]  fit formula you don't even know how to
[42:01.44]  articulate your product
[42:02.64]  the value prop of your product or the
[42:04.24]  what the use case is your products all
[42:05.60]  so you're
[42:06.08]  experimenting and finding so you can't
[42:08.08]  make a machine out of something that
[42:09.36]  you're constantly experimenting
[42:11.20]  in the one to ten million dollars of
[42:12.64]  phase you're also experimenting your
[42:14.56]  sales market strategy you go to market
[42:16.80]  strategy i call it like you know
[42:18.24]  so your zero to one is a product market
[42:19.84]  fit phase and you know one to ten
[42:21.28]  billion dollars is product market sales
[42:22.96]  fit phase like and how do you sell it
[42:24.64]  like you know and you're still trying to
[42:25.92]  figure out enterprise smb
[42:27.68]  you know uh you know bottom-up top-down
[42:30.48]  assembly
[42:31.12]  all sort of things you're figuring out
[42:32.24]  right so in that one also you want to
[42:34.16]  start building a machine but not too
[42:35.76]  much
[42:36.32]  because you're still experimenting but
[42:37.68]  after 10 million you start switching
[42:39.52]  gears to like list now you know most of
[42:41.20]  things you start building machine
[42:42.64]  after 25 million you should because you
[42:45.20]  need to press the gas at that point and
[42:46.80]  kind of grow fast right so you
[42:48.16]  really want to make it much and much
[42:49.68]  more and more repeatable and
[42:51.20]  and during all of those phases you know
[42:53.04]  if you don't have the right people who
[42:54.16]  can transition
[42:55.52]  from that you know 90 hustle to 90
[42:58.72]  machine then you may have to change
[43:00.24]  people as well right you know uh
[43:02.08]  during the process awesome so that was
[43:05.76]  uh you know a lot of really really good
[43:08.16]  advice
[43:08.88]  for our founders i think a lot of it
[43:11.36]  applicable
[43:12.08]  even to first-time founders but you know
[43:14.00]  one of the questions
[43:15.52]  that maybe we can wrap up with is you
[43:18.08]  know thinking back to your first-time
[43:20.24]  founder days like
[43:21.44]  what would be what would be advice that
[43:23.84]  you give them
[43:24.72]  you know people who are just starting
[43:26.16]  out on the journey
[43:27.92]  um who are you know just like thinking
[43:30.24]  about starting or have just started
[43:32.24]  building something what would what would
[43:34.08]  be your
[43:34.72]  advice to a younger version of yourself
[43:38.00]  i think that the number one advice i
[43:39.84]  give to everyone is like you know
[43:41.52]  uh don't get frustrated startups are
[43:43.68]  hard and
[43:44.88]  there is no straight smooth line like
[43:47.12]  you know when people look at like you
[43:48.32]  know successful com
[43:49.44]  startups and they they sometimes think
[43:52.00]  you know
[43:52.96]  but these guys had it so smooth like you
[43:54.72]  know why am i struggling with this or
[43:56.24]  why am i having this thing and i tell
[43:57.52]  them like
[43:57.92]  everyone has the struggles like you know
[43:59.68]  i'm now a two times unicorn founder but
[44:02.80]  i have struggled and you know all the
[44:04.80]  challenges at every step and you just
[44:06.40]  have to go through it and
[44:07.68]  don't get frustrated about that that's
[44:09.12]  the normal part of building a startup so
[44:11.52]  that's
[44:12.08]  you know first time entrepreneur founder
[44:13.76]  that's like you know don't get
[44:15.12]  frustrated
[44:16.32]  the second thing i advise like i would
[44:18.16]  give to folks is like you know
[44:19.76]  try to keep things simple you know don't
[44:21.76]  over complicate it like you know i i
[44:23.68]  call it like you know my
[44:25.20]  five point simple formula of building a
[44:27.76]  company and
[44:28.32]  my five point simple formula is starts
[44:30.64]  with like you know
[44:32.16]  make sure your addressable market is
[44:33.76]  large because or you are making it
[44:35.68]  larger constantly
[44:36.96]  because if you are if you are operating
[44:38.56]  in a small addressable market
[44:40.88]  it doesn't matter how hard you work and
[44:42.48]  whatever you do you're kind of
[44:43.68]  constrained by it so an addressable
[44:45.20]  market sometimes people think that they
[44:46.64]  can't control it
[44:47.76]  i strongly believe that you define your
[44:49.36]  addressable market by expanding the use
[44:51.44]  cases that you can address etcetera
[44:52.88]  right so
[44:53.68]  you have to constantly work on making
[44:55.76]  sure your addressable market is getting
[44:57.20]  bigger and bigger and bigger and bigger
[44:58.56]  so that's one part of the first part of
[45:00.32]  the formula second is
[45:01.92]  i you know my my formula would be like
[45:04.32]  build build a good product like you know
[45:05.76]  the if you build the product that is in
[45:07.60]  the top three
[45:08.56]  you know ideally top one top two top
[45:10.16]  three like in in your space whatever
[45:12.64]  problem you're solving
[45:13.92]  everything becomes so much easier so
[45:15.44]  like if you put a lot of energy and
[45:17.36]  focus in doing that
[45:18.96]  third to me is sales sales sales like
[45:21.04]  you know don't ignore sales and don't
[45:22.80]  underestimate sales and build the sales
[45:25.20]  you know from the hustle to the sales
[45:27.12]  machine and like invest
[45:28.96]  time and energy in learning about sales
[45:30.96]  and getting good at it and
[45:32.40]  working and helping your sales teams etc
[45:34.56]  right founders and entrepreneurs i was a
[45:36.32]  product founder entrepreneur first time
[45:37.92]  i was doing it i was
[45:39.12]  you know initially i wasn't like you
[45:40.24]  know why should i care about sales and
[45:41.68]  that's you know but it took me some time
[45:43.28]  to learn it but that's to me is like an
[45:44.64]  important part of the formula of
[45:46.08]  you as a company you have to become very
[45:47.68]  good at it fourth is
[45:49.60]  customers customers customers like just
[45:52.32]  take care of your customers you know and
[45:53.84]  not just lip service to it like you know
[45:56.00]  every customer matters you know you do
[45:57.92]  whatever it takes to make your customers
[45:59.28]  happy and successful and you make them
[46:00.64]  happy and successful
[46:02.08]  and find a way to do that and fifth part
[46:04.40]  of my formula is
[46:05.52]  is culture like don't don't
[46:07.68]  underestimate you know
[46:09.36]  the importance of culture you got to
[46:10.72]  build the right culture you would have
[46:12.40]  to deliberate about it as the founder
[46:14.08]  and you know you have to make sure
[46:15.76]  you're setting the right tone for the
[46:17.12]  culture
[46:17.76]  if you screw up the culture eventually
[46:19.44]  everything will fall apart so
[46:21.04]  i look at like you know my simple things
[46:22.72]  i only look at these five things like
[46:24.48]  you know are these five things happening
[46:25.84]  and
[46:26.48]  you know when i run harness or i run
[46:28.32]  traceable like are we on track on these
[46:29.84]  five things
[46:30.80]  and if it's just a simple framework and
[46:32.80]  i don't need to worry about much more
