Title     : How to Really Sell into The Enterprise:  A Discussion with Talkdesk, Adobe and Intel
Video ID  : UH3pz-uKe9k
[27:32.76]  integration with alqua I'm not going to
[27:35.36]  send you emails cuz that's not going to
[27:36.80]  work I'm not going to have sdrs call you
[27:38.36]  that's not going to work how do I get
[27:40.28]  your attention on something that I think
[27:42.72]  you would truly
[27:44.48]  value yeah so if it's an
[27:47.64]  um we have a good process for finding
[27:51.52]  things that we need like I I would say
[27:55.00]  you know it's kind of easy to find out
[27:57.32]  who are people on my team team um you
[27:59.64]  can kind of look through and see we've
[28:00.88]  got an i a strong it team we talk on
[28:03.32]  panels a lot um it's kind of easy to get
[28:05.92]  a hold of It's relatively easy to get a
[28:08.08]  hold of orc charts and look at LinkedIn
[28:10.36]  find out who I'm connected to you know
[28:12.56]  who you can kind of see what it might be
[28:15.28]  this person but you know it's a good
[28:17.56]  like investigative you know who's
[28:19.72]  actually running like it in my in my in
[28:22.48]  our case I have a capabilities team so I
[28:24.44]  have somebody that is responsible for
[28:26.16]  looking at some of those um you know if
[28:28.84]  it's the case if it really truly is a
[28:30.84]  really awesome eloqua integration you
[28:32.72]  know I'd go to eloqua because sometimes
[28:34.96]  we get you know they'll say hey like
[28:37.28]  they were just explaining you mean they
[28:38.88]  don't know they don't have all the
[28:40.12]  solutions but they may say this is a
[28:41.88]  really good one you should you should go
[28:43.68]  and talk to them so those are uh those
[28:46.64]  would be ways W without like trying to
[28:49.36]  rumage yourself you know your way around
[28:51.16]  the organization on on you know getting
[28:53.60]  to the right person on on if you think
[28:55.52]  you've got really something that can add
[28:56.96]  value
[28:59.96]  I think she had one
[29:01.84]  y hi quick question do you do well do uh
[29:07.04]  do we gain brownie points by bringing
[29:09.68]  our CEO to our
[29:11.48]  meetings besides the value ad of course
[29:14.36]  that's number one like if yes I mean it
[29:17.80]  especially if you're in a pitch and if I
[29:19.92]  know that there's like I don't go to a
[29:21.80]  lot of the pitches because it it what
[29:23.20]  doesn't make sense cuz I can't if I
[29:24.52]  can't go to all of them then I I
[29:25.68]  shouldn't go to any of them if I know
[29:27.44]  that they're bringing in the a team and
[29:28.96]  I know they're bringing the CEO in to
[29:30.88]  come meet with us I want them to know
[29:32.72]  that this is a very important decision
[29:33.92]  for us and I will go down and spend the
[29:35.36]  time because that's it's to me it's a
[29:37.32]  commitment they've said this account is
[29:39.12]  important to us I'm going to go down
[29:40.80]  there and spend the quality time and so
[29:42.36]  I'll know that hey if we decide to go
[29:44.60]  with this solution I we I know that
[29:47.40]  they're going to support our business
[29:48.60]  because they've made a commitment
[29:49.56]  they've shown us there's that commitment
[29:50.92]  so yes that is you don't you shouldn't
[29:53.04]  like cart your CEO around all the time
[29:55.36]  but like if you have strategic places
[29:57.28]  where you think that some of the right
[29:59.28]  people are going to be there and it's a
[30:01.24]  way to say hey these are some these are
[30:03.52]  some cool things I know this person
[30:05.84]  we've done this in the past that
[30:07.12]  definitely does add a value so quick
[30:10.00]  followup to that um sorry for taking the
[30:13.00]  mic uh what other kinds of ways can we
[30:16.36]  show you our commitment to to you well I
[30:20.76]  mean the biggest thing is like say do
[30:22.72]  what you say you're going to do I I know
[30:24.48]  that sounds like yeah okay but you'd be
[30:27.52]  surprised and and most of you I know are
[30:29.84]  startups and you 90% of the startups we
[30:34.16]  work with overpromise and it's just the
[30:36.24]  nature of you're very ambitious but like
[30:39.64]  you can't overpromise to us because we
[30:41.56]  take those road maps that you give us
[30:43.60]  and we plan resources to them when we
[30:46.44]  see that there's a change that's going
[30:47.88]  to happen I have it resources I have
[30:50.64]  development resources I have everybody
[30:53.00]  planned out like we're managing this
[30:54.60]  massive operation so stay if you say
[30:57.60]  You're going to deliver in Q2 you got to
[30:59.36]  deliver in Q2 so just be thoughtful
[31:03.08]  about your commitments because it's not
[31:05.76]  a good it isn't a good strategy to
[31:07.92]  overcommit and underd deliver because
[31:09.88]  we'll turn that business around faster
[31:11.76]  than you know you're able to actually
[31:13.20]  make any of those changes it's just we
[31:15.12]  we don't have any there's no room for uh
[31:19.36]  for that kind of we just we just can't
[31:21.20]  work that way I thought was a VP of
[31:23.24]  sales in a company now public s company
[31:25.20]  now public and his first week on a job
[31:28.40]  was talking with a customer where two
[31:30.20]  employees got fired in it because his
[31:33.12]  company over promised something that was
[31:34.80]  not delivered so um there are
[31:37.08]  consequence I think it's a very good
[31:38.80]  point about over promising and and
[31:40.48]  underd
[31:42.16]  delivering hi um when we're selling to
[31:45.84]  technology companies that are quite
[31:47.48]  large like yours um we sometimes run
[31:49.84]  into the make or buy argument that they
[31:52.44]  have the developers and resources to um
[31:55.24]  make a make a product simar to ours even
[31:57.60]  though that's not a great idea what are
[32:00.00]  some of the best strategies you've seen
[32:01.96]  to overcome that argument obviously for
[32:05.88]  the the startup side so I'll let them
[32:09.12]  answer because we're we're in a it's a
[32:11.36]  buy there's there's way too many SAS
[32:13.68]  Spas Solutions today that it's it's just
[32:16.56]  we're leaving that we our role is
[32:18.56]  integrate and and drive scale to the
[32:21.28]  company so we're we're not interested
[32:23.88]  right now in making things in in house
[32:26.36]  anymore yeah we we overcome that
[32:29.12]  objective often times with just the fact
[32:30.92]  that we invest so much money in
[32:32.36]  development and Innovation and and to
[32:35.72]  hand that core competency over to that
[32:38.36]  potential customer that's just not
[32:40.24]  something they're going to focus
[32:41.92]  on it yeah it's our Core Business and
[32:45.20]  your core business is is is not that so
[32:48.92]  let's you know we encourage them to
[32:51.16]  realize the opportunity cost of um
[32:54.84]  building versus buying and those resour
[32:57.88]  sources could be dedicated to your
[33:00.48]  technology and what you're selling and
[33:02.48]  what you're trying to build as an
[33:04.16]  organization and leave the things that
[33:06.44]  we are good at to us and so that's uh
[33:10.08]  that's a it's a good way of handling it
[33:11.68]  and it does sometimes get um you get a
[33:14.40]  little bit of push back from maybe some
[33:16.08]  of the it folks or the you know that
[33:18.44]  group because you know they they want to
[33:21.20]  they want to control the world but they
[33:23.12]  they can understand that pure
[33:25.00]  opportunity that my time will be less in
[33:27.84]  will be opened up to being able to you
[33:30.36]  know progress my our own technology in a
[33:32.76]  much more quickly in a much quicker
[33:35.12]  fashion um and be able to try to you
[33:38.40]  know go from startup to you know so
[33:41.28]  forth and so on and Beyond if you're
[33:43.48]  wasting time trying to build things that
[33:45.88]  you know adobe's been doing for 13 years
[33:48.92]  uh you know it's just going to distract
[33:50.48]  from the from your business okay we have
[33:52.60]  one time for one last question um this
[33:55.20]  question beyond the initial sale Adobe
[33:56.84]  and Intel are actually two of our
[33:58.16]  biggest customers and you guys guide our
[34:01.24]  product in a big way how do we make sure
[34:03.40]  that we're still on the right track and
[34:05.20]  that we we're doing we're keeping up
[34:07.68]  with what you guys need and we're
[34:09.40]  actually getting the input at all the
[34:11.04]  levels that we need to order to with
[34:14.28]  what's that what company are you with
[34:15.84]  grid buddy okay yeah so we actually make
[34:18.76]  the account planning solution that adobe
[34:21.88]  uses awesome I'll say one I'll just say
[34:25.48]  one really fast um I would say make sure
[34:29.40]  that you're paying attention and
[34:31.60]  creating we have what we call a customer
[34:33.68]  Advisory Board and for every product
[34:36.00]  within Adobe and there's quite a few
[34:38.12]  there's uh customers of all shapes and
[34:40.88]  sizes that are allowed to we fly them to
[34:43.76]  you know the headquarters uh on a
[34:45.56]  quarterly basis and we ask them for
[34:47.20]  their input and their feedback make sure
[34:49.36]  that we're getting you know what is the
[34:51.68]  what are the feed on the street saying
[34:52.92]  and what do they need and what's really
[34:55.16]  going to make an impact to our customers
[34:57.88]  and so allowing the customers to be a
[35:00.16]  part of that board and um sponsoring and
[35:02.88]  and paying for the cost of all of that
[35:04.64]  is uh well worthwhile because that's how
[35:07.20]  we get most of our Innovation and good
[35:09.16]  ideas and you're likely selling to sales
[35:11.88]  enablement and they're not ultimately
[35:13.32]  not the end user so you need to actually
[35:15.36]  go to the source for some of that
[35:16.72]  feedback in order to make your product
[35:19.08]  better and stickier all right thank you
[35:22.44]  very much thank you thank you Becky
[35:26.88]  thank you
[35:28.32]  thank you thank you nice to meet you
[35:31.84]  nice to meet you nice to meet you nice
[35:34.76]  to meet you
