Title     : Product-Led Growth: Panacea or Boondoggle? | AgentSync Co-Founder/CTO  + OpenPhone Co-founder
Video ID  : L4oRfut9ufI
[24:50.16]  we're learning from others mistakes
[24:51.92]  which is always nice um in terms of your
[24:54.72]  question around resourcing i think that
[24:56.88]  um
[24:58.00]  this almost came a little naturally to
[25:00.08]  us because the reason why you see talk
[25:02.16]  to sales there is because before we had
[25:04.16]  that button before we hired our first
[25:05.76]  sales person before all of that
[25:08.00]  um we we are plg right but i would
[25:10.48]  somehow get emails
[25:12.32]  and and people maybe guessed my email
[25:14.32]  because it's so easy to guess but i
[25:15.76]  would just have people who want to talk
[25:17.12]  to me uh or talk about the product or
[25:19.60]  see a demo
[25:20.96]  and that's what i was like well i don't
[25:23.12]  think i can do all of these demos um
[25:25.36]  does that mean we need a sales assist
[25:27.04]  motion so it almost like hit us
[25:30.24]  like that like forced into it basically
[25:32.88]  essentially but that that that is what
[25:34.80]  uh what taught us that hey our customers
[25:36.96]  actually want to talk to us because they
[25:38.32]  have more certain uh you know uh have
[25:40.96]  more sophisticated requirements and they
[25:43.36]  and given our nature of the product
[25:45.20]  we're a very critical tool for you so
[25:47.84]  your if your communications relies on us
[25:50.56]  and there's nobody here to have that
[25:52.72]  one-on-one discussion with you might be
[25:54.96]  very nervous about switching and you
[25:56.64]  might be very nervous about signing up
[25:58.88]  so we just realized that hey this is
[26:00.72]  we're losing on a lot of business and
[26:03.92]  it was quite obvious and at this point
[26:06.32]  we also know that we want to invest in
[26:08.80]  our sales team and our customer success
[26:11.12]  team and just a quick plug we are hiring
[26:13.60]  ahead of sales just fyi i was told i can
[26:16.32]  do a plug but of course yeah okay that's
[26:18.80]  the point of this right you know you can
[26:20.40]  find my email somewhere i'm sure but
[26:22.48]  yeah we're hiring ahead of sales so yeah
[26:24.32]  we're investing in it full-on awesome
[26:26.64]  and jen how about you yeah so for us uh
[26:29.76]  there is not a
[26:31.76]  an obvious um
[26:33.76]  it's very greenfield space there's not
[26:34.96]  an obvious
[26:36.40]  product that is out there for agents and
[26:39.12]  agent-facing that kind of part of the
[26:40.48]  market and so
[26:41.76]  for for me and as we're starting to
[26:43.20]  think about me and needy together of how
[26:44.72]  do we want to do that and tackle it and
[26:46.00]  not have it be a distraction it's a
[26:47.60]  really great question because we know
[26:48.64]  there's just a ton to learn not only on
[26:50.48]  plg but just what does product market
[26:52.24]  fit look like that for that motion and
[26:54.00]  it's very very different than what we've
[26:56.24]  done to date so we've actually hired a
[26:59.04]  team a group of individuals who are
[27:00.64]  going to be just focused on that as an
[27:02.32]  experiment and boxed into that for a
[27:04.80]  while in a fun way uh boxing sounds
[27:06.40]  harsh but uh we
[27:08.08]  in a principled way you know we're going
[27:09.60]  to go take that bet and hear the
[27:11.44]  resources we're going to put behind it
[27:12.88]  and then start to just measure out from
[27:15.04]  a metrics different perspective of what
[27:16.48]  are we learning what do we want to do
[27:18.00]  and then how would we continue to invest
[27:19.68]  or then realize that that was not the
[27:21.12]  right motion but it's a it's a pretty
[27:23.76]  new space for the industry and so we're
[27:26.48]  kind of cautiously tiptoeing into it
[27:28.72]  knowing that we have to put a
[27:30.64]  substantial number of product and
[27:31.84]  engineering resources behind it to get a
[27:33.60]  compelling mvp out the door
[27:36.00]  is this um i've seen this like tiger
[27:38.40]  team before to figure it out and it's uh
[27:41.52]  extremely cross-functional right because
[27:43.36]  it's product it's engineering it's
[27:44.64]  marketing it's sales it's customer
[27:46.08]  success so um
[27:48.48]  maybe unpack that a little bit like how
[27:50.24]  big is this team how are they working
[27:51.76]  with the different uh functional groups
[27:53.68]  at agent sync are they talking to
[27:55.52]  customers like what what sort of tips do
[27:57.84]  you have in designing a sort of
[27:59.20]  sequester team like this to figure it
[28:00.64]  out yeah so we started with a very
[28:02.40]  experienced
[28:03.68]  product manager in this space um brought
[28:05.68]  in an engineering manager who's built
[28:07.76]  consumer-facing products before
[28:09.92]  who will eventually be growing a team
[28:11.44]  under this once we figure out what that
[28:12.72]  team needs to be
[28:14.00]  and then we also have right now on that
[28:15.68]  team someone from business ops and then
[28:18.00]  uh someone from our customer success
[28:20.00]  team so they can bring a customer
[28:21.44]  perspective early and start doing that
[28:23.60]  side of the house and that's our like
[28:25.44]  very initial small team and then we'll
[28:27.44]  figure out how we need to expand it and
[28:29.04]  who needs to be there but
[28:31.60]  um
[28:33.04]  so last last question i have for you
[28:35.04]  both um well i have a lot of questions
[28:36.80]  but last one i've got on my list here is
[28:38.64]  um
[28:39.52]  demos so i feel like demo the demo is
[28:43.20]  the bridge between plg and abm right
[28:46.24]  because you're doing demos and you're
[28:48.08]  doing demos
[28:49.76]  and it's sort of a
[28:51.84]  revealing of the product to someone in a
[28:53.60]  guided way
[28:54.80]  so we'd love to hear from both of you
[28:56.56]  dorina starting with you when you're
[28:58.24]  doing a demo
[28:59.52]  presumably the person you're demoing has
[29:01.28]  already seen the product or maybe even
[29:02.56]  using it so how are you using those
[29:05.04]  what's the point of you getting on the
[29:06.56]  phone with people in in the demo context
[29:10.08]  great question yeah it is a commonality
[29:12.08]  we have right because everything else
[29:13.60]  was was different in terms of a demo we
[29:16.08]  actually to do um i'm now thinking there
[29:18.88]  are two uh types of demos that that uh
[29:21.68]  kind of i can share that we do there's
[29:23.92]  one type of demo which you mentioned
[29:25.52]  brian which is when you click on the
[29:27.60]  talk to sales button you you give some
[29:30.16]  information and then based on what you
[29:32.16]  share we can you know follow up and do a
[29:34.64]  demo with you one to one and then
[29:36.72]  there's another type of demo we do which
[29:38.48]  is not shown here which is a weekly live
[29:41.20]  demo which is uh almost like a plg
[29:44.72]  scalable version of that demo except for
[29:47.68]  you are on a webinar i mean i actually
[29:50.32]  don't like the word webinar it's like a
[29:52.08]  fun live demo webinars usually suck
[29:54.24]  right so
[29:55.68]  it's a fun like live demo and that's a
[29:58.08]  that's a great
[29:59.52]  we do it every week that's that's a demo
[30:02.24]  that really makes sense for
[30:04.24]  our like velocity model because uh
[30:06.96]  because for certain folks we can do
[30:08.64]  one-to-one demo but as we scale the
[30:11.20]  sales team you know we will probably
[30:12.80]  have more capacity but we have to be a
[30:14.48]  little bit pickier now in terms of who
[30:16.16]  we can do a personal demo for
[30:18.64]  but the weekly demo is really nice
[30:21.20]  because it allows us to
[30:23.04]  give that guided tour of the product
[30:24.96]  show different use cases at scale
[30:27.52]  so actually i would say if any of you
[30:29.20]  here has a you know if you're a plg
[30:31.68]  company
[30:32.80]  and you're not sure about doing a
[30:34.40]  personal demo start with a weekly
[30:37.04]  live demo and
[30:38.88]  and then that can help help you learn
[30:40.96]  and see if there's appetite for
[30:42.40]  something a little bit more custom
[30:44.56]  awesome i see a negative sign next to
[30:46.88]  our timer here jenna would love to hear
[30:48.64]  your final thoughts on demos and agent
[30:50.64]  sync and how you guys use them i will do
[30:52.88]  this very quickly so we no one can see
[30:55.04]  our product unless we demo it to you so
[30:57.28]  no one has come in seeing it before
[30:58.64]  unless they've seen it at a prior role
[31:00.16]  which is starting to happen and is kind
[31:01.44]  of fun
[31:02.64]  so we do a set of demos agency mga
[31:06.16]  carrier that are the standard demo and
[31:08.48]  then depending on the size of the deal
[31:10.40]  and the complexity of the use case we
[31:12.48]  have a team that will customize that and
[31:14.40]  do a deeper dive with customers and then
[31:16.80]  depending on the size of the deal and
[31:18.16]  the customer use case that is where we
[31:19.76]  also end up in the proof of concept
[31:21.52]  which is more what we are calling a you
[31:23.60]  know a demo environment will hand over
[31:25.04]  to you so we really have three flavors
[31:26.72]  of it which is our standard one that
[31:28.16]  we'll show you and then depending on
[31:30.40]  that customer's needs and and the deal
[31:32.56]  size you can kind of go up and down but
[31:35.04]  we've experimented quite a bit with that
[31:37.12]  awesome awesome all right well we're
[31:38.96]  we're out of time a minute and 40
[31:40.96]  seconds negative out of time thank you
[31:42.80]  everybody for coming uh i think we have
[31:44.88]  a takeaway slide here which is
[31:47.44]  plg
[31:48.64]  not for everyone very powerful so if
[31:50.40]  you're a founder out there i hope you
[31:51.84]  learned something today thank you dorina
[31:53.68]  thank you jen this was an awesome
[31:54.88]  conversation and we'll see you all at
[31:56.72]  the conference
[32:01.37]  [Music]
[32:17.84]  you
