Title     : Customer Success  Upsells, Cross sells and Expansion
Video ID  : aA6SmCHuWUU
[26:08.44]  into a company one of the challenges it
[26:11.04]  has is building a product and then being
[26:13.32]  a cheerleader for its adoption the nice
[26:15.72]  thing about freemium is you don't worry
[26:17.12]  about that because you've already seen
[26:18.36]  user engagement and you know what you
[26:19.84]  deliver the users are going to like
[26:21.72]  because they self-discovered the product
[26:23.84]  and they've applied it to their own
[26:25.96]  business case or use cases and and
[26:27.72]  you've seen the level of Engagement it's
[26:30.20]  important in freemium to understand that
[26:32.16]  users use but companies buy right and
[26:34.56]  there are some companies that users can
[26:36.76]  buy individually but ultimately you have
[26:38.44]  to roll that up and as you roll it up
[26:40.56]  it's a different set of criteria that
[26:42.16]  you have to engage the you know the
[26:44.20]  organization in discussions around and
[26:46.60]  so it it's it's very helpful but a lot
[26:49.68]  of times and and you remember we found
[26:51.36]  this at Yammer some of the fastest sales
[26:53.40]  Cycles were not the ones that started
[26:55.00]  with premium they were the ones where
[26:56.68]  the companies didn't allow it at all but
[26:58.60]  then when we went in and we established
[27:00.32]  value and we talked about orienting the
[27:02.56]  technology around accelerating specific
[27:04.36]  use cases that's where we started to see
[27:06.80]  quick Buy in and then drove the adoption
[27:09.68]  whether it's fremium or Enterprise or
[27:12.44]  SNB you still have to think about a
[27:14.84]  company's cultural ability to consume
[27:16.80]  change the deployment plan you want them
[27:19.04]  to be able to get value quickly so it's
[27:20.88]  that crawl walk run right what are use
[27:23.48]  cases that we can deploy quickly that
[27:25.36]  don't affect a a large change within the
[27:27.88]  organ oranization but they can get value
[27:29.40]  quickly solve quick pain points and then
[27:31.56]  it's all about communication to the
[27:33.44]  organization deployment planning and
[27:35.72]  then it's it's just success metrics to
[27:37.92]  ensure that once you've deployed that
[27:39.72]  you've shown that Roi and the
[27:41.32]  transparency in communication what works
[27:43.36]  what doesn't we want to have that
[27:44.84]  transparency with the customer we want
[27:46.24]  to have that transparency back into the
[27:47.68]  engineering and the product organization
[27:49.72]  to the support team and to the sales
[27:51.52]  team as well right we want to tell the
[27:53.12]  sales team hey look this was a great
[27:55.04]  deal um but we actually found some use
[27:57.20]  cases we didn't think had we thought
[27:58.92]  about those earlier on maybe we could
[28:00.36]  have expanded the deal size or shorten
[28:02.56]  the sales cycle or differentiated
[28:04.40]  against the competition but with
[28:05.96]  freemium let me ask you a follow-up
[28:07.96]  question sure um you said that sometimes
[28:11.24]  when companies were using the free part
[28:13.32]  of the product that made it harder to
[28:16.56]  upsell or to convert them to the PID so
[28:20.08]  should you Throttle Down the
[28:21.72]  functionality of Premium just to make
[28:23.40]  sure that people upgrade no I don't
[28:25.52]  think so but I think you have to be
[28:26.88]  thoughtful and in one of the great
[28:28.36]  things about Yammer was our ability to
[28:30.32]  actually see the adoption rate of
[28:32.32]  Premium within companies and at the both
[28:34.80]  macro level and individual user level
[28:36.96]  and you have to be thoughtful when you
[28:38.08]  want to insert yourself into a
[28:39.56]  discussion I think it's important as you
[28:41.92]  drive a technology like amam that
[28:43.52]  changes a behavior in a company there's
[28:45.40]  a degree that you want to be thoughtful
[28:47.84]  about around being prescriptive and and
[28:50.60]  so the longer you let that premium go
[28:52.92]  and odd behaviors start to display
[28:55.88]  themselves and how they're using the
[28:56.96]  technology and where they're or ing
[28:58.40]  around it sometimes it's harder for you
[29:00.16]  to reset around the right set of use
[29:02.72]  cases so I would say for fremium my
[29:06.36]  advice would be to set some certain user
[29:09.16]  thresholds and in time frame of when
[29:11.52]  they actually get to use the product for
[29:13.00]  free before you actually touch them with
[29:15.12]  a sales reach out that says hey we see
[29:17.00]  that you're using we see that you're
[29:18.68]  using this way let's talk about why
[29:20.40]  you're using what brought you you know
[29:22.12]  to whatever solution is it is that that
[29:24.52]  um you have the one thing about fremium
[29:26.80]  that I think um most organizations
[29:29.24]  sometimes aren't necessarily cognizant
[29:30.84]  of is that premium doesn't work for
[29:32.44]  every type of product you really have to
[29:34.64]  be careful about um when you want to
[29:37.72]  offer fremium what are what's your
[29:39.64]  criteria for the complexity of the
[29:41.56]  product how long do you want a prospect
[29:43.88]  to be using the premium product before
[29:45.56]  you actually start an engagement with
[29:47.44]  them to then try and convert them over
[29:49.12]  to over to a paid customer like I think
[29:51.72]  about my experience at Zora which is a
[29:54.08]  Commerce billing and finance platform
[29:56.04]  for subscription business is we didn't
[29:57.76]  offer for fremium because you can't it's
[29:59.92]  really hard to offer a billing engine as
[30:04.24]  as free as premium but uh better works
[30:06.96]  as an example is launching a premium
[30:08.84]  product in like the next two months and
[30:10.88]  so it's going to be um a situation where
[30:13.68]  sales is going to own that relationship
[30:16.64]  with the prospect until they buy and
[30:18.48]  then we'll go through the sales cycle
[30:19.76]  and then I'll take you responsible for
[30:21.24]  them but even in terms of Premium
[30:23.20]  they're if they submit a ticket who the
[30:25.52]  per who's the person that's going to
[30:26.64]  answer the ticket is it going to be some
[30:28.16]  on the customer success team or is it
[30:30.24]  going to be a sales development person
[30:32.68]  and we've elected to have a sales
[30:34.28]  development person answer the premium
[30:36.60]  tickets because that's where the person
[30:38.28]  is in their relationship with you at
[30:40.32]  that
[30:41.32]  point and with SNB it's really all about
[30:44.52]  making it as easy as possible for the
[30:46.20]  customer to implement your product to
[30:47.88]  use your product uh you just have to
[30:50.76]  think about how you make it easy for
[30:52.12]  them they don't they're not researched
[30:53.72]  rich like some of the larger Enterprise
[30:55.64]  companies are when they're implementing
[30:57.00]  SAS Solutions it's usually one person
[30:59.80]  who has multiple responsibilities so for
[31:02.16]  them it's all about how do I do this
[31:03.60]  quickly how do I do this easily and how
[31:05.20]  do I make this work and start to
[31:07.48]  recognize value as soon as possible and
[31:09.56]  so simplifying the process that's
[31:11.56]  something that we've learned at
[31:12.52]  Cornerstone to create implementations
[31:14.80]  that are very TurnKey and very simple
[31:16.24]  for our smaller customers that was key
[31:18.16]  to success as we move down market and
[31:20.44]  making it easy for them and Cornerstone
[31:23.12]  even though it's a horizontal platform
[31:25.60]  you guys have started going after
[31:27.92]  specific vertical that you're targeting
[31:29.76]  absolutely how does it change the way
[31:31.92]  you manage your your customer success
[31:34.16]  teams is it the same team that's focus
[31:36.36]  on the horizontal play that focuses on
[31:39.80]  verticals or do you need a different set
[31:41.40]  of skills I think from a client success
[31:43.60]  perspective over time we started to
[31:46.12]  differentiate or have people very
[31:47.56]  focused on specific Industries to manage
[31:49.64]  those relationships I mean early on
[31:52.04]  because we were the horizontal Play We
[31:53.92]  supported all clients no matter what
[31:56.12]  industry they were in uh but if once we
[31:59.56]  had multip multi enough clients from a
[32:01.40]  specific industry we would play off of
[32:03.44]  them so I used to manage uh several of
[32:06.16]  our Healthcare clients and so I once I
[32:08.72]  understood the healthcare Market how
[32:10.68]  they were using our solution it was all
[32:12.68]  about Gathering stories it was all about
[32:14.52]  understanding how they're using our
[32:15.56]  product how they're driving success
[32:17.24]  recognizing value and taking those
[32:19.36]  stories and sharing them with other
[32:21.52]  clients in that same industry who may
[32:23.00]  not be using that product that was my
[32:24.60]  opportunity to really uh cross sell was
[32:28.00]  to apply the stories and the successes
[32:29.68]  from one client in the industry to
[32:31.12]  another uh and it's it's just all about
[32:33.16]  sharing the stories and I would also do
[32:35.24]  that when we had clients that were
[32:36.36]  struggling so if I had one customer who
[32:38.40]  was really struggling to use Cornerstone
[32:40.20]  well I would connect them with a client
[32:42.00]  that was super successful so they could
[32:44.12]  understand what why this other client
[32:46.04]  was having tremendous success and
[32:48.04]  recognizing tremendous value out of
[32:49.64]  Cornerstone where they were not
[32:51.52]  sometimes the client needs to take a
[32:53.28]  step back and realize it for themselves
[32:55.32]  that they they've made their own
[32:56.60]  mistakes and that they're Their Own
[32:59.36]  Worst Enemy and they're not going to
[33:00.80]  take it from us but they'll take it from
[33:02.44]  another client when they hear about what
[33:04.40]  they've done to be successful that's
[33:06.32]  really powerful when you do have that
[33:08.28]  opportunity to start to verticalized
[33:10.00]  because you're going to start to
[33:10.92]  identify best practices by industry you
[33:13.52]  start to identify the skill sets that
[33:15.32]  you might really need to service an
[33:17.00]  Enterprise a a Healthcare Company versus
[33:19.56]  a financial services company and then
[33:21.28]  you'll be able to start to generate
[33:22.92]  those user stories that you need to go
[33:24.64]  sell more into that into that respective
[33:27.04]  industry so over time as customer
[33:29.80]  success you know continues to grow as a
[33:31.48]  function I can see lots of people then
[33:33.96]  if they've got an accounting background
[33:35.36]  wanting to work with financial services
[33:37.00]  companies or if you've got a healthare
[33:38.44]  background servicing customers who've
[33:40.64]  bought your platform that happen to be
[33:42.00]  in that respective industry because not
[33:43.76]  every company's the same but if you can
[33:46.04]  create a common path in terms of how
[33:48.56]  they're using your solution it's so easy
[33:51.08]  to connect those two companies together
[33:53.52]  us your example Sarah because there's
[33:55.16]  common language there's deep empathy for
[33:58.52]  what the customer is trying to do and
[34:00.24]  why they actually bought your
[34:02.12]  platform beyond the conversations that
[34:04.72]  your teams are having with a customer to
[34:06.76]  identify upsell cross sell and expansion
[34:10.28]  opportunities what metrics are you
[34:12.68]  tracking within those customers to
[34:14.40]  initiate those conversations and what
[34:16.52]  tools are you using to track those
[34:18.80]  metrics usage yeah usage and adoption
[34:23.16]  MH so I would take a look at um I'll
[34:26.12]  share the experience that I have had um
[34:28.16]  at Zora so we had this thing called
[34:30.48]  subscriber identity it was really
[34:33.12]  understanding the full picture of who
[34:34.76]  your customer is why they bought when
[34:36.56]  they bought how and when they bought
[34:38.52]  more um for them the way they priced and
[34:41.44]  packaged was they you played a you paid
[34:43.72]  a platform fee plus you paid for usage
[34:45.92]  that you would put through the system so
[34:47.84]  we would monitor how much volume a
[34:50.60]  respective customer was putting through
[34:52.20]  the actual system relative to what was
[34:54.48]  they contractually had bought and you
[34:56.16]  could start to predict three months six
[34:58.80]  months in advance when they were going
[35:00.16]  to actually hit the threshold of being
[35:02.12]  over for what it was that they actually
[35:04.48]  purchased and so if you have a Tools in
[35:06.40]  place there's um you know uh Zora has
[35:09.00]  subscriber insights um I at better works
[35:11.48]  I use gainsight which is a customer
[35:13.72]  success tool I use that product to
[35:16.68]  understand what how customers are using
[35:18.60]  and when they're using and then if a
[35:20.52]  customer by chance usage drops then that
[35:24.00]  triggers an alert to the respective CSM
[35:26.40]  who owns that account and then go and
[35:28.04]  run a Playbook with that respective
[35:30.20]  customer to understand why their usage
[35:32.04]  dropped that's the primary one yeah yeah
[35:35.28]  so two things we do something very
[35:37.20]  similar so we capture user engagement on
[35:39.84]  the back end that actually feeds into
[35:41.64]  mix panel which feeds in gain site which
[35:43.44]  feeds into Salesforce and so um customer
[35:47.56]  success for US starts halfway through
[35:49.00]  the sales cycle so we don't have a
[35:50.68]  handoff at the end it's just one
[35:52.08]  contiguous process but everybody whose
[35:54.68]  customer facing on any account so Merl
[35:56.80]  like had we had this at the time you
[35:58.28]  were doing marrow it be a lot easier
[35:59.56]  right yes um we can now see it
[36:01.40]  everything's green yellow and red we can
[36:02.92]  see user engagement we can see new users
[36:05.00]  that come on we can see how they're
[36:06.72]  consuming the technology how many
[36:08.16]  segments they're building how many net
[36:09.96]  New Leads they're deploying and all of
[36:11.48]  that the other thing that I think is
[36:13.00]  really valuable where it's appropriate
[36:14.96]  given the technology or service that you
[36:16.72]  have is use your own product you know
[36:19.56]  for us radius on radius I'm sure better
[36:21.60]  Works uses better Works Salesforce use
[36:23.68]  Salesforce Yammer use yamber but you get
[36:25.68]  tremendous insight and empathy when you
[36:28.24]  actually go through the Journey of using
[36:30.72]  your own product on a daily basis and
[36:32.72]  it's a great story to actually Chronicle
[36:34.32]  and then share with customers and
[36:35.60]  Prospects as well this is a question
[36:37.92]  that we struggle a lot when we're
[36:39.44]  looking at companies and the answer is
[36:42.44]  not that clear is customer success part
[36:45.00]  of cogs or is it part of sales and
[36:47.80]  marketing growth it is growth yeah I I
[36:52.44]  and um I would say that support is
[36:57.00]  probably cost um but a customer success
[37:00.16]  manager who is managing that
[37:02.00]  relationship and is responsible for
[37:04.40]  retention responsible for identification
[37:06.80]  of upsell and expansion and getting that
[37:08.56]  customer to Advocate that's a growth
[37:11.12]  that's grow that's not cogs no it's not
[37:13.60]  cost I love I love the philosophy of
[37:16.20]  thinking about it is cogs though um but
[37:18.52]  I I do I think it's growth I do too I
[37:20.68]  mean our client success reps they're
[37:23.80]  selling so yeah and uh I mean we have 3
[37:29.08]  minutes so do you think what's happening
[37:32.36]  in the markets is going to affect your
[37:34.52]  groups and the way people are going to
[37:36.32]  look at the efficiency and The Leverage
[37:38.80]  that you can generate for the
[37:41.56]  businesses I I don't think so yeah I
[37:43.92]  don't think so either I think I think it
[37:45.52]  does largely depend on if your solution
[37:47.60]  is a must to have versus a nice to have
[37:49.96]  uh I think if Cornerstone is more of a
[37:51.32]  must to have solution and so no matter
[37:53.20]  what's going on in the market companies
[37:54.72]  still are going to have a need for our
[37:56.12]  solution to manage process to manage
[37:58.48]  their employees so they're going to
[38:00.24]  invest in the product I mean they're
[38:01.52]  going to invest in the in the in the
[38:02.80]  solution but what about your function is
[38:04.56]  customer success going to be more
[38:06.00]  important or less
[38:07.44]  important I think it's going to be more
[38:09.36]  important I mean to drive retention to
[38:12.04]  drive the growth through the expansion
[38:14.08]  and cross sell and upsell uh I think
[38:16.24]  we're critical to the success of the
[38:17.68]  business in terms of from a revenue
[38:19.92]  perspective I can't see us going away
[38:21.92]  anytime soon and April you mentioned
[38:24.96]  customer support as part of cogs and
[38:28.16]  customer success of part of the the the
[38:30.52]  growth engine remember when I started a
[38:32.64]  company 15 years ago it was all about
[38:35.00]  customer support I mean there was no
[38:36.40]  customer success isn't customer success
[38:39.04]  just a fancy term for customer
[38:41.48]  support I Define support as your agents
[38:44.68]  who are answering tickets that are
[38:46.40]  submitted by customers they're typically
[38:48.28]  break fix performance type questions
[38:51.40]  it's how do I how do I do X how do I do
[38:54.36]  y provision me for this turn on this
[38:56.60]  feature turn off this feature that is
[38:58.84]  support typically support is part of a
[39:01.08]  customer success function but when you
[39:04.04]  if you want to break out the you know
[39:05.72]  the finances of it I I I think
[39:08.00]  fundamentally because support is a
[39:09.64]  transactional relationship that should
[39:11.60]  be part of part of cost I think about
[39:13.76]  the customer success manager um they're
[39:17.48]  they driving the implementation they're
[39:19.08]  driving the retention and everything
[39:20.48]  that you know Sarah and and David have
[39:22.48]  have already said that's cool so uh
[39:25.84]  we're running out of time do you have
[39:27.48]  any final comments for the audience a
[39:29.12]  lot of people in the audience are
[39:30.72]  starting companies so starting to think
[39:33.12]  about customer success and they I mean I
[39:35.92]  remember when I started the company it
[39:37.12]  was usually product and sales and
[39:39.48]  customer success was an afterthought
[39:41.32]  which was a mistake back then yeah uh so
[39:43.88]  any words of wisdom the only thing I
[39:46.28]  would say is when you think about
[39:47.28]  customer success it really needs it's
[39:49.44]  not a silo within your organization it
[39:51.56]  needs to be pervasive throughout every
[39:54.12]  single Department you have and every
[39:55.72]  hire that you make if if everybody that
[39:58.40]  you hire in the company is genuinely
[40:00.84]  passionate about making your customer
[40:03.00]  successful it's a great cultural
[40:05.08]  rallying cry um it will ensure that you
[40:08.04]  are bringing in the right customers and
[40:09.96]  the right Revenue so your cost of
[40:12.16]  maintaining those customers and growing
[40:14.16]  them is is much lower and if the mindset
[40:17.36]  across the organization is driving value
[40:20.08]  and self-sufficiency for the customers
[40:22.24]  what you will find is you can get to
[40:23.72]  that 4X 5x year-over-year growth much
[40:26.48]  faster because your customers will
[40:28.28]  actually take on a large burden of that
[40:30.12]  selling and marketing for you look the
[40:32.80]  world has shifted if you think about
[40:35.36]  like the subscription economy how many
[40:37.04]  of us are buying things today we're
[40:39.24]  we're typically subscribers so if you're
[40:41.44]  not out there nurturing that
[40:42.88]  relationship and continuing to give them
[40:44.72]  value over time they're going to go find
[40:46.36]  some solution that that actually does so
[40:48.92]  I want to encourage all of you to really
[40:51.16]  seek to understand who your customer is
[40:53.96]  and by listening and engaging with them
[40:56.04]  you'll know how to price and package
[40:57.64]  you'll know where you can grow you'll
[40:58.96]  know how to Ser service them so don't
[41:01.84]  think about it as a back office function
[41:03.68]  it's really a growth a growth
[41:06.08]  function and I would also add that your
[41:09.32]  customer success folks you know ask them
[41:11.44]  questions find out from them what
[41:13.44]  they're hearing from customers what
[41:14.84]  challenges they're being faced with on a
[41:16.32]  day-to-day basis and and take that
[41:17.88]  information to improve experience for
[41:20.16]  them that's cool Sarah a and David
[41:22.72]  thanks very much this has been super
[41:24.52]  helpful for me as well
