Title     : Playbook To  Re-Igniting Growth with Predictable Revenue Co-Founder | SaaStr Software Community
Video ID  : HX-Ae_KcbyM
[27:32.50]  and outbound prospecting like no what
[27:37.93]  can you do to ramp lead gen whatever
[27:40.39]  works for you right and again the
[27:42.25]  chances are your dashboards are
[27:43.72]  inaccurate either they're not detailed
[27:45.19]  enough in marketing so the problem with
[27:46.93]  marketing is there's so many types of
[27:48.34]  campaigns event events and those funnels
[27:51.70]  and word-of-mouth like you have to
[27:53.44]  really kind of look at a campaign by
[27:54.70]  campaign so it's kind of overwhelming
[27:57.49]  it's hard to figure that cuz it's so
[27:58.72]  complicated and outbound the problem is
[28:00.61]  the subjectivity you can't trust the
[28:02.59]  metrics unless you've gone down there
[28:03.91]  and there's someone who's actually
[28:04.96]  auditing every single opportunity then
[28:08.44]  nailing a niche or niche I keep down I'm
[28:11.05]  getting into an in Scotland mode nailing
[28:13.15]  a niche so what can you do to get into
[28:15.88]  the minds of your customers usually
[28:17.53]  that's more interviews that's an easy
[28:19.51]  place to start and the last one this
[28:21.91]  revenue team and probably the simplest
[28:25.24]  place is looking at if you have a
[28:26.65]  marketing person or marketing goals how
[28:28.42]  can you tie them mostly to s sales
[28:31.81]  qualified leads right but you do have to
[28:34.42]  find that right balance as to where that
[28:36.79]  for where you are with your stage what's
[28:38.86]  gonna work if you had a really fast sale
[28:41.05]  cycle you could timer can a totally
[28:42.94]  let's say sale cycle up a few weeks a
[28:44.95]  month or two you can prime marketing
[28:46.42]  completely to revenue but and if you're
[28:49.78]  totally new you know you're still not
[28:51.28]  sure what your sales stages are on your
[28:52.93]  close rates you probably have to stick
[28:54.31]  to more like those new leads so it's
[28:56.23]  kind of gonna find that right balance to
[28:57.73]  where you are and then push forward as
[28:59.14]  you can
[29:00.10]  so that's how to reignite growth thanks
[29:05.99]  very much
[29:06.56]  enjoy your day here I'm gonna be around
[29:08.30]  for about an hour before I try to get
[29:09.77]  back to Los Angeles where we're
[29:10.85]  currently living so thanks very much
[29:12.74]  really poetry to be up here and thanks
[29:14.00]  to the sastra team great job
[29:16.04]  [Applause]
[29:28.75]  [Music]
