Title     : Justin Kan + Jason Lemkin:  "Things VCs Say ..."
Video ID  : LbGCx34CldQ
[23:21.06]  like maybe the question your thing
[23:22.98]  what's wrong because there's so much
[23:24.66]  money today why shouldn't this hot fund
[23:26.79]  at least be putting three to four
[23:27.96]  minutes don't there's no not that much
[23:29.07]  money for them right and so I do more
[23:30.81]  diligence you know then I would when
[23:33.06]  they do that's even best case because if
[23:34.86]  signaling that's a great point
[23:36.96]  all right one last one cuz we'll run out
[23:39.12]  of time but that even though we hit this
[23:41.37]  it's so important yeah I've never heard
[23:43.53]  from you since I invested we laugh but
[23:45.75]  this didn't happen five or six years ago
[23:47.34]  did it people didn't never never update
[23:50.07]  their investors for years did it did
[23:51.60]  they no you want to end up date your
[23:53.16]  investors you really want to have the
[23:54.93]  investors investors or a community
[23:56.34]  people who are like invested in your
[23:58.26]  success right and they can't help you if
[24:00.66]  they're not if they don't have like some
[24:03.30]  sort of update from you the best
[24:04.59]  scenario that I ever had was this
[24:07.44]  company simple contacts that wrote I'd
[24:09.36]  put a seed check-in into their seed
[24:11.76]  round and then they wrote invest for
[24:13.56]  updates every week for the first like
[24:16.04]  two years I think uh turn for investor
[24:19.02]  update jobs like the first every every
[24:21.21]  week there was an investor update and
[24:22.50]  you know some more most
[24:23.62]  we're good and some of them were not
[24:24.49]  good but there was there was an investor
[24:26.53]  update every week so when people had
[24:27.67]  asked me like what's a great company
[24:28.93]  that you invested in what should I look
[24:31.21]  at I'd be like simple contacts just
[24:32.83]  because they were top of mind you know
[24:34.18]  cuz they said you've made 200
[24:35.53]  investments you can't remember all of
[24:36.70]  them yeah I just remember the last five
[24:38.35]  that emailed me and so the funny thing
[24:41.41]  was that that actually led when they did
[24:42.79]  their series a like after maybe was a
[24:44.29]  year or 18 months or something like that
[24:45.87]  they were asking me you know I
[24:48.06]  introduced them to a bunch of investors
[24:49.81]  because they were so top of mind I was
[24:51.19]  like these guys are really executing
[24:52.36]  them they're raising their there's
[24:53.68]  Thursday from good water because of that
[24:55.27]  you know so it can help your investors
[24:57.70]  can't help you just they need to know
[24:59.20]  that you still exist yeah and so just to
[25:01.45]  we could spend a whole session just on
[25:02.86]  this because people are so much worse at
[25:04.63]  this than they used to be right just to
[25:06.52]  other points what I see two things I see
[25:10.60]  founders not even doing this and then I
[25:12.04]  see something that is not as bad but
[25:14.53]  close when things get tough they stop
[25:17.05]  sending them no yeah yeah ever seen that
[25:19.57]  in general investments yeah it's very
[25:21.85]  good it's pretty even in great companies
[25:23.26]  that happens don't it CEOs get panicked
[25:25.18]  like it's a bad they have a rough
[25:26.08]  quarter and they stop sending them so
[25:27.55]  what's your learning advice from that
[25:29.41]  okay I mean I think people all have that
[25:31.21]  they're they're a conflict of wouldnt
[25:32.65]  they're scared to update someone with
[25:34.06]  something that's not super positive but
[25:35.38]  the thing is the alternative is they
[25:38.05]  just forget you exist because they have
[25:39.91]  to under investments or 50 investments
[25:41.47]  or 20 investments or whatever and so
[25:43.39]  it's better to be remembered and like
[25:46.66]  have them be the brain trust to help you
[25:48.84]  even if you have to have that difficult
[25:50.86]  conversation it's probably not even a
[25:52.66]  conversation right it's an email rather
[25:54.67]  than just like fade off into like black
[25:57.78]  know yeah just and that's let me just
[26:00.43]  one comment let's tie it to our last
[26:01.81]  point in the second check remember
[26:03.22]  something because I see the best
[26:04.66]  founders do this like I mean they crush
[26:06.34]  it they have a bad half yeah they go
[26:08.32]  dark
[26:08.86]  just remember this one thing people feel
[26:10.75]  like like Justin said we're we're are
[26:12.97]  high EQ founders we get it but
[26:15.04]  professional investors they think it's
[26:16.84]  not the first time I've got an email
[26:17.95]  that there wasn't great it's like yes
[26:20.71]  you want to get the email that said we
[26:22.39]  Groot ninety two percent last month but
[26:24.52]  it's much better to get the email that
[26:26.02]  says last month was horrible than no
[26:27.58]  email we've done enough well we've seen
[26:29.80]  it before professional investors and in
[26:31.90]  fact you're not a professional investor
[26:33.79]  for real if you can't afford to write
[26:35.50]  off an investment
[26:36.65]  you happy that's it I can't be a
[26:38.93]  professional right I'm so it's okay it's
[26:41.33]  okay to even get the worst news as long
[26:43.34]  as you don't seem like you're crazed
[26:44.87]  like absolutely that and then when you
[26:46.52]  bounce back from that they're gonna
[26:47.75]  respect even more yeah and people will
[26:49.64]  and if you send the bad news and you're
[26:51.62]  not like totally a debbie downer that is
[26:54.17]  actually when people will try to help
[26:55.25]  they give a [ __ ] right they won't
[26:56.60]  they'll pretend to help when times are
[26:58.19]  great but they don't want to work on
[26:59.27]  those ones though but if you if you
[27:00.86]  believe in the founder and it's just a
[27:02.33]  rough quarter then okay I'm gonna find
[27:04.67]  you a VP of Marketing
[27:05.54]  okay I'm gonna I promise that would help
[27:07.31]  but so do that and then the last one to
[27:09.65]  tie like people don't think about this
[27:12.80]  enough but who writes a second check
[27:14.45]  like what if you if you send the
[27:17.09]  investor updates every week or every
[27:18.38]  month how much does that increased the
[27:19.79]  odds and investor invest again
[27:21.11]  yeah I mean they're they may want well
[27:24.17]  if you're doing well they're certainly
[27:25.52]  gonna want to plow more money into you
[27:26.99]  yes but if you're doing like okay but
[27:30.11]  you've proven that you can do well in
[27:31.46]  the past right and then you just need
[27:32.87]  like a little bit more cash to get
[27:34.16]  somewhere then they're much more likely
[27:36.11]  to actually party if you send the up
[27:37.40]  view or communicating with them yeah if
[27:39.41]  you just fade off into like nothing and
[27:41.51]  then you come back come back being like
[27:42.77]  hey I need another X million dollars
[27:44.87]  there's no way you're getting that money
[27:46.67]  you're not getting it yeah you have not
[27:48.38]  secured the bag and just around people
[27:50.48]  don't write about this topics called
[27:52.04]  reserves but you know VC's angels don't
[27:54.41]  but VCS always carry reserves which
[27:56.45]  means they have extra money for every
[27:58.16]  investment and that can vary from like
[28:00.44]  0.5 x for small funds all the way up to
[28:02.63]  3x for big funds but I will tell you if
[28:04.91]  you don't send the updates they don't
[28:06.92]  allocate reserves you know even I don't
[28:08.75]  do it and but nobody does I've worked in
[28:10.64]  it I've worked in a venture firm and you
[28:11.81]  go through the reserve analysis people
[28:13.13]  that don't send the updates the reserves
[28:14.42]  are it doesn't mean the money isn't
[28:15.68]  there if you're fabulous because
[28:17.06]  everybody wants to put money but they
[28:18.86]  write off their observes but if you send
[28:20.39]  that every month and the best tax the
[28:22.67]  first day of the month because we're b2b
[28:24.44]  folks mostly in this room just go into
[28:26.24]  Salesforce you know how much you closed
[28:27.59]  send a 90% correct update on the first a
[28:30.35]  month rather than three months later
[28:31.64]  100% and then everyone knows and if
[28:34.40]  you're a - or even if you're doing B but
[28:36.80]  the CEO isn't a I'm gonna put another
[28:38.15]  check into a B company with an ACO if
[28:40.49]  I'm already in $4 yeah I'll put in 50
[28:42.32]  Cent's right so send them it's no one
[28:45.23]  does it alright thanks you Justin this
[28:46.58]  was great thank you everybody
[28:47.93]  thank you
[28:48.65]  I need some traction you need some
[28:57.77]  traction let's get some traction
[29:03.48]  [Music]
