Title     : Bootstrapping vs  Fundraising
Video ID  : 8VR6aBkers8
[27:48.85]  plane is a little bit I said I'm just I
[27:50.47]  said I sound less crazy when I'm talking
[27:53.32]  in front of my team when the hardest
[27:54.67]  parts in the early days well it wasn't
[27:57.40]  just that investors thought you were
[27:58.75]  full of [ __ ]
[27:59.76]  you hire smart people and at a certain
[28:02.92]  point you're just like how are you ever
[28:05.83]  going to pull this all off and now you
[28:08.95]  have the company now there's that
[28:10.36]  there's that arc there's enough of a
[28:12.01]  runway to do it so as the most strategic
[28:15.19]  company I think out there why do you
[28:18.94]  stay independent oh yeah it's the early
[28:24.28]  days of the space it's fundamentally
[28:25.96]  changing I'm not sure how many people
[28:27.04]  are messing around with a our kit or a
[28:30.16]  arc or just the developer ecosystem that
[28:33.40]  went from a couple high-end tech folks
[28:37.06]  to now anybody with an iPhone 6s and
[28:39.55]  above I mean there's over 200 million
[28:41.02]  devices that an hour a are enabled
[28:43.69]  directly on the center piece and
[28:45.36]  location is a massive part of that I
[28:47.68]  personally think the
[28:49.75]  the AR and vr space is going to be
[28:51.79]  bigger bigger than the browser and
[28:53.85]  bigger than an immediate
[28:56.68]  platform-agnostic
[28:58.08]  like could if you were to join one of
[29:01.30]  the big platforms could you still do
[29:02.86]  what you were doing amazon has done it
[29:05.17]  with AWS yeah I you have to to be able
[29:09.67]  to collect the kind of to map the world
[29:11.32]  life you have to have a horizontal play
[29:13.75]  the reality is we weed power better
[29:17.20]  turn-by-turn directions for car
[29:19.21]  companies because of snapchat and that
[29:23.20]  is not a logical bridge that many people
[29:25.57]  have believed in in the past but the wit
[29:27.73]  house sensors are changing in the level
[29:29.83]  of connectivity happening and the high
[29:31.12]  fidelity of data I mean here's what's
[29:32.59]  changing let's be clear the map the map
[29:35.92]  up to now has been designed for you
[29:39.10]  you're the interface with the world
[29:41.58]  right you need a level of accuracy for
[29:44.05]  you to understand where you are when the
[29:46.66]  person starts being removed the level of
[29:49.15]  accuracy the level of detail the level
[29:50.77]  of real-time this is gonna get insanely
[29:52.72]  hard so mapping is the future in the
[29:55.57]  last few seconds here any so you any
[29:59.14]  final advice on your journey what you
[30:01.60]  learned and what you would do the same
[30:04.09]  or differently and advice it's it's it's
[30:07.36]  hard and there's nobody to talk to so
[30:08.92]  try to find other people going through
[30:10.33]  hard stuff I went I happen to meet other
[30:13.36]  founders in the open-source space but
[30:16.00]  they're literally nobody know for all
[30:17.86]  those hands that went up on the
[30:18.76]  bootstrapping side it sucks and you know
[30:24.19]  fuss really comforting yeah
[30:25.84]  just just keep at it because the most
[30:28.54]  important thing it was not getting to
[30:30.16]  the fundraising standpoint the most
[30:31.66]  important thing was really me finally
[30:34.21]  getting to know myself through that
[30:36.01]  process and that that's been the most
[30:37.90]  transformative I grew up and I learned
[30:40.93]  so much about myself over these last you
[30:43.42]  know 7 plus years it's it's crazy to
[30:46.78]  realize that I might not have known
[30:48.01]  myself if I took easier options out
[30:50.11]  mm-hm
[30:50.95]  what an amazing journey you've been on
[30:52.75]  but what amazing journey ahead Eric
[30:54.25]  thank you thank you
[30:56.70]  you
