Title     : Guidewire:  From $0 to $6B, The Biggest SaaS Success Story You've Never Heard Of
Video ID  : u6-ZY85AI-A
[24:59.99]  either ran out of capital or they did
[25:01.46]  not capture enough market to be
[25:02.84]  interesting companies in the long run
[25:05.08]  the final thing I'll say is that you
[25:07.43]  know in that era perhaps when that that
[25:09.20]  table pounding was happening the idea of
[25:11.72]  building a vertical software company was
[25:13.40]  was definitely counterintuitive right it
[25:16.25]  wasn't a big enough market it's hard to
[25:18.23]  sell to whatever it might be I think I
[25:20.93]  would like to think the guidewire along
[25:22.94]  with a few other super examples like
[25:24.47]  Viva was a more successful company than
[25:26.09]  guidewires have proven that if you solve
[25:29.51]  a deep enough problem that's in those
[25:30.98]  deep those very deep problems tend to be
[25:32.60]  industry specific and you do it in a
[25:35.00]  sufficiently general fashion to capture
[25:36.80]  enough enough market space you actually
[25:39.20]  can create an interesting and
[25:40.82]  independent software company and so I'm
[25:43.22]  very gratified that we were able to
[25:44.81]  prove that in our own little world it's
[25:46.88]  great so let's move to current day so
[25:49.64]  you're really a two-part question which
[25:51.62]  is number one do you think God wire-like
[25:53.71]  opportunities exist today you know
[25:56.95]  twenty years into the cloud movement you
[25:59.54]  know and and and and SAS and so forth
[26:01.79]  and then the second question is do you
[26:04.67]  think you can pull it off today
[26:06.02]  you know investors are more short-term
[26:08.36]  minded people want to see quicker
[26:10.34]  success we live in a recurring revenue
[26:12.65]  model you know early days of guidewire
[26:15.86]  my guess is you got to take advantage of
[26:17.63]  you know upfront licenses and help fund
[26:20.51]  the business so you're very capital
[26:21.86]  efficient how do you think about trying
[26:24.41]  to do god warranties and environment
[26:26.45]  advice for sure entrepreneurs that are
[26:28.79]  going after these kinds of opportunities
[26:30.38]  right well with my end of one I offer
[26:32.69]  the following observations which is
[26:34.10]  first there's no question that they're
[26:35.54]  very deep vertically specific market
[26:37.46]  opportunities out there I think by their
[26:40.22]  nature they're not ideas that you can
[26:41.96]  think up in the shower I think they're
[26:43.55]  ones that require really getting into
[26:46.04]  the traffic and understanding and
[26:47.42]  talking to people in the industry we did
[26:49.16]  that in our case after founding the
[26:50.66]  company but the first year and a half of
[26:52.25]  the company was without salary you know
[26:54.26]  was really without customers where the
[26:56.15]  job of half of us as founders was just
[26:58.04]  to talk to as many people in the
[26:59.18]  industry as possible so that we could
[27:00.59]  speak the language and have an acute
[27:02.39]  understanding of the problem we were
[27:03.62]  trying to solve and these things a lot
[27:05.93]  of it's very unglamorous and technical
[27:07.28]  and specific but that's it takes that
[27:10.19]  kind of legwork I think to know what
[27:12.08]  that opportunity is and again they tend
[27:13.91]  to be things very specific to the
[27:15.17]  industry that even supposedly
[27:17.36]  verticalized companies like sa P and
[27:18.95]  Oracle are really only the most
[27:20.96]  superficial level of understanding of
[27:22.37]  right so so emphatically yes there are
[27:24.77]  major opportunities of that type I
[27:26.57]  believe now as for getting it funded and
[27:29.27]  getting it underway extremely difficult
[27:31.57]  but I think if you find an investor that
[27:33.86]  requires and is expecting some kind of
[27:35.60]  explosive social networking kind of
[27:37.37]  growth it's just not it's not there
[27:39.29]  right but I think it is a radically
[27:42.20]  easier time to be an entrepreneur in
[27:43.64]  that you have so many more thoughtful
[27:46.94]  investors that are willing to bet on on
[27:50.99]  more complex kinds and more kind more
[27:53.68]  intricate kinds of theses for where the
[27:56.03]  value will be created as opposed to
[27:57.44]  those saying well if you don't look like
[27:58.52]  Siebel or Oracle it's probably not an
[28:00.80]  interesting software company right and I
[28:03.53]  think it may take a little more time to
[28:05.72]  find that investor that aligns with it
[28:07.67]  but I think you have many more choices
[28:09.43]  than ever before but it does take
[28:12.05]  patience and if I have one criticism of
[28:14.51]  the current entrepreneurial environment
[28:16.19]  that I witness it's it's a lack of
[28:18.32]  patience on the part of employees and
[28:20.84]  the part of entrepreneurs and investors
[28:22.18]  I don't want to be the you know the old
[28:24.86]  curmudgeon who just says things are much
[28:26.60]  harder than you and you whippersnappers
[28:28.19]  understand but my observation is that
[28:31.31]  things are always harder than they seem
[28:32.66]  and the attitude that it has to be
[28:35.45]  explosive and and and financially
[28:38.42]  explosive right up from the from the
[28:39.77]  start I think is just a very dangerous
[28:41.63]  expectation to go to go in with and it
[28:44.15]  won't allow you to solve a certain
[28:45.32]  category of very interesting problems
[28:46.79]  make sense makes sense let me ask you
[28:48.98]  one last question here which is Silicon
[28:53.42]  Valley lotta offers here outside of
[28:55.55]  Silicon Valley many are from Silicon
[28:57.47]  Valley any final parting thoughts on the
[29:00.38]  good and the bad of the valley and
[29:01.64]  particularly in today's Europe well
[29:03.32]  we're so looking around the company and
[29:04.46]  proud of it but we are kind of
[29:05.99]  aggressively diversifying away from it
[29:08.00]  turns out we had this ethos that look
[29:10.34]  we're in Silicon Valley they're the
[29:11.39]  smartest people here who know how to
[29:12.68]  build software very smart people here
[29:14.42]  there's more people elsewhere in the
[29:15.71]  world too and you know we have a
[29:18.17]  fantastic team in Poland one in Dublin
[29:20.08]  one in Exton Pennsylvania you know one
[29:23.60]  in Toronto and I think there is a kind
[29:27.32]  of dangerous ivory tower inward gazing
[29:30.22]  self-regarding kind of ethos that is
[29:33.59]  also dangerous I think in the valley
[29:35.12]  Knowles and I don't I would say now I
[29:38.27]  don't find any overwhelmingly compelling
[29:40.10]  reason why the best software companies
[29:42.62]  must come from within these few square
[29:44.09]  miles
[29:45.20]  I think there plenty of other places
[29:46.49]  that can happen great stuff well Marcus
[29:48.86]  thank you so much Congrats on the
[29:50.18]  amazing open to you bill
[30:00.48]  you
