Title     : Ben Chestnut:  The Top 10 Learnings Scaling Mailchimp to $1B ARR
Video ID  : wS4_TZCNLvs
[23:46.16]  you how did you Sur mentally get through
[23:48.48]  this so long how did you survive that
[23:50.12]  phase as a as a
[23:51.60]  entrepreneur well the the sixe slog of
[23:54.28]  being an agency isn't that hard it's
[23:55.88]  just survival the question was how do we
[23:57.44]  break through and become something great
[23:59.44]  how do we really Thrive then so we got
[24:01.96]  focused on you know passive recurring
[24:03.92]  income the answer software how do we
[24:05.64]  switch from services to software that
[24:08.52]  the Mantra at the time and um it was
[24:11.32]  very hard to let go of $50,000 projects
[24:14.28]  because we thought maybe we would get
[24:15.56]  $50 a month SAS clients that's let go
[24:19.20]  and the the mental trick everybody asked
[24:21.16]  me a lot of people go through this and
[24:22.32]  they're like how did you make the leap
[24:24.64]  and it was really simple for us I said
[24:26.76]  every every month at the end of the
[24:28.56]  month whatever monthly Revenue we made
[24:30.16]  for mailen we cash it out and stick it
[24:32.08]  in our pockets so we would split it
[24:33.88]  three ways and you would feel like you
[24:36.16]  it goes from like a a couple hundred to
[24:38.60]  a thousand to a couple thousand and you
[24:40.36]  have start to say whoa whoa this whole
[24:42.32]  software thing it's got legs let's try
[24:44.92]  that and so that was the thing that kind
[24:46.40]  of mentally made us all right we got to
[24:48.88]  switch from services to software that's
[24:50.60]  the future so it was a little trick and
[24:52.40]  we spent that money at the RAC trck we
[24:54.40]  we drove fast cars around room in an
[24:57.08]  oval uh well it is you were I I think
[24:59.80]  there's some ways you weren't lucky one
[25:01.56]  ways that sounds like you were lucky is
[25:03.28]  that because a lot of folks want to go
[25:04.76]  from an agency or a Services business to
[25:06.68]  software they see it they're running a
[25:07.92]  Services business they get really good
[25:09.32]  at the industry and they're like they
[25:10.36]  need this they need this specialized
[25:12.28]  email this specialized mapping tool but
[25:14.72]  you were able to do both at least long
[25:16.92]  enough to get Beyond race money you were
[25:19.84]  able to do both somehow and get a couple
[25:21.84]  thousand doll a month so you could you
[25:23.24]  could build a spreadsheet and say hey in
[25:24.68]  12 months this will eclipse the profits
[25:26.92]  are agency it's not everyone has up
[25:28.44]  other folks get get scared right it's
[25:30.20]  hard the agency's doing five six million
[25:32.40]  but there's a lot of people working
[25:33.36]  there and giving that up is can be it's
[25:35.36]  a chicken it can be a chicken in the egg
[25:36.64]  feeling for some folks right that's true
[25:38.92]  that's true I mean we were three people
[25:40.20]  so it's not like we left behind 10
[25:41.56]  people to your point um and it's also
[25:43.48]  not like we cut off all of that business
[25:45.16]  either all of those service clients that
[25:46.60]  we had that we were charging $50,000 a
[25:48.32]  month for internets and websites we went
[25:50.04]  to them and and we sold MailChimp to
[25:51.80]  them I mean they we still kept that
[25:53.68]  actually worked they still wanted they
[25:54.92]  wanted to they would buy another product
[25:56.52]  they would tuss me out most of them most
[25:58.08]  of them hated me and cussed me out for
[25:59.48]  ditching them on the website I see but
[26:02.92]  but still I mean I relented I you know I
[26:05.96]  I no I persisted on selling them and I
[26:08.24]  and I come my first few customers that
[26:10.04]  way now related to that I I tried
[26:12.92]  there's not enough I tried to look at
[26:14.60]  like all the public bootstrapped Cloud
[26:16.60]  companies there's there's not that many
[26:18.08]  right um but I tried to and look talk to
[26:20.64]  other Founders and triy to figure out
[26:22.56]  what's the downside to bootstrapping
[26:24.56]  right other you know it's not really
[26:27.04]  it's really I think that I tried there's
[26:29.20]  not enough companies I think it's time
[26:31.64]  and I think the average if you look at
[26:33.00]  alassian as an example and qualtrix
[26:34.96]  because those are you know they did
[26:36.04]  bootstrap Until the End both of them
[26:37.80]  took three to four years longer than
[26:39.56]  similar companies now the internet was
[26:40.80]  at a different time it was slower right
[26:42.44]  until the cloud took off but when folks
[26:44.64]  are trying to make that trade-off and
[26:46.64]  we'd all like to bootstrap who wants to
[26:48.16]  sell 90% of their company I mean no no
[26:50.88]  one except what at least not once you've
[26:53.08]  been through life right but if you if
[26:55.40]  you have to decide do you agree that
[26:57.92]  that sounds roughly right that the it's
[26:59.80]  time in the early days is the trade-off
[27:01.40]  if you had to advise other Founders yeah
[27:03.72]  it's it's basically
[27:05.20]  time yeah because it feels like you had
[27:07.88]  time at MailChimp in the early days you
[27:09.44]  had time right that you started here
[27:11.88]  when the world was slow and the world
[27:13.56]  had blown up and it's terrible but you
[27:16.12]  get time when the world stops right time
[27:19.52]  to evolve time to get through crisis
[27:21.44]  time to build your brand time to really
[27:23.36]  find the thing that's going to be really
[27:25.28]  10x not time to kind of sit on your
[27:28.28]  front porch and sit mint julips uh you
[27:31.40]  know but time to like build your
[27:33.08]  business strong build the roots strong
[27:36.16]  yeah yeah so just because you are the a
[27:38.68]  hero for many bootstrappers right if a
[27:41.12]  Founder came to you today pretty
[27:44.00]  competitive market a little bit worried
[27:45.80]  right and they just graduated from demo
[27:47.60]  days and could raise five or six million
[27:49.56]  with little work um and they had eight
[27:52.00]  competitors right and times clicking
[27:54.08]  would you tell them to still what would
[27:55.32]  your gut what just that what those facts
[27:57.04]  what would your gut gut as you know one
[27:59.16]  of the most successful bootstrappers of
[28:00.60]  all time what would you tell that
[28:01.88]  founder it's their choice not mine it
[28:04.32]  worked for me to bootstrap uh I tell
[28:06.56]  them about the situation I couldn't get
[28:08.28]  funding even if I wanted to after the
[28:09.80]  dot bust I was in Atlanta so don't don't
[28:13.80]  use me as a hero I'm no hero just uh and
[28:17.16]  I tell them to keep in touch I have no
[28:18.64]  advice for their deck for their pitch
[28:20.64]  deck I'm say I tell them I'm probably
[28:22.00]  the worst person to ask about your D she
[28:23.60]  never had to do one never done one um
[28:26.56]  and so I told will be the first one but
[28:29.04]  I tell them when you have your first
[28:30.68]  growth hurdles when you have trouble
[28:32.72]  come to me I I will you know come sit on
[28:35.12]  my couch uh I will share growth stories
[28:37.92]  with you all the pain and suffering and
[28:39.40]  doom and despair that I've been through
[28:41.48]  uh I'll help you out there all right let
[28:43.76]  me make sure we hit because we'll run
[28:44.96]  out of time I hit at least two things I
[28:46.68]  want to chat about one just ties to the
[28:48.88]  early days which
[28:50.40]  is Crisis right and doom and um we just
[28:54.92]  hit the whatever the dotom boom then you
[28:56.92]  talked about MailChimp took advantage of
[28:58.84]  the 2009 downturn right which more
[29:00.96]  people remember to do fremium right
[29:02.96]  right to come out of it and I've seen
[29:05.16]  actually a lot of e-commerce companies I
[29:06.48]  found did that right after March right
[29:07.92]  they launched gdpr plan I mean not GDP
[29:09.88]  we want to talk about that but um you
[29:11.72]  know covid plans that actually worked
[29:13.20]  right to help their small customers but
[29:15.44]  you reminded me with gdpr and a bunch of
[29:17.08]  other things you've had like four or
[29:18.44]  five almost existential crises at milch
[29:21.16]  including me the shutdown of email in
[29:22.88]  the early days right and that it doesn't
[29:25.00]  end and that I had hadn't thought about
[29:26.56]  gdpr was almost an existential threat
[29:28.72]  that's the whole business a part of it
[29:30.16]  right so share some of those learnings
[29:32.76]  and let's talk about GD bear because it
[29:34.12]  never ends right GD Paar was another
[29:35.88]  Potential Threat to the whole marketing
[29:38.56]  business and email right so it never
[29:40.72]  ends and what have you learned there
[29:42.48]  that's what I mean Doom is always
[29:43.68]  waiting around the corner as soon as I
[29:45.12]  walk around out this door it's waiting
[29:46.76]  for me yeah gdpr was you know it's it
[29:49.64]  changed everything uh for us we had to
[29:52.68]  redo our infrastructure to comply with
[29:54.72]  it um I could have taken it very
[29:56.88]  negatively
[29:58.28]  um as the capitalist that I am like darn
[30:00.64]  them but but I said you know let's think
[30:02.28]  about our customers our customers badly
[30:04.80]  need to comply it's confusing to them
[30:07.32]  they just want to know help me comply
[30:09.28]  MailChimp and so that's the attitude we
[30:11.24]  took and we spooled up a team and they
[30:13.28]  got it done uh is is it a happy ending
[30:15.88]  no gdpr really hurts marketing companies
[30:19.00]  financially it hurts um but the Silver
[30:21.96]  Lining is that you know it built a lot
[30:24.60]  of trust in our brand with a lot of
[30:26.68]  customers out there uh we helped them
[30:29.16]  comply with the regulation so they trust
[30:30.96]  us and we did something that really is
[30:33.20]  um you you would think it's a conflict
[30:35.16]  of interest for us it hurts us to comply
[30:38.24]  uh but we did it anyway to help small
[30:40.16]  businesses that's how much we care about
[30:41.76]  them and then also it gave us the code
[30:44.00]  base so now you know California launches
[30:46.16]  theirs and all the other states and
[30:49.00]  everywhere else and municipalities
[30:50.44]  launch their own uh privacy regulations
[30:52.64]  we kind of have the codebase to help us
[30:54.28]  scale that out um so become compliance
[30:58.08]  tool after I'm sorry you you become a
[31:01.00]  compliance tool you help right you solve
[31:02.56]  this problem right is that is that does
[31:05.68]  it do the customers know is that a
[31:07.80]  little bit of a moat for MailChimp now
[31:09.72]  are is being better at regulatory stuff
[31:11.44]  a Moote or are the customers not really
[31:13.52]  aware is it does it not rise to Mo level
[31:16.72]  I I think that this sort of stuff is is
[31:18.68]  not quite Mo level I'd like to believe
[31:20.48]  that it's Mo level um yeah I don't know
[31:22.92]  you know how it is a lot of startups
[31:24.28]  don't care about that don't care about
[31:25.80]  following those rules if everyone had to
[31:27.56]  force don't everyone was forced to
[31:29.28]  follow the rules then it would be a
[31:31.08]  great Moe yeah are do you think are
[31:33.88]  there any Moes at MailChimp Moes an
[31:35.40]  interesting question in a lot of SAS
[31:36.88]  products isn't it um besides brand are
[31:38.88]  there other modes you have I don't want
[31:40.52]  to lose my list right but even the list
[31:42.28]  is exportable from mimp right um yeah I
[31:45.84]  what is is is there set remote I don't
[31:48.40]  want one there we probably have one if I
[31:50.56]  had my chief strategy officer here he'd
[31:52.16]  probably be quick to remind me we have
[31:54.00]  plenty of Moes uh think about our
[31:56.12]  Enterprise Value Ben
[31:57.72]  um but I'm telling you my attitude is I
[31:59.48]  don't really want to mod I I just want
[32:01.32]  to keep running faster this my speed is
[32:03.72]  my only mode just stay ahead of the
[32:05.32]  curve listen as hard as I can to
[32:07.52]  customers and keep adapting crisis after
[32:09.68]  crisis just
[32:11.12]  adapt yeah well let's seeit Rel that
[32:13.84]  let's hit at least one last topic before
[32:15.48]  we run out of time because I when we
[32:16.68]  chatted before I found it really
[32:17.88]  interesting which is what you've done
[32:20.52]  with AI and ml um because these buzzword
[32:24.60]  outside of certain areas right facial
[32:26.40]  recognition and things that are
[32:28.12]  interesting right but it it's mail
[32:30.60]  chimp's interesting because you take a
[32:32.00]  product that back in the day was
[32:34.04]  relatively static I I'll write my
[32:35.60]  campaign I upload my images then maybe I
[32:37.60]  see a Time Warp a few other cool
[32:39.04]  features I had send um and you you you
[32:43.44]  you've bought some teams and added some
[32:45.36]  technologies so that it works and what
[32:47.00]  does AI ml mean for Founders right when
[32:49.00]  is it not a buzzword and but the idea
[32:51.68]  that my email and my marketing General
[32:53.72]  could be automatically generated and ab
[32:56.72]  tested did and improve like the ROI
[32:58.88]  especially e-commerce can be insane
[33:00.88]  right if that can increase my
[33:02.76]  click-through rates five even 5%
[33:05.28]  whatever it is it's it's crazy so what
[33:07.16]  what's real here and what have you
[33:08.28]  learned about Ai and ml well thank you
[33:10.92]  maybe that's my moat maybe oh it's maybe
[33:14.48]  yeah it ca by the way it came from
[33:15.96]  fremium it came from wanting to help
[33:17.44]  small businesses and then what that what
[33:19.08]  that has led to is millions of small
[33:21.16]  businesses importing their lists and
[33:23.08]  that has led to four billion email
[33:24.60]  addresses and trillions of interactions
[33:26.56]  at those email addresses have so we know
[33:29.00]  a little bit about what makes better
[33:30.96]  marketing and what gets sales so we're
[33:34.08]  Ai and ml to me is like first of all
[33:36.44]  just parsing the data and then and
[33:38.80]  recommending the next action so yeah we
[33:40.92]  made an acquisition a couple of years
[33:42.56]  ago in Sawa we pulled them into
[33:44.16]  MailChimp and yeah it's called our
[33:45.84]  creative assistant and it uses machine
[33:47.60]  learning and uh what it does is it it it
[33:50.48]  looks at all of our users and it
[33:52.08]  recommends how to design your email
[33:54.48]  campaign but then it takes it a step
[33:55.72]  further and says gosh you've got like a
[33:57.72]  bajillion different size formats you've
[33:59.52]  got to worry about now let us go ahead
[34:00.92]  and make a carousel ad in Facebook for
[34:02.84]  you let us go ahead and make a a Twitter
[34:05.12]  card let us go ahead and resize all of
[34:06.76]  that for you and it makes it look really
[34:08.60]  beautiful at the same time so it's just
[34:11.12]  to to me Ai and ml is really just about
[34:13.72]  parsing crap tons of data from premium
[34:17.04]  and doing something useful for our small
[34:18.84]  business customers and what we've all
[34:21.84]  been you know trying to do things for
[34:24.20]  for a decade what's what's what's the
[34:26.28]  step function is there something really
[34:27.64]  different today beyond the buzzwords
[34:29.48]  what can you do today with AML that you
[34:32.68]  couldn't do in 2015 or 2016 what's
[34:35.08]  what's truly
[34:36.12]  different it it speeds things up it it
[34:39.40]  it's just it allows small businesses to
[34:41.16]  be everywhere at at once they have to be
[34:43.44]  on 247 how do you do that when you're
[34:46.12]  busy running your business you know you
[34:48.44]  can't be there sending marketing
[34:49.64]  campaigns and resizing them all day but
[34:51.96]  this technology helps to resize and
[34:53.80]  automatically push those campaigns out
[34:55.84]  even while they're sleeping
[34:57.76]  got it um all right maybe one last
[35:00.48]  question because we will run out of time
[35:01.88]  and then I will in case there's
[35:03.72]  something you want to hit let me make
[35:04.68]  sure I I leave one last uh thought but
[35:07.60]  these are like really weird times in the
[35:09.20]  cloud right I mean we have 40%
[35:10.76]  unemployment we're we're working from
[35:12.48]  home um and yet some folks are
[35:15.96]  benefiting right clear clearly from this
[35:17.72]  from from living in the cloud like a
[35:20.08]  science fiction novel and then there's
[35:21.72]  other folks that are decimated right
[35:23.28]  travel and and events but you've lived
[35:26.12]  this for folks the middle I call them
[35:27.60]  the covid impacted right their business
[35:30.00]  is is hurting because especially if they
[35:32.16]  sell the
[35:33.04]  smbs but they're not dying what's your
[35:35.64]  advice to them right they don't have all
[35:37.12]  the answers they didn't get a big boost
[35:38.76]  like like a Shopify or a zoom what's
[35:40.76]  your advice having done this five times
[35:42.36]  I would you tell the co impacted um when
[35:45.68]  it's tough but not not over any any any
[35:48.92]  any best advice from these Doom
[35:50.76]  experiences yeah don't pause don't pause
[35:53.84]  don't pause
[35:55.80]  pivot don't Rel keep keep persisting and
[35:59.88]  keep trying new things uh don't stop so
[36:03.80]  you I've heard you say that don't pause
[36:05.64]  pivot it is it's it's it's it sounds
[36:07.84]  really good right but what is it really
[36:10.20]  what is it really because if you if you
[36:12.00]  dissect it some folks would say don't
[36:13.52]  pivot stay the course right the the E
[36:15.92]  like your office the economy will be
[36:17.52]  back so what do you really you don't
[36:18.76]  really mean drop your product um you
[36:20.52]  mean something different uh you know we
[36:23.00]  have a local restaurant that serves
[36:24.76]  amazing hamburgers uh to go there all
[36:27.36]  the time they can't serve that right now
[36:29.28]  so what do they do they deliver but you
[36:30.76]  can't deliver hamburgers that's not very
[36:32.72]  scalable they deliver family meals they
[36:35.68]  they took that BR beef they turn it into
[36:37.28]  meatloaf and mashed potatoes sow french
[36:39.20]  fries I got mashed and I can serve my
[36:41.04]  entire family every night so that's it's
[36:43.20]  an example of pivoting they didn't
[36:44.44]  relent they just kept experimenting and
[36:46.16]  trying new things there's still a
[36:47.72]  restaurant you know um so that's all I
[36:50.32]  mean and for for us during all of the
[36:52.40]  different crises it was all about get in
[36:54.88]  front of customers and talk to as many
[36:56.40]  as you can and find out how to be the
[36:58.08]  most useful to them even at MailChimp we
[37:00.76]  pivoted a little bit ourselves we were
[37:02.24]  we were working on a big gigantic
[37:03.84]  product in e-commerce and we said no no
[37:05.36]  no no narrow it down get all of these
[37:07.12]  people who are you know unemployed right
[37:09.24]  now and trying to sell their hot sauce
[37:11.12]  Grandma's hot sauce recipe you know or
[37:13.64]  their pilates class and help them build
[37:16.20]  give them a domain name help them build
[37:17.64]  a landing page and put a damn buy button
[37:19.60]  on there and help them make some money
[37:21.20]  so we're you know we're pivoting
[37:22.44]  ourselves a little bit there focusing on
[37:24.04]  some of those landing pages with buy
[37:25.44]  buttons will be we'll be launching real
[37:27.28]  soon so that's what I don't pause uh you
[37:31.48]  know pivot and like um so we should
[37:34.48]  almost break there but just one tactical
[37:36.68]  question I will ask you if this one last
[37:37.88]  thing you want to share and then we'll
[37:38.80]  break but so all you've compressed a
[37:41.16]  your your pivot was going even deeper in
[37:42.80]  e-commerce since March 15th right
[37:44.84]  bringing out buy doing this whole Suite
[37:46.36]  to help even more even though you've
[37:47.28]  been e-commerce since day one which I
[37:48.76]  hadn't thought about till this right how
[37:50.92]  do you um how do you when you add
[37:53.52]  something new how do you communicate to
[37:55.52]  that customers if even if maybe it's
[37:57.08]  something they weren't expecting I
[37:58.12]  wasn't expecting MailChimp to be an
[37:59.84]  automation Suite marketing automation
[38:01.24]  Suite I might not have been expecting
[38:02.84]  MailChimp to do even more in e-commerce
[38:04.76]  right with stripe integration I know I
[38:07.08]  think it's more complicated than you
[38:08.24]  think how do you how do you share this
[38:09.64]  with your customers without overwhelming
[38:11.12]  them and if maybe they weren't expecting
[38:12.56]  that from you right they weren't
[38:13.76]  expecting you to go in these
[38:15.80]  areas email helps did you that would
[38:19.16]  answer other way it does help
[38:21.56]  communication and emails helps but also
[38:23.40]  we we're relying a lot on our partners a
[38:25.84]  lot of our small business bus I'd love
[38:27.16]  to believe that small business
[38:28.00]  entrepreneurers log into MailChimp and
[38:29.44]  do all of their marketing a lot of them
[38:30.72]  rely on Partners agencies and partners
[38:33.28]  and creative agencies yeah and we have
[38:34.76]  to really communicate to them everything
[38:36.80]  that we're doing yeah we miss for folks
[38:39.08]  that don't work in the space in EC you
[38:40.76]  miss how how important agencies are
[38:42.68]  right they're the ones doing the
[38:43.92]  deployment for so many things in
[38:45.80]  marketing and e-commerce I I don't know
[38:47.32]  how to do this right um and uh manyways
[38:50.72]  they're the customer right at least
[38:52.08]  they're the initial C you have two
[38:53.28]  customers don't you yeah yeah you know
[38:55.16]  you take those take your clients out for
[38:56.80]  dinner and then U you know when they
[38:58.56]  drink a beer you know you say why did
[38:59.96]  you choose nail Che and they'll name all
[39:01.28]  the features and why and why they love
[39:02.84]  you and then let them drink a little bit
[39:04.32]  more and they say why though why why why
[39:06.28]  and then they'll finally after the sixth
[39:08.04]  time you ask they'll say you know I
[39:09.60]  don't know my agency signed my agency
[39:11.80]  signed up for me CH and then you to the
[39:14.16]  heart of it it's like a I I gotta go
[39:15.84]  talk to the agency now yeah yeah and do
[39:18.48]  you have um do you have like in the in
[39:21.96]  the earliest say do do you Market to the
[39:23.52]  agencies differently do you have a team
[39:25.08]  just working on agency enabl and all
[39:26.88]  that sort of stuff or is that or is that
[39:28.64]  too nuanced one of the things you can
[39:30.48]  rely on a Cool brand for many many years
[39:32.68]  and then the agcy want to be cool too so
[39:34.64]  they're going to reand and over time you
[39:36.52]  have to get uh you know systematic about
[39:38.40]  it and intentional and build a program
[39:39.96]  around and that's something that we've
[39:40.92]  been doing the last couple of years yeah
[39:43.96]  well it's cool Ben this was incredible
[39:45.52]  is there anything anything I missed that
[39:47.44]  you wanted to hit or chat about at the
[39:48.88]  very end no I hope all the entrepreneurs
[39:50.92]  out there uh you know see us and and
[39:53.08]  recognize we are transitioning from act
[39:55.28]  one to act two so uh watches I'm excited
[39:59.60]  let's continue the discussion about act
[40:01.12]  two I think this is one of the great
[40:02.56]  case studies right MailChimp the the
[40:04.64]  learning the premium doing it
[40:06.64]  bootstrapped and then taking depending
[40:08.96]  on how we count 12 years to go to act
[40:11.52]  two right whether we start in 2007 2009
[40:14.40]  2001 it's a slow it's a slow roll to act
[40:17.04]  to right it's a slow rooll to get to 10
[40:19.08]  billion in Revenue characterize it as
[40:20.40]  slow you can characterize me like making
[40:23.04]  lots of money deliberate yeah lots of
[40:24.84]  lots of money yeah so I want I want to I
[40:27.44]  want to track the next 10 years uh for
[40:30.04]  fun as a as a fan and as a case study
[40:32.92]  right it's going to be a fun case study
[40:34.16]  to see how MailChimp evolves on these
[40:36.28]  two vectors so we will keep pastoring
[40:38.44]  you Ben to share your learnings over the
[40:39.88]  next 10 years uh on on phase two so
[40:42.48]  thank you again for the time this has
[40:43.68]  been uh this has been tremendous and
[40:45.04]  thanks to everyone for tuning in yeah
[40:47.72]  lot of fun
[40:52.00]  thanks
