Title     : "7 Tips and Tricks to having happy customers at Scale" New Relic  EVP, Roger Scott
Video ID  : zZVoW_Q_tOc
[26:54.15]  got a funny accent I'm not British
[26:57.03]  before that seems to be the general
[26:58.83]  thing in the u.s. people think I'm
[27:00.06]  British but I bought I grew up in Cape
[27:02.64]  Town South Africa spent half of my life
[27:06.30]  living there it's a beautiful city for
[27:07.80]  those anybody who's been there will be
[27:09.24]  able to attest to the fact that it's an
[27:10.65]  absolutely stunning place to go it's got
[27:12.27]  a really unique culture amazing people
[27:15.62]  as I think most of you in the audience
[27:18.36]  will know South Africa went through a
[27:19.71]  remarkable transformation in the late
[27:21.36]  80s Early 90s coming out of apartheid
[27:23.67]  the release of Nelson Mandela and part
[27:26.58]  of the process of moving to a truly
[27:29.94]  democratic country and rewriting the
[27:32.73]  whole Constitution was this philosophy
[27:36.96]  of Ubuntu now most you are suspecting in
[27:39.06]  in the audience you know Ubuntu from a
[27:41.61]  bunch of Linux Mark Shuttleworth company
[27:43.47]  but a Bunty is a ngd Bantu term that
[27:46.38]  effectively means humanity and it's
[27:48.99]  literal translation is I am because you
[27:51.12]  are and that I can't be successful or
[27:54.81]  happy without you and it was the
[27:57.24]  cornerstone of the Truth and
[27:58.29]  Reconciliation Commission in South
[27:59.61]  Africa which encouraged people who have
[28:01.41]  committed atrocities in a party to come
[28:03.12]  forward and volunteer some of the things
[28:05.49]  they're done and you would not be
[28:07.62]  charged if you came forward voluntarily
[28:08.94]  and you could provide closure because
[28:11.64]  people believed in this a bunch of
[28:13.08]  philosophy and it's one of the things
[28:15.48]  I've tried to instill in my team as
[28:16.98]  we've built out a successful SAS company
[28:18.90]  is we are because they are we are only
[28:22.44]  successful because of our customers and
[28:24.27]  if we not focused on those day in and
[28:26.07]  day out and thinking of how we support
[28:27.72]  them we're not going to achieve the
[28:30.24]  goals and aspirations that we have as a
[28:31.95]  company so with that I'd like to thank
[28:34.53]  you very much for take
[28:36.00]  spending the last 30 minutes with you
[28:37.95]  and hope that you enjoy the rest of the
[28:39.84]  conference
[28:40.26]  thank you very much
[28:41.14]  [Applause]
