Title     : The Office is Back!!  But What Will It Be Like?  Jason Lemkin & Justin Bedecarre of Raise.Work
Video ID  : 0MnlhVXUo3Q
[26:14.00]  according to like you know the badge
[26:15.44]  data um but but definitely in kind of
[26:18.72]  like you know southern states it's it's
[26:21.20]  much higher right it brings up brings up
[26:23.20]  the average um and you know
[26:25.92]  like places like houston i think is is
[26:28.24]  is across the board
[26:30.32]  you know almost to 50
[26:31.92]  um and so that's where the fascinating
[26:33.60]  data is is you know um where where um
[26:38.24]  the pandemic has kind of been over and
[26:39.84]  people are there's been no restrictions
[26:41.76]  like you know you do see folks that like
[26:44.24]  want to get back
[26:45.60]  yeah just to give you just a kind of
[26:46.72]  levels up there right so we're in the
[26:48.24]  we're in the single digits
[26:49.92]  in in new york right through
[26:53.52]  of occupancy
[26:55.28]  right the peak or nader however we look
[26:56.80]  at it yeah single digits right yeah
[26:58.48]  right and
[27:00.24]  now and and as justin said you know at
[27:02.88]  the
[27:04.08]  peak of occupancy was like 60 or so
[27:06.48]  right and now if new york is hovering on
[27:08.24]  30 percent that's 50 back
[27:10.80]  yeah that's a good way to let let's wrap
[27:12.96]  this point up if new york's 50 back
[27:14.80]  right for folks trying to get their arms
[27:16.00]  around it that's a really great way to
[27:17.04]  see it right that's unacceptable
[27:18.72]  and accelerating right
[27:20.40]  so
[27:21.20]  it took me that was my thesis it took me
[27:23.12]  a while to figure this out we were
[27:24.16]  trying to figure out what to do with our
[27:25.12]  little sf office which we've been into
[27:26.56]  four times in the last two years but
[27:28.48]  then i realized it's not new york but
[27:30.24]  like we just should just keep it because
[27:32.32]  it'll in six months we won't be able to
[27:34.16]  find it there's just no that's right we
[27:35.92]  just want we're not paying much for it
[27:37.76]  it's so pretty it's built i love that
[27:39.52]  office and it's like you know we don't
[27:41.92]  use it but like one of our guys is there
[27:43.92]  today it's like we'll never like it
[27:45.52]  we'll never go back and it will ever
[27:47.52]  we'll never go back to sf if we let it
[27:49.28]  go but that's a good number we're
[27:51.20]  halfway back and accelerating so that
[27:53.52]  kind of ties to find your office in six
[27:55.44]  months if you want to do it in a low
[27:56.64]  drama way that's what we're saying the
[27:58.56]  data center
[27:59.68]  today supports it i think and we saw it
[28:01.36]  you kind of sought it when you're
[28:02.64]  following the residential side of the
[28:04.32]  market
[28:05.28]  of the the the you know the activity
[28:07.76]  level and pricing
[28:09.28]  was was changing in favor of the owner
[28:12.48]  or the landlord quickly yep so once you
[28:15.28]  start to see people coming back and
[28:16.72]  wanting to be back to live in the city
[28:18.96]  that then
[28:20.16]  kind of
[28:21.20]  you know start to move the needle on
[28:23.12]  occupancy
[28:24.48]  so let me just hit two more things
[28:25.52]  before we run out of time
[28:27.20]  one once one's a little bit nerdy but
[28:29.52]  back in the day when i was briefly a vp
[28:32.00]  at adobe adobe was the last tech company
[28:34.32]  to go from offices to shared workspaces
[28:36.96]  right and i moved in there and i'm like
[28:38.96]  offices like they're so quiet they suck
[28:41.60]  this is such an old company then i
[28:43.52]  realized man it's great for engineers
[28:46.08]  great first it was a mistake
[28:48.16]  and i was a vp or the most junior svp
[28:50.72]  and i sat with the finance team they
[28:51.92]  said the reason we're doing this is we
[28:53.20]  can increase density 40 that's right
[28:55.44]  okay that would have nothing to do it
[28:56.80]  was a cost issue 40 they could jam more
[28:59.36]  into the two towers and adobe is adobe
[29:01.04]  one so related question
[29:04.16]  how does load work on spaces how many
[29:06.32]  square feet do i need for how many
[29:07.92]  employees that are there how much are we
[29:10.00]  jamming are we going to jam even more
[29:11.84]  people into our office is it less how
[29:13.84]  does this load and head count per square
[29:16.40]  foot math work in this new world because
[29:18.32]  i don't know what the formula is anymore
[29:19.92]  so um oh man a lot to unpack here so um
[29:23.36]  what's fascinating um the u.s bureau of
[29:26.16]  labor statistics just just published
[29:28.40]  some really incredible numbers and you
[29:30.72]  know harvard business review business
[29:32.88]  insider bloomberg all covered it only
[29:35.52]  5.5 percent of businesses have reduced
[29:38.16]  their their square feet um relative to
[29:40.88]  how many employees they have um in the
[29:43.36]  country and um there's a lot of reasons
[29:46.32]  for that um but what we're seeing is
[29:49.28]  that like and and by the way
[29:51.60]  love it or hate it the vast majority of
[29:53.84]  companies are going hybrid right like
[29:55.76]  yeah you know we did a study of the top
[29:57.60]  160 yc most valuable uh yc companies
[30:01.44]  um published last year uh 81 of them are
[30:04.64]  going hybrid in some form or fashion but
[30:06.56]  let's be clear that and i think some of
[30:08.00]  this is sad just like offices were said
[30:09.84]  that means you're not going to get a
[30:10.64]  dedicated desk
[30:11.92]  okay that's not true
[30:13.60]  to me that's the pro that's the one as
[30:15.52]  an old timer i'm not willing to go to
[30:17.44]  non-dedicated
[30:18.80]  trust me we have that plummet in
[30:20.84]  productivity to doing their hoteling
[30:22.56]  right yeah so we have we we definitely
[30:25.12]  um go back and forth on this at raise
[30:26.96]  too um and you know sometimes it just
[30:29.36]  kind of happens that way that you kind
[30:30.72]  of just go to the same one well the
[30:32.48]  finance folks are gonna tell you you'll
[30:33.84]  save a lot of money hoteling right and
[30:35.52]  with and with hot hot desks right right
[30:37.92]  so yeah so so what kind what what a lot
[30:40.40]  of our clients are doing is um like
[30:43.28]  basically you ha like every employee has
[30:46.64]  to
[30:47.44]  kind of put a stake in the ground for
[30:49.36]  six months or nine months or twelve
[30:50.88]  months sometimes and say like i'm uh in
[30:53.52]  office which means three or more days a
[30:55.68]  week or hybrid flex and then like you
[30:58.56]  get a hot desk and then remote first
[31:00.72]  means that like you know you
[31:02.72]  you can pop in and out when you want but
[31:04.56]  like you know and there's some really
[31:06.64]  cool tools like one of our clients envoy
[31:08.72]  does a lot of this stuff but like um and
[31:11.04]  so that's how a lot of companies are
[31:12.64]  doing it it it it really depends on
[31:16.16]  um how often you're going to be in there
[31:18.48]  yeah 60 percent more time you get a
[31:20.24]  dedicated desk this is becoming a pseudo
[31:22.16]  standard right
[31:23.52]  um yeah right and that that makes sense
[31:25.52]  that way you can plan around it right um
[31:27.92]  doesn't it that doesn't mean you're
[31:29.12]  going to cram more poor poor employees
[31:31.20]  into the same amount of space
[31:32.88]  so yes we're not seeing a drop
[31:35.52]  we're not no you're not yet um
[31:38.40]  square feet per person it's still i
[31:40.00]  think what 200 in new york 150 square
[31:42.24]  feet in san francisco it varies um
[31:45.52]  market to market um but we're not seeing
[31:47.84]  a huge drop and like i think you know um
[31:51.12]  like
[31:52.24]  a lot of people ask us like are we
[31:53.76]  actually gonna be able to do better work
[31:56.40]  or you know in hybrid offices right well
[32:00.08]  like i would argue that hybrid offices
[32:02.96]  are are maybe a move into being able to
[32:05.28]  do our best work because you know
[32:07.52]  they're gonna have dedicated quiet times
[32:09.60]  they're gonna have like communal space
[32:11.20]  that are like separate they're gonna be
[32:12.72]  designed that way like you know some
[32:14.80]  folks are just going to have you do
[32:16.00]  focus work outside of the office and
[32:17.76]  then come in for like you know the
[32:19.68]  serendipity and the fun um and so i
[32:22.64]  think that there's going to be an
[32:24.08]  amazing
[32:25.52]  um
[32:26.80]  improvement to design to like kind of
[32:29.12]  really figure out that balance um but
[32:31.76]  that has been a surprising thing i like
[32:34.24]  i think um yeah we did something early
[32:36.88]  in the in the pandemic and i had
[32:39.12]  predicted that like it was actually
[32:40.40]  going to be a little bit more per square
[32:41.68]  foot per person um because it just takes
[32:43.92]  a lot to do it's not the same
[32:46.08]  but yeah you might need you might need
[32:47.68]  more office space to handle the ebb and
[32:49.84]  flow and flots of injections the
[32:51.28]  collaboration per person right yeah
[32:54.32]  i think that we're also going to see um
[32:56.88]  you know
[32:57.76]  uh
[32:58.80]  uh and i think you alluded to this like
[33:00.56]  small smaller concentration but like
[33:03.84]  a a really interesting result of all
[33:06.72]  this is that like you know companies are
[33:08.64]  going to have more offices not less well
[33:10.80]  that was the penultimate point i wanted
[33:12.16]  to put is the rise of what we used to
[33:14.08]  call satellite offices but i don't even
[33:15.60]  know if that's the right term anymore
[33:16.88]  right
[33:17.76]  yeah sure hub satellite office
[33:21.44]  everyone has groups of employees in
[33:23.84]  multiple places now that we didn't used
[33:25.44]  to have right
[33:26.56]  i mean you know one of our
[33:28.16]  one of our clients mercury which is like
[33:30.08]  a really really successful um you know
[33:32.64]  fintech company um and they publish this
[33:35.04]  so i can share it like um you know
[33:37.28]  around 100 employees they had six off
[33:39.92]  four you know five or six offices
[33:42.32]  and that would have never happened
[33:43.60]  earlier like you know we have six
[33:45.36]  offices i mean we're a little bit
[33:46.64]  different as you know but like companies
[33:48.88]  smaller companies are having more
[33:50.24]  offices sooner um because you know they
[33:52.88]  can have four or five folks together and
[33:54.56]  like you know they want to spend some
[33:56.08]  time together um and and like you know
[33:59.12]  we're doing a lot of really cool stuff
[34:00.48]  around
[34:01.44]  our products to help with that
[34:03.12]  and i think there's two two layers that
[34:04.72]  i think are our clients are realizing
[34:07.28]  that you know in terms of the war for
[34:09.20]  talent they have to accommodate this
[34:11.60]  right the talent is now they have an
[34:13.04]  opportunity to take town from any parts
[34:14.64]  of the world or any parts of the country
[34:16.48]  so you're starting to create that as the
[34:19.44]  you know they want to you know have that
[34:21.20]  ability to retain that that talent the
[34:23.84]  second thing we're literally just on the
[34:25.12]  phone with a high growth fintech company
[34:27.20]  this week
[34:28.24]  and we start to talk about workplace and
[34:30.32]  understanding what their vision is and
[34:31.68]  they have some significant group several
[34:33.36]  hundred employees of growth in the next
[34:35.68]  24 months and the head of what had a
[34:37.84]  workplace said
[34:39.20]  i needed a dedicated seat per employee
[34:42.40]  okay and that that that has everyone has
[34:45.04]  a physical space if they're not there
[34:46.72]  maybe they're there maybe they're there
[34:47.76]  four days a week they're three days
[34:49.44]  right but they're like me they they
[34:50.80]  believe that's music
[34:52.24]  yeah
[34:53.04]  so just to finish that point up does
[34:54.80]  that and then i want to hit one last
[34:56.00]  thing and then we'll break but sure
[34:58.24]  my intuition once we at the beginning of
[35:00.24]  all this was startups would take more
[35:02.48]  space as as hybrid companies because
[35:05.84]  if you kept your hq you would need more
[35:08.00]  offices to handle more of your team and
[35:09.60]  then actually not only space but and
[35:12.16]  cost would go up right because even no
[35:14.16]  matter what happens three times the
[35:16.00]  offices
[35:17.20]  right or we're paying even our little
[35:19.52]  team which doesn't get we're paying i'm
[35:20.72]  paying twice in rent what i did before
[35:23.12]  all of this right so as founders
[35:26.08]  uh and but there's a handful of startups
[35:27.76]  i work with that pay no rent now right
[35:29.20]  but on average you think this is going
[35:31.12]  to drive costs up because we need more
[35:33.60]  spaces and there's not less effective
[35:35.44]  density in our headquarters
[35:39.36]  it's hard to tell i mean
[35:41.12]  so many things are
[35:43.20]  inflated in pricing and things like that
[35:46.00]  construction costs furniture
[35:47.84]  everything's taking longer everything's
[35:49.28]  more expensive so so like that stuff
[35:51.20]  will level out um and then i think that
[35:53.52]  like the other thing that we've seen is
[35:55.12]  that um
[35:56.56]  if the strategy was just take as much
[35:58.72]  space as possible concentrate in one
[36:00.48]  place um we like companies have been
[36:03.12]  really effective at like subleasing you
[36:05.52]  know floors
[36:06.72]  uh to other companies and so you know um
[36:09.60]  like uh brian armstrong had a great post
[36:12.00]  um the ceo of coinbase he's like i want
[36:14.72]  you know um one floor and ten cities
[36:17.36]  rather than ten floors in one city right
[36:19.84]  and yeah we want that i think it costs
[36:21.68]  more than 10x does it cost a little bit
[36:23.20]  more to maintain 10 offices i think it
[36:24.72]  might cost 13x or 14x to achieve that
[36:27.44]  vision that's my guess
[36:29.12]  it depends i don't think it's that much
[36:31.12]  because you know
[36:32.72]  where you are office space the cost of
[36:34.64]  office space in san francisco and new
[36:36.08]  york are so great and so meaningfully
[36:38.48]  low but they're soft costs right there's
[36:40.32]  soft costs you know there's there's
[36:41.92]  people there's you know um it's it's one
[36:44.72]  of the things that i was most excited to
[36:47.52]  kind of
[36:48.40]  build um through um and i don't want to
[36:51.12]  you know make this an advertisement
[36:52.24]  outrage but like with like we bet on
[36:55.12]  like the complexity it's just more
[36:57.68]  complex to manage ten leases then it is
[36:59.92]  more complex that's part of your
[37:01.28]  software solution but
[37:02.96]  the full i think the fully burdened cost
[37:04.64]  of 10 offices is more than one
[37:06.96]  okay the complex that i'm not saying
[37:08.72]  your least costs are but
[37:10.80]  yeah it's kind of educated right it's
[37:12.56]  complicated right agree and you guys are
[37:14.32]  helping to solve it okay last very last
[37:15.84]  question related to that who's first
[37:17.84]  some fun on raise as a startup okay and
[37:20.56]  and justin you're a second time founder
[37:22.00]  you co-founded 42 floors before this
[37:24.80]  which old timers listed to this may
[37:26.48]  remember as an initial play trying to
[37:28.64]  combine technology with brokerages right
[37:31.68]  zillow for commercial real estate yeah
[37:33.36]  and you're you own the brokerage side
[37:35.20]  which did really well the technology
[37:36.72]  side competed with the brokerage it was
[37:38.56]  kind of a mess in the end yeah
[37:40.96]  but you so and raise was kind of like a
[37:43.20]  redo of that but but be a lot a line
[37:46.08]  align with brokers rather than compete
[37:47.84]  with them okay but now since then open
[37:50.32]  doors gone ipo the world's changing
[37:53.68]  um
[37:54.40]  what i don't think in commercial real
[37:56.00]  estate we will get beyond brokers
[37:58.40]  because i don't i i don't think airbnb
[38:00.40]  works for a hundred thousand square feet
[38:02.00]  right
[38:02.88]  but but the world will change so where
[38:05.12]  is it like
[38:06.32]  where is this going commercial real
[38:08.16]  estate you you are one of the vanguards
[38:10.24]  in making it easier in presenting stuff
[38:12.32]  in managing offices and making the
[38:14.24]  process
[38:15.60]  less
[38:16.40]  a pro a process where i pulled out my
[38:18.32]  hair as a founder less friction full
[38:20.64]  but where what's the next level for
[38:22.48]  technology here for for founders and
[38:24.40]  tech office space where does it go from
[38:25.68]  here will there be i don't think
[38:26.88]  there'll be an open door but is there an
[38:28.08]  open door or what's going to happen i
[38:29.20]  mean
[38:30.00]  you know you could argue that the
[38:31.28]  closest comparison to open door um on
[38:35.12]  you know they're buying and selling of
[38:36.40]  homes right but like on the leasing side
[38:37.92]  we work right like we work kind of
[38:39.68]  provides flexibility um one click you
[38:42.72]  know but niche but it's niche right but
[38:45.04]  yeah yeah keep going yeah
[38:46.88]  it's a good point yeah it's not as big
[38:48.88]  as
[38:49.52]  perhaps it was
[38:50.88]  destined to be in 2019 but like they've
[38:52.88]  right-sized and like they provide
[38:55.44]  flexibility and
[38:57.04]  and even liquidity you know like you're
[38:58.80]  not having to do long-term leases in
[39:01.44]  three out of the six markets we start
[39:03.60]  with we work and sometimes still in it
[39:05.20]  sometimes um but you know um and even
[39:09.20]  with all the open doors and everything
[39:10.80]  uh residential brokerages
[39:12.88]  um have withstood the test of time you
[39:15.60]  know the the vast majority of
[39:17.68]  transactions happen happen with brokers
[39:20.56]  um you know on the residential side yes
[39:22.56]  but it's always hard to tell the
[39:24.08]  beginning of the curve right right so my
[39:26.48]  question is what happens to open door
[39:28.00]  type companies in 2020
[39:30.08]  seven not today because that we know
[39:31.84]  it's hard to see that the cur the slope
[39:33.36]  of the curve right yeah i mean i think
[39:35.76]  commercial is important in some very
[39:37.44]  different way and very important ways
[39:39.36]  right the the the deals are bigger and
[39:42.08]  more complex yeah yeah you know exactly
[39:45.92]  go ahead jamie yeah i'm going to say i
[39:47.52]  mean you're the the levels of
[39:49.76]  peer or individual we are dealing with
[39:52.08]  in this type of transaction are you know
[39:55.20]  cfos ceos founders it's the
[39:58.40]  sophisticated you know group of
[40:00.48]  individuals that are driving that
[40:02.24]  process
[40:03.28]  so at the human interaction and being
[40:05.92]  able to like look across the table or
[40:08.48]  or build that bond you can't replace
[40:11.44]  so agree but people are going to look
[40:13.60]  are going to try more kids at y
[40:15.44]  combinator are going to look at
[40:17.20]  brokerage fees and say look if i can
[40:18.96]  apply technology to that like like like
[40:21.68]  a brex does right and other things so i
[40:23.36]  can buy some technology to that and take
[40:24.96]  a and automate just even a half of that
[40:27.04]  away right i could build this why you
[40:29.44]  guys are thinking about this too as a
[40:30.80]  startup right i mean it's in your head
[40:32.16]  i'm just asking five years from now
[40:34.48]  can someone grab some of these brokerage
[40:36.56]  fees and flip them into software or or
[40:39.04]  is it not possible right how much can
[40:40.72]  you raise
[40:41.92]  we think about it very similar right
[40:43.60]  like we're taking a lot of processes
[40:46.00]  that like you know have been
[40:47.92]  done the same way for decades and you
[40:50.48]  know
[40:51.52]  a really strong level of automation and
[40:53.52]  then now we get to build things that
[40:55.12]  that could not be done um
[40:57.68]  without the without the platform out of
[40:59.36]  powers um you know there there are um a
[41:02.64]  lot of examples
[41:04.48]  you couldn't do before with razer
[41:05.84]  otherwise what's an example of something
[41:06.96]  you can do for for commercial office
[41:08.40]  space i mean uh one example that we
[41:10.64]  talked about right like um running your
[41:13.28]  entire real estate portfolio from end to
[41:15.68]  end um on a platform right you're you
[41:18.48]  have
[41:19.28]  radically simplifying multi-office
[41:20.96]  management totally like you're searching
[41:22.40]  for different offices radically
[41:24.08]  simplifying it right all of your leases
[41:26.16]  you're collaborating with all of your
[41:27.44]  different teams and vendors it's it's
[41:29.12]  really amazing um but like what like i
[41:31.84]  was saying i think that um because of
[41:34.64]  the complexity and and the size of deals
[41:37.68]  um and also we're talking about leasing
[41:39.36]  right and so you know there's just a lot
[41:41.76]  of moving parts with leasing as opposed
[41:43.76]  to like you know open door with buying
[41:45.60]  and selling it's like
[41:46.96]  very different on either side um yeah
[41:49.76]  and you know with broker fees look like
[41:51.68]  we never say it doesn't cost the company
[41:54.24]  anything but landlords pay the fees
[41:56.24]  across the entire united states and like
[41:58.64]  it's a rounding error for what they get
[42:00.80]  in rent and and the value that they
[42:02.56]  provide so um i think that i think that
[42:05.44]  in commercial real estate things are
[42:06.88]  uniquely suited um for the best brokers
[42:10.40]  and i think the the innovation is going
[42:12.08]  to happen around how the work is done
[42:15.12]  how the work exactly is
[42:17.36]  the transformation
[42:19.12]  um you know and so that's the big bet
[42:21.28]  we're making and it's going out pretty
[42:22.72]  well
[42:23.44]  okay since we're out of time let me just
[42:24.80]  summarize a couple things um in markets
[42:27.52]  like new york we're already 50 back
[42:30.08]  in miami it's off the charts other
[42:31.92]  places so if certainly if you're in new
[42:34.16]  york or north and you and you not sure
[42:36.72]  you want to go but you think you might
[42:38.16]  want to get an office again get it now
[42:39.76]  like because we're already we're 50 and
[42:41.84]  worse we're trending upwards san
[42:43.92]  francisco you've still got a little time
[42:45.92]  but but there's more going on than you
[42:47.36]  think we're leasing more space in 2021
[42:49.52]  than 2019. there's capacity and the
[42:51.92]  offices are quiet but get that office
[42:54.80]  time by the summer
[42:59.68]  and there's more technology here look at
[43:01.44]  things like rays and others to help you
[43:02.96]  manage multiple offices because we're
[43:04.56]  all figuring out this hybrid thing thing
[43:07.04]  together now right
[43:08.96]  awesome yeah
[43:10.32]  if we want to learn more we go to
[43:12.00]  raise.com is that where we should go
[43:13.52]  raise dot work raised
[43:15.12]  work right raise dot work
[43:16.32]  r-a-i-s-e-rays.work
[43:18.64]  w-o-r-k does that run on the blockchain
[43:20.56]  that dot work
[43:22.56]  no it's just a regular it's just a
[43:23.92]  regular old url we're bits and atoms um
[43:27.20]  but we're not on the blockchain all
[43:28.56]  right we'll raise that i will look at
[43:30.56]  but jamie congrats on joining to run new
[43:32.64]  york justin thanks for the time thank
[43:34.24]  you appreciate it we'll use you guys
[43:36.96]  we'll check in every six months or so to
[43:39.04]  check the barometer
[43:40.72]  of where you know the future of work is
[43:42.48]  going all right jason always a pleasure
[43:44.48]  man
