Title     : Veeva:  The Biggest Vertical SaaS Success Story of All Time with Founder/CEO Peter Gassner
Video ID  : bN5Zstc_v4A
[25:36.36]  these are 20-year relationships do we
[25:38.48]  want somebody in there saying I got to
[25:41.40]  close this thing on my quarter because
[25:43.48]  of my commission and I don't really care
[25:46.16]  that you're paying us $20 million a year
[25:47.88]  so you the way you do that is you you
[25:49.72]  don't you sacrifice Topline revenue and
[25:53.20]  you don't put too many reps on there so
[25:55.56]  then rep is not desperate but let's
[25:57.28]  let's un that cuz that's that's
[25:58.72]  something we all think about right as as
[26:00.28]  Founders the we we don't want a bad
[26:02.52]  customer experience during sales so we
[26:04.00]  struggle with this yin and yang right so
[26:06.72]  what does that mean does that mean that
[26:08.00]  the effective quotas are lower or does
[26:09.92]  that mean it's okay to miss a quarter as
[26:11.96]  long as you make the annual plan how do
[26:13.36]  you product way I do it is I always
[26:16.20]  think um Undercover on reps quota and
[26:18.92]  everything that comes out right I always
[26:21.08]  want to know I'm hiring slightly fewer
[26:23.60]  salespeople and I'm sacrificing some
[26:26.48]  Topline Revenue in the short term and
[26:28.88]  then after that uh the quota just comes
[26:31.80]  out of the annual plan how much do we
[26:34.20]  think we're going to sell how many
[26:35.32]  people do we have so I think as long as
[26:37.92]  you don't overcover with reps sales
[26:40.56]  people are they they're internally
[26:42.04]  motivated they're going to want to sell
[26:43.36]  more so I've never been a yeah the
[26:46.00]  overcover I I call it lead poor but
[26:47.76]  overcover is maybe a better way to put
[26:49.08]  it there's an incentive to overtime to
[26:51.36]  just overcover and that does get you the
[26:53.40]  extra nickel does get you the extra
[26:55.44]  nickeles that's right it has a cost it
[26:57.72]  has a cost um the cost is you get sort
[27:00.80]  of going on that drug a little bit but
[27:02.60]  also if you're in a business like ours
[27:04.00]  it's probably unique to ours right if we
[27:05.68]  were just selling payroll to thousands
[27:08.88]  of companies who cares but might still
[27:11.24]  be a 20-year relationship though might
[27:12.96]  be but might be this is a deep one like
[27:15.16]  $20 million relationship the CEOs of
[27:18.00]  these companies really know us and they
[27:19.60]  expect yeah this is one of the this is
[27:21.08]  their biggest one of the biggest bets
[27:22.24]  they're going to make their career in
[27:23.32]  software yeah right yeah and it affects
[27:25.60]  the it and the business side so you just
[27:27.68]  can't afford that it's more of a
[27:29.12]  long-term relationship like for example
[27:32.32]  Morgan Stanley in the banking business
[27:34.44]  right yeah it's a long-term relationship
[27:37.32]  that they want and they they don't want
[27:39.16]  a sub-optimized you know little
[27:41.00]  interaction here or there yeah so that's
[27:44.04]  we learned this stuff as we went along
[27:45.88]  that would be very unique to sort of
[27:47.44]  Viva and our our large customers and
[27:49.44]  interesting on that one question quickly
[27:51.88]  I want to get to some other stuff but
[27:52.92]  when you said 20 million my limited
[27:54.68]  experience in a Fortune 500 software
[27:57.20]  company what I learned is pricing is
[27:59.80]  relative on these big deals so there was
[28:01.80]  uh there were two pieces of software I
[28:03.20]  won't name names but one one you might
[28:06.12]  have used to work at and it was like 20
[28:07.76]  million a year and then there was
[28:09.20]  another product which I won't name it
[28:10.68]  all that was almost as important right
[28:13.28]  but it wasn't for sales it was for
[28:14.96]  another group and that was 18 million
[28:17.92]  right and if you think about who's going
[28:19.08]  to like the one that's almost as
[28:20.52]  important like but they're just bits
[28:22.68]  right and any of the day it may cost as
[28:24.36]  much to ship this Google doc I'm looking
[28:26.40]  at as that software
[28:28.04]  right so do you find that's true that
[28:30.08]  it's I mean Viva if Viva can do these
[28:33.00]  bigger deals but it's because it's one
[28:34.00]  of the most it's a it's a it's a system
[28:35.92]  of record it's a system of managing
[28:37.68]  customers this is one of the most
[28:39.40]  important things that your customers are
[28:40.64]  going to buy right is it is it relative
[28:42.40]  at some point yeah it's it at the end of
[28:44.88]  the day over the long term it'll be
[28:46.56]  relative to two things uh what is your
[28:49.16]  competition out there right because okay
[28:51.60]  somebody else has something exactly as
[28:53.64]  good as yours and going to sell yeah
[28:56.44]  Direct that's one thing and then the
[28:58.12]  other thing it's related to the value
[29:00.12]  you can't sell it for more value than it
[29:02.52]  than it provides a customer over the
[29:04.20]  long term you you can't so the things
[29:06.36]  that we sell that are quite expensive
[29:08.72]  they're probably automating and
[29:10.04]  increasing the efficiency of thousands
[29:12.00]  of people right so that's that's pretty
[29:14.56]  important that that adds up right um a
[29:17.60]  good example one system we sell is about
[29:20.36]  um collaborating around clinical trials
[29:23.48]  for a life sciences company they might a
[29:25.96]  big one might have 5,000 people around
[29:28.00]  the globe collaborating on these trials
[29:30.16]  in a very specific business process to
[29:33.00]  get the drug approved it really so
[29:36.20]  that's a big expense 4,000 people yeah
[29:38.40]  if they don't have a good system for
[29:39.84]  getting that done their efficiency Goes
[29:42.04]  Down And if they make mistakes they
[29:44.56]  might not get their drug approved and
[29:46.28]  that's hundreds of millions of dollars
[29:48.88]  it is right so you have to prick a pick
[29:51.56]  a problem worth solving that's hard
[29:54.24]  right and my guess is I just hadn't
[29:56.32]  thought but that 20 million milon it's
[29:58.12]  so similar to these other 20 million
[29:59.72]  price points I saw living in the Fortune
[30:02.00]  500 that it wouldn't surprise me that
[30:04.32]  that would be an organic price point
[30:06.24]  that if you provided enough value right
[30:08.20]  you would end up at but 200 million
[30:09.80]  might be tough right well thing is we
[30:12.16]  have no one thing that's 20 million
[30:13.96]  right we have lots of course not but I
[30:15.60]  but I but it's an interesting uh it's
[30:17.28]  interesting they add up I I don't like
[30:19.08]  to I always like to focus on the value I
[30:21.48]  do think it's interesting we're making
[30:23.64]  life sciences more efficient I can feel
[30:25.68]  that only in the little 10 years that
[30:27.84]  we've been operating yeah and it it
[30:30.16]  actually makes a difference it makes
[30:32.52]  many people out here will you know one
[30:34.76]  in 10 people gets a rare disease in
[30:37.24]  their life and to varying degrees of
[30:41.32]  seriousness right and uh far less than
[30:45.08]  half of them have effective cures wow so
[30:48.08]  it's kind of it makes a difference you
[30:50.56]  know it's pretty cool if you ever have a
[30:52.84]  person that you know and they they don't
[30:55.56]  get the right medicine and then they do
[30:58.16]  they get to do they get the right
[30:59.32]  medicine you can see that difference a
[31:01.32]  lot of times that medicine was already
[31:03.48]  approved 3 or 4 years ago but somehow
[31:06.24]  that person wasn't taking it that's the
[31:09.16]  inefficiency of the system the life
[31:11.52]  sciences company makes less money and
[31:13.04]  the patient's not well we're trying to
[31:16.16]  make that better yeah and that's a ton
[31:18.56]  of value it's huge value it is it's it's
[31:21.76]  a it's a great place to work I guess
[31:23.80]  that's why I work there do you find do
[31:25.24]  you hire folks that are mission driven
[31:26.72]  around that does it does it resonate
[31:28.20]  with the average higher now or is it or
[31:30.56]  they joining a software company you know
[31:31.72]  honestly I I think we're just growing
[31:34.72]  into the mission at first like I said at
[31:37.20]  first the start of the company the
[31:38.48]  mission was let's not go out of business
[31:41.00]  this quarter right and that's the
[31:44.16]  mission and that was the mission you
[31:45.88]  know but now we're realizing our place
[31:48.04]  in the world we can really affect change
[31:50.80]  we are respected as a company that can
[31:54.12]  do what we say we're going to do and
[31:56.48]  life science is trust us now we have a
[31:59.20]  responsibility so I think increasingly
[32:01.56]  we are getting more Mission driven and
[32:03.48]  it's really fun to see that's like the
[32:05.76]  transformation of Eva right we're
[32:08.12]  becoming more Mission driven but that
[32:10.40]  isn't you get more Mission driven over
[32:11.88]  time right you can find you can find
[32:13.40]  your bigger Mission over time right yeah
[32:15.20]  start off this atomized level and uh go
[32:18.56]  there let's TI that into one topic I
[32:19.88]  want to hit two things to make sure we
[32:20.92]  don't run out of time so let's talk
[32:22.00]  about how and we can even just start
[32:23.72]  right there how the stages of Eva we
[32:25.48]  chatted about before so now you're think
[32:27.28]  about how to build a 100-year company
[32:29.52]  right yeah does that seem crazy looking
[32:31.16]  back at 10 years ago could you did you
[32:33.32]  even think that at the founding did you
[32:34.60]  think about building 100 to your company
[32:36.48]  again I'm you were thinking about one
[32:38.32]  quarter back I'm real honest about that
[32:40.16]  I thought gosh I I don't want to go out
[32:41.72]  of business you know and if we don't go
[32:43.24]  out of business then we then it'll be
[32:44.96]  good we'll have time to figure out what
[32:46.32]  to do and then the other inflection
[32:49.44]  point was about 2010 when when we really
[32:52.48]  had to look at ourselves and management
[32:54.20]  team do we really want to become a
[32:55.64]  multi-product company cuz once you do
[32:57.80]  that you either crash the car or you
[33:01.08]  make it big and most likely could have
[33:03.36]  been a little smaller but focused little
[33:05.44]  smaller maybe got public got bought in
[33:07.80]  size somebody product is a company but
[33:09.64]  we decided in
[33:11.24]  2010 uh we can do it we thought we could
[33:14.84]  do it multiproduct company which that
[33:16.76]  means you're sort of on your way to a
[33:18.28]  billion dollars yeah um so that was a
[33:20.68]  big phase and now this phase is we're
[33:22.72]  starting to think about Mission driven
[33:24.96]  digital disruption how do we really help
[33:27.40]  you guys get into the clinical trial you
[33:29.76]  you need to get into which you that's
[33:32.24]  pretty important if you can both for the
[33:34.64]  patient and for the life sciences
[33:36.60]  company yeah how can you get in the
[33:38.28]  clinical trial how can you get the right
[33:39.92]  medicine how can your doctor know about
[33:41.68]  the right medicine so that's the phase
[33:44.52]  but I would
[33:45.96]  say one of the things I could maybe I
[33:48.32]  could talk about execution a little bit
[33:50.00]  because I think that's underrated if you
[33:52.20]  we have time enough to go into that one
[33:53.96]  sure absolutely it's uh you know I can
[33:56.32]  maybe talk like a Visionary or something
[33:58.48]  like that but I'm a Swiss American I
[34:00.36]  like trains to run on time my parents
[34:02.28]  were Swiss it's sort of ingrained right
[34:04.28]  do things the right way my dad I don't
[34:07.16]  know how many times he used to say I'd
[34:09.56]  go to him and say Hey Dad is that good
[34:11.40]  enough he'd say every time good enough
[34:14.32]  is not good enough meaning if you're
[34:16.40]  asking me the question it obviously
[34:18.36]  ain't good enough right so I like the
[34:20.76]  execution part and it starts with
[34:23.68]  picking those clear and correct Target
[34:25.12]  markets that's number one but as you
[34:27.12]  scale as you get to about 150 200 300 um
[34:30.52]  people past dunbar's number past the
[34:32.80]  number of people that you can know it's
[34:35.52]  this engaged teams working together
[34:37.96]  that's a core you'll hear everybody at
[34:39.88]  Via saying that engaged teams working
[34:41.84]  together how do I know in my company
[34:44.36]  who's supposed to do what yeah and this
[34:47.52]  culture of managers I trust that other
[34:51.96]  team I manage my
[34:54.84]  team which is counterintuitive right
[34:57.56]  people want to say hey I got my team I
[34:59.72]  got my team and we we rail against those
[35:02.40]  words that's not your team I that is the
[35:06.00]  team that you manage my sales head of
[35:08.88]  sales is not on the sales team he's on
[35:11.04]  my team and he trusts the services team
[35:13.72]  but he manages his sales team so this
[35:16.20]  engaged teams working together is really
[35:18.28]  key we actually developed an app on that
[35:20.16]  CU I couldn't find anything to help us
[35:22.08]  do that so we developed an internal app
[35:24.68]  yeah it's called orwick you can find it
[35:26.52]  out you can subscribe to it you want
[35:28.44]  that's it's been a key to our growth and
[35:31.68]  then lastly I will say uh ex we say
[35:34.36]  execution matters most all that other
[35:36.72]  stuff is hoo-ha I spend 90% of my time
[35:39.76]  executing what am I going to do today
[35:42.24]  this week this month this year write
[35:44.68]  down a plan execute to a plan measure
[35:46.76]  yourself to a plan execution matters
[35:49.32]  most and over the long term any good
[35:51.44]  idea gets copied yeah but execution is
[35:54.12]  enduring so if you start to see yourself
[35:59.44]  growing execution will matter most at
[36:02.48]  the end of the day and it's hard and
[36:04.56]  it's maybe not sexy but it's the thing
[36:06.64]  that will separate you there a downside
[36:09.36]  of capitalism meaning there's no free
[36:11.04]  lunch if you want to be great you have
[36:13.24]  to execute you do have to execute so one
[36:15.36]  last thing we're over and then uh or one
[36:17.12]  and a half last things but related to
[36:18.72]  that so you spent how much of your time
[36:20.24]  in execution you said 90 some odd yeah
[36:22.20]  probably 90 I think you told me every
[36:23.88]  three weeks you try to take a break
[36:25.56]  right and meet with someone to challenge
[36:28.00]  your thinking tell us quickly how you do
[36:29.60]  that because that's a great takeaway if
[36:30.76]  we can all do that L we use this term
[36:32.20]  we've used have a vocabulary I we call
[36:34.52]  the adjacent possible I I borrowed it
[36:36.56]  adjacent possible adjacent possible
[36:38.44]  adjacent possible and uh it's going to
[36:40.28]  be our next book s I'm just stoling this
[36:42.20]  today some impossible the inevitable the
[36:44.44]  first this is it means take some time
[36:46.88]  about every 3 weeks I take about a day
[36:49.72]  and I usually go to San Francisco or I'm
[36:51.36]  in some other place and I meet with
[36:53.08]  people that are outside of my daily
[36:54.96]  routine but somehow adjacent so it might
[36:57.52]  be somebody that's starting a software
[36:59.52]  company that's focused on banking yes or
[37:02.24]  hospitals or any number of things or
[37:05.24]  somebody making a medical device or a
[37:08.12]  physicist or an actual doctor or
[37:10.88]  something like that and I just forc
[37:13.04]  myself to talk to them and be open
[37:15.08]  because otherwise you become myopic as a
[37:17.92]  myopic sitting in conference rooms
[37:19.80]  meeting customers adjacent possible is a
[37:22.44]  way to bridge when a chemist talks to a
[37:26.32]  phys phist something might happen but if
[37:29.36]  the chemist only talks to the chemist
[37:32.00]  yeah that thing ain't going to happen so
[37:33.44]  you got to make time for that and and
[37:35.36]  enjoy enjoy that yeah I love it all
[37:38.24]  right everyone let's give it up for
[37:39.28]  Peter gastner I think we may have one
[37:41.80]  momento of the do we have a momento
[37:44.40]  backstage of the 10th anniversary of Eva
[37:46.48]  we may we may not let's
[37:48.44]  see do we have a Cheesy momento we may
[37:51.00]  or may not bring out the momento roll
[37:53.88]  the prop oh there we go all right hold
[37:56.36]  on
[37:57.56]  we just have to have one toast for year
[37:59.40]  10 and then we will take a coffee break
[38:02.28]  so what color do you
[38:05.32]  like yeah I I always uh never follow the
[38:08.88]  herd even take two all right cheers
[38:11.08]  congratulations Peter thank you very
[38:12.76]  much thanks everyone thank
[38:14.37]  [Applause]
[38:19.04]  you
