Title     : Algolia:  Lessons Learned Selling to 10,000 Customers Small, Medium and Large
Video ID  : 0rKwKRUhRqM
[23:25.28]  will we check in when we check in next
[23:27.28]  year right
[23:28.56]  um okay two or two other things i want
[23:31.04]  to make sure we we touch on before we
[23:32.40]  run out of time we can hit anything else
[23:33.76]  you want
[23:34.32]  but um one that i'm really bad at um but
[23:37.36]  learning about more is culture um
[23:39.92]  because i i still always wonder what
[23:41.52]  culture is
[23:42.64]  um but algolia is interesting because
[23:44.64]  it's it's it it's
[23:45.92]  really we're all distributed now but
[23:47.28]  it's like it's a company with
[23:49.12]  roots on very different con continents
[23:52.00]  and a very french piece
[23:53.92]  um what if you are are our cultures
[23:57.12]  different how do we blend cultures are
[23:59.12]  people different i like to think of
[24:00.64]  everyone as the same and it's a
[24:01.92]  meritocracy and
[24:03.44]  and be neutral but it's not true right
[24:05.36]  there are there are differences so what
[24:06.88]  if how do you blend
[24:07.92]  companies on different continents and
[24:09.28]  different cultures
[24:10.96]  yeah and i guess i've been lucky because
[24:12.80]  in my last three roles
[24:14.40]  they've been with companies that are
[24:16.40]  very similar to algolia and they've had
[24:20.00]  two big centers of presence on different
[24:22.56]  continents here in
[24:24.08]  western europe um you know i used to
[24:27.44]  live in
[24:28.00]  uh switzerland and france so i speak
[24:30.08]  french and i've lived in
[24:31.60]  you know lived in continental europe so
[24:33.36]  i do think that helps me sort of bridge
[24:35.36]  a little but i think it comes down to
[24:38.56]  two things for me you know you said what
[24:41.12]  is culture
[24:41.76]  culture i think can be nebulous but you
[24:44.72]  can impact culture
[24:45.84]  and it's you can impact it every single
[24:47.92]  day and every single person in the
[24:49.52]  company can impact it
[24:51.04]  by the decisions and the actions that
[24:52.56]  they take and all the conglomeration of
[24:55.12]  all of that
[24:55.84]  really makes up the culture so i like to
[24:58.40]  get it out of the stratosphere and
[25:00.00]  down into the sort of practical for me
[25:02.56]  because i struggled with it for many
[25:03.92]  years too
[25:05.20]  but when i look at it here at
[25:08.32]  algolia i think there's two things that
[25:10.80]  are important one
[25:11.84]  i think you have to educate people on
[25:13.60]  the fact that not everybody has the same
[25:15.36]  perspective and here's why
[25:17.12]  so i think there's a there's a sharing
[25:19.04]  that you've got to take the time
[25:21.60]  to do which in the moment can sometimes
[25:24.64]  be
[25:25.12]  challenging because you want to get to
[25:26.64]  the end of that task but you have to
[25:28.32]  take a step back sometimes and
[25:30.08]  understand
[25:31.44]  um and i think the second thing is that
[25:35.52]  you know there's been a lot of focus in
[25:37.44]  the press and the media
[25:38.88]  all around differences right now and you
[25:40.88]  know diversity inclusion and belonging
[25:42.88]  is a
[25:43.28]  at the top of everybody's minds at the
[25:45.52]  moment
[25:46.56]  to me i like to see the differences
[25:49.60]  as making us stronger it doesn't mean to
[25:52.16]  say we'll always all agree
[25:53.68]  it doesn't mean to say that um you know
[25:56.96]  anybody or any one perspective is better
[25:59.20]  than another but i like to think about
[26:01.12]  how do we
[26:01.76]  harness our differences to make us
[26:04.48]  better
[26:05.20]  you know some could say that you know
[26:06.72]  it's it's a it's um
[26:08.56]  it's inconvenient having a nine hour
[26:10.40]  difference um
[26:11.68]  between san francisco office and paris
[26:14.24]  and occasionally it is
[26:15.68]  trust me um but um but the other side of
[26:19.44]  that is how do you get that time
[26:20.56]  difference to work
[26:21.68]  where you don't have a single point of
[26:23.20]  failure and where it's effectively you
[26:25.20]  are getting you know
[26:26.24]  almost 24 hours coverage now i wouldn't
[26:28.32]  say we're there today
[26:29.76]  but that's the journey that we're on and
[26:31.52]  i think it's it's recognizing that
[26:33.36]  people have different perspectives
[26:35.28]  that's okay but the one mission is the
[26:37.60]  same
[26:38.88]  yeah is there anything now that you've
[26:40.56]  joined like you know to
[26:42.80]  put those different perspectives to
[26:44.00]  surface more of them at the company do
[26:45.44]  you have any tips or learnings how to
[26:46.72]  get those out
[26:47.52]  i mean how many folks work at i'll go
[26:48.72]  away today 400 500 folks
[26:52.00]  approaching 400 400 so how do you how do
[26:54.72]  you surface
[26:55.36]  have you tried to surface more of them
[26:56.64]  or how do you do that
[26:58.64]  we have actually a couple well i mean
[27:00.56]  you know two weeks into
[27:02.00]  my role here um george floyd was killed
[27:06.08]  and you know we started talking about
[27:08.80]  that
[27:09.20]  we had different listening circles
[27:12.72]  it was interesting because as we saw you
[27:15.20]  know the social unrest that followed all
[27:17.36]  of the
[27:17.92]  those events as we saw those sort of
[27:20.48]  traverse the world
[27:21.92]  you know we saw some of the um
[27:24.80]  perspectives of our colleagues in other
[27:26.56]  countries
[27:27.12]  change as you know that's really an
[27:28.88]  american problem
[27:30.24]  oh actually no hold on those riots are
[27:32.40]  happening here on my doorstep
[27:34.08]  now that's not just an american problem
[27:36.64]  so
[27:37.76]  you know nobody wants any of that to
[27:39.60]  happen but it does
[27:41.04]  enable you to have the dialogue
[27:44.56]  yep it's a good insight okay two last
[27:47.68]  things i want to hit
[27:48.64]  um one's very tactical but it's always
[27:51.52]  interesting to folks is pricing
[27:53.28]  um so you've recently revamped pricing
[27:56.32]  right
[27:57.20]  pricing's always it's generally i think
[27:59.44]  we obsessed about it sometimes too much
[28:01.52]  but algolia has always been interesting
[28:02.88]  because over time they've always
[28:03.92]  struggled with the breaks
[28:05.12]  right the break points between uh you
[28:07.60]  know a
[28:08.24]  a a very a low usage free version a
[28:11.12]  cheap version of developers to get
[28:12.48]  started
[28:13.36]  more enterprise in the middle and the
[28:14.48]  brakes have always been challenging for
[28:15.68]  the company for whatever reasons right
[28:16.96]  they've always been challenging
[28:18.40]  to not overprice not under price um it's
[28:21.52]  not obvious right it's not obvious
[28:23.28]  and so what if what what have you
[28:24.80]  changed and maybe even more importantly
[28:26.32]  what have you learned about the
[28:27.36]  different ways to price
[28:29.60]  sure so i think one of the learnings is
[28:31.52]  it's really hard when you go all the way
[28:33.28]  from self-service
[28:34.32]  all the way up to the enterprise to have
[28:36.32]  one model that fits
[28:37.76]  all so one of the things that we changed
[28:40.48]  back in july was we actually went to a
[28:42.24]  usage model so that we didn't have these
[28:44.32]  artificial breaks
[28:46.08]  we have just two plans and it's
[28:49.12]  usage based now you can do pay as you go
[28:51.44]  just sign up on the websites
[28:53.04]  you know swipe your credit card or you
[28:55.28]  can commit
[28:57.12]  and higher volumes that involves a sales
[28:59.20]  conversation
[29:00.48]  but we found that those are what it did
[29:02.56]  was it removed those artificial
[29:05.12]  sort of jump points there's a much
[29:07.04]  smoother curve now
[29:08.88]  so that customers feel much more
[29:10.40]  comfortable that they're they're
[29:12.24]  buying into a certain level of usage
[29:14.72]  that is tied to their business
[29:16.64]  outcome uh as opposed to having to have
[29:19.20]  artificial tears
[29:20.40]  or to even you know in the old days we
[29:22.56]  used to have infrastructure-based
[29:24.16]  pricing which you know
[29:25.36]  they liked even less yeah so going for
[29:28.48]  usage smoothing out that curve
[29:30.56]  has definitely been a big boon for us
[29:32.72]  and it has boosted the self-service
[29:34.40]  business tremendously
[29:36.16]  um i still think it's tricky to get it
[29:38.40]  right all the way from there up to the
[29:40.16]  enterprise with one model so will we
[29:42.16]  tweak it still we probably will
[29:44.80]  but now now that again and i wanted to
[29:47.20]  ask a little bit about that but
[29:48.72]  in my limited experience as a seo but
[29:52.00]  also my limited experience as an svp in
[29:54.16]  a bigger company certainty does matter
[29:56.80]  too
[29:57.20]  right so there's a certain point where
[29:59.28]  it's not fun i don't care about the
[30:00.96]  benefits of that when i'm a big when i i
[30:02.88]  don't know what the amount of revenue
[30:03.92]  company has i want to
[30:05.12]  i have a budget i have a budget
[30:06.80]  bernadette and just tell me
[30:09.04]  what it's gonna like and so that's the
[30:11.84]  the the
[30:12.40]  artificial breaks it sounds like they
[30:14.08]  stressed out sales right oh that's too
[30:15.84]  much
[30:16.24]  you know a thousand two thousand five
[30:17.76]  thousand is too much but certainty does
[30:19.76]  matter too
[30:20.48]  right so so that's where where does that
[30:22.88]  where does that change and how do you
[30:24.40]  educate the sales team to get that right
[30:26.96]  yes so we have a certain volume that you
[30:29.04]  can buy via self-service and then after
[30:30.96]  that we believe that a conversation is
[30:33.04]  better
[30:33.68]  and that's why we even though it's usage
[30:36.48]  based you sign up for
[30:37.92]  an amount of usage over a 12 month
[30:40.72]  period so that you do get that budget
[30:42.48]  uncertainty
[30:44.00]  have you studied like i mean obviously
[30:45.68]  who's figured this out pretty good is
[30:47.04]  aws
[30:49.52]  everyone complain i mean amws used to be
[30:51.68]  cheap
[30:52.88]  if we've been doing this for a long time
[30:54.16]  we remember when it was cheap now it's
[30:55.60]  very expensive but it's worth it right
[30:57.60]  i don't think we're going to argue it's
[30:58.64]  not worth i mean algolia is multi-cloud
[31:00.72]  which we could chat about for the last
[31:02.08]  minutes if you wanted to and what you've
[31:03.52]  learned but um
[31:04.72]  but they've learned to start off
[31:06.64]  variable and then have multi-year
[31:08.16]  contracts right as you go bigger right
[31:09.84]  and
[31:10.24]  have you studied anything you've learned
[31:11.44]  from other folks here that you've
[31:12.56]  brought into algolia are there other
[31:13.60]  folks
[31:14.24]  that you that you that you look at their
[31:16.08]  pricing strategies and want to bring
[31:17.44]  them in
[31:18.32]  yeah we do we look at azure we look at
[31:20.48]  um aws we look at those two in
[31:22.64]  particular as well as a whole host of
[31:24.56]  other
[31:25.20]  um sas companies when we were doing the
[31:27.60]  uh the pricing analysis
[31:29.44]  and yes we have you know i always used
[31:31.76]  to say you know aws they have you know
[31:34.24]  the pay-as-you-go
[31:35.20]  then they have reserved instances and
[31:36.72]  then they have their edps which you know
[31:38.56]  could be 20 million
[31:39.76]  so we we basically have the same thing
[31:42.24]  we have this
[31:43.28]  you know swipe your credit card pay as
[31:44.96]  you go but then we have
[31:46.56]  uh what they would call the reserved
[31:48.32]  instance it's not an instance it's a
[31:49.68]  reserved number of searches if you like
[31:51.60]  you would do with us that would be our
[31:53.36]  comparable um for a certain period of
[31:56.00]  time
[31:56.56]  and yes if you want to buy it for one
[31:58.16]  year or two years or three years we'd
[31:59.60]  never go
[32:00.00]  beyond three years um but we would go up
[32:02.72]  to three years and we have programs for
[32:04.40]  all of that
[32:05.60]  all right one last follow-up on that we
[32:07.04]  could spend a whole session on pricing
[32:08.40]  but
[32:08.88]  i still hear a lot of advice from folks
[32:11.20]  cloud investors sas investors in
[32:12.72]  particular vcs
[32:14.00]  that want the most revenue recurring
[32:16.96]  like and under fixed contracts
[32:18.96]  and when trillo ipo a lot of folks were
[32:21.12]  skeptical though twilio is going to take
[32:22.48]  a hit toyota's going to take hit because
[32:23.84]  they're concentrated well they were they
[32:25.28]  lost uber
[32:26.00]  and twilio's going to take a hit because
[32:27.52]  they have a lot of variable revenue
[32:28.80]  right well what's truly today 40 billion
[32:30.48]  so
[32:31.04]  and i don't think they're multiple has
[32:32.40]  but does that matter do you think about
[32:34.24]  that as ceo do you want do you still
[32:35.92]  want as much committed revenue versus
[32:37.68]  variable does this not even matter as
[32:39.12]  long as you hit your number
[32:41.28]  um i do think about it and in fact i've
[32:43.52]  spoken to a number of the
[32:45.36]  number of bankers recently that yes
[32:47.52]  several
[32:48.48]  um of the well-known ipos to those
[32:50.96]  software companies public just recently
[32:52.88]  and you know they have an interesting
[32:54.80]  um take on it and the usage provided
[32:57.36]  it's consistent and growing and it's not
[32:59.52]  lumpy
[33:00.24]  they value the usage the same way as
[33:02.16]  they would just a regular subscription
[33:04.56]  so that's the insight right as long as
[33:06.16]  you see the same retention numbers
[33:07.92]  right twilio's like 145 net revenue
[33:10.32]  retention
[33:11.20]  right growth you don't have to have the
[33:13.28]  perfect
[33:14.24]  uh e-signed contracts for every month
[33:16.16]  for the same amount right that's the
[33:17.44]  learning right
[33:18.32]  yeah exactly consistency and consistency
[33:21.04]  up into the right is
[33:22.24]  is you know is the key learning well
[33:24.56]  ideally if you have ten thousand
[33:26.00]  customers and high nps the consistency
[33:27.84]  should work itself out over time right
[33:29.44]  yeah for sure that's cool all right
[33:31.36]  that's a good insight okay last one
[33:33.36]  they're related
[33:34.72]  um i just you've been you've been in
[33:37.60]  enterprise
[33:38.00]  software and business sovereign cloud
[33:39.68]  software most of your career right
[33:41.44]  are these are the best of times aren't
[33:42.88]  they oh my god absolutely
[33:45.28]  so is it too good how long will it last
[33:48.16]  and relate to that why did you pick
[33:49.68]  algolia in the best of times you had a
[33:51.12]  lot of options so
[33:52.72]  this is as good as it gets why why
[33:54.40]  algolia and in general
[33:56.24]  how long do we have another five years
[33:58.08]  do we have 20 years is this all going to
[33:59.84]  crash on us when we come out of kobe
[34:01.36]  like how long will the best of times
[34:02.56]  last
[34:03.44]  oh lord i wish i had the crystal ball
[34:05.44]  for that one
[34:07.12]  i think we all do um so why did i why
[34:09.92]  did i choose algolia
[34:11.52]  um it was really it was it was
[34:14.56]  really because of three main things i
[34:16.32]  mean i looked at the i looked at the
[34:17.84]  market the target
[34:19.12]  addressable marketing is huge and i have
[34:22.24]  experience in search previously from
[34:24.08]  both ends of our competitive spectrum
[34:26.32]  all the way from open source down to
[34:28.20]  purpose-built sas packages
[34:30.48]  and i firmly believe that algolia's
[34:32.96]  approach to the market being
[34:34.40]  an api um such as a service solution is
[34:37.76]  100 the right way to go so those were
[34:40.96]  the primary reasons
[34:42.64]  the other reason was um i love the fact
[34:45.28]  that there was a self-service business
[34:46.96]  because i believed it would make our
[34:48.80]  product
[34:49.28]  better i wanted to get more exposure in
[34:51.52]  that part
[34:52.40]  that end of the market and then finally
[34:54.96]  i saw the you know
[34:56.32]  every company has its growing pains and
[34:58.80]  i felt that i'd seen a good chunk of
[35:00.32]  this movie before and that i could help
[35:03.68]  yeah that's it let's finish on the
[35:04.88]  mission but the last one's interesting
[35:06.80]  um you know when a company goes through
[35:09.36]  phase transitions or growing pains a
[35:10.88]  great one like algolia
[35:12.32]  sometimes you think you can't recruit
[35:13.76]  somebody great right if you hit a bump
[35:15.44]  but the great people
[35:16.88]  know those bumps right and actually
[35:18.48]  they'll they'll jump on those
[35:19.76]  opportunities because they know how to
[35:21.28]  fix them they've done it before
[35:22.72]  so if you hit a bump don't think you
[35:24.08]  can't hire a great vp of sales or vpn
[35:26.24]  marketing or ceo
[35:28.00]  because they they know they know when
[35:30.08]  that's an opportunity don't they
[35:31.76]  oh 100 absolutely that's the you know
[35:35.76]  yeah it's um it's a it's a great
[35:37.92]  opportunity and like you said i mean
[35:39.52]  you look at the backdrop of the market
[35:41.76]  that we're in right now
[35:43.44]  and you know gosh i don't know how long
[35:46.32]  this is going to last but what i would
[35:48.00]  say is you got to run with it and you've
[35:49.76]  got to be
[35:50.32]  you've got to be agile yourself to be
[35:52.08]  able to take a hold of things and i
[35:53.84]  would say
[35:54.80]  if there are companies out there that
[35:57.12]  are looking
[35:58.00]  at how to um how to harness
[36:01.44]  this i would say really get serious
[36:03.84]  about your icp your ideal customer
[36:05.84]  profile
[36:06.72]  and go figure out you know one of the
[36:09.12]  things that i
[36:09.76]  i did at alfresco was we figured out
[36:12.24]  what were the
[36:13.04]  four questions we could ask we got
[36:15.28]  marketing to automate them
[36:16.80]  and based upon that we segmented the
[36:19.52]  target customers we wanted to go after
[36:21.60]  into three buckets digital innovators
[36:23.84]  fast followers and
[36:24.96]  digital dinosaurs we put the dinosaurs
[36:26.88]  in a drawer and we figured on the other
[36:28.48]  two
[36:29.04]  so anything that you can do to
[36:30.96]  streamline and as
[36:32.08]  i was saying before get to that
[36:33.84]  repeatable process
[36:35.68]  to really maximize the opportunity that
[36:38.08]  is there i think
[36:39.28]  that's what everybody should be focusing
[36:40.64]  on and also carpe diem right now is the
[36:43.20]  time
[36:45.84]  all right this was amazing thank you so
[36:47.76]  much for your time anything anything
[36:49.28]  last thing we didn't hit that you wanted
[36:50.64]  to hit or get out there
[36:52.96]  no i think it's just um you know i i'm
[36:56.32]  loving being at algolia just the
[36:58.16]  approach that we've got to
[36:59.52]  helping our customers and you lay that
[37:01.44]  on top of fantastic technology and
[37:03.92]  a great approach to the market and it's
[37:05.92]  it's a it's a great time to be at
[37:07.36]  algolia we're
[37:08.24]  recruiting heavily and so i would
[37:10.24]  encourage people to uh ping us
[37:12.40]  thank us go join up go join a pre-apo
[37:14.96]  winner today
