Title     : SaaStr Watch Party!  Veeva:  The Biggest SaaS Vertical Success of All Time
Video ID  : WGaiMiOi_3Y
[25:59.13]  all think about right as founders the
[26:00.90]  work we don't want a bad customer
[26:02.97]  experience during sales so we struggle
[26:04.35]  with this yin and yang right so what
[26:06.99]  does that mean does that mean that the
[26:08.19]  effective quotas are lower or does that
[26:09.99]  mean it's okay to miss a quarter as long
[26:12.21]  as you make the annual plan how do you
[26:13.53]  productize way I do it is I always think
[26:16.58]  undercover on reps quota and everything
[26:19.41]  that comes out but I always want to know
[26:21.54]  I'm hiring slightly fewer sales people
[26:24.36]  and I'm sacrificing some top-line
[26:27.00]  revenue in the dodder term and then
[26:28.98]  after that the quota just comes out of
[26:32.04]  the annual plan how much we think we're
[26:34.56]  going to sell how many people do we have
[26:35.94]  so I think as long as you don't overcome
[26:39.30]  with reps self Bieber are they there
[26:41.64]  internally motivated they were gonna
[26:42.90]  want to sell more so I've never been a
[26:45.00]  yeah the over cover I call it lead poor
[26:47.70]  but over covers may be a better way to
[26:48.93]  put it yeah there's an incentive to over
[26:51.12]  time to just over cover and that does
[26:53.07]  get you the extra nickel it does that's
[26:56.52]  right has a cost it has it cost the cost
[26:59.37]  is she's get sort of going on that drug
[27:01.74]  a little bit but also if you're in a
[27:03.30]  business like ours it's probably unique
[27:04.59]  to ours but if we were just selling
[27:06.33]  payroll to thousands of companies who
[27:10.11]  cares but might so it'll be a 20-year
[27:11.88]  relationship though might be but this is
[27:14.16]  a deep one like twenty million dollar
[27:16.05]  earlier relationship the CEOs of these
[27:18.18]  companies really know us and they expect
[27:20.04]  this is one that this is their biggest
[27:21.51]  one of the biggest bets they're gonna
[27:22.59]  make their career inside yeah right yeah
[27:24.69]  and it affects the IT and the business
[27:26.49]  side so you just can't afford that it's
[27:28.86]  more of a long-term relationship like
[27:31.01]  for example Morgan Stanley in the
[27:33.48]  banking business right yeah it's a
[27:35.73]  long-term relationship that they want
[27:37.98]  and they they don't want to sub optimize
[27:40.26]  you know little interaction here there
[27:42.15]  yeah so that's we learned this stuff as
[27:45.12]  we went along that would be very unique
[27:46.71]  to sort of even our large customers and
[27:49.53]  interesting on that one question quickly
[27:51.84]  I want to get some other stuff but when
[27:53.10]  you said twenty million my limited
[27:54.69]  experience in a fortune 500 software
[27:57.30]  company what I learned is pricing is
[27:59.79]  relative on these big deals so there was
[28:01.71]  there were two pieces of software I
[28:03.21]  won't name names but one one you might
[28:06.21]  have used to work at and it was like
[28:07.53]  twenty million a year and then there was
[28:09.15]  another product which I won't name it
[28:10.62]  all that was almost as important right
[28:13.32]  but it wasn't for sales it was for
[28:15.03]  another group and that was 18 million
[28:17.49]  right and if you think about who's gonna
[28:19.17]  like the one that's almost as important
[28:21.09]  like but they're just bits right and
[28:23.40]  then the day it may cost as much to ship
[28:25.17]  this Google Doc I'm looking at as that
[28:27.15]  software right so do you find that's
[28:29.85]  true that it's I mean it Viva Viva can
[28:32.67]  do these bigger deals but it's because
[28:33.93]  it's one of the most it's a system of
[28:36.18]  record it's a system of managing
[28:37.68]  customers this is one of the most
[28:39.45]  important things that your customers are
[28:40.74]  gonna buy right is it relative it's
[28:42.66]  something yeah it's it at the end of the
[28:45.15]  day over the long term it'll be relative
[28:47.13]  to two things
[28:48.03]  what is your competition out there right
[28:50.79]  because okay somebody else has something
[28:53.07]  exactly as good as yours and they're
[28:55.17]  gonna sell yeah it's direct that's one
[28:57.18]  thing and then the other thing it's
[28:58.74]  related to the value you can't sell it
[29:00.84]  for more value than it then it provides
[29:03.30]  a custom over the long term you can't so
[29:06.03]  the things that we sell that are quite
[29:07.71]  expensive
[29:08.64]  they're probably automating and
[29:10.11]  increasing the efficiency of thousands
[29:12.12]  of people right so that's that's pretty
[29:14.58]  important now that that adds up right
[29:17.34]  a good example one system we sell is
[29:19.29]  about collaborating around clinical
[29:21.93]  trials for a life sciences company they
[29:25.50]  might a big one might have five thousand
[29:27.60]  people around the globe collaborating on
[29:29.52]  these trials in a very specific business
[29:31.80]  process to get the drug approved it
[29:34.62]  really so that's a big expense four
[29:37.35]  thousand people yeah if they don't have
[29:39.06]  a good system for getting that done
[29:40.56]  their efficiency goes down and if they
[29:43.17]  make mistakes they might not get their
[29:45.36]  drug approved and that's a hundreds of
[29:47.67]  millions of dollars yeah yes right so
[29:49.62]  you have to prick a pick a problem we're
[29:52.44]  solving and that's hard right and my
[29:55.62]  guess I just hadn't thought but that
[29:56.82]  twenty million it's so similar to these
[29:58.98]  other twenty million price points I saw
[30:00.66]  living in the fortune 500 that it
[30:03.27]  wouldn't surprise me that that would be
[30:04.80]  an organic price point that if you
[30:06.66]  provided enough value right would end up
[30:08.76]  at but 200 million might be tough right
[30:10.68]  well thing is we have know one thing
[30:13.26]  that's twenty million right we have lots
[30:14.64]  of course not but i but i but it's an
[30:16.35]  interesting it's the training yeah I I
[30:18.63]  don't liked it I always like to focus on
[30:20.64]  the value I do think it's interesting
[30:22.62]  we're making life sciences more
[30:24.57]  efficient I can feel that only in the
[30:26.49]  little ten years that we've been
[30:28.17]  operating yeah and it it actually makes
[30:30.69]  a difference it makes many people out
[30:33.33]  here will you know one in ten people
[30:35.36]  gets a rare disease in their life and to
[30:39.53]  varying degrees of seriousness right and
[30:43.58]  far less than half of them have
[30:45.87]  effective cures Wow so it's kind of it
[30:49.47]  makes a difference you know it's pretty
[30:51.39]  cool if you ever have a person that you
[30:53.49]  know and they they don't get the right
[30:56.07]  medicine and then they do they get to do
[30:58.74]  they get the right medicine you can see
[31:00.21]  that difference a lot of times that
[31:02.22]  medicine was already approved three or
[31:04.35]  four years ago but somehow that person
[31:06.96]  wasn't taking it that's the inefficiency
[31:09.81]  in the system the life sciences company
[31:12.27]  makes less money and the patient's not
[31:13.83]  well we're trying to make that better
[31:16.92]  yeah and that's a ton of value
[31:19.47]  it's huge value it is it's it's a it's a
[31:22.44]  great place to work I guess that's why I
[31:24.21]  work there you find you hire folks that
[31:26.16]  are mission driven around that does it
[31:27.66]  does it resonate with the average hire
[31:29.34]  now or you know or they joining a
[31:31.05]  software yeah honestly I I think we're
[31:34.02]  just growing into the mission at first
[31:36.18]  like I said to the first the start of
[31:38.01]  the company the mission was let's not go
[31:40.17]  out of business this quarter that's the
[31:44.19]  vision and the mission you know but now
[31:46.65]  we're realizing our place in the world
[31:48.60]  we can really affect change
[31:50.55]  we are respected as a company that can
[31:53.73]  do what we say we're gonna do and life
[31:56.79]  sciences trust us now we have a
[31:58.86]  responsibility so I think increasingly
[32:00.86]  we are getting more mission driven and
[32:03.36]  it's really fun to see that's like the
[32:05.73]  transformation of Eva right we're
[32:08.10]  becoming more mission driven well that
[32:10.47]  isn't you get more edition driven
[32:11.73]  overtime right you didn't but you can
[32:13.23]  find your bigger mission over time right
[32:14.76]  yeah you start off this atomized level
[32:16.56]  and there's no more there
[32:18.84]  let's have that into one top I want to
[32:20.10]  get to things to make sure we don't run
[32:21.21]  out of time so let's talk about how and
[32:23.13]  we can even just start there how the
[32:24.69]  stages of Eva we chatted about before
[32:26.37]  now you're thinking about how to build a
[32:28.32]  hundred-year company right yeah does
[32:30.30]  that seem crazy looking back it's 10
[32:32.07]  years ago could you even think that at
[32:34.02]  the founding did you think about
[32:34.92]  building 100 year company ok another
[32:36.93]  quarter you were thinking about one
[32:38.40]  quarter I'm real honest about that I
[32:40.20]  thought gosh I I don't want to go out of
[32:41.97]  business you know and if we don't go out
[32:43.41]  of business then well then it'll be good
[32:45.21]  we'll have time to figure out what to do
[32:46.74]  and then the other inflection point was
[32:49.98]  about 2010 when when we really had to
[32:52.83]  look at ourselves a management team do
[32:54.72]  we really want to become a multi-product
[32:56.28]  company because once you do that you
[32:58.71]  either crash the car or you make it big
[33:01.77]  and most likely it a little smaller but
[33:04.41]  yeah a little smaller maybe got public
[33:06.99]  got bought and some aside somebody
[33:08.46]  product is the company but we decided in
[33:10.44]  2010 we can do it we thought we could do
[33:15.09]  it multi-product company which that
[33:16.77]  means you're sort of on your way to a
[33:18.30]  billion dollars
[33:20.00]  so that was a big phase and now this
[33:22.04]  phase is we're starting to think about
[33:23.59]  mission-driven digital disruption how do
[33:26.15]  we really help you guys get into the
[33:28.58]  clinical trial you you need to get into
[33:30.77]  which you know that's pretty important
[33:33.02]  if you can both for the patient and for
[33:35.57]  the life sciences company yeah how can
[33:37.76]  you get in the clinical trial how can
[33:39.38]  you get the right medicine how can your
[33:40.94]  doctor know about the right medicine so
[33:43.28]  that's the phase but I would say one of
[33:47.27]  the things I could maybe I could talk
[33:48.65]  about execution a little bit because I
[33:50.36]  think that's underrated if you know we
[33:52.43]  have time enough to go into that one
[33:53.75]  sure it's uh you know I maybe talk like
[33:57.20]  a visionary or something like that but
[33:59.06]  I'm a Swiss American I like trains to
[34:01.25]  run on time my parents were Swiss it's
[34:03.08]  sort of engrained right do things the
[34:05.03]  right way my dad I don't know how many
[34:07.61]  times he used to say I'd go to him and
[34:10.13]  say hey Dad is that good enough
[34:11.72]  he'd say every time good enough is not
[34:14.66]  good enough meaning if you're asking me
[34:16.91]  the question it obviously ain't good
[34:18.89]  enough so I like the execution part and
[34:22.15]  it starts with picking those clear and
[34:24.59]  correct target markets that's number one
[34:26.48]  but as you scale as you get about 150
[34:28.67]  200 300 people pass Dunbar's number pass
[34:32.60]  the number of people that you can know
[34:34.45]  it's this engaged teams working together
[34:37.15]  that's a core you'll hear everybody at
[34:39.98]  being the same at engage teams working
[34:41.81]  together how do I know in my company
[34:44.39]  who's supposed to do what yeah and this
[34:47.39]  culture of managers I trust that other
[34:51.77]  team I manage my team which is
[34:56.21]  counterintuitive right people want to
[34:58.13]  say hey I got my team I got my team and
[35:00.62]  we've we're ale against those words
[35:02.87]  that's not your team that is the team
[35:06.26]  that you manage my sales the head of
[35:08.96]  sales is not on the sales team he's on
[35:10.97]  my team and he trusts the services team
[35:13.46]  but he manages his sales team so this
[35:16.25]  engaged teams working together is really
[35:18.29]  key I love it we actually developed an
[35:19.64]  app on that because I couldn't find
[35:21.20]  anything to help us do that and so we
[35:23.36]  developed an email app yeah it's called
[35:25.34]  or wiki you can find it out there you
[35:27.08]  can subscribe to it you want that's it's
[35:29.66]  been a key to our growth and then lastly
[35:32.27]  I will say
[35:33.47]  actively say execution matters most all
[35:36.23]  that other stuff is hoo-ha I spend 90%
[35:38.57]  of my time executing what am I gonna do
[35:41.18]  today this week this month this year
[35:43.69]  write down a plan execute the plan
[35:46.34]  measure yourself to a plan execution
[35:48.83]  matters most and over the long term any
[35:51.26]  good idea gets copied yeah but execution
[35:53.90]  is enduring so if you start to see
[35:57.71]  yourself growing execution will matter
[36:01.64]  most at the end of the day and it's hard
[36:04.28]  and it's maybe not sexy but it's the
[36:06.47]  thing that will separate you there's a
[36:08.96]  downside of capitalism meaning there's
[36:10.73]  no free lunch if you want to be great
[36:12.68]  you have to execute you do have to
[36:14.57]  actually so one last thing we're over
[36:16.19]  and then we're one and a half last
[36:17.78]  things but related to that so you spend
[36:19.88]  how much your time and execution you
[36:20.90]  said 90 some odd yeah probably 90 I
[36:22.97]  think you told me every three weeks you
[36:24.59]  try to take a break right now and meet
[36:26.21]  with someone to challenge your thinking
[36:28.39]  quickly how you do that because that's a
[36:30.14]  great takeaway if we can all do that we
[36:31.52]  use this term we have a vocabulary we
[36:34.34]  call the adjacent possible I up are
[36:36.44]  decent posture Jason possible Jason
[36:38.87]  Paulo and I gonna be our next book just
[36:41.69]  strolling this today I'm impossible to
[36:43.97]  navigable the first is it means take
[36:46.04]  some time about every three weeks I take
[36:48.41]  about a day and I usually go to San
[36:50.84]  Francisco I'm in some other place and I
[36:52.79]  meet with people that are outside of my
[36:54.23]  daily routine but somehow adjacent so it
[36:57.35]  might be somebody that's starting a
[36:59.12]  software company that's focused on
[37:00.74]  banking yes or hospitals or any number
[37:04.64]  of things or somebody making a medical
[37:06.56]  device or a physicist or an actual
[37:09.68]  doctor or something like that and I just
[37:12.50]  force myself to talk to them and be open
[37:15.02]  because otherwise you become myopic as a
[37:17.66]  semiotic sitting in conference rooms
[37:19.67]  media je-sus tumors adjacent possible as
[37:22.43]  a way to bridge when a chemist talks to
[37:26.27]  a physicist something might happen but
[37:29.30]  if the chemist only talks to the chemist
[37:31.40]  yeah that thing ain't gonna happen so
[37:33.56]  you got to make time for that and and
[37:35.15]  enjoy it enjoy that yeah I love it
[37:38.00]  alright everyone let's give it up for
[37:39.29]  Peter gasner I think we may have one
[37:41.69]  memento of the do we have a memento that
[37:44.70]  stage of the 10th anniversary of Eva we
[37:46.62]  may we may not let's see do we have a
[37:49.95]  cheesy momento we may or may not bring
[37:52.02]  out long meadow roll the prop oh there
[37:54.87]  we go all right hold on we just have to
[37:58.26]  have one toast for you 10 and then we
[38:00.12]  will take a coffee break
[38:01.47]  aha what I get to Taylor do like yeah I
[38:06.45]  I always never follow to her even take
[38:09.66]  two very much thanks everyone thank you
