Title     : How to Scale Your Sales Team From 1 to 100 Reps:  Dave Baga, CRO at Lyft
Video ID  : 1cwY862TCBc
[28:31.96]  team humbly enacting these values every
[28:35.00]  day being yourself uplifting others
[28:37.56]  around you making it happen and and
[28:40.44]  creating fearlessly it it is really a a
[28:43.96]  something that emboldens the entire
[28:46.12]  community of of lift and so as a result
[28:49.96]  uh it it's what we we hire for it's what
[28:52.36]  we develop it is what we prosecute and
[28:55.28]  Performance Management for it is really
[28:57.44]  really something that is um that that we
[28:59.96]  stand for and so when when that
[29:02.40]  situation arose I think that it was
[29:05.64]  incredibly uh easy and and Swift for
[29:09.32]  John and Logan to come out with our
[29:10.96]  stance because that's really who they
[29:13.52]  are and they've been that way for over a
[29:17.96]  decade have you seen in the various
[29:21.72]  companies you've been at where values
[29:24.52]  get in the way of performance
[29:29.32]  yes I think that there is a so I so I
[29:32.36]  actually think what happens is is that
[29:33.84]  you have your stated
[29:35.36]  values which almost all of us have
[29:38.12]  stated values and then you've got your
[29:40.20]  acted values and I think that there is a
[29:42.72]  values
[29:44.00]  Gap and so you might have a a you might
[29:48.08]  have a value that says that uh we
[29:50.44]  operate with a sense of urgency but when
[29:53.08]  then the opportunity arises for that to
[29:54.96]  be tested it takes you
[29:57.84]  I don't know a day to get back to me
[30:00.40]  when I am trying to solve an urgent
[30:02.24]  customer issue and I need you to be
[30:03.96]  responsive inside of on hour that that I
[30:07.04]  think is really uh something that that
[30:10.32]  people have to uh honestly evaluate and
[30:13.60]  assess and and and measure themselves
[30:16.00]  against to figure out are these values
[30:18.32]  actually what we are living every
[30:20.76]  day so I think um I I I have to ask that
[30:25.40]  uh there's another large ride sharing
[30:28.08]  company out there is that right yeah i'
[30:30.76]  I've
[30:32.44]  um what's what's the future hold for
[30:34.76]  Lyft what what is uh what direction are
[30:37.24]  you really excited that you know you can
[30:39.88]  hold up as a real competitive advantage
[30:42.72]  and where you see the future of
[30:44.44]  Transportation going and how lift plays
[30:46.28]  in
[30:47.12]  it so as far as Transportation I don't
[30:50.56]  think that we could possibly be living
[30:52.20]  in more exciting times I mean you you
[30:54.56]  really have seen in the last uh call it
[30:58.28]  uh 15 months really I would say you have
[31:01.72]  seen every Hardware manufacturer every
[31:04.32]  major software
[31:05.88]  manufacturer every Automotive uh
[31:08.92]  supplier and OEM has come to the table
[31:11.44]  elbowed their way to the table to this
[31:13.96]  domestically it's a $2 trillion
[31:15.96]  opportunity and and uh globally it's A10
[31:19.80]  trillion opportunity and really what
[31:21.40]  we're talking about is the the
[31:23.52]  transformation from a culture that is
[31:26.08]  really uh uh car ownership Centric to
[31:30.24]  being ultimately being able to deliver
[31:32.44]  Transportation as a service and and
[31:34.80]  doing that by bringing down the cost
[31:37.16]  making it more accessible making it more
[31:39.08]  convenient and we at Lyft uh have laid
[31:42.16]  out a a a road map for the future that
[31:45.48]  essentially is is showing this
[31:47.56]  transition that it includes today where
[31:50.00]  we are of of of a ride sharing mentality
[31:53.40]  and and in the next phase really a a
[31:56.28]  hybrid uh of um of autonomous vehicles
[32:00.08]  where we believe in the next 5 years
[32:02.00]  half the vehicles in our Fleet are going
[32:03.68]  to be autonomous and in in 10 years
[32:06.92]  thereout a decade uh all of the rides
[32:10.40]  that are on the lift Network are going
[32:11.80]  to be delivered autonomously and this is
[32:15.12]  a an incredible opportunity for us to be
[32:18.16]  able to redesign and reimagine the
[32:20.24]  cities that we live on live in you know
[32:22.72]  today you know the the
[32:25.92]  automobile uh manufacturers are spending
[32:28.56]  $283 billion do a year in the United
[32:31.20]  States marketing to us advertising to us
[32:34.32]  that this is a symbol of freedom and yet
[32:36.56]  it is the the second highest household
[32:39.20]  expense second only to to housing ahead
[32:42.36]  of Health Care ahead of insurance ahead
[32:44.28]  of food ahead of Youth Athletics and
[32:46.76]  soccer soccer on the peninsula for sure
[32:50.48]  and and so as a result of that you know
[32:53.12]  the we have American Family spending
[32:54.96]  $9,000 a year and yet is is a terribly
[32:57.92]  used asset we're only using it 4% of the
[33:01.16]  time and so there's a better path
[33:03.16]  forward and I think that the lift has a
[33:06.00]  really compelling exciting Vision we're
[33:08.32]  not worried about those other guys we
[33:09.84]  continue to focus on what we do best
[33:12.52]  which is take care of of our driver
[33:14.40]  Community take care of of our customer
[33:17.16]  community and take care of each other at
[33:19.88]  at lift to make sure that we're
[33:21.16]  delivering the world's greatest
[33:23.76]  Transportation so are you a one man band
[33:27.52]  a rock band or an orchestra we're
[33:29.68]  somewhere between uh a few rock bands
[33:31.76]  and an orchestra right now nice yeah um
[33:35.44]  it was awesome uh I just through
[33:37.76]  prepping for this I actually learned a
[33:39.48]  lot just in how you think about uh
[33:42.40]  building businesses leveraging your
[33:44.20]  experience so it's been a pleasure to
[33:46.16]  have this conversation and uh congrats
[33:48.72]  on all your success particularly in the
[33:50.12]  last couple weeks you guys are as I said
[33:52.68]  really setting a new standard so
[33:54.80]  pleasure David thank you very much I
[33:56.20]  really appreciate it
[34:00.84]  yes
