Title     : The State of the Cloud: 2021 with Bessemer Venture Partners  | SaaStr Software Community
Video ID  : XUub-9AGvPA
[25:44.88]  and for founders one thing we'd love for
[25:46.96]  you guys to take away
[25:48.32]  is that building a cloud business today
[25:50.08]  is as lucrative and
[25:51.44]  valuable as it's ever been before for
[25:53.76]  every one dollar of arr
[25:55.28]  that you generate investors are adding
[25:57.20]  more than 20 to the value of your
[25:59.12]  business
[26:00.56]  but we aren't just seeing more unicorns
[26:02.64]  because cloud companies are being given
[26:04.32]  a higher multiple on the same arr
[26:06.56]  growth rates are increasing as well
[26:08.08]  which is noteworthy here um the average
[26:10.64]  cloud 100 growth rate increased from 60
[26:13.36]  in 2017 to 90 in 2019 given tailwinds
[26:17.12]  for cloud adoption
[26:18.40]  and that growth rate dipped somewhat in
[26:20.40]  2020 to 80
[26:22.00]  which we attribute mostly to cobit
[26:23.92]  headwinds first to sales motions
[26:26.16]  um and we did note earlier that the top
[26:29.20]  quartile of cloud companies are breaking
[26:31.28]  away from the pack in the public markets
[26:33.52]  and it's worth noting that that same
[26:35.44]  trend is happening in the private
[26:36.72]  markets as well
[26:38.00]  um the top quartile companies have
[26:40.08]  increased their growth rates from 65
[26:42.56]  in 2017 to over a hundred percent in
[26:44.72]  2019
[26:45.76]  and we're able to maintain that growth
[26:47.44]  rate in 2020 despite a lot of the
[26:49.44]  headwinds
[26:50.24]  um that kobe presented but higher
[26:53.28]  multiples and higher growth rates aren't
[26:55.12]  the end of the story
[26:56.40]  um for what is driving uh cloud
[26:58.64]  valuations you know we are we're
[27:00.48]  realists and operate in an imperfect
[27:02.40]  market
[27:03.20]  um over the past decade there's been a
[27:05.28]  10x increase in the number of
[27:07.12]  dollars going into private cloud
[27:08.88]  companies to over 180 billion in 2020
[27:12.40]  um which which reflects the growth of
[27:14.40]  the companies the
[27:15.76]  the the performance that they've had um
[27:18.00]  in the exits they've had
[27:19.36]  but the reality is that the massive
[27:21.28]  influx of capital has driven cloud
[27:23.04]  valuations higher
[27:24.48]  demand has very much outpaced supply
[27:27.04]  making investors more willing to outbid
[27:28.96]  one another to partner with the best in
[27:30.80]  class companies
[27:32.72]  so taken together um we think that these
[27:34.80]  three elements of high multiples high
[27:36.88]  growth rates
[27:37.68]  and enlarged access to capital make it
[27:39.84]  the best time in history to be a private
[27:41.76]  cloud
[27:42.24]  founder or operator
[27:46.08]  but as elliot mentioned earlier as
[27:48.16]  investors we're always trying to see
[27:49.52]  into the future
[27:50.40]  and given the fact that public cloud is
[27:52.72]  trading near all-time highs and private
[27:54.56]  cloud rounds are pricing it at
[27:56.24]  almost 25 times arr we ask ourselves if
[27:58.96]  those valuations are justified
[28:00.72]  and ask ourselves what the unique
[28:02.40]  qualities are of cloud companies that
[28:04.32]  rationalizes these valuations
[28:07.84]  in perpetuity
[28:11.04]  so today we're excited to introduce the
[28:12.96]  concept of growth endurance
[28:14.40]  which is a metric that we track really
[28:15.92]  closely at customer and we define that
[28:18.24]  as the retention of growth that cloud
[28:20.00]  companies experience from one year to
[28:21.60]  the next
[28:22.40]  and it equals current year growth rate
[28:24.56]  divided by last year's growth rate
[28:26.64]  so if we look at public examples first
[28:29.28]  and and we use the bvp nasdaq emerging
[28:31.44]  cloud index as our basket over the past
[28:33.44]  decade
[28:34.08]  we find a consistent trend that cloud
[28:35.84]  companies are able to retain 80 percent
[28:38.24]  of their growth rate from the prior year
[28:40.80]  and and we do note that that 80 percent
[28:43.20]  rule for public cloud growth endurance
[28:45.44]  isn't
[28:45.92]  an absolute um but in public cloud it
[28:49.12]  actually tends to be relatively narrowly
[28:50.88]  distributed
[28:51.84]  in 55 percent of data points um public
[28:54.40]  cloud companies had growth endurance
[28:56.08]  between 70 and 100 percent
[28:58.32]  um in 30 of the time public clouds
[29:01.04]  actually accelerated their growth rate
[29:02.72]  year over year
[29:03.76]  and only 15 of the time did growth
[29:05.84]  endurance fall below 70 percent
[29:08.64]  and and i know that this is a lot of
[29:10.64]  math and this is um
[29:12.00]  a little bit more of the the meaty data
[29:14.08]  stuff that bessemer is well known for
[29:16.08]  um but the takeaway is really that um
[29:18.08]  you can use an 80
[29:19.28]  growth endurance rule for public cloud
[29:20.96]  to predict the the future growth rate of
[29:23.12]  a public cloud business
[29:24.40]  and as a as a private cloud company if
[29:26.96]  you are operating at 80
[29:28.56]  growth endurance you're really sitting
[29:29.84]  among the best in class but we'd love to
[29:31.92]  bring that scatter plot to life
[29:33.44]  and to give you some real live examples
[29:35.92]  of public cloud growth endurance
[29:37.76]  um and we would love to use shopify and
[29:39.92]  twilio as
[29:40.96]  some great examples so wall street was
[29:43.04]  incredibly bullish on shopify when it
[29:44.96]  debuted in 2015.
[29:46.64]  um but consensus estimates predicted
[29:49.12]  that it would flatten growth to 30
[29:50.72]  percent
[29:51.36]  in five years and instead shopify's
[29:53.92]  growth is never
[29:54.80]  decelerated to that level and in 2020
[29:57.44]  which we don't see on here because this
[29:59.20]  is
[29:59.44]  analyst predictions at time of ipo um in
[30:01.92]  2020 it actually grew an incredible 80
[30:03.92]  percent
[30:04.64]  in the new normal to almost 3 billion of
[30:06.96]  revenue
[30:08.16]  and in another example uh twilio was
[30:10.32]  welcomed into the public markets in 2016
[30:12.80]  as a superior developer platform
[30:14.64]  but even with such recognition uh wall
[30:16.80]  street still grossly underestimated
[30:18.56]  twilio's growth endurance believing that
[30:20.24]  the company would decelerate to the
[30:21.92]  mid-30s by 2018
[30:23.68]  and instead twilio has grown an average
[30:26.00]  of over 60
[30:26.96]  since ipo with more growth runway to
[30:28.88]  come
[30:30.64]  um but we'd like to know that there
[30:31.92]  aren't just two examples we only have
[30:33.44]  time for two
[30:34.64]  but there are many and time and time
[30:36.64]  again cloud companies have defied
[30:38.72]  gravity and and outperformed even the
[30:41.04]  wildest growth expectations
[30:43.28]  and so the the key insight here is that
[30:45.76]  even without putting a name to it
[30:47.44]  the 80 growth endurance rule has helped
[30:49.68]  to propel public cloud valuations as
[30:52.00]  these
[30:52.48]  cloud companies are able to retain their
[30:54.16]  growth um year after year
[30:56.16]  without as much deceleration as many uh
[30:58.48]  of us would have thought
[31:01.36]  but we'd love to turn um into growth
[31:03.68]  endurance for private cloud
[31:05.12]  so where is the public cloud landscape
[31:07.36]  had growth endurance of 80
[31:09.52]  looking across the past five years of
[31:11.44]  cloud 100 data our same data set
[31:13.92]  we find that growth endurance is lower
[31:15.76]  at 70 percent
[31:17.20]  and we think that that makes sense given
[31:18.96]  that only the best companies um tend to
[31:21.28]  be the ones that make it to the public
[31:22.64]  markets
[31:23.44]  um some private companies won't hit that
[31:25.20]  bar
[31:26.64]  but you know just as we went through the
[31:29.92]  distribution for public cloud we we did
[31:32.16]  it again for private cloud and we find
[31:33.84]  that the distribution is actually wider
[31:35.52]  here
[31:36.24]  so in 40 percent of the cases
[31:40.00]  um private cloud companies um have
[31:42.88]  growth endurance between 70 and 100
[31:45.44]  uh 20 will actually accelerate their
[31:47.44]  growth and a much higher percent
[31:49.20]  uh a much higher 40 percent decelerate
[31:51.52]  their their growth endurance below 70
[31:54.32]  so to make our work actionable to cloud
[31:56.40]  founders in true bessemer fashion we
[31:58.48]  created a good veteran best of growth
[32:00.16]  endurance
[32:01.12]  for good we hold companies to the 70
[32:03.44]  growth endurance rule for private cloud
[32:05.60]  for best we hold companies to the 80
[32:08.40]  growth endurance rule for public cloud
[32:10.32]  and and better sits in between um at 75
[32:13.12]  percent
[32:14.16]  but one of the reasons we love this
[32:15.76]  heuristic is because it ties very nicely
[32:17.92]  to our our our fame chart of companies
[32:20.24]  path from
[32:20.96]  one to a hundred million of arr that i
[32:22.88]  know the folks here at saster have
[32:24.72]  seen before um so if you assume that a
[32:27.12]  cloud company grows uh
[32:28.72]  300 to 1 million of ar um a good company
[32:32.64]  would get to 100 million in 12 years a
[32:35.28]  better company
[32:36.08]  in seven years and the best company
[32:37.60]  would get there in six so
[32:39.60]  um now that we've surfaced a good better
[32:41.76]  best framework for growth endurance that
[32:43.52]  founders can use to benchmark their
[32:44.96]  businesses uh we want to make sure that
[32:46.88]  we can make it actionable for you here
[32:48.48]  at saster and
[32:49.44]  many of the cloud founders and operators
[32:51.20]  that are in the audience and the most
[32:52.96]  effective lever that we have identified
[32:54.96]  and driving high growth endurance is
[32:56.48]  your go to market strategy
[32:57.92]  and as many of you will remember from
[32:59.68]  last year elliott walked through
[33:01.36]  cloud law number three which is all
[33:02.88]  about how to master the sales and
[33:04.24]  marketing learning curve
[33:05.44]  um but that was before the pandemic and
[33:07.36]  we realized that a lot has changed since
[33:09.12]  then
[33:09.68]  so we i would like to invite elliott to
[33:12.00]  talk about
[33:12.88]  the sales and marketing learning curve
[33:14.08]  and the new normal fantastic so as mary
[33:16.40]  talked about
[33:17.60]  we spent a lot of time thinking about
[33:19.04]  growth endurance over the past year as
[33:21.36]  all these companies were trying to
[33:23.68]  adjust to go to market in the new normal
[33:25.92]  and last year as mary mentioned um you
[33:28.64]  know as part of say the cloud 2020
[33:30.80]  i walked everyone through best practices
[33:32.96]  for mastering the sales and marketing
[33:34.88]  learning curve
[33:35.84]  what you really want to take away you
[33:38.00]  know i'm not going to walk you through
[33:39.04]  every phase of this but
[33:40.40]  just follow that golden rule we talked
[33:42.24]  about last year do not scale anything
[33:44.72]  until you have measurable proof
[33:46.56]  that it's working and follow this mantra
[33:49.68]  you know you just gotta nail it before
[33:51.84]  you scale it
[33:53.84]  but here's the thing um you know when we
[33:56.88]  were doing this last year about this
[33:59.04]  time
[34:00.24]  everything changed the traditional sales
[34:02.80]  and marketing learning curve was really
[34:05.04]  focused on field sales you know sitting
[34:07.68]  down
[34:08.08]  going to your customers offices going to
[34:10.64]  trade shows maybe that that juicy steak
[34:12.88]  dinner that you can have to get a new
[34:14.64]  customer over the line or renew them or
[34:16.56]  upsell them
[34:18.16]  and what we've done over the last year
[34:19.60]  is really sit down look at the companies
[34:21.52]  that have performed extraordinarily well
[34:23.44]  throughout covid and the new normal
[34:25.60]  and we said well what are some of the
[34:26.88]  project uh go-to-market strategies that
[34:28.96]  have really really helped
[34:30.48]  and and really propelled companies to
[34:32.56]  defy gravity as mary said
[34:34.40]  when we look at kind of their growth
[34:36.16]  year over year and then forward growth
[34:37.52]  endurance
[34:38.24]  and there's three some of these are new
[34:41.36]  we're going to drill into them a little
[34:43.04]  bit from a case study perspective first
[34:44.88]  we're going to talk about product led
[34:46.16]  growth strategies
[34:47.52]  we've seen companies like pagerduty
[34:49.12]  product board and intercom do that
[34:50.56]  extraordinarily well
[34:51.76]  it's really this idea of focusing that
[34:54.24]  your your product
[34:56.40]  right on your customer getting in their
[34:58.16]  shoes thinking about the user
[35:00.48]  as your go to market motion uh
[35:02.88]  usage-based
[35:03.68]  pricing models um again a trend that
[35:06.08]  we've seen more and more but
[35:07.76]  you know five years ago where a lot of
[35:09.84]  the the traditional go to market
[35:12.00]  motion focused on uh you know a sas
[35:14.48]  license or
[35:15.44]  you know annual enterprise sale top down
[35:17.68]  there's a lot of new ways that people
[35:19.36]  are
[35:19.76]  leveraging and used to brace pricing to
[35:22.00]  drive net dollar retention
[35:23.60]  and gross retention and then lastly a
[35:26.16]  really cool thing that we've seen
[35:27.68]  uh grow rapidly over the last years the
[35:30.32]  emergence and surge
[35:31.84]  in cloud marketplaces which help uh b2b
[35:34.88]  businesses find each other
[35:36.32]  and transact in the cloud and a special
[35:38.48]  shout out to tackle io really the leader
[35:40.32]  in this space
[35:41.12]  and they were uh just announced a new
[35:43.28]  big round of series b
[35:44.48]  yesterday again we try to predict these
[35:46.80]  things and then sometimes we get lucky
[35:48.72]  uh and they happen after we we make the
[35:50.80]  slide so let's talk about product leg
[35:52.80]  growth a little bit
[35:54.00]  um again not necessarily a a brand new
[35:57.20]  idea but
[35:58.24]  a renewed strategy um in the new normal
[36:02.00]  you know the way that i like to think
[36:03.44]  about it is it's really
[36:05.28]  putting the focus on your customer and
[36:07.68]  the idea that you've got to make them
[36:09.68]  successful
[36:10.56]  your success is not defined that you
[36:12.48]  know we we went from 50 customers to 100
[36:15.04]  it's about that one customer making sure
[36:16.88]  that your product is focused on them
[36:19.76]  there's less friction in terms of
[36:21.60]  getting them
[36:22.80]  time to value in terms of finding these
[36:25.60]  inflection points where they have their
[36:27.12]  aha moments
[36:28.32]  and what's really cool when you think
[36:30.24]  about uh karen peacock and the team over
[36:32.24]  at intercom
[36:33.04]  is when you do it right your customers
[36:35.44]  grow with you
[36:36.72]  and you know a lot of sas founders out
[36:38.96]  there are watching us today
[36:40.88]  you're thinking about that first batch
[36:42.72]  uh or that first cohort of your customer
[36:45.20]  regardless of where they are whether
[36:46.88]  it's a big enterprise customer
[36:48.72]  or kind of a smb or sme customer if
[36:51.52]  you're really talking about growing and
[36:53.04]  making sure that you grow with your
[36:54.80]  customers
[36:55.92]  in intercom's case they did their plg
[36:58.24]  strategy so well
[36:59.60]  that when their customers grew and the
[37:01.92]  company grew with them
[37:03.28]  their go-to-market motion actually went
[37:05.28]  up market very naturally
[37:07.60]  you know it wasn't about uh you know
[37:10.00]  retooling go to market
[37:11.28]  just to focus on a top-down sale or a
[37:13.52]  big new enterprise-wide champion
[37:15.84]  it happened more naturally we see more
[37:18.48]  and more of these
[37:19.52]  um these type of solutions and
[37:22.64]  strategies playing out in the new normal
[37:24.40]  where
[37:24.80]  again you just can't sit down with with
[37:27.04]  your champion or the person that you're
[37:28.56]  trying to sell
[37:29.76]  um from kind of a top-down market
[37:31.84]  perspective we've just seen a massive
[37:33.84]  growth
[37:34.96]  and the value and success of product led
[37:36.96]  growth companies
[37:38.56]  whether it's datadog or twilio it's
[37:41.12]  really again that retooling and focus on
[37:43.20]  your customer
[37:44.56]  as your market entry uh strategy and
[37:47.20]  then you just let the organic growth go
[37:49.20]  we've got some things online that talk
[37:50.64]  about kind of best practices for how you
[37:52.40]  measure that
[37:53.20]  how you grow that and how you invest in
[37:54.96]  that further uh
[37:56.40]  usage-based pricing so you know mary
[37:59.76]  talked a little bit
[38:01.76]  about this in the growth endurance
[38:03.52]  section but uh we'll highlight courier
[38:06.00]  here
[38:06.88]  my partner ethan uh he talks in his
[38:09.36]  developer laws about the holy grail
[38:11.68]  of pricing models is when it's measured
[38:15.52]  uh when your customers can measure their
[38:17.60]  value and
[38:18.64]  again when you can grow with them so in
[38:20.96]  courier's
[38:22.08]  case you know they charge on that the
[38:24.64]  api call for notifications
[38:27.44]  this allows your customers to know you
[38:29.52]  know i'm paying for what i'm getting
[38:31.52]  value
[38:32.00]  for and as i accrue more value typically
[38:34.64]  they're willing to grow
[38:36.08]  with you and pay you a little bit more
[38:37.84]  and it really eases
[38:39.12]  the conversation where you're naturally
[38:41.12]  going to them whether it's every month
[38:42.80]  or every quarter or annually
[38:44.48]  to talk about renewal and upsell
[38:48.08]  one thing that we we really like to see
[38:51.12]  when we looked at this data was
[38:52.80]  net dollar retention when you juxtapose
[38:56.48]  folks that have a usage based pricing
[38:58.40]  model
[38:59.04]  versus those that have more of the
[39:00.40]  traditional
[39:02.48]  enterprise license or or traditional sas
[39:04.88]  sales model
[39:05.92]  we found that the folks that focus on
[39:09.12]  the usage-based pricing model have about
[39:10.80]  a 10 percent higher
[39:13.12]  public market valuation and what we also
[39:15.84]  found is that
[39:16.72]  for the companies that achieve scale so
[39:18.40]  let's say companies that are 100 million
[39:20.32]  and north of ar
[39:21.84]  they actually can maintain their growth
[39:24.16]  endurance much
[39:25.12]  easier than those that have the
[39:26.48]  traditional model and one thing that
[39:28.16]  we've also seen be very successful is
[39:30.00]  companies that have the hybrid model so
[39:31.52]  you've got your annual sas license
[39:33.28]  you've also got a usage based price
[39:35.76]  model
[39:36.32]  that's focused on a metric uh where your
[39:38.80]  customers and your users are using the
[39:40.64]  platform
[39:41.44]  and that's how you drive future growth
[39:44.00]  and then lastly cloud marketplaces
[39:46.08]  uh you know can we make these slides
[39:48.40]  before
[39:49.20]  we ever present them and share them with
[39:50.80]  the market and we had used off0 as a
[39:53.04]  case study this year and
[39:54.80]  congrats to eugenio and the team on
[39:56.88]  their big acquisition and partnership
[39:58.40]  with octa
[40:00.00]  one of the things that they found is you
[40:01.84]  know this is your traditional
[40:03.44]  uh large enterprise sale for a large
[40:05.60]  part of their market segment
[40:07.20]  and in the new normal they found a lot
[40:09.12]  of success
[40:10.56]  reaching new customers negotiating with
[40:13.28]  new customers and selling new customers
[40:15.44]  by doing and transacting with business
[40:18.24]  and
[40:18.48]  in the cloud through this channel
[40:20.08]  marketplace
[40:21.60]  we looked at a bunch of studies to
[40:23.04]  figure out you know how how is this
[40:24.88]  channel growing in the new normal and
[40:26.56]  over the past year
[40:28.08]  one of the cool things that we saw uh in
[40:30.24]  a recent study was that
[40:31.44]  80 of cloud sales interactions are going
[40:34.80]  to happen
[40:35.28]  in some form of a digital channel by
[40:37.36]  2025. so what does that mean
[40:39.28]  that means of course the traditional
[40:40.88]  trade shows matter
[40:42.32]  that's where you're going to perhaps
[40:43.84]  meet folks have that drink
[40:46.64]  after we're all vaccinated and it's a
[40:48.32]  bit safer but you're still going to
[40:50.16]  probably transact in some form
[40:52.48]  of a digital or cloud channel
[40:55.92]  off zero found that their their size
[40:57.92]  cycle sales cycle
[40:59.36]  uh diminished by about 50 in this
[41:02.08]  channel alone
[41:02.96]  um and you know if you look forward to
[41:05.36]  just 2021
[41:06.80]  we're predicting about a three billion
[41:08.48]  dollar uh
[41:10.00]  total transaction volume uh for this go
[41:12.56]  to market strategy
[41:15.36]  more broadly if you take a step back and
[41:17.28]  you said well what's really happening in
[41:19.12]  the new normal where folks aren't able
[41:20.72]  to do
[41:21.60]  these in-person interactions it's just
[41:23.84]  that the sales funnel is changing
[41:25.76]  it's no longer this top-down thing where
[41:27.84]  people enter your sales funnel
[41:29.68]  they kind of go through your process and
[41:31.44]  hopefully you convert them or they spit
[41:32.96]  out at the bottom
[41:34.16]  we're really advising companies and what
[41:36.56]  we've seen
[41:37.52]  in terms of the companies that did
[41:38.80]  really well they've just created a sales
[41:41.12]  motion
[41:41.92]  and a customer pipeline experience it's
[41:44.40]  a it's a flywheel it's just about how
[41:46.40]  can we create champions
[41:48.08]  and use those champions to leverage uh
[41:50.96]  new business
[41:53.12]  i'm going to talk about one company uh
[41:55.60]  you know if we take a step back to last
[41:57.84]  year
[41:58.96]  we talked about i think it was
[42:00.64]  prediction six which was
[42:02.40]  enterprise automation at scale and just
[42:04.96]  all the exciting things that were
[42:06.32]  happening
[42:07.04]  with data science and automation and one
[42:08.96]  of the companies that we talked about
[42:10.48]  uh was hyperscience they are software
[42:13.12]  defined
[42:13.84]  input to outcome automation platform for
[42:16.08]  the enterprise
[42:17.20]  and it was funny because we ended up
[42:19.12]  investing in the company
[42:20.48]  on black thursday which was uh
[42:23.92]  the day last year when the for the first
[42:26.40]  time when the market collapsed 2000
[42:28.08]  points
[42:29.04]  now the ceo happened to call me that
[42:30.88]  morning and he said hey is our deal
[42:32.56]  still good
[42:33.44]  uh should we still expect the money to
[42:35.36]  come through and is the valuation or any
[42:37.28]  of the terms change
[42:38.72]  um we said no we're still good
[42:42.32]  and when we invested and kovid really
[42:44.72]  hit
[42:46.24]  we we we saw their go to market team
[42:48.64]  adjust on the fly
[42:50.24]  so in order to captivate customers they
[42:53.28]  move to this this model where they let
[42:54.96]  the customers speak for them
[42:57.76]  they moved to the their hashtag customer
[43:00.16]  things customer say
[43:01.68]  uh strategy and it really drove sales
[43:04.24]  and a lot of adoption
[43:05.84]  they changed kind of customer success
[43:08.16]  onboarding when it came in and time to
[43:09.76]  value was
[43:10.48]  uh dramatically reduced almost by 70
[43:12.80]  days and that also drove growth
[43:15.04]  in terms of cultivating you know they
[43:18.16]  just
[43:18.96]  totally changed their their customer
[43:20.96]  playbook for onboarding
[43:22.40]  how they got them on the market and made
[43:24.32]  them successful
[43:25.60]  and then lastly uh they expanded their
[43:28.00]  customer advisory board to make sure
[43:29.76]  that
[43:30.24]  they felt part of the company and were
[43:32.16]  champions for them in the market
[43:34.16]  last point on this they saw almost 300
[43:36.72]  year-over-year arr growth
[43:38.56]  10x growth and platform usage in the new
[43:40.88]  normal
[43:41.60]  and 170 net dollar retention which is
[43:44.24]  huge
[43:44.72]  uh for any company quite frankly
[43:47.92]  now look we've talked about a lot of
[43:49.36]  things uh public market
[43:51.52]  trends private market trends growth
[43:53.76]  endurance
[43:54.64]  some best practices that we saw in the
[43:56.16]  new normal and now it's time for the
[43:57.52]  most exciting part of our
[43:58.88]  our predictions every year so i'm going
[44:01.52]  to jump right in
[44:03.36]  prediction one the continued unbundling
[44:05.84]  of uh
[44:06.64]  the office suite so you know if you map
[44:08.96]  against kind of historical
[44:10.48]  office software particularly microsoft
[44:13.12]  there's a whole new class of startups
[44:15.12]  that are taking
[44:16.16]  things like emails calendaring event
[44:18.88]  driven
[44:21.28]  solutions and they're just unbundling it
[44:23.44]  and they're offering solutions that are
[44:24.80]  much better than what you can get in a
[44:26.32]  package deal
[44:28.40]  prediction two this one is really cool
[44:30.48]  because you know
[44:31.44]  every sole proprietor or smb they were
[44:34.32]  you know hit really hard and uniquely
[44:36.56]  uh in the pandemic and we're seeing more
[44:38.88]  and more
[44:39.68]  uh cloud software platforms that are
[44:42.08]  focused on the smb
[44:43.60]  helping them drive and thrive in a new
[44:45.60]  normal and really bringing them back
[44:47.28]  online
[44:49.28]  and then lastly i'll take just one
[44:51.12]  second to talk about this one because
[44:52.32]  it's somewhat personal to me
[44:53.92]  uh i've been really excited uh to see
[44:57.20]  diversity equity and inclusion software
[44:59.36]  take the rightful place
[45:00.88]  um with all the unfortunate events and
[45:02.96]  conversation of last
[45:04.00]  year we've seen a huge growth in this
[45:06.16]  sector particularly on the enterprise
[45:07.68]  side
[45:08.16]  i'll give one special shout out to
[45:09.68]  cyndia which we recently
[45:11.44]  uh led their last round and they're the
[45:13.36]  the new
[45:14.48]  and established leaders in pay equity
[45:16.40]  just making sure that everyone gets
[45:17.92]  equal pay
[45:18.72]  for equal work this is really important
[45:20.40]  to everyone at bessemer
[45:22.00]  byron and mary included and i'm going to
[45:23.60]  pass it to mary for the next prediction
[45:25.60]  okay prediction number four apologies
[45:27.76]  data and machine learning infrastructure
[45:29.60]  accelerates to do heights
[45:31.28]  as companies make the transition to the
[45:33.04]  cloud and as more data is generated and
[45:35.36]  available than ever before
[45:36.96]  we're seeing the enterprise data stack
[45:39.12]  evolve as well
[45:40.16]  and whether it's firebolt and data
[45:41.68]  warehousing coiled in python based data
[45:44.32]  analytics
[45:45.12]  or imply data in real-time analytics the
[45:47.76]  opportunities are endless
[45:50.72]  in prediction five which is the rise of
[45:52.88]  the citizen developer and creator
[45:55.12]  and in 2019 we did predict that the low
[45:57.60]  code no code movement were take off
[45:59.36]  would take off
[46:00.32]  and fast forward only two short years
[46:02.16]  and we're fully in the age of
[46:03.60]  democratization of software development
[46:05.76]  companies like zapier and webflow are
[46:07.52]  freeing up engineering resources to
[46:09.44]  equip their non-technical workers with
[46:11.20]  developer capabilities
[46:12.80]  and to get a sense of use case as
[46:14.40]  possible in this cohort
[46:15.92]  companies like air kit are
[46:17.12]  revolutionizing how companies connect
[46:18.80]  with their customers through their low
[46:20.16]  code customer engagement platform
[46:22.24]  uh we're also seeing a similar
[46:23.68]  proliferation of tools democratizing the
[46:25.60]  creator economy
[46:26.56]  and i'll invite byron up to share the
[46:27.84]  next prediction
[46:29.60]  great so fintech and crypto is all the
[46:32.16]  rage in the consumer side but also
[46:33.76]  relevant on the enterprise side
[46:35.44]  and you can see the breadth of ways that
[46:37.44]  it's impacting
[46:38.64]  the payments landscape across smb and
[46:40.84]  enterprises
[46:42.08]  much more details on this on our website
[46:44.32]  as you dig in there
[46:45.76]  and then prediction seven is this long
[46:48.40]  building wave
[46:49.36]  of vertical sas that we've seen for
[46:50.96]  years we think absolutely becomes a
[46:53.36]  tsunami now this year whether it's
[46:55.68]  well-known companies like toast and
[46:57.44]  service titan uh leading their
[46:59.28]  respective industries or up-and-comers
[47:01.28]  like a shop monkey a squire
[47:03.28]  um or uh or getting into a bright wheel
[47:06.48]  example
[47:07.52]  or gloss genius and health and beauty
[47:09.52]  we're seeing it more and more as
[47:10.80]  verticals are turning to software for
[47:12.64]  their solutions
[47:14.64]  and so all of these materials are online
[47:18.16]  we encourage you to look at the further
[47:20.32]  resources we dive into the takeaways in
[47:22.48]  more detail
[47:23.44]  which we've shown you throughout the
[47:25.44]  sections here
[47:27.12]  and more and more is happening within
[47:29.52]  this amazing
[47:30.72]  cloud market and ecosystem that we're
[47:32.80]  all a part of
[47:34.64]  and you'll see some specific takeaways
[47:36.96]  around things like the go-to-market
[47:38.32]  strategies that we hope and believe you
[47:39.84]  can implement in your businesses in
[47:41.52]  addition to think of
[47:42.48]  thinking about the metrics um and the
[47:44.64]  benchmarks that you're all likely
[47:46.08]  aspiring towards
[47:47.60]  and then as uh we all like to say this
[47:51.28]  new normal
[47:52.80]  means that we are living in a cloud
[47:54.24]  first world there's a lot of additional
[47:56.00]  resources feel free to follow us on
[47:57.52]  twitter the hashtags are there
[47:59.36]  um our handles are there uh to follow us
[48:01.92]  and then
[48:02.80]  uh yes even in our zoom outfits i'm not
[48:04.80]  gonna scroll down
[48:06.24]  but but we're all a little more casual
[48:08.56]  these days as well
[48:10.00]  and then perhaps most importantly is the
[48:12.64]  resource
[48:13.28]  follow-up that's available for all of
[48:14.72]  you not only the state of the cloud
[48:16.64]  report which you can see
[48:18.24]  in terms of the deeper content download
[48:19.92]  the full report et cetera at the website
[48:22.16]  um but i'd also highlight a book
[48:23.84]  giveaway uh jeff lawson our
[48:26.16]  amazing twilio ceo that we've been able
[48:28.00]  to work with now for 11 years back to
[48:30.16]  the seed round
[48:31.36]  recently published ask your developer
[48:33.68]  and so share your thoughts and insights
[48:35.44]  on this report
[48:36.80]  and we'll send you a copy of this book
[48:39.20]  if you're one of the first hundred to
[48:40.88]  to weigh in and then again the new cloud
[48:43.12]  index materials that are online
[48:45.04]  where you can slice and dice the data at
[48:47.28]  your leisure and really go to town on
[48:49.20]  the industry
[48:50.16]  that we're all a part of and so with
[48:52.56]  that i'll say thank you
[48:53.92]  and in the meantime keep kicking ass
[48:57.04]  power to all of you and thank you for
[48:59.44]  continuing
[49:00.48]  the business and personal continuity
[49:02.80]  despite these crazy times
[49:05.72]  [Music]
[49:14.84]  cheers
[49:24.80]  you
