Title     : The CEO's Role in Marketing  How to Hustle, Build Momentum, Sell Your Company   and Yourself
Video ID  : 5ycj_bAace8
[25:40.56]  but for the most part it's been the
[25:42.40]  marketing the marketing team as well as
[25:44.12]  our both internal developers as well as
[25:46.40]  a lot of our external developers that
[25:47.80]  contribute to our forums okay I'll oh
[25:50.80]  I'll add one other quick thing which is
[25:52.36]  um we've had a lot of success out of
[25:53.96]  figuring out when a platform is about to
[25:56.24]  have an inflection point and then doing
[25:57.88]  our best to be part of that and one
[25:59.96]  example I'll give is um when LinkedIn
[26:02.76]  first rolled out their influencer
[26:04.12]  program I was like this is really
[26:05.80]  interesting and uh essentially found uh
[26:09.48]  asked my network for multiple
[26:10.84]  introductions to figure out who's behind
[26:12.52]  it and said look I'd love to contribute
[26:14.12]  content we can write about workplace and
[26:15.68]  career topics ended up getting tapped in
[26:18.04]  the second sort of wave and within two
[26:21.28]  weeks um had over 100,000 followers on
[26:23.84]  that platform now when you you know I
[26:26.68]  think usually a month or two later you
[26:28.52]  sort of have missed that wave like I
[26:29.88]  missed it for Twitter um but if you can
[26:32.04]  find a platform that's opening something
[26:33.72]  new or starting to um have an inbalance
[26:36.80]  between content producers and content
[26:39.00]  consumers it's often an easy way to
[26:41.60]  build an initial audience which you can
[26:43.32]  then grow sort of more linearly over
[26:45.56]  time interesting all right so we have
[26:49.16]  about six minutes left I have two more
[26:51.32]  topics I really want to get to one which
[26:53.60]  I think is crucial for marketing is
[26:55.96]  sales and marketing and sales alignment
[26:59.00]  so um my personal philosophy is that
[27:02.76]  marketing serves sales every every
[27:07.08]  Department in the company should be
[27:09.04]  focused on driving Revenue especially
[27:11.56]  marketing and marketing should be re
[27:13.48]  measured on revenue and that takes sales
[27:16.28]  and marketing alignment um what is how
[27:19.00]  do you guys feel about sales and
[27:21.12]  marketing alignment do you do you force
[27:23.52]  it do you have it how important do you
[27:25.80]  think it
[27:26.64]  is yeah I
[27:28.80]  there's nothing more important from a
[27:30.44]  marketing standpoint you have to have
[27:32.24]  the marketing leadership has to get up
[27:33.92]  in the morning thinking about how
[27:35.72]  they're going to go drive revenue for
[27:37.24]  your company full stop and the biggest
[27:40.44]  uh the biggest challenge sometimes with
[27:42.24]  marketing is uh teams in marketing often
[27:45.72]  want to um we call them internally we
[27:48.12]  call them activity Fields they want to
[27:50.08]  generate activity Fields they want to
[27:51.56]  talk about 10,000 leads uh they want to
[27:54.08]  talk about some project some event that
[27:56.12]  happened and you have to always make
[27:58.52]  sure that they're asking the question
[27:59.92]  the next kind of why why would we do
[28:01.80]  that and then because I get 10,000 leads
[28:03.76]  and you say well why what you know are
[28:05.52]  those valuable leads well I don't know
[28:07.52]  and then you got to find out you know
[28:08.60]  what happens when you send those 10,000
[28:10.08]  bad leads over to the sales organization
[28:12.16]  and they just kind of dump them all on
[28:13.28]  the floor and think they're all useless
[28:15.04]  it's about having a a marketing
[28:16.56]  organization that every morning is
[28:17.76]  trying to figure out how we going to
[28:19.32]  drive more Revenue that's that's what
[28:21.08]  we're all there for ultimately um so
[28:24.24]  yeah it's it's critical and it's it's
[28:25.68]  the it's the orientation I think of the
[28:27.76]  leadership ship and the marketing team
[28:29.44]  that that determines that you know the
[28:32.60]  uh the number one cause of death for for
[28:34.96]  a chief marketing officer is the chief
[28:36.68]  Revenue officer right so so you have to
[28:40.40]  make sure those two people are aligned
[28:42.80]  uh and they get along and uh you know I
[28:45.88]  started my career in technology on the
[28:48.08]  tech side but I moved in marketing
[28:49.36]  pretty early and when I was a young
[28:51.44]  product manager a uh we had a CMO and he
[28:53.64]  came in and he said marketing exists to
[28:56.44]  make sales easier at why we're here um
[29:00.00]  and it kind of stuck with me and this is
[29:01.56]  like more than two decades ago and just
[29:03.68]  I I went from product manager to CMO
[29:05.52]  with that that is my kind of North Star
[29:08.12]  like why are we here we're here to make
[29:09.28]  sales easier and we can do that by
[29:11.32]  providing leads or generating
[29:13.08]  opportunities we can do that by
[29:14.36]  positioning the product we can do that
[29:15.72]  with competitive tools there's a lot of
[29:17.48]  different ways we can do that but
[29:18.76]  everything we do is about making sales
[29:22.04]  easier yeah I think for me one of the
[29:24.20]  ways I imp or kind of force that into
[29:28.12]  the thinking of the company is by having
[29:29.84]  a demand gen model I mean back to your
[29:32.44]  point about what are the leads for the
[29:34.76]  model starts with the bookings Target
[29:37.12]  and then from the bookings Target you
[29:39.56]  you you work down the spreadsheet on
[29:42.44]  well how much pipeline do I need to hit
[29:44.76]  that bookings Target well how many leads
[29:46.60]  do I need to create that much Pipeline
[29:48.60]  and you look at conversion rates and
[29:50.40]  that is a process that's done with sales
[29:52.44]  and marketing together and it's a way to
[29:54.56]  force through the organization the
[29:56.24]  marketing organization we're here to
[29:58.32]  generate bookings not leads not even
[30:01.64]  pipeline but bookings and and like that
[30:05.04]  like it forces it into the minds of the
[30:08.00]  marketers I also I I I always judged my
[30:11.28]  team partially as a CMO based on is the
[30:14.32]  sales team coming to me and telling me
[30:16.24]  that Katherine's doing an awesome job
[30:17.80]  for them because that's what I want to
[30:19.28]  know like I don't want to know that she
[30:20.88]  threw a great events or she did a great
[30:23.00]  campaign I want to know that she helped
[30:24.60]  someone close a deal so I agree it's a
[30:28.00]  philosophy in the organization yeah as
[30:31.16]  that tool is just such a powerful tool
[30:33.32]  to build and drive alignment in the
[30:35.04]  organization because if you leave
[30:36.60]  marketing alone to make it by themsel
[30:38.96]  they might come back for example this
[30:40.16]  happened to my company they came back
[30:41.24]  with a model that just said deal size
[30:43.60]  times ASP equals number of deals needed
[30:45.92]  you go okay then you work through the
[30:46.96]  funnel you go wait a minute how many
[30:48.20]  sales forces do we have well we have
[30:49.64]  corporate mid-market Enterprise what are
[30:51.68]  the asps well they're all different well
[30:53.52]  wait a minute shouldn't the model model
[30:54.92]  those different asps because they
[30:56.12]  different number of deals right and then
[30:57.64]  you of oh um and you get to drive
[31:00.40]  alignment through creating that so big
[31:01.80]  believer in the
[31:03.12]  model um I have so many more questions
[31:05.84]  but I'll I'll try to close with this
[31:07.64]  last one um Jason Lyin and I were joking
[31:10.56]  backstage that he said you know how do
[31:12.44]  you spell marketing backwards it's a
[31:15.36]  money pit right and he was then he said
[31:17.92]  oh I'm being factious when I told him I
[31:19.52]  was going to repeat it on stage um but I
[31:21.60]  do think a lot of CEOs think well God I
[31:23.84]  just throwing money at this department
[31:25.80]  and I'm not even sure what I'm getting
[31:27.20]  for it how do you guys decide how how
[31:30.24]  much money to allocate to a marketing
[31:32.36]  team who's always asking for more
[31:34.52]  money hard question I think yeah uh I
[31:38.36]  can start um I think that for me at the
[31:42.76]  views we differentiate between things
[31:44.40]  that we should see short-term results
[31:46.08]  and long-term bets and So within the
[31:47.96]  short-term results we're constantly
[31:49.68]  testing and refining uh what does a lead
[31:52.12]  cost us across a variety of different
[31:54.04]  channels what's the quality um when
[31:56.56]  we're looking at users it's the action
[31:58.48]  they're taking and again over you know a
[32:01.40]  a couple of weeks a couple of months how
[32:03.36]  quality is that individual we also
[32:06.20]  dedicate some money to long-term bets
[32:08.64]  and these are things that uh we may not
[32:11.16]  be able to track or measure immediately
[32:13.00]  but we are very clear about what money
[32:14.88]  is in the short-term payoff and what
[32:16.44]  money and what budget is in the
[32:17.76]  long-term and it's a reasonable amount
[32:19.76]  where you say I believe that this may
[32:21.40]  succeed but I don't necessarily need to
[32:23.72]  see the results in 30
[32:25.40]  days great I would say I think it so
[32:28.80]  much of it depends on who's who's
[32:30.40]  leading marketing for you if you have
[32:32.72]  the right kind of person in that chair
[32:35.08]  they are they're not coming saying I
[32:37.16]  need more to be effective they're
[32:38.72]  looking at the ROI of everything that
[32:40.52]  they do which is what we have we have
[32:42.28]  somebody who thinks that way um and
[32:44.40]  they're thinking about the ROI and
[32:45.60]  they're making trade-offs every time and
[32:47.24]  and they may come and say Hey you know
[32:48.72]  if I get two more million dollars next
[32:50.24]  year I think I can deliver this much
[32:51.96]  more for the organization let's talk
[32:54.28]  about that um but you need that kind of
[32:56.16]  an of an orientation for the leader and
[32:58.96]  I know I keep getting back to that but I
[33:00.28]  do think it's makes it so much easier
[33:02.24]  than having somebody who's just give me
[33:04.44]  more and I'll do more it has to be you
[33:06.12]  know with x amount more I can give you y
[33:07.96]  amount in Revenue off the back of that
[33:10.28]  and frankly I mean we've had somebody
[33:11.64]  who I actually have had to kind of push
[33:14.40]  to spend more money in certain areas um
[33:17.36]  we we put up Billboards on 101 which was
[33:19.56]  not something that had a real clear Roi
[33:21.84]  but for candidate marketing and for
[33:23.92]  partner marketing other things which
[33:25.48]  hard to really show the near-term ROI on
[33:27.28]  it it was something it made sense but it
[33:28.88]  wasn't something that he was naturally
[33:30.20]  gravitating toward just agree with all
[33:33.20]  the panelists the last thing I'd add is
[33:34.80]  just industry benchmarks are really
[33:36.20]  useful right just to see what other
[33:37.56]  people are spending as a percent of
[33:38.84]  Revenue and a percent of ARR more
[33:41.12]  importantly um and then finally that
[33:43.32]  demand gen model we talked about as a
[33:44.88]  great way to generate the demand gen
[33:46.32]  budget yep well thank you all for being
[33:48.84]  interested in this topic and thank you
[33:50.68]  to the panel it was a great session yeah
[33:53.04]  thank you thank
[33:53.92]  [Applause]
[33:56.72]  you
