Title     : Learn how to win on the internet in 28 min  [tiktok shop, trends, building cult brands]
Video ID  : Ua32iGPwisU
[21:20.48]  people that speak English or to anywhere
[21:22.16]  in the world to make something that
[21:23.76]  really comes down to more of like
[21:25.40]  distribution of ideas being more
[21:26.64]  important than the creation of them what
[21:28.72]  sort of software tools do you use to
[21:32.28]  come up with ideas figure out supply
[21:35.04]  chain competitive analysis like what's
[21:37.84]  your uh content creation what is what
[21:41.68]  are the things that people probably need
[21:44.16]  to look into um there there's there's a
[21:46.76]  whole there's a whole bunch of them um
[21:49.56]  but I would say like yeah so like
[21:50.60]  e-commerce like particles interesting on
[21:52.16]  e-commerce because you Bally look at any
[21:53.72]  Brands like Shopify data over time um
[21:55.92]  and store data over time and so that's a
[21:57.48]  good one to be like how much should
[21:58.24]  people do promotions what colors do they
[22:00.32]  sell the most of how much do they really
[22:02.16]  sell of x x units or Y then there's the
[22:04.56]  more traditional um ones like Amazon
[22:06.84]  ones like like aium 10 and things like
[22:09.76]  that there is a really specific one for
[22:11.68]  Tik Tok shop that my brain is uh is
[22:14.56]  short circuiting on right right now but
[22:16.80]  I'll find that one before the end of it
[22:18.48]  but like I manage my entire life in
[22:20.40]  notion in these like databases where
[22:22.44]  basically every project has like the
[22:23.76]  supply chain is all is all tracked in
[22:25.20]  there notion is great because it's also
[22:26.68]  functional in in China um um so people
[22:29.64]  can update their statuses and stuff and
[22:31.00]  all like that but basically every
[22:32.52]  project is tracked in terms of like
[22:33.64]  where things are in production and
[22:34.56]  Target dates content Rob app is
[22:36.40]  populated by where product road map ends
[22:38.28]  on like on a separate uh a separate
[22:41.20]  dock um but it is interesting the
[22:43.40]  creative workflow is the one that's most
[22:45.24]  interesting to talk about because we
[22:46.32]  have CRM we have Erp but creative teams
[22:49.00]  like there's so many briefs and so much
[22:50.52]  content being created Now by these teams
[22:51.88]  and there's really no good way to track
[22:52.96]  it everyone's using like these Ultra
[22:54.20]  complex like notion slack Combos and
[22:56.64]  there's not like a dedicated creative
[22:58.24]  plat for that and it's moving so fast
[23:00.08]  that by the time anyone creates it it's
[23:01.40]  probably going to be iterated away but
[23:02.88]  anyway software opportunity for people
[23:04.80]  all right so yes this is the Tik to app
[23:06.80]  the name eludes me at the moment just my
[23:08.32]  brain is short circuiting but basically
[23:09.68]  it shows you creators and how much
[23:11.76]  market value they're doing so how much
[23:12.92]  sales they're actually making and then
[23:14.96]  that's the and then basically also you
[23:16.24]  can go explore products and categories
[23:17.84]  in a similar way which allows you to
[23:19.24]  then format formulate a strategy to go
[23:21.48]  DM creators do Outreach and like that's
[23:23.84]  the gate that everyone has right is
[23:24.92]  finding more people actually getting
[23:26.24]  them to want to do something with your
[23:27.96]  product and like getting that
[23:28.88]  relationship and following up is
[23:30.20]  definitely the hardest part of that
[23:31.40]  right now quick ad break let me tell you
[23:34.04]  about a business I invested in it's
[23:35.96]  called boring marketing.com so a few
[23:39.08]  years ago I met this group of people
[23:41.28]  that were some of the best SEO experts
[23:44.20]  in the world they were behind getting
[23:46.92]  some of the biggest companies found on
[23:49.04]  Google and the secret sauce is they've
[23:51.56]  got a set of technology and AI that
[23:54.60]  could help you outrank your competition
[23:57.68]  so for my own business businesses I
[23:59.40]  wanted that I didn't want to have to
[24:00.96]  rely on Mark Zuckerberg I didn't want to
[24:02.84]  depend on ads to drive customers to my
[24:05.88]  businesses I wanted to rank high in
[24:07.92]  Google that's why I like SEO and that's
[24:10.40]  why I use boring marketing.com and
[24:12.96]  that's why I invested in it they're so
[24:15.16]  confident in their approach that they
[24:16.52]  offer a 30-day Sprint with 100% money
[24:19.40]  back guarantee who does that nowadays so
[24:22.08]  check it out highly recommend boring
[24:24.16]  marketing.com and so we've talked a lot
[24:26.44]  about Tik Tok but YouTube do you do any
[24:28.76]  sort of competitive analysis on YouTube
[24:31.24]  or you just don't really touch it no I
[24:32.64]  mean I still don't think as a platform
[24:34.00]  I'm excited about the features they're
[24:35.20]  putting in for products like I've tagged
[24:36.96]  a bunch of my own products inside my
[24:38.28]  YouTube channel things like that haven't
[24:39.52]  seen like big sales lift or anything I
[24:42.08]  do not think of that as a platform for
[24:43.80]  Brands besides very mainstream cpg
[24:45.80]  Brands like that like that compai Foods
[24:48.60]  um like like candy brand is a perfect
[24:50.44]  brand for for YouTube YouTube shorts but
[24:52.52]  I think um YouTube when I talk about the
[24:54.92]  algorithms like Tik Tok is extremely
[24:56.28]  good at giving you very specific things
[24:57.72]  it can Zone in on like like when I was
[24:59.44]  in China it was showing me content of
[25:01.96]  other Americans like in China like like
[25:04.20]  the level of which that they they are
[25:05.68]  good at being able to do is is actually
[25:07.72]  shocking even though it's like on a VPN
[25:10.16]  and but then with YouTube It's So
[25:12.08]  mainstream if the content that succeeds
[25:13.96]  has to be like painfully mainstream on
[25:15.68]  shorts at least so if you are a niche
[25:17.72]  product you have less of a chance of
[25:18.76]  reaching your audience there but you
[25:20.24]  have a product with wide appeal and you
[25:21.72]  have a viral format you have a lot of
[25:23.04]  opportunity for success but I still
[25:24.96]  don't think of that as a YouTube YouTube
[25:26.84]  as a primary sales driver for most
[25:28.72]  businesses wow that's a hot take dude I
[25:32.20]  appreciate that yeah that's a really hot
[25:33.92]  take I mean like first of all the
[25:36.44]  interesting thing is you don't even you
[25:38.72]  don't even mention long form yeah well
[25:40.96]  long form is a brand builder for Brands
[25:42.56]  to be able to put out there and
[25:43.48]  obviously there's influencers that put a
[25:44.84]  bunch of that like inside their their
[25:46.76]  content to build it but when you look at
[25:48.00]  a like a tactical useful strategy with
[25:50.68]  Arbitrage that you can then compare to
[25:53.16]  you can come at from a numbers
[25:54.36]  perspective the way you come at
[25:55.28]  advertising I look at short form like
[25:57.80]  and especially what's happening on Tik
[25:58.96]  Tok like way more specifically
[26:00.80]  quantifiable actionable scalable
[26:02.64]  organically than than YouTube is is more
[26:04.88]  of a like a slower more marauding more
[26:07.40]  brand focused game not that that's a bad
[26:09.32]  thing for for Brands but I think uh the
[26:12.28]  opportunity with Organic virality on
[26:14.36]  short form is is
[26:16.04]  generational and before we before we
[26:18.96]  leave I have to ask you because you're
[26:21.52]  the goat at this besides format if
[26:23.52]  you're trying
[26:24.52]  to create a Tik Tok audience you're
[26:26.72]  trying to create cont content that's to
[26:28.44]  land with people how do you do
[26:31.44]  it uh so this is a good one there's a
[26:33.36]  couple things uh like so core macro
[26:35.84]  level you there's three types of content
[26:37.72]  right content that drives value and not
[26:39.96]  just like I have three tips like value
[26:41.72]  that someone wants to bookmark or share
[26:43.72]  like my content works so well because I
[26:45.20]  get shared in slack channels of
[26:46.60]  companies small and large every day
[26:48.60]  thousands of times because I I make
[26:50.68]  content specifically for that I want my
[26:52.16]  content to get I want some I want your
[26:53.72]  director to drop it in the slack Channel
[26:55.48]  and be like why aren't we doing this or
[26:56.72]  I want a a creative person to be like
[26:59.04]  sending it to their creative team I want
[27:00.20]  to do this so value that is savable and
[27:02.08]  sharable either either does that or it
[27:03.92]  entertains it replaces Netflix in the TV
[27:06.24]  experience or it fails those are your
[27:08.24]  three options for for content right and
[27:10.28]  what happens is so many people fall in
[27:11.52]  that third bucket because they go say
[27:13.04]  I'm going to talk about my brand story
[27:14.24]  or I'm gonna talk about what my product
[27:15.32]  does that's cool and no one cares and
[27:17.52]  even if you're an established brand why
[27:18.80]  a lot of their content isn't good is
[27:19.88]  that they don't care but if you take
[27:21.32]  that same lens I'm G to talk about that
[27:22.84]  and I'm going to provide savable
[27:24.68]  sharable value or I'm going to entertain
[27:27.24]  in such a way that people are consuming
[27:28.52]  it in in replacement of entertainment
[27:30.44]  that's where you can succeed on short
[27:31.56]  form so if you're an expert you're
[27:32.80]  trying to build your following or do the
[27:34.04]  kind of thing I've done on there I'd be
[27:35.12]  laser focused on telling stories about
[27:37.72]  things because people don't care just
[27:38.76]  about facts they care about facts in
[27:40.20]  context of stories that are that are
[27:42.96]  also playbooks that enable people to act
[27:45.16]  if you are an expert in any field from
[27:47.08]  Fitness to to to branding to e-commerce
[27:50.12]  um to you know whatever your
[27:52.12]  cardiologist like that is the format for
[27:54.04]  which you to succeed beautiful I
[27:56.28]  appreciate it my man where could people
[27:58.40]  get to know the internet internet's
[28:00.80]  creative director more yeah I'm at or
[28:03.52]  meworld o Ren meworld uh on Instagram
[28:07.28]  Tik Tok YouTube uh YouTube is my
[28:09.40]  favorite personal platform at the moment
[28:11.04]  may not drive the vand value so you can
[28:12.72]  come check out the long the long form on
[28:14.28]  there I have a newsletter called hyper
[28:16.12]  um that is in my link bios on all there
[28:17.84]  where we talk specifically about brand
[28:19.12]  strategy and creative direction that is
[28:21.04]  a is a worthwhile read so appreciate you
[28:23.40]  having me anytime my man come back soon
[28:28.92]  baby
[28:31.01]  [Music]
