Title     : The Story of How Squadcast.fm Blew Past $100K MRR -  Zach Moreno and Rock Felder - MicroConf Remote
Video ID  : s1EtZu7eBCg
[26:37.44]  new podcasters or experienced podcasters
[26:39.76]  that need to record their shows remotely
[26:42.48]  yeah i like to think of it because when
[26:43.92]  i record a podcast interview i do have
[26:45.52]  an outline of questions i'm going to ask
[26:47.36]  but i almost never stick to that outline
[26:49.36]  i'll also
[26:50.64]  i'll either skip some or i'll insert
[26:52.88]  additional ones
[26:53.84]  uh you know based on what someone says i
[26:55.92]  like to think of it as if i'm gonna
[26:57.12]  drive from la to new york i know that
[26:58.72]  i'm going east
[26:59.60]  i don't know if i'm going the south
[27:00.88]  route or the north route there's all
[27:02.40]  these different places i could go
[27:03.52]  through but in general i know where i'm
[27:05.12]  going and then you just don't know how
[27:06.48]  fast you're going to go
[27:07.52]  and exactly what roads you're going to
[27:08.80]  take right i think that's a decent
[27:10.24]  metaphor for it
[27:11.84]  totally um next question from deep um he
[27:14.72]  addressed it to rock but again i feel
[27:16.00]  like either you could ask it
[27:17.28]  he said rock you mentioned learning from
[27:19.28]  the greats plus just in time learning
[27:21.76]  can you elaborate on that what
[27:23.28]  specifically worked really well for you
[27:24.96]  with regards to learning
[27:26.40]  with regard to learnings yeah so when we
[27:29.60]  first
[27:30.16]  started squad cast we didn't really know
[27:32.96]  what we were
[27:34.56]  becoming a part of in the sense of a
[27:36.16]  community we didn't know like
[27:37.84]  bootstrapping was this whole thing and
[27:40.48]  we didn't know any podcasters
[27:42.08]  well that too yeah so we just would
[27:45.28]  go to wherever those people were that
[27:47.28]  were either you know
[27:48.80]  experienced sas founders like like you
[27:50.88]  rob dan martell
[27:52.00]  or you know some of the more specific
[27:53.76]  stuff like uh
[27:55.36]  patrick campbell from profitwell they do
[27:57.52]  a bunch of stuff on pricing so when we
[27:59.52]  needed to learn pricing
[28:01.20]  just in time we went to the people who
[28:03.20]  were seen as experts
[28:04.48]  and again the easy part is is learning
[28:07.12]  the hard part is
[28:08.00]  implementing um and but we just are
[28:11.44]  we i feel like we're a testament of it's
[28:13.20]  worth that effort because it did
[28:14.88]  transform our business
[28:16.88]  it's also a bit meta we use i mentioned
[28:20.08]  in the very beginning that
[28:21.52]  we love learning from podcasts because
[28:23.68]  it's a very efficient way to go deep
[28:25.44]  on a very niche topic so you want to
[28:28.32]  learn about sas pricing
[28:29.60]  right uh you can find you know three
[28:32.16]  podcast episodes ten podcast episodes on
[28:34.56]  that and
[28:35.76]  be from zero to sixty by like later
[28:37.92]  today uh
[28:38.88]  listening to those and like rock said
[28:40.64]  the trick really is
[28:42.24]  having the levers being able to
[28:43.68]  implement that right away so
[28:45.68]  um i can't uh there's so many examples
[28:48.48]  of
[28:48.88]  oh i just read this book or i just read
[28:50.56]  this chapter or this section of this
[28:52.88]  book
[28:53.52]  and you know it's it's part of our
[28:55.36]  business and strategy the next day
[28:57.52]  um that's something that we repeat over
[28:59.92]  and over and over again
[29:01.92]  yep it's that advantage of being a
[29:03.20]  startup founder and being able to
[29:04.16]  implement really quickly right versus
[29:05.52]  working at a fortune 500 or a thousand
[29:07.52]  and you're it might take you three
[29:09.04]  months to get everyone on board and like
[29:10.80]  you don't get a pilot project going or
[29:12.16]  whatever i'm not saying it's bad to work
[29:13.60]  at fortune 1000 it's just the different
[29:14.88]  trade-offs we have right
[29:16.40]  absolutely yeah and tiny seed is some
[29:18.40]  extreme version of that
[29:20.00]  so uh we've picked up uh we've picked up
[29:22.88]  so much and implemented it very quickly
[29:24.72]  and we're seeing that
[29:25.68]  same uh same approach from our peer
[29:28.32]  company so that that's a great way to
[29:30.16]  kind of throw some gasoline on the fire
[29:32.24]  with advice and all the great things
[29:34.48]  that come from the work that they're
[29:35.60]  doing
[29:36.40]  yeah and that that brings us to our next
[29:37.76]  question it's a good segue so justin
[29:39.20]  jackson asked why take funding from tiny
[29:41.76]  seed
[29:42.40]  if you were at 100k mrr
[29:45.92]  well that's a great question justin uh
[29:48.24]  so
[29:49.20]  we were not at 100k but by the time we
[29:51.52]  started talking to
[29:52.84]  tinyseed it just kind of happened but we
[29:55.12]  were already
[29:56.64]  looking for ways to
[29:59.68]  just grow our network and become more
[30:01.36]  professional founder
[30:02.96]  after talking with so many different
[30:04.80]  investors angels accelerators
[30:07.44]  tiny c just felt like the right fit for
[30:09.44]  uh many reasons um
[30:11.20]  but yeah shortly after um that
[30:14.08]  relationship became formalized we did
[30:15.92]  hit 100k so
[30:17.28]  the money was not something we really
[30:19.20]  necessarily needed but the the advice
[30:21.12]  and the the support is something that
[30:23.44]  we truly value especially as we're
[30:25.12]  navigating these waters for the first
[30:26.64]  time
[30:27.84]  that's something we've always tried to
[30:30.00]  um
[30:31.28]  try to remain mindful of is uh when
[30:34.00]  you're not
[30:34.80]  going out and actively raising venture
[30:36.64]  capital we tend to think of it
[30:38.08]  exactly like that where it's it's it's
[30:39.92]  capital um
[30:41.20]  but you're also kind of uh potentially
[30:43.76]  sacrificing opportunities to get advice
[30:45.60]  from people who have done this before
[30:47.60]  and so we've always been very
[30:48.88]  intentional about our advisory board
[30:51.60]  and the the skills within um
[30:54.88]  so that we can we can learn from people
[30:56.64]  who have done this before as first time
[30:58.56]  founders
[30:59.12]  and then tiny seed again was just a
[31:01.92]  crazy
[31:02.80]  crazy degree of that same approach that
[31:04.96]  um has already been
[31:06.56]  having a really great impact uh beyond
[31:08.72]  kind of our core advisory board
[31:11.28]  yeah i think that's an important point
[31:12.72]  and tiny seat aside it's like
[31:14.56]  a mistake i made early on and i think a
[31:16.08]  lot of bootstrappers make is that they
[31:17.60]  feel like they should be able to do it
[31:19.44]  all on their own
[31:20.32]  and they don't set up an advisory board
[31:22.00]  or they don't have a mastermind group or
[31:23.44]  they don't have other people
[31:24.72]  who have true kind of insight and impact
[31:27.84]  on
[31:28.16]  into their business and and you guys
[31:30.00]  have done a good job there's some people
[31:31.36]  that i know
[31:32.08]  like ruben gomez another example of
[31:33.52]  someone who has really always sought out
[31:35.68]  mentors and is just willing to be
[31:37.84]  teachable you know
[31:38.88]  is willing to to not have the attitude
[31:40.88]  again the attitude i had 10 years ago of
[31:42.72]  like
[31:43.12]  well i'm going to figure it out and i'm
[31:44.24]  going to do it all on my own it just it
[31:45.76]  took me a lot longer to get there
[31:47.20]  because of that so i think advice
[31:48.88]  network and and the bat you know being
[31:50.88]  in a community and having a mastermind i
[31:52.48]  think all that's like
[31:53.28]  so so important so uh eric tompkins
[31:57.20]  asks can you talk more about how you
[31:59.28]  invest in the podcast community
[32:01.60]  where and how can this be done
[32:05.28]  yeah so uh just the most recent example
[32:08.16]  we
[32:08.56]  uh we funded or we provide this
[32:12.00]  provided the seed funding for the we are
[32:13.92]  diverse creators summit
[32:15.60]  which is um was a remote event for by
[32:18.96]  uh founded by one of our advisors uh
[32:21.28]  adriana flores regard
[32:22.88]  uh co-founded this new event that
[32:26.24]  was an underserved conversation and
[32:28.24]  community within podcasting
[32:30.16]  and i'm very grateful that we could help
[32:32.64]  bring that to life
[32:34.00]  uh through some through some investment
[32:36.56]  and also
[32:37.20]  participation so it's not all dollars
[32:39.68]  and you know capital
[32:41.20]  it's also rock spoke at that event um
[32:44.32]  and we we helped kind of provide uh our
[32:47.36]  network for getting speakers to that
[32:49.12]  event and
[32:50.00]  there's all sorts of ways that you can
[32:52.48]  leverage the resources that you have
[32:54.24]  that
[32:54.56]  may not always be capital uh to invest
[32:57.92]  it's social equity
[32:59.20]  it's your network it's it's these um
[33:01.84]  these additional
[33:03.12]  elements that you can bring to uh to the
[33:05.80]  community
[33:07.12]  so we speak at events all the time
[33:08.80]  that's another great way of course we
[33:10.64]  we sponsor events um and
[33:14.08]  continue continue on that path i mean of
[33:16.08]  course shelter and place has kind of
[33:17.44]  turned that on its head as
[33:18.72]  we're all experiencing right now so i
[33:21.84]  respect what you're doing uh with the
[33:24.56]  team rob of finding a way to make this
[33:26.72]  engaging and stay stay the course even
[33:29.04]  though
[33:29.68]  2020 has been so strange so uh so there
[33:33.20]  are
[33:33.52]  all sorts of ways another is just
[33:36.48]  talking to
[33:37.12]  our customers talking to the community
[33:39.44]  and not having kind of a sales agenda
[33:41.60]  just
[33:41.92]  listening right um through meetups and
[33:45.60]  and in our case we uh have we have the
[33:48.80]  ability to go on and be guests on
[33:50.56]  people's podcasts and learn from them
[33:52.80]  about what they're doing
[33:54.32]  how they're interviewing other people
[33:56.16]  what they're learning from their guests
[33:58.08]  so there's there's all sorts of ways um
[34:00.80]  i would just even
[34:02.08]  it's probably helpful to just even not
[34:04.00]  even worry about the money as an
[34:05.36]  investment
[34:06.32]  find other resources that you have and
[34:08.40]  and put those to work in the community
[34:11.68]  very cool so we have we're going to have
[34:13.20]  the lightning round here we have about
[34:14.64]  three and a half minutes and i think i
[34:15.92]  have like
[34:16.32]  another six questions or something so a
[34:18.64]  question from andrew comfort he says you
[34:20.48]  have pending patents
[34:22.08]  and perhaps more in the works how do you
[34:23.76]  balance your intellectual property
[34:25.04]  secrecy
[34:25.92]  nda needs with your openness and
[34:27.44]  communication and acceptance of ideas
[34:29.84]  from
[34:30.32]  users oh i thought that was going to
[34:32.40]  take a different turn i thought he was
[34:33.44]  going to talk about
[34:34.24]  when you file patents the public and
[34:35.60]  competitors can copy them
[34:37.28]  so but he's saying user global
[34:40.32]  only filed patents in the us so that's a
[34:43.20]  whole different uh
[34:44.40]  you know consideration but um you're
[34:47.28]  absolutely right we
[34:48.00]  are open with our customers uh it's just
[34:50.00]  the level of detail that we provide and
[34:52.48]  um one of those patents anyway is
[34:55.92]  how we upload and um progressively
[34:58.72]  upload our audio so that it's
[35:00.40]  reliable as well as high quality that
[35:02.96]  idea came from one of
[35:04.32]  from our founding advisor harry duran
[35:06.16]  who uh you want to listen to our podcast
[35:08.32]  the episode just dropped today with a
[35:09.92]  conversation with him that's called
[35:11.20]  between two mics
[35:12.56]  so uh harry gets full credit for that
[35:14.64]  idea of progressive upload
[35:16.16]  well not full credit well yeah how we
[35:17.76]  actually built it very
[35:19.68]  very different thing it took us 10
[35:21.20]  attempts right to build this out so
[35:23.76]  um there's uh it's just a level of
[35:26.24]  transparency
[35:27.20]  that that you provide you we can talk
[35:28.96]  about how things work
[35:30.32]  without getting into the nitty gritty
[35:32.00]  nitty gritty of how this particular
[35:33.84]  micro service sends this
[35:35.76]  request and routes you know how we
[35:38.40]  render that audio or
[35:39.52]  there's all sorts of details there that
[35:41.52]  that actually inform
[35:42.64]  the patent of being novel that you don't
[35:45.12]  need to put in your marketing material
[35:47.52]  it's just more so communicating the
[35:48.80]  benefits of it
[35:51.36]  question from james mcbrien since you
[35:53.60]  grew a lot during shelter in place do
[35:55.20]  you expect
[35:56.40]  do you expect the post shelter in place
[35:58.00]  world to impact your company
[36:00.00]  how are you preparing for that yes i'll
[36:03.36]  answer this as best i can with lightning
[36:04.88]  round response uh
[36:06.40]  of course we definitely anticipate some
[36:08.96]  sort of change
[36:09.92]  however our main focus is to just make
[36:11.84]  sure that the relationships we're
[36:13.20]  building now
[36:13.84]  continue to stay intact and sticky and
[36:15.92]  what we're learning
[36:16.88]  uh because we're so intimately involved
[36:18.72]  with all of our customers whether it's
[36:20.32]  solo podcasters or uh vox espn the folks
[36:23.52]  over there that we're talking to
[36:24.88]  it does sound like there's going to be a
[36:26.48]  place for remote recording
[36:28.00]  in their production that they see the
[36:29.36]  benefits of it a lot of these companies
[36:31.52]  or people uh aren't all in the same room
[36:34.16]  so they're still gonna
[36:35.12]  we think that we're confident that
[36:36.64]  there's still gonna be a place for for
[36:38.08]  squad cast in these production schedules
[36:40.08]  uh for for the near future not near
[36:42.24]  future long time espn is a great example
[36:44.32]  they're a
[36:44.88]  distributed company because of their
[36:46.40]  scale so there's absolutely there was a
[36:48.56]  place before there's a place after
[36:50.40]  now it's just more so like hey we don't
[36:52.32]  have to sacrifice quality to uh to
[36:54.32]  record remotely
[36:56.00]  we're trying to do that trying to do
[36:59.20]  lighter come on man
[37:00.32]  so last question for the day from justin
[37:02.96]  jackson how big
[37:04.16]  is the squad cast team
[37:07.52]  yeah so we're uh we're up to seven as of
[37:10.16]  last week so we just added a new
[37:13.20]  a new uh software engineer and product
[37:15.20]  manager grace
[37:16.24]  thank you and uh and she's already
[37:18.48]  crushing it
[37:19.36]  um up and running and then as of last
[37:21.68]  week a
[37:22.48]  voice very strong voice within our
[37:24.08]  community we hired as a community
[37:25.76]  manager and her name is arielle
[37:27.28]  nissenblatt so we're very excited with
[37:28.96]  the growth of the team
[37:30.24]  uh the the five uh in addition to that
[37:33.36]  were kind of rock and i
[37:34.64]  and our founding team so uh you know
[37:37.76]  that's that's where we're at right now
[37:40.40]  gentlemen thank you so much again
[37:42.24]  rock and zach appreciate your time today
[37:44.32]  on microcontroller
[37:55.60]  you
