Title     : MicroConf Remote 2020
[44:33.68]  giving it a try as starting a business
[44:35.76]  and it
[44:36.24]  felt like the right time even even with
[44:38.00]  all the big players who
[44:39.44]  were there now and or were there before
[44:41.36]  and even more who have come in now
[44:44.08]  yeah that's the thing i think a lot of
[44:45.20]  founders are scared away by these big
[44:46.88]  markets these competitive spaces
[44:48.80]  but if you can find a massive space
[44:50.64]  there's always all
[44:52.32]  almost always room to niche yourself in
[44:55.20]  especially if you're part of that market
[44:57.04]  you've done it with diane simple
[44:58.56]  i did it with drip you know it was a
[45:00.48]  nightmare trying to launch an esp but
[45:03.28]  you do it and you find that angle but
[45:04.96]  you just you can't go head-to-head with
[45:06.88]  them right it's like
[45:08.32]  you didn't go and try to be godaddy you
[45:10.48]  tried to be
[45:11.68]  the not-go daddy you know or the
[45:13.04]  not-name cheap or to figure out where
[45:14.64]  the
[45:14.96]  the gaps were and where the
[45:16.00]  opportunities were all right final
[45:18.64]  final question for you today what is the
[45:20.88]  thing you're most excited about that you
[45:22.16]  guys are launching in the next
[45:23.60]  you know whatever in the next year or
[45:25.12]  two six to 12 months whatever
[45:26.80]  we've been working really hard on trying
[45:28.64]  to make it an addition
[45:29.92]  a new api into our system where people
[45:32.00]  can integrate better and
[45:33.28]  push data back into d and simple so you
[45:35.52]  can actually for example wire up
[45:37.52]  external services and see how they're
[45:39.52]  operating for any given domain
[45:41.44]  and that's the one i keep pushing to try
[45:43.12]  to get to get us to go to because i feel
[45:45.60]  like that's going to be something that's
[45:47.04]  going to be exceptional
[45:48.16]  is essentially not just querying into
[45:49.68]  our system but actually pushing back
[45:51.68]  metadata about services and domains
[45:54.80]  in real time essentially yep amazing
[45:58.16]  thank you so much sir for all your
[45:59.52]  support of microconf and uh
[46:01.52]  for coming on the show today it's been
[46:02.80]  great having you thanks rob have a good
[46:04.48]  one
[46:06.08]  this is a 2017 volvo xc90
[46:09.44]  the xc90 is a midsize luxury suv
[46:11.84]  manufactured and marketed by volvo cars
[46:14.08]  since 2002
[46:15.28]  and now in its second generation both
[46:17.60]  generations of the xc90 have won motor
[46:19.68]  trends suv of the year award in their
[46:21.60]  debuts
[46:22.80]  this particular vehicle is rarely washed
[46:24.88]  and comes fully loaded with cups
[46:26.80]  books papers and other items long since
[46:28.96]  abandoned by my children
[46:30.64]  the xc90 has three rows of seats perfect
[46:33.12]  for carrying a lot of gear
[46:34.40]  a lot of kids or both the tachometer
[46:36.88]  goes to 8000 rpm and the in-dash
[46:39.04]  computer never fails to play the best
[46:40.80]  crunch tunes of the 90s
[46:42.72]  welcome to our remote edition of
[46:44.56]  microcomp remote
[46:46.08]  we're not live on set but we're actually
[46:49.52]  driving around it's startup founders and
[46:51.52]  cars getting coffee
[46:52.80]  we're truly remote am i going to get
[46:54.40]  coffee out of this no it was just an
[46:56.24]  expression
[46:58.40]  such false advertising i thought you
[47:00.08]  were actually just inviting me for
[47:01.60]  coffee
[47:02.16]  so i rented this maserati here this is
[47:04.48]  your volvo
[47:05.52]  so we could drive around paris yeah no
[47:08.40]  this is great thanks so much for for
[47:09.92]  joining me for a few minutes to
[47:11.44]  chat about founder origin stories can i
[47:13.36]  get like a rain check on the coffee
[47:14.88]  rain check on the coffee rain check on
[47:16.24]  driving around paris in a maserati
[47:18.96]  you've made big promises this is amazing
[47:22.96]  and the entire microcomp community now
[47:25.76]  has my back on this i hope can we add an
[47:27.68]  editor can we cut that part out
[47:29.52]  so this is my lovely wife dr sherry
[47:31.92]  walling
[47:32.64]  and she is the founder of zen founder
[47:35.12]  she's host of
[47:36.08]  the zen founder podcast and
[47:39.20]  she and i co-founded our family and
[47:41.76]  co-wrote a book called the
[47:42.96]  entrepreneur's guide
[47:44.08]  to keeping your together and what
[47:46.48]  we're going to talk about today is
[47:47.44]  actually
[47:48.08]  a piece about founder origin stories
[47:49.84]  that made it into it really is the
[47:51.68]  second
[47:52.00]  chapter of the book understanding where
[47:54.16]  you come from
[47:55.20]  to optimize where you're going and i
[47:57.76]  think to set the stage
[47:59.20]  um you know as a clinical psychologist
[48:01.68]  someone who
[48:02.24]  who works with founders high performing
[48:04.32]  executives ceos
[48:06.80]  how does someone's story or their origin
[48:11.52]  impact how they operate day to day and
[48:14.24]  how they run companies
[48:15.60]  and and i think the real question is
[48:16.96]  like why should a founder listening to
[48:18.48]  this care
[48:19.52]  about how they were brought up about how
[48:21.20]  they were raised about their family
[48:22.40]  system
[48:23.52]  yeah i have a lot of conversations about
[48:25.04]  this actually and i think
[48:26.72]  because most of us who are entrepreneurs
[48:28.56]  are so
[48:29.84]  um either future oriented or very
[48:31.76]  present oriented we kind of live in the
[48:33.04]  moment we're planning for the future
[48:34.40]  we're
[48:34.88]  building something working towards
[48:36.32]  something it can be easy for us to
[48:38.32]  overlook the importance of reflecting
[48:40.16]  back on our past
[48:41.52]  but a lot of the science that's coming
[48:43.68]  out really in the last 10 or 15 years
[48:45.44]  really speaks to the importance of
[48:47.20]  understanding how your early life
[48:49.92]  narrative might shape
[48:51.44]  things as simple as your relationships
[48:54.80]  your capacity for trust
[48:56.48]  or even the way that your body responds
[48:58.32]  to stress
[49:00.80]  the adverse childhood experiences study
[49:03.52]  is was a really really large sales
[49:05.36]  scale study conducted in the us that
[49:07.36]  looked at like health data for something
[49:09.28]  like 17 000 people
[49:11.04]  and found really really strong
[49:12.16]  relationships between early life
[49:13.76]  adversity and things like
[49:15.44]  depression suicidality things that you
[49:17.28]  would expect but also things like heart
[49:18.96]  disease
[49:19.92]  um number of times and types of cancer
[49:23.20]  diabetes obesity things like that so i
[49:26.00]  guess
[49:26.88]  maybe a long-winded way of saying it is
[49:29.12]  that your past matters a tremendous
[49:30.56]  amount to
[49:31.60]  your relationship to your body and to
[49:33.76]  the way that you solve problems the way
[49:35.12]  that you manage stress the way that you
[49:36.56]  really
[49:37.04]  respond to the life that you're living
[49:39.04]  right now yeah and i think that holds
[49:41.04]  certainly holds true for me
[49:42.24]  i know that the way i was brought up in
[49:43.60]  the way that i was taught to deal with
[49:44.80]  conflict or adversity or
[49:46.56]  manage anger or all that is or anxiety
[49:48.80]  is something that i have to manage on a
[49:50.00]  day-to-day basis right as a founder
[49:51.92]  yeah and it's even it's even more maybe
[49:55.04]  nuanced than what you were taught or
[49:56.64]  what you observed it's really what got
[49:58.64]  encoded into your body
[50:00.32]  and the way that your dna responded to
[50:02.48]  the kinds of environment
[50:03.68]  that you were exposed to as a kiddo
[50:05.44]  right and so
[50:07.60]  as part of zenfat the zen founder
[50:09.28]  podcast which is what on episode
[50:11.52]  is it 250 or something at this point
[50:13.60]  like yeah more than that
[50:14.72]  254 255 something like that you know
[50:18.48]  you did a series of interviews for that
[50:21.04]  where
[50:21.68]  you talked to actually multiple rounds
[50:24.08]  of interviews over the
[50:24.88]  course of a couple years it was kind of
[50:26.08]  my summer project yeah so over the
[50:28.00]  course of the year we would
[50:29.60]  put out new episodes during the year and
[50:31.20]  then over the summer i would sort of do
[50:32.72]  a bunch of interviews at once and then
[50:34.16]  have them ready to
[50:35.36]  release throughout the summer that they
[50:37.12]  were all founder origin stories so i
[50:39.04]  did a really deep dive into lots of
[50:41.28]  microcomp speakers actually
[50:42.64]  sally fd patrick mckenzie jason cohen
[50:45.60]  lots of folks that we know well in the
[50:47.04]  community
[50:47.84]  and um shaw reuben yeah yeah
[50:50.96]  yeah they became really interesting
[50:52.24]  conversations to just say hey tell me
[50:53.92]  how you grew up like what were your
[50:55.20]  first experiences of entrepreneurship
[50:57.12]  what shaped you and what made it hard
[50:59.04]  for you to get to where you are now
[51:00.48]  yeah and and as part of that you pulled
[51:03.28]  out
[51:03.68]  four patterns or four kind of
[51:05.44]  commonalities that a lot of the founders
[51:07.44]  shared these ambitious
[51:09.20]  high achieving founders who had achieved
[51:10.88]  success and i'd love to run through
[51:12.72]  those now
[51:13.20]  and in addition i think one of the
[51:15.04]  perhaps even the more interesting part
[51:16.80]  is you then pulled out these four
[51:18.72]  archetypes these founder archetypes
[51:20.88]  um or would you call them founder
[51:23.04]  archetypes sure yeah and it's
[51:25.04]  it's they're pretty cool like to tease
[51:27.36]  them it's like the golden child the
[51:28.48]  loner the pleaser the survivor
[51:30.48]  and so i'd love to dig into those in
[51:33.60]  just a second because
[51:34.88]  you have some kind of risks or like pros
[51:37.92]  and cons and how to if you fi if you
[51:39.84]  find that you resonate with this like
[51:40.96]  this is probably how you operate
[51:43.04]  and and ways to kind of optimize you
[51:44.88]  know who you are and how to
[51:46.24]  how to get the most out of things right
[51:47.76]  yeah i think one of the things that i
[51:49.36]  really wanted to drive home
[51:50.80]  in the course of doing these interviews
[51:52.96]  and i didn't have to make the point the
[51:54.32]  interviews made the point themselves is
[51:55.76]  there are lots of
[51:56.48]  ways to become an entrepreneur it's not
[51:59.28]  like you have to have a certain kind of
[52:00.48]  background or a certain type of life
[52:02.08]  experience that makes you successful or
[52:03.92]  not successful
[52:05.04]  and so by by looking at the interviews
[52:07.36]  um kind of thematically and pulling out
[52:09.84]  different archetypes it
[52:11.04]  i think it really helped me to see how
[52:13.04]  people can be successful and then also
[52:15.28]  have
[52:16.16]  you know have shadow sides or have risk
[52:17.76]  factors have downsides to really
[52:19.20]  whatever kind of upbringing they
[52:20.64]  experienced
[52:21.60]  cool so what were the before we get into
[52:23.60]  the architects what were those four
[52:25.52]  um patterns or commonalities that you
[52:28.40]  found across a lot of the
[52:29.76]  successful founders that you interviewed
[52:31.28]  for this founder origin series yeah i
[52:33.20]  found
[52:33.60]  that um of the folks that i interviewed
[52:35.84]  almost all of them
[52:36.80]  had some kind of early life adversity
[52:40.00]  um the death of a parent a big
[52:43.12]  transition a big move maybe right when
[52:45.28]  they're going into junior high some
[52:46.64]  really big shift
[52:47.84]  a parent with cancer um the loss of a
[52:50.32]  sibling
[52:51.28]  you know mental illness mental illness a
[52:53.36]  parent with substance abuse
[52:54.56]  so these are the things that might show
[52:56.00]  up in that adverse childhood experiences
[52:58.08]  study that i mentioned earlier
[52:59.52]  things that really disrupt the
[53:00.96]  trajectory of your childhood but in the
[53:02.88]  case of these founders
[53:04.80]  the key thing that we know really from
[53:07.04]  the field of
[53:07.84]  psychological research which really bore
[53:10.00]  out in my conversations with
[53:12.08]  entrepreneurs
[53:13.12]  is that that high adversity was
[53:14.72]  accompanied by a high level of support
[53:17.12]  so there was someone in that kid's life
[53:20.08]  who
[53:20.48]  maybe it was a teacher maybe it was a
[53:22.80]  parent an uncle an
[53:24.16]  aunt someone who saw something and just
[53:28.48]  encouraged and supported and helped make
[53:31.20]  kind of a safe place for that young
[53:32.96]  person to continue to develop
[53:34.96]  so high adversity you know we tend to be
[53:38.00]  okay we can tend to be resilient if we
[53:40.40]  have
[53:41.04]  a helpful supportive adult around so
[53:43.52]  that's what i found in a lot of the
[53:44.88]  interviews was that trend
[53:46.56]  um so high adversity but high support
[53:48.96]  right that combination
[53:50.32]  had to exist together and i definitely
[53:53.84]  found
[53:54.40]  totally true to the entrepreneurial
[53:55.84]  story is that people just had an
[53:57.76]  inherent need to blaze a trail
[53:59.68]  like these were kids who these founders
[54:02.48]  were children who weren't necessarily
[54:04.48]  super content to just
[54:06.24]  roll with the rules as they were
[54:07.92]  presented to them they were people who
[54:09.76]  were
[54:10.00]  either trying to break the rules in
[54:11.60]  sometimes like a pretty
[54:13.12]  problematic way um you know dan martel
[54:15.52]  tells some stories about breaking rules
[54:17.20]  that got him in big trouble
[54:18.72]  um but they were just people who weren't
[54:22.64]  super content with the status quo and
[54:24.48]  wanted to
[54:25.92]  you know go off trail a little bit yeah
[54:28.56]  and that
[54:29.20]  pattern persisted even once or really
[54:31.36]  began when they were young children
[54:33.04]  the third is that these were folks who
[54:34.80]  were self-taught
[54:36.56]  and self-led like patrick mckenzie i
[54:39.68]  love the story about him
[54:40.96]  he really was interested in coding he
[54:44.00]  loved video games he wanted to write
[54:45.60]  video games and make video games
[54:47.44]  but he didn't have a computer so
[54:50.48]  he went to the library and checked out
[54:52.16]  library books about coding and started
[54:53.60]  writing out code by hand
[54:55.28]  so he learned to code from books and
[54:57.20]  then would just do the mental exercise
[55:00.56]  of coding of compiling i'm writing it
[55:03.04]  despite longhand right
[55:04.80]  so that's that's a unique trade and
[55:06.88]  that's kind of the entrepreneurial
[55:08.24]  secret sauce is somebody who can get
[55:10.08]  themselves going is self-motivated and
[55:12.08]  is going to teach themselves
[55:13.28]  yeah i actually did that as well
[55:14.88]  although i had a computer but when my
[55:16.24]  brother was coding
[55:17.12]  i would write it out on binder paper i
[55:18.64]  know it's it's like when it's my turn
[55:20.40]  what's my turn
[55:21.36]  time sharing you know when i didn't know
[55:23.12]  what that meant so that was the third
[55:24.64]  what's the fourth
[55:25.44]  the last one in this one oh man was so
[55:28.48]  important for me to reflect on as a
[55:30.08]  parent
[55:31.20]  um the last one is time all of the
[55:34.32]  entrepreneurs that i talked to or
[55:36.24]  the vast majority of them had extended
[55:39.04]  periods of time
[55:40.08]  to tinker um so one
[55:43.20]  my favorite example of this is heath and
[55:45.04]  shaw his dad would take him
[55:47.20]  out as a physician he'd take him to the
[55:48.88]  hospital in the evenings
[55:50.56]  when he was doing paperwork or whatever
[55:52.48]  and he'd basically
[55:53.68]  had him a screwdriver and let him loose
[55:55.92]  in the
[55:57.12]  in the like it room like with all of the
[56:00.80]  machines and just be like hey
[56:03.92]  entertain yourself essentially so
[56:05.84]  heathen had all of this time to just
[56:08.24]  i mean frankly like probably take apart
[56:10.16]  computers and look at circuits and
[56:11.84]  just problem solve and and i think the
[56:14.64]  thing
[56:15.04]  that um you know is so dangerous for us
[56:17.60]  maybe in our era of parenting is that a
[56:19.84]  lot of kids that i know are really
[56:21.36]  really structured their days are really
[56:22.88]  full
[56:23.44]  and they don't have this expansive time
[56:25.04]  to just kind of mess around in the
[56:26.32]  basement and tinker
[56:27.44]  and write code by hand or or listen to
[56:30.00]  their own imaginations
[56:31.20]  so i thought that was a really important
[56:32.72]  take home about that
[56:34.24]  that road to entrepreneurship involves
[56:36.96]  time to just sort of mess around in
[56:38.56]  anchor
[56:39.28]  the first is the golden child second is
[56:40.88]  the loner and then there's the pleaser
[56:42.40]  and the survivor
[56:43.20]  you want to maybe talk through the the
[56:45.36]  golden child being mindful of time as
[56:47.04]  our time is
[56:47.60]  is running short but talk through that
[56:49.44]  and like i don't know what you have
[56:51.68]  advantages disadvantages things to watch
[56:53.12]  out for whatever it is you want to add
[56:54.88]  context to just what you know what the
[56:56.72]  golden child kind of archetype is
[56:58.48]  yeah so archetypes take a little bit
[57:00.16]  more time to explain but i'll do my best
[57:02.08]  um so as you're hearing this realize
[57:04.24]  you're hearing this very sort of
[57:05.20]  redacted version of this so forgive me
[57:07.12]  if it feels over general there's a full
[57:08.80]  book chapter too it's like four dollars
[57:10.56]  on kindle the entrepreneur's guide to
[57:11.84]  keeping your together chapter two
[57:13.44]  is basically the expanded version of
[57:15.04]  this if you want to dig in deeper
[57:17.12]  so um in the course of these interviews
[57:20.48]  i
[57:21.20]  realize that a lot of people come to
[57:22.80]  entrepreneurship and in different ways
[57:24.96]  so one way is is this sort of golden
[57:26.88]  child upbringing experience and this
[57:29.20]  is like probably what all of us strive
[57:30.96]  to provide our kids as parents
[57:32.80]  lots of support lots of stability
[57:35.84]  lots of um capacity to go deep
[57:40.16]  in your own interests like these are the
[57:42.32]  parents that are out on the soccer field
[57:43.92]  like just cheering you on
[57:45.44]  bringing the snacks like all invested in
[57:47.36]  you and i think
[57:48.72]  um this again highly supportive very
[57:52.00]  enthusiastic lots of resources
[57:54.72]  and this is great for people in their
[57:56.72]  entrepreneurial journey because they
[57:57.76]  really i think develop this deep sense
[57:59.36]  of confidence
[58:00.48]  this deep sense that what they think how
[58:03.36]  they see the world that that matters
[58:05.28]  and that it's something that's worth
[58:06.88]  sharing or that people will generally be
[58:08.56]  responsive to when they share it
[58:10.80]  so that's one of the best um you know
[58:13.68]  aspects
[58:14.40]  if you're going into this sort of life
[58:16.56]  of entrepreneurship which can be pretty
[58:17.92]  hard
[58:18.72]  is that you know you have this great
[58:20.40]  foundation of support and belief
[58:22.00]  in yourself um the downside of this is
[58:24.32]  that sometimes people just have very
[58:26.00]  limited experience with failure
[58:27.76]  i mean you think of the the it kid the
[58:29.60]  student council president
[58:30.88]  or the high school quarterback or the
[58:33.68]  head of the cheerleading squad
[58:35.28]  these are these are kids who really have
[58:37.60]  a lot of support maybe a lot of coddling
[58:39.28]  even and they just haven't had to fight
[58:41.36]  super hard which can be a downside when
[58:43.44]  you're an entrepreneur and you you know
[58:44.96]  you have
[58:45.68]  you have things that don't work well
[58:47.44]  that you have to sort through
[58:49.12]  all right how about second that is the
[58:51.68]  loner
[58:52.88]  yeah the loner is you know is maybe the
[58:55.84]  kid who's in the library handwriting
[58:57.52]  code
[58:58.08]  this is someone whose way of seeing the
[59:00.40]  world or their interests
[59:02.08]  didn't necessarily align with an obvious
[59:04.96]  peer group
[59:05.60]  maybe when they're teenagers and so much
[59:08.56]  of the development of who they became
[59:10.40]  and what they cared about
[59:11.44]  happened within their own you know their
[59:14.08]  own autonomous time
[59:15.20]  okay there's someone in the middle of
[59:16.48]  the road taking a picture of a baldy
[59:18.40]  eagle in a tree
[59:19.68]  so that's that's minnesota moment for
[59:21.68]  you right now so if the camera catches
[59:23.52]  it there is a bald eagle
[59:25.12]  yeah okay so the loner i mean in some
[59:28.72]  ways this is a great advantage because
[59:31.36]  you're used to hearing your own voice
[59:33.52]  you're used to cultivating your own
[59:35.28]  ideas
[59:36.08]  you spend a lot of time in your own head
[59:38.48]  in a way that i think can really yield a
[59:40.40]  lot of ingenuity
[59:41.76]  and again a sense of confidence and a
[59:44.80]  way of just knowing yourself
[59:46.24]  well and trusting your own creative
[59:48.00]  process but of course this is a downside
[59:50.72]  because as much as we
[59:51.92]  like to think that we can be successful
[59:54.24]  in a vacuum
[59:55.76]  networking and our relationships and our
[59:57.84]  connections
[59:58.96]  are incredibly important no matter what
[60:00.80]  we're doing as entrepreneurs
[60:02.16]  so the downside potentially of the loner
[60:04.72]  is that
[60:05.76]  those early life skills in terms of how
[60:08.24]  to really connect with
[60:09.60]  other people how to really build a
[60:12.56]  network and as that's a
[60:14.24]  sort of a bunch of different
[60:15.52]  relationships may not be as intact or as
[60:18.16]  well practiced
[60:18.96]  it could be helpful and this is the one
[60:20.48]  that resonates the most with me with my
[60:22.08]  upbringing because we lived out in the
[60:23.20]  middle of nowhere
[60:24.08]  we had books and computers and with no
[60:25.92]  internet because it was the 80s when i
[60:27.28]  was growing up and
[60:28.24]  um i thought that my whole deal when i
[60:31.36]  first started doing software right doing
[60:33.04]  products was like
[60:33.76]  i'm going to do it all i don't have to
[60:35.20]  answer to anyone micro
[60:36.96]  solo it was all about being a software
[60:38.88]  no network i didn't build that and then
[60:40.72]  eventually areas i realized oh i was
[60:42.40]  just never taught that skill and i
[60:43.92]  have learned that over the past 15 years
[60:45.44]  but it was it was a detriment to me at
[60:47.20]  the start
[60:47.92]  sure how about the third yeah the third
[60:51.12]  um i call the pleaser and this is um
[60:54.40]  this is the kiddo who's growing up in a
[60:56.08]  context where maybe they have a pretty
[60:57.52]  hard driving parent
[60:58.64]  a parent that wants them you know to be
[61:01.12]  that high school star athlete but
[61:02.64]  they're really more of a chess playing
[61:04.88]  kind of kid this is where you know you
[61:07.20]  think of like the person who's
[61:08.88]  kind of trying to overcompensate for
[61:10.80]  that parent who pushed them really hard
[61:12.64]  who maybe they felt like they were just
[61:14.08]  never successful enough
[61:16.24]  and i think this is in some ways it's a
[61:19.60]  tough upbringing but in some ways it
[61:21.44]  really helps you develop these skills of
[61:23.28]  learning to
[61:24.00]  read what people need like this is a
[61:26.88]  great customer skill right you're
[61:28.32]  learning what your customers need and
[61:29.60]  how to respond
[61:30.64]  in ways that um really fit their needs
[61:33.12]  this is the kind of entrepreneur who
[61:34.64]  will over deliver
[61:35.92]  who's somebody who really um kind of
[61:38.32]  understands
[61:39.28]  the emotional context of what people
[61:41.12]  will pay for and what they want and what
[61:42.48]  they need
[61:43.60]  um but this is not necessarily someone
[61:46.64]  who is able to set
[61:48.08]  good boundaries for themselves for their
[61:49.76]  family or for their business this might
[61:51.20]  be the person who's
[61:52.00]  always like yes yes yes but that drives
[61:53.84]  themselves into the ground
[61:55.12]  because they're not actually thinking
[61:56.56]  about what's most important for them
[61:58.24]  or for the growth and well-being of
[61:59.68]  their business they're other oriented
[62:02.16]  in a way that's both helpful and
[62:04.08]  problematic the survivor
[62:06.00]  is the last archetype that i came across
[62:08.48]  and
[62:09.28]  this is the kiddo who really dealt with
[62:11.44]  a lot of
[62:12.64]  maybe aggression violence instability
[62:15.28]  chaos
[62:16.08]  in their early life experience and this
[62:18.64]  is somebody who
[62:19.68]  has potentially lots of street smarts
[62:21.84]  who really knows how to
[62:24.00]  get what they need and provide for
[62:25.52]  themselves even in really really
[62:27.44]  sort of difficult situations um so great
[62:30.96]  entrepreneurial skill and like this is
[62:32.32]  the person who doesn't get up give up
[62:34.40]  rather this is they don't give up
[62:35.76]  they're a fighter they're a strong
[62:37.44]  strong sort of mental game
[62:39.60]  um but this can be problematic
[62:43.76]  in the sense that um this kind of
[62:45.92]  upgrading tends to
[62:47.44]  either lead to a path where people are
[62:49.84]  pretty shut down emotionally like
[62:51.52]  they're just kind of machines
[62:53.44]  or they're pretty reactive emotionally
[62:55.92]  they may
[62:56.96]  experience a lot of anger or not
[62:59.04]  necessarily have
[63:00.84]  had calming experiences that help their
[63:03.92]  body
[63:04.56]  regulate well when they're under a lot
[63:07.04]  of stress
[63:07.84]  or distress so again really hard driving
[63:11.60]  forceful powerful
[63:15.20]  but maybe not always know how to wield
[63:17.52]  that power in
[63:18.64]  helpful positive productive ways uh the
[63:21.36]  bottom line is that no matter what
[63:23.20]  upbringing you have um there are
[63:26.00]  strengths and there are liabilities
[63:27.76]  in that so it's worth the time to just
[63:30.40]  do a little bit of
[63:31.28]  exploration around what you're coming to
[63:33.76]  this point in your life with what are
[63:35.60]  the lessons that
[63:36.88]  your upbringing taught you what are the
[63:38.48]  things that it maybe didn't teach you so
[63:40.32]  well that you might need to supplement
[63:42.32]  um and i give some more we give some
[63:44.40]  more tips and tricks
[63:46.00]  and strategies in the book if you're
[63:49.12]  needing to
[63:50.08]  just fill out your early life experience
[63:52.88]  with some counter balance and growth
[63:54.96]  yeah i mean one of the biggest pivot
[63:57.20]  points or changing points for me
[63:59.28]  as an entrepreneur or when i started
[64:02.56]  realizing my weaknesses and really honed
[64:04.96]  in on on
[64:06.16]  my upbringing but it was both my
[64:07.60]  strengths and my weaknesses and how i
[64:08.80]  handle stress and how i handle
[64:10.64]  certain situations that was a big point
[64:12.88]  of growth again
[64:13.92]  probably about 15 years ago was when
[64:15.20]  that started you know and really
[64:16.56]  culminated maybe five years ago i'm
[64:18.08]  sorry about 10 years ago where i was
[64:19.20]  like okay
[64:19.84]  you just finished growing at that point
[64:21.44]  no but i finished i i knew a lot more
[64:23.68]  about myself like it was a dramatic
[64:25.20]  you know increase so thank you i'm
[64:27.92]  giving you a hard time but i do think
[64:29.20]  it's helpful to realize that
[64:31.36]  this kind of growth process is ongoing
[64:33.44]  like you do some of the growth you do
[64:35.28]  some early childhood stuff and then
[64:37.44]  there are times when you have to revisit
[64:39.28]  it because your perspective on it
[64:41.04]  changes as you grow as your kids grow as
[64:43.52]  different factors around your change
[64:45.04]  sure
[64:46.56]  thank you so much dr walling for joining
[64:48.48]  us today
[64:49.92]  you owe me a coffee oh you a coffee and
[64:52.08]  a maserati it sounds
[64:56.96]  and you host the zen founder podcast if
[64:59.44]  folks want to uh
[65:00.88]  to keep up with you all right have a
[65:02.64]  great microconf y'all thanks so much for
[65:04.32]  joining us
[65:05.68]  founders in cars not getting coffee i
[65:08.32]  enjoyed that
[65:09.20]  if you're interested in the book we kept
[65:10.64]  mentioning it's called the
[65:11.60]  entrepreneur's guide to keeping your
[65:12.72]   together in chapter two of this
[65:14.24]  book
[65:14.96]  is in essence an expanded version of the
[65:17.04]  conversation that you just heard
[65:21.28]  howdy i'm rand fishkin co-founder and
[65:23.36]  ceo of sparktoro
[65:24.88]  uh previously the founder of moz and
[65:26.80]  author of lost and founder
[65:28.00]  and i want to help you folks at
[65:30.56]  microcomp remote
[65:32.08]  uh with one thing that you can do today
[65:34.72]  that can potentially have a
[65:35.76]  transformative impact on your business
[65:38.16]  tomorrow and in the future so i'll show
[65:40.72]  you something that's been working really
[65:41.92]  well for us here
[65:42.88]  at sparktoro which is uh so we have this
[65:45.52]  this free tool
[65:47.12]  well we have a free version and then a
[65:48.48]  paid version it's a software as a
[65:50.00]  subscription like like probably a lot of
[65:51.44]  you with at microconf
[65:52.96]  and um one of the things that we do that
[65:54.88]  works really well is when someone starts
[65:56.80]  running their free search right so they
[65:58.72]  say like oh well my audience
[66:00.96]  whatever uses these words in their
[66:02.56]  profile uh
[66:04.16]  software engineer right and they they
[66:06.80]  run that first search they're asked
[66:08.72]  to um sign up and put in their email i'm
[66:11.84]  i'm logged into my account but
[66:13.20]  you get the idea they they lo they
[66:16.40]  have to create an account with us and
[66:18.64]  give us their email and
[66:20.96]  uh that email address
[66:24.00]  and that registration process means that
[66:26.32]  we can shoot them a quick message and i
[66:28.72]  send them a message from my email
[66:30.88]  account right rand sparktaro.com like it
[66:33.84]  comes from me
[66:35.44]  that says can i help you with your
[66:37.84]  spartoro account and it's just a
[66:39.68]  super short uh email message in fact it
[66:42.96]  literally says um can i can i help with
[66:45.76]  your spark tour account is the title
[66:47.52]  this we found works really well high
[66:50.00]  open rate
[66:51.12]  uh and it says you know hi first name
[66:53.92]  saw your spector
[66:54.88]  sign up wanted to offer these
[66:56.48]  suggestions for your free searches we
[66:58.40]  give people 10 free searches this is my
[67:00.16]  personal email so if you have questions
[67:01.60]  or a minute to tell me what you'd like
[67:02.80]  to accomplish with the tool
[67:04.32]  i'm happy to help that's trent fishkin
[67:06.48]  so it looks and feels like a real email
[67:08.24]  because it really is
[67:09.28]  if they send a reply it comes right to
[67:10.88]  me i get
[67:12.56]  a dozen two dozen sometimes three dozen
[67:14.80]  of these replies
[67:16.00]  uh every day it's it's pretty awesome
[67:18.72]  it's a fantastic way
[67:20.40]  to connect with the customers and
[67:22.72]  potential customers
[67:24.24]  of our product and people are using it
[67:26.00]  get a sense for who's struggling
[67:28.08]  how what they're trying to do and
[67:30.00]  accomplish i love this when when you're
[67:32.32]  at a small scale right when you have
[67:34.56]  um a few dozen to a few hundred people
[67:37.12]  signing up every month for
[67:38.56]  your product offering something for free
[67:41.12]  and then getting in touch with those
[67:42.56]  folks and building those relationships
[67:45.12]  just incredibly powerful if you can find
[67:47.36]  a way to do this in your software
[67:49.12]  business
[67:49.92]  i think you can really move the needle
[67:51.92]  on getting a deep understanding of
[67:54.08]  who your potential buyers are and then
[67:57.04]  taking the messaging that works that
[67:58.80]  that's helping people
[68:00.40]  uh at a at a one-to-one level and
[68:02.88]  translating that into what you put
[68:04.80]  on pages like you know your homepage
[68:07.12]  which we've done with sparktoro right
[68:08.56]  this instantly discover what your
[68:09.84]  audience reads watches listens to and
[68:11.20]  falls
[68:11.68]  that comes from those conversations the
[68:14.08]  whole how it works page the the video
[68:16.72]  uh the the graphics and explanation it
[68:18.88]  all comes from these conversations
[68:21.36]  and i i find that uh incredibly helpful
[68:24.64]  so i encourage you to do it with your
[68:26.32]  software business
[68:27.52]  as well all right thanks everyone take
[68:29.60]  care good luck
[68:31.52]  um we're gonna dive into our second
[68:33.12]  keynote of the day
[68:34.72]  and if you recall our first keynote was
[68:36.16]  from corinne pope and that was on that
[68:37.92]  first stage of
[68:38.88]  getting to launch and having that first
[68:40.96]  sale
[68:42.56]  the second keynote that we're about to
[68:44.56]  roll into talks about the next milestone
