Title     : RightMessage Year 1:  From $75k Launch to Virtually Bankrupt to Product Market Fit – Shai Schechter
Video ID  : MLn1K--8zPU
[28:43.88]  personalization was such a new thing
[28:45.70]  that most people were switching from
[28:48.05]  like directly as in terms of competitive
[28:50.33]  switching from they didn't have a
[28:51.59]  product to do with before so we needed
[28:55.22]  to look one level deeper like we were
[28:56.87]  helping increase conversions what are
[28:58.13]  they doing for that right now
[28:59.33]  and how can we fit in that space in
[29:00.98]  their head I really like this this quote
[29:04.70]  questions the places in your mind where
[29:06.47]  answers fit if you haven't asked the
[29:08.36]  question the answer has nowhere to go it
[29:10.67]  hits your mind and bounces right off so
[29:13.73]  it's this kind of idea like there is a
[29:14.93]  space in someone's head where they're
[29:16.28]  like this is this is my email marketing
[29:18.44]  tool that goes there my you know this is
[29:20.72]  what I do to increase conversions there
[29:22.64]  was no space in their head for this is
[29:24.17]  what I do for personalizing my website
[29:26.35]  and so we started thinking about that
[29:29.30]  the other place I've seen this this
[29:31.70]  always stood out to me does anyone know
[29:33.02]  anyone set what this scene is very
[29:38.39]  knowledgeable so yes this is 2007 first
[29:42.38]  launch of the iPhone and they were kind
[29:47.36]  of it was described in three ways it was
[29:48.77]  a touch screen widescreen touch screen
[29:51.77]  iPod and the crowd kind of went wild
[29:54.17]  and then Steve Jobs said it's a
[29:56.75]  revolutionary mobile phone and the crowd
[29:58.97]  went even more wild and then he said and
[30:01.37]  it's a breakthrough internet
[30:02.63]  communication device about three people
[30:05.06]  in the crowd kind of went because no one
[30:08.60]  knew where that was and actually the
[30:10.28]  iPhone was so revolution like it wasn't
[30:13.16]  a smartphone it was so far ahead like
[30:15.71]  that wasn't it was a brand-new product
[30:18.04]  but what they recognized is that if they
[30:20.87]  had described it in the way of like it's
[30:22.88]  this brand new thing people don't get it
[30:25.52]  there's no space in their head for that
[30:26.78]  so they said it's a phone it's a
[30:28.43]  smartphone but this is how it's better
[30:32.38]  another way of putting it like you need
[30:34.52]  competition this is what we found we we
[30:39.62]  were like if people are switching from
[30:40.55]  nothing it's hard for them to figure out
[30:42.02]  what this is this is why people are
[30:43.64]  churning they're coming in they're
[30:44.99]  trying it they're not certain that
[30:47.18]  they're doing things the right way
[30:48.47]  because they've got no experience of
[30:49.76]  this before
[30:51.47]  and they're kind of saying it's it's
[30:53.09]  it's a nice to have it's you know I
[30:55.76]  wasn't doing something for this before I
[30:56.78]  don't need something for it now and so
[30:59.87]  we looked at like how can we kind of how
[31:01.49]  can we pivot to have more competition
[31:02.95]  essentially and that was what we tried
[31:07.55]  we we said people are using this to get
[31:10.70]  more conversions right now what are they
[31:12.38]  doing for that well they've got these
[31:13.88]  convert these opt-ins email opt-in tools
[31:16.13]  on their website that don't do any of
[31:18.65]  the stuff that we do but that's what
[31:20.00]  they're doing right now to get more
[31:21.65]  people onto their email list or to to
[31:23.57]  sell through their website and so we
[31:26.66]  tried switching to that we said like we
[31:29.48]  are like your existing opt-in tool but
[31:31.10]  we will get you more opt-ins and then we
[31:32.69]  go on to say how and now there's a space
[31:35.12]  in their head that we can fit into churn
[31:41.03]  started to do this so downwards is good
[31:43.96]  we crossed back below 10% it's not where
[31:47.54]  we wanted to be yet but it's moving in
[31:50.03]  the right direction and it means revenue
[31:54.59]  has started to do this again this is
[31:57.92]  since the plateau so clutter down to
[32:00.83]  about 17 K we're now back up 28 29
[32:04.57]  so things are going back in the right
[32:06.71]  direction there's more to do but we kind
[32:09.11]  of know what that is because because
[32:10.82]  we've just we're speaking to our
[32:12.86]  customers so much more we're not we're
[32:15.59]  not we don't have to we're not doing
[32:18.50]  everything we can to try and to try and
[32:20.81]  grow revenue as quickly as possible
[32:22.85]  and to feed a team because we are
[32:25.85]  spending less now and we're in a
[32:28.25]  comfortable place we can keep hopefully
[32:30.38]  this going up into the right in a
[32:33.05]  sustainable way higher when we
[32:35.81]  absolutely need to and that's where
[32:40.67]  we're up I hope there's been something
[32:42.11]  in here that's there's been helpful that
[32:43.91]  you might be able to use in your
[32:45.44]  business or use in the future and thank
[32:48.59]  you very much
[32:50.96]  [Music]
[32:53.47]  [Applause]
[32:55.95]  [Music]
