Title     : Advanced American Idioms 🇺🇸  | LIVE QUIZ LESSON
Video ID  : cSVpsfA-pfQ
[28:46.16]  hand that's part of the idiom so think
[28:48.56]  about that situation
[28:50.00]  that i just told you that uh your place
[28:52.96]  it's just
[28:53.52]  over time you haven't cleaned in a while
[28:56.08]  everybody's very busy
[28:57.36]  it's getting messier and messier and you
[28:59.20]  say oh goodness this is really
[29:01.12]  uh this is really starting to what
[29:04.64]  so it's a situation that it's it's
[29:07.76]  getting really chaotic
[29:09.76]  it's almost getting too much and
[29:12.88]  you might use this idiom has the word
[29:15.52]  hand
[29:16.00]  in it um what do you think
[29:19.52]  that situation and then and this is
[29:22.32]  something that
[29:23.12]  i'd like to use this idiom because i
[29:25.84]  think you could use it to describe
[29:27.36]  a lot of situations that are just too
[29:29.92]  chaotic
[29:30.72]  and you say all right i need to do
[29:32.08]  something this is starting to
[29:34.56]  all right excellent uh i think you guys
[29:37.20]  got that one
[29:39.28]  uh erwin ramon uh well thank you mustafa
[29:43.36]  sid uh daryan uh
[29:46.96]  amman uh i'm talking about
[29:50.32]  to here it is let me show you the
[29:52.84]  situation
[29:54.08]  so somebody might say we really need to
[29:55.68]  clean up our place this mess is starting
[29:57.92]  to get out of hand
[29:59.04]  and say yeah you're right so in that
[30:02.48]  case
[30:03.44]  uh if something is getting out of hand
[30:06.16]  it's getting out of control
[30:08.08]  it's a situation it becomes chaotic and
[30:10.80]  sometimes it's unmanageable so you could
[30:13.20]  say it's
[30:14.00]  getting out of hand so let's review
[30:16.48]  those
[30:17.04]  um that i just went over so
[30:20.16]  to avoid talking about something because
[30:22.72]  it's difficult or unpleasant is to beat
[30:25.12]  around the bush
[30:26.24]  oftentimes i think somebody might you
[30:28.32]  might be telling somebody to
[30:29.84]  stop doing this you're like just tell me
[30:32.24]  just be honest tell me the truth
[30:34.00]  stop beating around the bush we have to
[30:36.64]  steal someone's thunder
[30:38.08]  is like your somebody
[30:41.12]  takes your idea somebody takes your
[30:44.56]  credit
[30:45.04]  your praise they stole your thunder
[30:48.64]  so it's a great it's a great idiom be
[30:51.36]  careful with that preposition so if
[30:53.28]  somebody takes your idea
[30:55.04]  they steal your thunder if you take
[30:57.68]  their idea
[30:58.56]  then you steal their thunder so be
[31:01.04]  careful with that preposition
[31:02.72]  to throw someone for a loop is when
[31:05.92]  something unexpected happens and you're
[31:08.56]  temporarily
[31:09.92]  upset or confused and like wow that that
[31:12.80]  really threw me for a loop
[31:14.32]  i wasn't expecting that it threw me for
[31:16.32]  a loop and
[31:18.24]  i talked about something that is
[31:19.68]  unmanageable it gets a little
[31:21.84]  chaotic it's difficult to control
[31:25.12]  you may say you may say that this is
[31:27.20]  this is starting to get out of hand
[31:28.96]  and i think that's a really uh great one
[31:31.36]  and i hope that i hope that you
[31:33.44]  learned some new idioms and before
[31:35.28]  before this lesson
[31:36.64]  gets out of hand i want to make a quick
[31:38.40]  announcement you guys like what we do
[31:40.16]  want to show us some love um want to
[31:43.20]  sponsor interactive english with a
[31:45.44]  membership patreon links are down below
[31:48.00]  in the description great to see some
[31:50.96]  members here
[31:52.00]  uh today as well as uh some patrons to
[31:54.80]  kyo
[31:56.24]  maggie lolly uh gettrudis
[31:59.28]  excellent great to see you guys uh happy
[32:01.68]  that you can join me today so i hope
[32:03.60]  that
[32:04.40]  i hope that you were able to follow um
[32:07.60]  i hope you were able to follow the
[32:09.04]  lesson i i hope that it was
[32:11.12]  i hope the lesson was easy to follow
[32:12.80]  that's what i'm trying to say
[32:14.16]  i hope it was easy to follow i hope it
[32:15.92]  was under easy to understand
[32:17.84]  and again the idea is not for you to
[32:20.80]  just go out and try and start using
[32:22.72]  these idioms
[32:23.60]  it does take some time to learn idioms
[32:26.64]  and use them in the correct context it's
[32:29.84]  mostly i think for your comprehension
[32:32.16]  because we people use idioms in everyday
[32:34.80]  conversation
[32:35.76]  so these are idioms that you will hear
[32:38.20]  in
[32:39.44]  movies tv shows podcasts songs
[32:42.80]  books because i think many of you out
[32:45.68]  there get
[32:46.80]  exposure to the language in a variety of
[32:49.28]  different ways watching youtube videos
[32:51.44]  there's many different things you can do
[32:52.96]  so it's good to try and practice this
[32:55.36]  from time to
[32:56.00]  time here is a list
[33:00.56]  here is a list of the idioms from
[33:02.40]  today's lesson
[33:03.60]  if you want to take a snapshot a
[33:05.36]  screenshot of these idioms
[33:07.20]  go for it i'm not going to include these
[33:09.84]  idioms in the description
[33:11.92]  typically i will do that so people can
[33:14.00]  review but in this case
[33:15.28]  it was more of a quiz lesson so i do not
[33:17.68]  want to give the answers
[33:19.28]  so here is a list of the idioms that we
[33:21.28]  talked about today there were 12
[33:23.12]  in total i hope that you learned some
[33:25.36]  new ones and if you enjoyed the lesson
[33:27.76]  please
[33:29.04]  hit that like button down below um
[33:32.16]  i'm not going to beat around the bush
[33:33.52]  i'm just going to tell you please
[33:35.28]  hit that like button um and
[33:38.56]  uh that's that's really it i was trying
[33:40.88]  to think of some
[33:42.16]  other idioms that uh i could use all
[33:44.96]  right i'm gonna go now i'm gonna end the
[33:46.56]  lesson
[33:47.20]  because probably i might be starting to
[33:50.16]  drive you guys up the wall
[33:53.28]  so um thank you guys for joining me
[33:57.52]  some shout outs peter marwa mustafa
[34:00.72]  um mn glad it was useful excellent
[34:03.92]  nabila
[34:05.04]  uh julio nekla i hope you guys enjoy
[34:08.56]  the rest of your weekend maggie lally
[34:11.36]  excellent thank you
[34:12.40]  glad you guys could join me um
[34:15.60]  i know it's you early for you too maggie
[34:17.36]  that's awesome uh it's impressive uh
[34:20.88]  suhana mo mona uh
[34:24.08]  julio gosh it goes on i had a lot of
[34:26.88]  people today in class that's excellent
[34:29.20]  um and i i think again
[34:32.24]  the more the comments the likes it
[34:35.04]  really tells me that
[34:36.00]  uh okay i'll do more lessons like this
[34:38.88]  in the future
[34:40.08]  enjoy the rest of the weekend um and i
[34:43.44]  will see you
