Title     : ADVANCED HEALTH VOCABULARY ❤️  | Words & phrases you need to know
Video ID  : PXuIa2LLkUo
[29:30.56]  were in intensive care." Or you could
[29:32.72]  just say the ICU, a hospital unit that
[29:35.28]  provides treatment for critically ill
[29:37.92]  patients, the
[29:39.64]  ICU. This is I I'm
[29:42.28]  curious with some of these I'm always
[29:44.64]  curious to to see how people respond if
[29:47.44]  you actually know them. This is probably
[29:49.36]  one that I feel like is a little more
[29:51.60]  difficult than the other ones because it
[29:55.72]  is well, we're referring to a specialist
[29:59.60]  here. I'll go ahead and tell you. So, if
[30:01.52]  you're having issues with your sinuses,
[30:04.16]  you should probably go see
[30:06.84]  an what what acronym? What specialist
[30:10.40]  would you go see? I've already told you
[30:12.24]  that this is a medical specialist.
[30:15.84]  And if it's problem with the sinuses
[30:18.52]  sinuses, then this is the specialist
[30:21.44]  that you would make a doctor's
[30:23.12]  appointment with and you would go in and
[30:24.80]  see them. Of course, this person is a
[30:26.48]  doctor, but it is a a again, you would
[30:29.92]  say they're a specialist
[30:31.88]  and what do you think? So, problems with
[30:36.72]  the
[30:38.12]  sinus or with
[30:41.40]  your
[30:43.08]  ears as well as with your
[30:46.04]  throat, that would be the specialist
[30:48.56]  that you would go see because they're
[30:49.84]  really they're really all connected. So,
[30:51.68]  we're talking about an ENT, ear, nose,
[30:55.12]  and throat doctor. That's simple simple
[30:57.84]  enough what it stands for, ear, nose,
[30:59.52]  throat. So, an ENT is a medical
[31:01.68]  specialist dealing with conditions of
[31:04.08]  the ears, nose, and throat. Of course,
[31:07.84]  let's Oh. Oh, this last one. This and
[31:10.40]  then we're going to I got again I got
[31:11.68]  some more. Don't Don't go anywhere. I
[31:13.76]  told you I got a lot of words that I
[31:15.28]  want to go through today. My roommate is
[31:17.60]  constantly washing his hands. I think he
[31:20.24]  has.
[31:22.84]  Now I I said at the very when we started
[31:25.68]  doing these acronyms and we talked about
[31:28.08]  ADHD and I said this a very common one.
[31:30.40]  I think this is another one that is
[31:33.04]  commonly
[31:34.60]  used and people will use this acronym
[31:38.16]  loosely in my opinion that it is a
[31:41.60]  condition that you know you would be uh
[31:44.08]  somebody would be medically diagnosed
[31:45.68]  and so okay yes this person has this
[31:48.64]  condition but I feel like it's used
[31:51.24]  loosely to refer to a lot of people who
[31:55.28]  uh I don't want to give it away I was
[31:57.20]  about to say it but I think you you guys
[31:58.64]  I I said the Fact that everybody's
[32:00.88]  writing the response in there tells me
[32:02.72]  yes, you're familiar with it. You've
[32:04.08]  heard of it. We're I'm talking about
[32:05.52]  OCD, obsessivecompulsive disorder. So, I
[32:09.20]  said it's used loosely that if people
[32:11.84]  have certain obsessive tendencies like
[32:14.16]  whe whether it's washing your hands or
[32:15.92]  like the the shoes need to be lined up
[32:18.16]  perfectly, they may use this loosely and
[32:20.32]  say, "Oh, yeah, you know, my brother's
[32:21.68]  OCD or this person's OCD even though
[32:24.64]  they technically have not been medically
[32:26.64]  diagnosed." So OCD, what it really this
[32:29.60]  involves are unwanted thoughts,
[32:31.64]  obsessions, and repetitive behaviors,
[32:34.16]  which are the compulsions. And you could
[32:36.48]  say somebody has
[32:40.36]  OCD. I I forgot this was in here, but
[32:44.16]  this is uh I this was perfect as far as
[32:47.76]  like OCD. It says, "The hardest OCD
[32:50.48]  decision of my life." That the the sale
[32:54.48]  is
[32:55.24]  $39.99. Of course, you want to round it
[32:57.36]  up to 40, but as soon as you do that,
[32:58.80]  then it's uh you're not going to get the
[33:00.24]  10 gallons exactly. Uh and this is
[33:03.60]  referring to uh filling up gas at a gas
[33:06.72]  station, but I thought this was funny
[33:08.88]  and uh really
[33:11.40]  encaps encapsulates this idea of OCD.
[33:15.36]  So, whoops. Sorry about
[33:20.12]  that. Okay. Uh let me see. Hopefully uh
[33:24.08]  maybe this is going to um maybe I'll
[33:26.72]  readjust the this as we go through this.
[33:29.60]  So, let's talk about mental health
[33:31.12]  again. I have some words and phrases
[33:32.64]  that I want to go through and quiz you
[33:34.96]  on this. And yeah, I'm going to have to
[33:36.96]  adjust myself as we go through this.
[33:39.60]  Autistic individuals may identify as
[33:43.32]  what I'm giving you. First letter of the
[33:47.88]  word and the meaning describes people
[33:51.60]  who whose neurological development is
[33:55.72]  atypical. This is a picture from a movie
[33:58.48]  and bonus points if you can tell me who
[34:01.84]  that is in the name of the movie. Uh but
[34:04.56]  uh we're talking about autistic
[34:06.84]  individuals may identify as what? What
[34:10.96]  is the word that we're talking about?
[34:13.60]  This is a word that I feel
[34:15.64]  like is more commonly used nowadays. Um,
[34:20.32]  and it is one that you'll I think you'll
[34:22.40]  hear from time to time. Uh, whether
[34:24.96]  you're having a conversation or you're
[34:26.64]  reading an article in a newspaper. And
[34:29.84]  yes, I think you got it. Excellent. Um,
[34:32.48]  Paulina, well done. Christina, Sarah,
[34:35.20]  neurode divergent, and I apologize for
[34:37.68]  the just having to correct these videos
[34:40.16]  as we go through this. So autistic of
[34:42.00]  ind individuals may identify as neurode
[34:44.24]  divergent. The meaning a person whose
[34:47.68]  neurological development is atypical and
[34:50.88]  you could say someone is neurode
[34:53.12]  divergent. Paulina well done. Bonus
[34:56.16]  points for you. This is a picture of
[34:59.28]  Dustin Hoffman from the movie Rainman a
[35:02.00]  long time ago in which he his character
[35:04.08]  in the movie uh is uh autistic.
[35:07.36]  Excellent movie. In case you haven't
[35:08.88]  seen it, it it is I guess maybe gosh,
[35:12.32]  how old? About 30. Gosh, I feel like I'm
[35:14.48]  old now. Like feel this movie was back
[35:16.80]  in the early 90s maybe. Um, so one that
[35:20.72]  I still recommend. Uh, great movie. Her
[35:23.56]  headaches were determined to
[35:26.68]  be th this is more difficult. I feel
[35:29.52]  like the this vocabulary, we're getting
[35:32.00]  a little more specific. I told you this
[35:34.08]  is advanced, but we're talking about
[35:36.32]  physical symptoms caused or worsened by
[35:38.40]  mental factors. And you could say
[35:42.36]  that well again I don't want to give it
[35:44.64]  away, but the word starts with a P. Her
[35:47.68]  headaches were determined to
[35:49.56]  be these physical symptoms caused or
[35:52.56]  worsened by mental factors. So if
[35:56.04]  you have these
[36:00.52]  uh you know me some mental stuff going
[36:03.28]  on and it actually worsens these
[36:07.52]  physical symptoms then this can be
[36:10.32]  referred to
[36:11.88]  as
[36:13.64]  anyone
[36:15.40]  buler buler.
[36:18.04]  No. Well excellent psychossematic. Yes.
[36:22.16]  So that is the word that we're looking
[36:24.48]  for. Her headaches were determined to be
[36:26.52]  psychossematic, which refers to these
[36:28.80]  physical symptoms caused by worsened or
[36:31.60]  mental factors. Uh again, this is a
[36:34.32]  little definitely a little more specific
[36:36.48]  when it comes to mental health. Here is
[36:40.32]  my next question. Obesity is often seen
[36:44.48]  as
[36:45.72]  a in patients with type 2 diabetes.
[36:50.56]  Obesity is often seen as a M in patients
[36:54.32]  with type two diabetes. The meaning of
[36:56.52]  this is the presence of more than one
[37:00.72]  disorder in the same
[37:03.00]  person. Once again, this is a word that
[37:06.40]  you will more likely come across if
[37:09.08]  you're reading uh an news article about
[37:13.36]  health or listening to a report on
[37:16.48]  health. You could still use it in a
[37:19.04]  conversation depending on the, you know,
[37:21.36]  who what you're talking about, but
[37:23.92]  obesity, type two diabetes. So, we're
[37:26.24]  talking about the presence of more than
[37:28.16]  one disorder. So, if we're talking about
[37:30.64]  the presence of more than one disorder,
[37:32.96]  the same person, we're talking about a
[37:35.88]  comorbidity. That is the meaning of this
[37:39.04]  word. So, I told you that this is a word
[37:42.00]  that you may not use as often in just
[37:44.40]  general conversation, but one you could
[37:46.40]  still come across if you're reading um
[37:48.64]  it doesn't even have to be a health
[37:50.00]  journal, but a news article talking
[37:52.16]  about health and a new scientific
[37:54.96]  discovery and you may come across that
[37:57.20]  word and they're talking about a
[37:59.88]  comorbidity. How about
[38:01.96]  this? Starts with an R. Can be
[38:05.60]  cultivated through therapy and support.
[38:08.64]  We're talking about the ability to
[38:10.40]  recover from setbacks or trauma. Now
[38:14.80]  even though this is used medically as
[38:16.80]  far as uh you know mental health is
[38:20.00]  concerned this is a word that is is used
[38:23.12]  in other context as far as well I don't
[38:26.56]  want to again give it away but this is I
[38:28.72]  think a more uh common word because it's
[38:31.36]  not only just used in mental health but
[38:34.20]  somebody somebody's ability to overcome
[38:37.84]  problems or issues or setbacks. So if
[38:40.96]  we're talking about the ability to
[38:42.80]  recover from setbacks or trauma can be v
[38:46.64]  c cultivated through therapy and support
[38:49.52]  um I'm talking about uh not not rehab um
[38:54.08]  but resilience. So I told you that this
[38:57.04]  word is more common because you might
[38:59.44]  hear people use it in other context as
[39:01.28]  well. your ability to overcome a tough
[39:03.20]  situation. And you could say uh not just
[39:05.92]  resilience as a noun, but say that
[39:08.32]  somebody is resilient and use it as an
[39:11.56]  adjective. How about uh this right
[39:15.88]  here? So setting
[39:19.96]  boundaries to pre setting boundaries is
[39:22.88]  essential to prevent two words. I'm
[39:25.84]  giving you the first letter of each m in
[39:29.36]  high stress environments. We're talking
[39:31.52]  about this feeling mentally and
[39:34.56]  emotionally
[39:36.52]  exhausted. You're run down. All right.
[39:39.68]  So, when you're run down, this this
[39:43.12]  feeling of mental and emotionally
[39:45.28]  exhausted. You're you're emotionally run
[39:47.60]  down. You could say that you're
[39:49.64]  experiencing what often due to to
[39:52.88]  chronic stress. Two words. I feel like
[39:55.92]  this is uh
[39:58.44]  especially uh the second one is one that
[40:01.36]  you
[40:03.56]  hear. So what we're talking about I
[40:07.04]  think everybody you got the first word
[40:09.32]  emotional but what I'm referring to is
[40:12.32]  emotional burnout. So burnout is a word
[40:16.80]  that I think is very commonly used when
[40:19.36]  talking about uh mental health. you
[40:21.92]  experience burnout from a lot of stress
[40:24.72]  or uh you could just say you're burnt
[40:27.04]  out. But if we're talking about
[40:28.48]  emotional burnt out, burnout, then it is
[40:31.84]  just this really feeling emotionally
[40:35.04]  exhausted for one reason or another.
[40:37.28]  Now, you you could say to prevent if if
[40:41.12]  I wanted to get grammatically um I would
[40:44.00]  say prevent an emotional breakdown in
[40:46.88]  high stress situations, but I think that
[40:48.80]  that that phrase works as well. If we're
[40:51.20]  talking about an emotional breakdown is
[40:53.44]  another common collocation and another
[40:56.00]  phrase that yeah, you'll hear people use
[40:57.84]  when talking about one's mental state.
[41:01.76]  This
[41:02.76]  is I think just trying to capture this
[41:05.44]  idea. when you leave things for tomorrow
[41:07.76]  and tomorrow arrives. This is an
[41:10.40]  example. I was trying to find an example
[41:12.16]  of emotional burn burnout and I think
[41:15.68]  Kermit the frog that's that's kind of
[41:17.92]  what it looks like. Uh you you postpone
[41:20.16]  things till tomorrow and then that day
[41:22.48]  here and you're just like oh gosh I
[41:25.20]  can't do it. I can't do it.
[41:28.04]  So let's do I have one more and then I
[41:30.72]  want to talk about some physical um
[41:33.44]  physical health vocabulary. He began
[41:35.48]  practicing two words. All right. Daily
[41:39.68]  to to to stay present and focused. We're
[41:42.96]  referring to methods to stay present and
[41:45.52]  reduce anxiety, especially uh panic or
[41:48.72]  trauma related disorders. And you're
[41:52.96]  methods. The second word is more of a
[41:55.04]  kind of a synonym for
[41:57.00]  methods. What are you going to say?
[41:59.60]  We're talking about what you're trying
[42:02.08]  to stay present. So that is a key
[42:05.80]  word that you to to think about. So if
[42:09.20]  you're trying to stay present, you're
[42:11.28]  reducing
[42:12.68]  anxiety. You're going to
[42:15.56]  practice quite possibly some different
[42:19.36]  grounding techniques. So that is the
[42:22.32]  phrase that I'm I'm talking about these
[42:24.40]  methods to stay present reduce anxiet
[42:27.52]  and grounding techniques could be
[42:28.88]  something as simple as just you know
[42:30.64]  breathing exercises and you could refer
[42:33.28]  to them as these grounding techniques to
[42:36.00]  stay present. Let's look at the the last
[42:39.36]  part physical health and once again I
[42:41.44]  have some other words and phrases
[42:43.84]  related to physical health. Some of them
[42:46.88]  I think uh are a little more commonly
[42:48.80]  used than others. But what do you
[42:50.68]  think? This I think is definitely a word
[42:52.96]  that you need to know and you probably
[42:54.88]  are familiar with it already. But if
[42:57.04]  we're talking about
[42:59.64]  um exercise can significantly improve
[43:04.08]  heart health. So what type of exercise?
[43:07.28]  The the meaning of this word is just
[43:09.12]  related to the heart and blood vessels.
[43:11.44]  So, this is a word that I feel like you
[43:14.16]  probably have heard of. Again, depending
[43:16.96]  on the context, I don't know how often
[43:18.72]  you may use it in casual conversation,
[43:21.04]  but I think it's incredibly important.
[43:22.80]  This is a useful one when you want to
[43:25.28]  talk about the heart. So, I wouldn't
[43:28.16]  really say heart exercise. Instead, I'm
[43:31.20]  going to use another word which is a
[43:34.32]  common collocation, exercise of the
[43:37.36]  heart. I I now I see cardio. Yes, I
[43:42.40]  would say cardio. Uh I guess you could
[43:45.20]  say cardio exercise. I'd probably
[43:47.84]  instead with when talking about
[43:50.00]  exercise, I'd probably just say the
[43:52.16]  whole word and say cardiovascular. Uh so
[43:55.24]  cardio is simply short for
[43:58.04]  cardiovascular. Uh cardiovascular
[44:00.40]  exercise can significantly improve heart
[44:03.04]  health. what I was trying to say before
[44:05.60]  I I guess you could say um cardio
[44:08.88]  exercise that works. Sometimes I feel
[44:11.44]  like you could just say cardio and just
[44:13.20]  say look cardio can can really
[44:15.28]  significantly improve health
[44:16.64]  improvement. Sometimes I feel like when
[44:18.64]  people talk about cardio they're
[44:21.20]  referring to cardiovascular exercise but
[44:24.48]  uh I I any of those would work. So well
[44:27.28]  done. Like I said, I feel like you you
[44:28.80]  know that this is another one very
[44:30.72]  important, very common. Back pain can
[44:33.84]  greatly reduce quality of life. So in
[44:36.56]  this case, we're talking about a
[44:38.32]  condition that persist over time. That
[44:41.12]  is the meaning of this word commonly
[44:43.84]  used when talking
[44:45.88]  about physical ailments like your back.
[44:49.76]  And this is something that I I
[44:51.52]  experience uh and I'm dealing with it.
[44:55.36]  I'm trying to manage it. And I'm talking
[44:57.52]  about m back pain persisting over time.
[45:01.92]  So the key word in this case, well done
[45:05.12]  uh Lai cookbook. Nice. Chronic chronic
[45:09.36]  back pain. So this
[45:12.68]  is an adjective that you can use quite
[45:15.92]  often with a lot of different like
[45:17.92]  chronic uh back pain, chronic stress.
[45:21.60]  And if any condition persists over time,
[45:24.96]  you can use it with this word chronic
[45:27.56]  something commonly used. So like I said,
[45:30.48]  a word that I definitely think you
[45:31.92]  should know. Uh we're using it in this
[45:34.80]  next example sentence. Chronic can lead
[45:37.84]  to serious diseases. So this is where
[45:42.24]  the the meaning is the body's response
[45:44.96]  to injury or infection often causing
[45:47.60]  redness, swelling or pain. So that
[45:50.32]  redness, swelling or pain is really the
[45:53.80]  meaning and we're talking about
[45:57.24]  chronic what what do you think? Uh
[46:02.44]  so when we have this this swelling, this
[46:06.84]  redness in response to something,
[46:10.00]  another word that I feel like you've
[46:11.52]  you're familiar with, maybe you use it
[46:13.36]  actively, which is great, and this is
[46:15.20]  just a reminder, chronic inflammation.
[46:18.96]  So inflammation is another word that you
[46:21.60]  could use with chronic and somebody
[46:23.44]  experiences chronic inflammation and it
[46:26.40]  just persists over time. So what do you
[46:33.32]  think?
[46:34.99]  [Music]
[46:36.44]  He's now I'm giving you the three words.
[46:38.96]  There are three missing words for
[46:40.72]  someone in his 60s. This is just means
[46:43.92]  physically fit. It is more commonly
[46:46.88]  used. So once again, I think if you
[46:49.76]  don't know this phrase, this is a good
[46:51.36]  one to learn. But I think it is more
[46:53.60]  common. So you may be familiar with it
[46:55.68]  and hopefully yeah, this hopefully
[46:57.44]  you're able to use this phrase because
[46:59.92]  you uh may commonly you may talk about
[47:02.72]  somebody instead of like saying, "Well,
[47:04.72]  he's physically fit." I would say, "Oh,
[47:07.20]  he's in good shape." Or, "He's in really
[47:09.36]  good shape." All right. Well done.
[47:12.00]  Excellent. Saw some good answers. Well
[47:13.68]  done, Lilly. So once again I have some
[47:16.32]  news headlines to give you a little more
[47:18.16]  context. So we talk about good shape to
[47:20.72]  talk about physically fit of course but
[47:22.64]  you can use it in other context as well
[47:24.64]  talking about like a good condition the
[47:27.36]  economy is in good shape you know growth
[47:29.84]  is on track or five signs that your
[47:32.08]  heart may not be in good shape that your
[47:34.80]  heart may not be in good condition and
[47:37.04]  diet tips to improve the heart and
[47:38.96]  health. So think about that. It can be
[47:41.20]  used in different contexts, but a very
[47:43.60]  common and useful phrase. Good shape,
[47:46.72]  great shape, that's uh excellent shape.
[47:49.60]  There are other adjectives you could put
[47:51.60]  in there. How about this? Getting enough
[47:54.40]  sleep
[47:56.60]  can. This is a little more challenging.
[47:59.60]  We're talking about strengthening your
[48:01.36]  body's defenses. So, when you hear
[48:03.60]  body's defenses, maybe it does make you
[48:05.68]  think of this two-word phrase, but I'm I
[48:08.48]  took out the verb uh as well as a
[48:11.84]  possessive adjective, even though I
[48:13.84]  probably could have included them, but
[48:16.00]  this this is true. In order to
[48:18.16]  strengthen your defenses, you got to get
[48:20.24]  enough sleep. And that can what what
[48:24.40]  would you say? So when I say body's
[48:27.72]  defenses, hopefully then your mind might
[48:30.32]  go to I'm just giving you part of it. I
[48:32.64]  immune system and you want to get enough
[48:35.44]  sleep to do what? To your immune system.
[48:39.12]  Well done, Julia. To boost your immune
[48:42.40]  system. So your immune system is a a is
[48:48.48]  a phrase that you need to know. your
[48:50.40]  body's defenses. To boost your immune
[48:52.96]  system is a common collocation with
[48:55.36]  this. So, you wouldn't really raise your
[48:58.96]  immune system or anything like that. You
[49:01.12]  want to boost your immune
[49:03.56]  system. How
[49:05.64]  about this? This next one,
[49:09.32]  a increases the risk of heart disease.
[49:12.72]  So, we're talking about a way of living
[49:15.12]  with little or no physical activity.
[49:18.88]  This is another phrase that I think is
[49:21.52]  becoming more commonly used because
[49:24.24]  people such as myself, you work
[49:26.48]  remotely, you're not getting out as
[49:28.40]  much. You feel like you need to get out,
[49:31.44]  be a little more active, and sometimes,
[49:33.36]  yeah, I feel like I have a and then I
[49:36.24]  use this phrase. And in this case, it
[49:39.52]  does. It can reduce the risk of heart
[49:41.52]  disease, but we're talking about a way
[49:43.36]  of living with no phys with little or no
[49:46.00]  physical activity. So what we're talking
[49:49.52]  about Yes. Well done. A sedentary
[49:53.96]  lifestyle. So sedentary just refers to
[49:58.48]  little or no movement. And of course
[50:01.52]  lifestyle, you know the meaning. So this
[50:03.84]  is a collocation. A sedentary lifestyle
[50:06.80]  is one with no little or no physical
[50:10.60]  activity. Not generally a good thing as
[50:13.12]  far as your physical health goes. that
[50:14.96]  it's always good to be well active and
[50:17.36]  and get some exercise. Uh I gave a lot
[50:20.40]  of examples with cats today. I don't
[50:22.56]  know why. I thought they were all kind
[50:24.48]  of cute. So this is a good one.
[50:27.84]  Sedentary lifestyle is unhealthy. Um but
[50:31.36]  I choose
[50:34.20]  recumbent.
[50:35.72]  So this is
[50:39.16]  funny in in case you're wondering.
[50:42.00]  Recumbent just means like lying down. Uh
[50:45.92]  so it's like you don't want to say,
[50:47.12]  "Well, it's not a sedentary lifestyle."
[50:48.64]  I'm just saying it's recumbent. Uh I'm
[50:50.56]  lying down. And yes, that cat does have
[50:53.36]  it does, you know, look recumbent. So
[50:57.76]  here are all of the words and phrases.
[51:00.48]  Again, I apologize for this uh little
[51:02.48]  mishap with the video. I I went over a
[51:05.28]  lot today. We covered a lot. Hopefully,
[51:07.36]  you are familiar with many of these
[51:08.88]  words and phrases. I do think they're a
[51:10.80]  little more advanced only because we're
[51:12.64]  talking about a specific topic. And all
[51:15.28]  of these words and phrases are related
[51:17.20]  to your health. If you didn't know some
[51:20.00]  of them, that's great. You learned some
[51:21.60]  new words, phrases, acronyms, let me
[51:24.32]  know by hitting that like button. You
[51:26.96]  can hit the like button right now or hit
[51:29.04]  it in the chat or the hearts or
[51:30.56]  whatever. That just tells me that you
[51:32.48]  learned something new and you're getting
[51:35.12]  some value out of these vocabulary
[51:37.76]  lessons. And just once again, if you're
[51:40.16]  interested in practicing and improving
[51:42.72]  your speaking skills, check out that
[51:44.16]  link down below in the description if
[51:46.32]  you want to join my speaking course. So
[51:49.28]  very increant topic, very useful. Go
[51:53.04]  out, try to to use some of these words
[51:55.36]  and phrases because I think we talk
[51:57.36]  about health all the time, whether it's
[52:00.00]  physical health or mental health. So, I
[52:02.32]  thank you guys for watching and
[52:04.16]  participating in this lesson and I will
[52:06.64]  see you soon for another lesson in the
[52:09.28]  future.
