Title     : ADVERB VOCABULARY QUIZ  | Advanced English Words
Video ID  : zTCZGBnbE0I
[31:18.48]  warm up next week and that's true the
[31:20.32]  weather just cooled down here the next
[31:22.44]  one was wistfully wistfully is sad
[31:25.16]  thinking about something in the past
[31:27.12]  longingly all right he wistfully
[31:29.24]  remembered his childhood playground it
[31:31.48]  was a great memory and I am longing to
[31:33.80]  go back to that time solemly means very
[31:37.12]  serious or formal in manner Behavior or
[31:39.96]  expression I told you right here in
[31:42.24]  these courtroom shows you might hear
[31:44.12]  somebody say I solemnly swear to tell
[31:46.52]  the whole truth and nothing but the
[31:48.44]  truth and the next one sheepish
[31:51.04]  sheepishly in an embarrassed manner due
[31:54.08]  to some shame or lack of confidence all
[31:57.52]  right so like I said good example about
[32:00.20]  shame the employees sheepishly turned in
[32:03.12]  the unfinished report and then
[32:05.20]  surreptitiously in a way that avoid that
[32:07.92]  attempts to avoid being noticed or or
[32:10.20]  drawing attention to yourself you do
[32:12.44]  something surreptitiously like those
[32:14.48]  sneaky politicians the politicians
[32:16.88]  surreptitiously passed a law to promote
[32:20.24]  corporate interest all right so that is
[32:23.08]  your quiz today if you learned a new
[32:26.08]  word please hit hit that like button
[32:29.32]  down below we really appreciate it thank
[32:32.12]  you guys so much for being here uh I I
[32:36.44]  hope that you will like and share our
[32:38.36]  lessons with other people because we're
[32:40.36]  constantly trying to build and grow our
[32:43.12]  classroom and as always write us
[32:45.32]  questions in the comments what I want to
[32:47.32]  know I want you guys in the comments
[32:49.76]  tell me how many you got right there
[32:51.68]  were 10 questions how many did you get
[32:54.24]  correct I want to hear from you and you
[32:57.36]  can join Jo our social media classes up
[32:59.92]  there we're always posting questions for
[33:02.44]  you guys to practice and improve your
[33:05.12]  English skills so give a shout out to
[33:07.60]  everybody thank you Kai farat Andre yasu
[33:11.60]  Daisy indu um snigga thank you guys
[33:15.76]  Maria for being here Mahendra
[33:19.44]  ban uh IR Anderson Miriam Rosal Linda
[33:24.08]  Vishnu thank you uh Risa glad you guys
[33:27.52]  were here jelle essan Olivia savah Molly
[33:32.08]  thank you thank you thank you sorry if I
[33:34.20]  missed some of your names I tried to say
[33:36.04]  as many names as possible during this
[33:38.08]  lesson we will do more quizzes in the
[33:41.12]  future because they're very interactive
[33:43.00]  and it is a great way for you guys to
[33:45.32]  practice your English skills so thank
[33:47.80]  you guys for being here I hope you enjoy
[33:50.44]  the rest of your day and I will see you
[33:54.00]  next time so long
