Title     : American Culture Quiz 🇺🇸  (ONLY 3% CAN PASS THIS TEST)
Video ID  : TffOC4_lqMU
[30:59.60]  what what would you say like i said
[31:01.60]  there's there's no wrong answer for this
[31:03.60]  one i just wanted to to kind of see uh
[31:07.12]  what you think how how would you
[31:08.48]  complete
[31:09.68]  uh
[31:11.68]  this this sentence right here
[31:14.08]  uh americans love uh
[31:17.20]  mustafa people okay sure yeah
[31:20.24]  it's good love people uh
[31:23.28]  fast food yeah all right that makes
[31:25.44]  sense we talked about in and out before
[31:27.92]  it's donuts okay
[31:29.92]  i like donuts yeah william freedom aria
[31:33.68]  americans love japan sure i also like
[31:36.24]  japan
[31:37.44]  americans love america yeah i i
[31:41.20]  definitely uh i definitely could see
[31:43.44]  that one
[31:44.48]  uh mariana hamburgers virginia americans
[31:47.36]  love their flag yeah
[31:49.52]  you do find the american flag out there
[31:51.92]  a lot uh americans love gustav work and
[31:54.40]  money yes i
[31:56.16]  definitely
[31:57.20]  see that as well
[31:58.88]  uh traveling pizza
[32:02.80]  burgers pizza again so a lot of uh food
[32:07.36]  things coming out i feel like many
[32:09.04]  countries probably would kind of
[32:12.00]  have an association with food uh cecilia
[32:15.04]  baseball okay flag americans mustafa
[32:18.16]  americans love egypt sure
[32:20.16]  uh felix happy hour
[32:22.48]  yeah i i like happy hour as well it's
[32:24.96]  always good to get that discount on uh
[32:27.28]  on some drinks
[32:28.88]  uh all right so wow that was uh that was
[32:31.60]  great i
[32:32.72]  that was the quiz again like i said this
[32:35.20]  is not
[32:36.24]  representative representative of all
[32:39.04]  american culture i i put it together so
[32:41.52]  it was really just through my
[32:42.88]  perspective but i think it's more of a
[32:45.20]  it's a fun little quiz
[32:47.60]  because i'm from the u.s and it's also
[32:51.04]  it is it's not directly related to
[32:53.28]  language learning pretty much everything
[32:55.12]  we do on this channel is all about you
[32:57.36]  know practicing helping you practice and
[32:59.84]  improve your english skills so this one
[33:02.08]  i i from time to time i like doing these
[33:04.32]  cultural lessons i think they can uh be
[33:06.96]  a little helpful give you a little
[33:08.64]  insight especially if some of you are
[33:11.12]  living in the u.s or maybe you're
[33:12.88]  planning to to travel there soon so
[33:16.32]  thank you guys so much for for joining
[33:18.88]  me on this saturday um i hope you enjoy
[33:23.28]  the rest of your weekend again if you
[33:27.04]  are interested in joining my speaking
[33:30.00]  course in 2022 you can check out the
[33:33.20]  link down below in the description right
[33:35.92]  there it'll take you to this page uh
[33:38.48]  where you can enroll if you're
[33:40.40]  interested in signing up so check that
[33:42.72]  out link is down in the description and
[33:45.12]  you can use the code speak22 to get 22
[33:48.88]  off so thank you so much for being here
[33:52.48]  um quick little goodbyes sleepwalker
[33:55.28]  alex uh
[33:56.96]  mira ezra manuel um
[34:00.88]  angela michelle leonardo sarah fly to
[34:03.36]  cayo good to see you
[34:05.52]  yuri
[34:06.56]  vikki
[34:07.44]  gustav good to see you glad you're here
[34:09.52]  yashar nice to see you again manuel uh
[34:12.88]  john angela lolly
[34:14.80]  so
[34:15.60]  have a wonderful rest of the weekend and
[34:19.44]  i'm sure that i will see you guys soon
[34:23.04]  for another lesson so long
