Title     : ADVANCED PHARMACY VOCABULARY 💊  | Words & phrases you should know
Video ID  : b_4j7MsJLKg
[33:12.72]  if you like if you enjoyed the lesson
[33:14.64]  and you did learn something new
[33:16.26]  please hit that like button lets me know
[33:18.48]  that okay maybe I'll I'll keep doing
[33:20.58]  some of these vocabulary lessons helping
[33:22.98]  you guys build your vocabulary I think
[33:25.20]  it is an important part of reaching your
[33:28.68]  fluency goals so thank you to Kaio good
[33:32.22]  to see you I'll see you next week uh
[33:34.92]  muffin young he Mina Lolly uh Vicki
[33:39.42]  Gustav thanks for joining us Elena uh I
[33:43.38]  hope that you have a wonderful Wednesday
[33:47.16]  enjoy the rest of your day and I will
[33:50.22]  see you guys next
