Title     : LEARN ALL 12 VERB TENSES IN ENGLISH  🎊
Video ID  : 57siOIS-qEU
[27:14.80]  that somebody might ask using the future
[27:17.52]  progressive like for dinner. Will you be
[27:19.36]  joining us for dinner? Will you be
[27:21.12]  joining us for this? Will you be joining
[27:22.88]  us for that? That is a common question
[27:25.12]  that you might hear somebody using the
[27:27.92]  future progressive. So, when we're
[27:31.04]  talking about the future progressive,
[27:33.60]  there's a couple of different parts to
[27:35.84]  it because again, we're talking about
[27:37.44]  the future. So, we're going to use will.
[27:41.12]  Okay? And after will, we follow it with
[27:44.80]  the base verb. So, in this case, the
[27:47.12]  progressive uses the helping verb to be.
[27:50.24]  So, will be. You're always going to have
[27:52.16]  that will be plus the main verb plus
[27:55.68]  ing. Now, the first one, maybe it's a
[27:57.68]  little trickier because I put it in the
[27:59.28]  negative. I'd say, you know, I won't be
[28:02.80]  sleeping soundly later tonight. I'm
[28:04.96]  talking about a point a time in the
[28:06.64]  future later tonight. And I'd say, you
[28:08.88]  know, I won't be sleeping soundly later
[28:11.84]  tonight. Usually because our our little
[28:14.48]  girl wakes up quite often wanting, you
[28:16.32]  know, wanting something to eat. She's
[28:17.84]  just a little baby. But I could tell
[28:19.28]  you, you know, I won't be sleeping
[28:20.80]  soundly later tonight. Now, the next
[28:23.60]  one, by the end of the year, this is
[28:26.08]  when we're talking about that other
[28:27.92]  point in time. Another by the end of the
[28:30.64]  year, that is my point in time. You will
[28:32.80]  be speaking fluently. I think that you
[28:35.20]  guys practice you, you know, you you
[28:37.68]  practice with us, you work hard, by the
[28:39.52]  end of the year, you will be speaking
[28:42.08]  fluently. There is that form for you
[28:44.32]  will be speaking. Um,
[28:47.68]  another point I I would say with some of
[28:49.52]  these, like uh even that second one, um,
[28:52.40]  I could say, you know, at this time next
[28:54.40]  week, again, point in the future. At
[28:56.56]  this time next week, I'll be doing
[28:58.96]  another live lesson. True story. All
[29:01.60]  right. At this time next week, next
[29:03.44]  Saturday, I'll be doing another live
[29:05.84]  lesson, and I hope you can join me for
[29:07.68]  that lesson. So, we you often find the
[29:10.72]  future progressive with a lot of these
[29:13.52]  um these time phrases. by the end of
[29:16.00]  next year. At this time next week,
[29:18.40]  you're specifying that time and then
[29:21.20]  talking about something that will be
[29:23.36]  happening. All right. At this time next
[29:25.44]  week, I'll be doing another live lesson
[29:27.52]  and I really hope uh I'll I'll see you
[29:29.60]  guys. Um so some of you said to answer
[29:32.32]  it was a yes no question. It was closed
[29:34.00]  in question, but Hong said yes, I will
[29:35.52]  be joining your community. Thank you.
[29:36.96]  Thank you for joining our community. Um
[29:41.20]  let's see some other examples. Um,
[29:44.00]  Lolly, at this time next year, I'll be
[29:45.92]  improving my English. Excellent. I hope
[29:48.00]  you will be improving your English with
[29:49.76]  us. All right, Nelly, next week I'll be
[29:52.88]  watching your live lesson. Perfect. I
[29:54.88]  look forward to seeing you next week.
[29:56.88]  Um, so again, those are some great
[29:59.36]  examples of using the future
[30:01.68]  progressive. Okay, here we go. All
[30:04.00]  right. Present perfect progressive
[30:08.00]  refers to actions that started in the
[30:11.20]  past and have continued to the present.
[30:14.32]  So I think uh before the present
[30:16.80]  perfect, it has that connection with the
[30:19.52]  present. When we're talking about the
[30:21.68]  present perfect progressive, it's a
[30:24.08]  continuous action. That is the key
[30:26.40]  thing. It's an action that has continued
[30:28.80]  to the present and will likely continue
[30:32.32]  into the future. I will add that I will
[30:34.80]  add that to this meaning. So it
[30:36.32]  continues to the present and will likely
[30:38.72]  continue into the future. And I could
[30:40.88]  ask you um again a question using the
[30:43.36]  present perfect progressive. How have
[30:46.00]  you been spending your free time? And in
[30:48.64]  this case I'm talking about the more
[30:50.56]  recent future. And you can use these
[30:53.20]  words those words like lately or
[30:55.84]  recently. When you see those words,
[30:58.08]  often times you may you think of the
[31:00.40]  perfect tense. Like, oh, I need to use
[31:02.48]  the perfect tense. So, you could use
[31:04.24]  that in your response. Lately, I've been
[31:07.52]  what? I've been doing what? Recently,
[31:09.84]  I've been doing what? All right. Let me
[31:12.00]  know in the chat. That's my question.
[31:13.52]  How have you been spending your free
[31:15.76]  time? All right. What have you been
[31:17.12]  doing? Uh, let's look at some examples.
[31:19.44]  Okay. So, I'd say, I've been waiting for
[31:24.64]  hours. All right, present perfect
[31:27.52]  progressive. I've been waiting for
[31:28.96]  hours. And this is another case where
[31:30.96]  it's like, well, how do I know when
[31:32.64]  should I use the present perfect or when
[31:34.88]  should I use the present perfect
[31:36.24]  progressive? In some cases, it has a
[31:39.68]  very similar meaning, but sometimes
[31:41.84]  there's just a small little nuance, the
[31:43.76]  difference. So, for example, maybe let's
[31:45.60]  say you're waiting for a bus and you're
[31:47.92]  telling somebody, well, in the present
[31:49.76]  perfect, I've waited for hours. Okay,
[31:53.44]  that's perfectly fine. I've waited for
[31:55.92]  hours. I think it's a little more
[31:58.24]  appropriate and specific. This is where
[32:00.40]  we get into like fluency of really
[32:02.80]  expressing these small nuances that that
[32:05.68]  people would use the present perfect
[32:07.76]  progressive more often. I have been
[32:09.92]  waiting for hours because it's continued
[32:13.12]  up until the present and it's an action
[32:15.52]  that will likely continue into the
[32:17.84]  future. It makes me think like uh you
[32:20.48]  know if somebody says I've waited for
[32:22.24]  hours. It makes me think well perhaps
[32:25.04]  the bus has now arrived. Perhaps like
[32:27.28]  you've waited for hours and now the bus
[32:28.88]  is here and you're going to get on it.
[32:30.32]  Again, there's not enough information.
[32:31.92]  We don't know. I'm just talking about
[32:34.08]  how we're you interpret some of these
[32:36.72]  nuances between these verb tenses. But
[32:38.72]  if you use I've been waiting for hours,
[32:41.12]  that tells me, okay, if you're waiting
[32:42.64]  for a bus, the bus is not here yet and
[32:44.72]  you're probably going to keep waiting.
[32:47.04]  If we want to use it for a question, has
[32:50.00]  it been raining all day? All right.
[32:52.48]  Again, has it been raining all day? You
[32:54.64]  don't know if this is something that
[32:56.72]  started in the past, has continued to
[32:58.72]  the present, and will continue into the
[33:01.12]  future. I forgot to mention mention the
[33:03.04]  construction. So, remember, we're
[33:04.88]  talking about the present perfect. So,
[33:06.88]  we're using have. We're talking about
[33:09.20]  the progressive. So, we're we're using
[33:12.48]  the past participle of the verb to be.
[33:15.52]  So, I have been the verb and ing. Okay.
[33:20.88]  So, again, as we get into these more
[33:24.16]  challenging verb tenses, the grammar
[33:26.56]  does become a little trickier. So,
[33:28.32]  again, you're using I have, he has, the
[33:32.40]  past participle of the verb to be, which
[33:34.96]  is been, have been, has been, and then
[33:38.48]  the verb plus ing. I've been waiting or
[33:41.52]  a question. Has it been raining? I hope
[33:44.56]  uh that that that is easy to follow. And
[33:47.04]  my last example, again, just using us as
[33:49.52]  an example, I could say we've been
[33:52.00]  teaching on YouTube for 2 and 1/2 years.
[33:54.96]  That's true. We started the channel in
[33:57.84]  February of 2017. So, I could say as of
[34:01.36]  now, we've been teaching on YouTube for
[34:03.76]  2 and 1/2 years. And because I'm using
[34:05.60]  the present progressive, it's continued
[34:08.00]  up until now, and it's going to continue
[34:10.56]  into the future. Um especially because I
[34:13.20]  told you that we will we will do another
[34:15.28]  live at this time next week. I will be
[34:17.60]  doing another live lesson. So it will
[34:19.52]  continue into the future. Um so let's
[34:22.72]  look at some of your examples. Okay. I
[34:26.24]  had asked you guys the question um you
[34:30.48]  know what what have you how have you
[34:32.56]  been spending your free time? Okay. And
[34:35.36]  somebody said um Estella I've been
[34:37.52]  spending my free time watching your
[34:38.88]  videos. Thank you Estella. Excellent.
[34:41.12]  Um,
[34:42.88]  I've been, uh, Esther, I've been trying
[34:45.68]  for months to win the race. Okay, maybe.
[34:49.28]  Yeah, you're involved in some kind of
[34:50.72]  race competition. I've been trying to do
[34:53.12]  this for months. Um,
[34:56.08]  uh, Zakiya said he has been writing a
[34:58.96]  poem for five hours. Perfect. Okay.
[35:03.04]  Present perfect progressive. started in
[35:05.36]  the past, continues to the future, and
[35:07.52]  will likely continue um into uh into the
[35:12.32]  future. All right, continues to the
[35:13.60]  present and will continue in the future.
[35:15.52]  Em
[35:17.04]  uh wait a second, I lost it. I've been
[35:18.88]  teaching biology for 26 years. Again,
[35:21.92]  when you see that for for and since,
[35:24.08]  often times you use the perfect tense.
[35:26.72]  Okay? Uh even though that's not always
[35:28.96]  the case, but again when you talk about
[35:30.64]  for a duration of time or since a
[35:33.44]  specific time, you often use it with a
[35:35.76]  perfect tense. Um he has been shafy. He
[35:38.40]  has been working for eight years.
[35:40.56]  Excellent. You guys are rocking these
[35:42.48]  examples. Perfect. So um I also wanted
[35:45.68]  to tell you guys again if you guys like
[35:47.92]  what we do here at Interactive English,
[35:49.92]  want to show us some love, want to show
[35:51.28]  us some support, you can check out our
[35:53.52]  Patreon page. I will leave a link in the
[35:56.08]  description down below and I will also
[35:58.48]  leave a link right here in the chat if
[36:00.80]  you guys want to check that out. It's
[36:02.24]  another good way to connect with us. We
[36:03.92]  have some cool rewards up there. Um, and
[36:07.12]  again, yeah, feel free check that out.
[36:09.68]  Now, we're we're going to get into more
[36:12.48]  verb tenses that are more difficult and
[36:14.64]  probably, you know, less commonly used.
[36:17.92]  Even though you will you may hear this
[36:20.32]  uh when you're watching a TV show,
[36:21.76]  watching a movie, I'm not I'm not
[36:23.12]  telling you that you should not use
[36:24.56]  these, but this is a little more
[36:26.56]  advanced grammar um these verb tenses.
[36:29.20]  So, we're talking about the past
[36:31.44]  perfect. And the past perfect, again,
[36:34.32]  the perfect tense, it refers to two
[36:36.48]  actions in the past and shows that one
[36:40.64]  happened before the other. So remember
[36:43.12]  the present perfect again we're talking
[36:45.04]  about an action in the past that has a
[36:47.12]  connection to the present. The past
[36:50.24]  perfect is an action in the past that
[36:53.84]  has a connection with another action in
[36:57.04]  the past. So for example uh again my
[37:00.08]  question this is not a good question. I
[37:02.32]  just couldn't think of anything but it
[37:03.76]  said okay before you left the house this
[37:05.76]  morning what had you eaten? All right,
[37:08.80]  just try to practice uh use practice
[37:11.52]  using the past perfect even though I
[37:14.80]  think it's common that somebody would
[37:16.56]  answer and respond using the the past
[37:19.60]  simple but uh that I couldn't think of
[37:21.68]  any other question. Um go see I already
[37:24.56]  said I had eaten scrambled eggs before I
[37:27.12]  I left the house. Excellent. Perfect.
[37:28.80]  Thank you for that wonderful example of
[37:30.96]  the past perfect. So here are some of my
[37:33.28]  examples. Okay. Um, when you knocked on
[37:36.24]  the door, again, that happened in the
[37:37.84]  past. I had already left for work. All
[37:41.20]  right. When you knocked on the door, I
[37:43.20]  had already left for work. Keep in mind,
[37:45.92]  often times you're using the past
[37:47.60]  perfect with these um adverb clauses of
[37:51.52]  time. All right? Something happened
[37:53.04]  because again, we're talking about two
[37:55.12]  events in the past. All right? Something
[37:57.04]  happened before the other. So, when I
[37:59.44]  knocked on the door, all right, well,
[38:01.36]  what happened before that? I had already
[38:04.80]  left for work. So the event that
[38:07.28]  happened before is the one in which you
[38:10.32]  will use the past perfect. And again the
[38:12.64]  past perfect tense we're talking about
[38:15.28]  the helping verb uh or have. All right?
[38:19.12]  And the past which is had plus the past
[38:22.48]  participle. So had plus the past
[38:25.12]  participle had left. Um, now again, if
[38:29.84]  you're talking about some of the
[38:31.04]  differences between past perfect and
[38:33.84]  past simple, now if we change that to
[38:35.84]  the past simple and I said, when you
[38:37.20]  knocked on the door, I left for work.
[38:40.96]  That makes me think, well, that those
[38:42.88]  two things happened at about the same
[38:44.48]  time. Right when you knocked on the
[38:45.84]  door, I left for work. But in this case,
[38:48.32]  that's not that's not what we want to
[38:50.24]  explain. You want to say that this thing
[38:52.48]  happened before. I had already left for
[38:55.84]  work. I could say she felt great
[38:58.32]  yesterday. That is my point in the past
[39:00.88]  because she had slept well the night
[39:03.60]  before. Again, she felt great yesterday.
[39:06.96]  What happened before that? That's my
[39:09.60]  past perfect. She had slept well the
[39:12.48]  night before. And then this last one.
[39:15.20]  All right. I just look ridiculous. I
[39:16.96]  thought I'd share that with you. When
[39:18.56]  this picture was taken. All right. Uh
[39:21.84]  that at that point in the past, I had
[39:23.76]  not fixed my hair. I hadn't fixed my
[39:26.56]  hair. You can use that contraction. Had
[39:28.96]  not hadn't. I hadn't fixed my hair.
[39:31.92]  Okay. Um, let's see what else. Um, do
[39:37.12]  you have any others? I asked you guys
[39:38.56]  about eating uh before you left the
[39:41.20]  house. Anything? Uh, tomorrow I had
[39:43.84]  already eaten a fried egg before my mom
[39:45.92]  came home. All right, perfect. Again,
[39:47.52]  you're talking about those two points in
[39:49.60]  the past. And remember, the one that
[39:52.24]  happened the earliest, the one that came
[39:54.40]  before, that is the past perfect. That's
[39:57.36]  the one that you want to use the past
[39:59.36]  perfect with. Let's look at the next
[40:01.60]  verb tense, which is the past perfect
[40:03.76]  progressive. Okay, now we're now we're
[40:06.24]  really getting into it. Refers to an
[40:07.84]  action that started in the past and
[40:10.32]  continued to another point in the past.
[40:13.12]  So remember, two events in the past, but
[40:15.44]  the one continued to that other event.
[40:18.80]  All right? Uh, so I could ask you a
[40:21.04]  question. Had you been waiting long
[40:24.24]  before this lesson started? Okay. So
[40:27.12]  again, give me an answer in the past
[40:30.32]  perfect using the past perfect
[40:32.16]  progressive. I had been waiting for what
[40:35.60]  what amount of time before the lesson
[40:38.16]  started. So again, you you often find
[40:41.04]  the past progressive with these other um
[40:44.72]  dependent clauses. When you talk about
[40:46.80]  well when, before, after, while there's
[40:50.08]  usually a dependent clause which is
[40:52.80]  going to tell you the that one point in
[40:55.12]  the past and then you will refer to the
[40:57.44]  next thing. So for example, when you
[40:59.60]  interrupted our conversation, that is
[41:02.24]  something that happened in the past.
[41:03.92]  Interrupted. When you interrupted our
[41:05.84]  conversation, again, that's the
[41:07.36]  dependent clause.
[41:08.80]  what had h what was happening before it
[41:10.80]  and continued. I he had been talking
[41:13.84]  nonstop. All right, that's just an
[41:15.92]  example. Hopefully, maybe you can put a
[41:18.32]  picture in your mind too thinking about
[41:19.92]  some situation. You know, when you
[41:21.60]  interrupted our conversation, he had
[41:23.36]  been talking nonstop. Okay, he started
[41:26.16]  in the past and continued up until the
[41:29.60]  point when you interrupted the
[41:31.60]  conversation. Past perfect progressive.
[41:33.92]  When I started this lesson, people had
[41:37.44]  been talking in the chat for several
[41:40.48]  minutes. All right. When I when I
[41:42.40]  started this lesson, that's my point. In
[41:44.24]  the past, people had been talking in the
[41:47.28]  chat for several minutes. They started
[41:49.52]  several minutes beforehand and continued
[41:53.04]  to the point that I started the lesson.
[41:55.92]  So again, it's easy. Try to think about
[41:58.24]  it like a timeline. Again, past,
[42:00.08]  perfect, progressive. two points in the
[42:02.24]  past, one continues up until the other
[42:05.04]  one. Um, all right. Uh, Kareem said, "I
[42:09.20]  had been waiting for a while when this
[42:11.28]  lesson started." Okay. Sorry to keep you
[42:13.36]  waiting, Karen. Um, Ka said, "I had been
[42:16.32]  waiting for 10 minutes before the lesson
[42:18.96]  started." Excellent. Excellent use of
[42:21.36]  the past perfect progressive had been.
[42:24.56]  Main verb ing. Now, let's look at the
[42:27.36]  future perfect. Okay, the these are
[42:30.40]  these are tenses that are are not as
[42:32.80]  common. Um, but the future perfect
[42:36.08]  refers to two actions in the future and
[42:39.68]  shows that one happened before the
[42:42.16]  other. So the the idea is the same as
[42:44.80]  the past perfect except we're taking the
[42:46.96]  two events and we're moving them to the
[42:49.28]  future. So for example, um my question
[42:53.36]  to you and I want you to answer using
[42:55.60]  the future perfect. What will you have
[42:58.40]  accomplished before this weekend is
[43:01.28]  over? Right now, I think for most of
[43:03.12]  you, it's Saturday. It's still Saturday,
[43:05.44]  but before the weekend is over. All
[43:07.68]  right, on Sunday, what will you have
[43:11.52]  accomplished? Okay, so that is my point
[43:13.84]  in the future is before the weekend's
[43:16.40]  over. Now, I'm asking you about an
[43:19.04]  action before that. What will you have
[43:22.32]  accomplished before the weekend is over?
[43:25.44]  That's my question. Write your answer in
[43:27.44]  the chat or the comments using the
[43:29.60]  future perfect. So, here are some other
[43:33.44]  examples. Um, I started out with a
[43:36.16]  question right here. Will you have eaten
[43:39.92]  when we meet? Will you have eaten when
[43:42.00]  we meet later this evening? So, perhaps
[43:43.92]  we're we're having a conversation. I am
[43:46.24]  going to meet you later tonight. And
[43:48.64]  maybe I want to know, hey, should we go
[43:50.56]  get dinner? So, I might ask you, hey,
[43:52.32]  you know, will you have eaten when we
[43:53.68]  meet later this evening? later this
[43:55.60]  evening is the point in time in the
[43:57.68]  future. And will you have eaten? That
[44:00.56]  would have happened before. I don't know
[44:02.88]  if it will have happened, but which is
[44:04.56]  why I'm asking a question, but I'm
[44:06.24]  asking will you have eaten this morning?
[44:08.64]  Uh will will you have I'm sorry, can't
[44:12.24]  even speak anymore. Will you have eaten
[44:14.24]  when we meet later this evening? So, um
[44:17.52]  again, future perfect uh we have that
[44:20.72]  we're using the future will. All right?
[44:24.40]  plus that have because we're talking
[44:26.88]  about the um perfect tense will have
[44:31.28]  plus the past participle. If you're
[44:33.20]  wondering about how this is
[44:34.40]  construction, will have plus the past
[44:38.08]  participle. Will have eaten, will have
[44:40.16]  gone, will have danced, will have
[44:42.00]  played. And my other example, by the
[44:44.72]  time you go to bed tomorrow, tomorrow
[44:47.44]  night, by the time you go to bed, I will
[44:50.48]  have changed several diapers. Many of
[44:53.28]  you know we have a little baby girl, so
[44:55.60]  this is a true story. I will have
[44:57.28]  changed several diapers. And that is
[44:59.44]  just a goofy picture of me holding up
[45:02.08]  some diapers. And those are not the
[45:03.60]  diapers that we use. We we don't use
[45:05.44]  those diapers, of course. That's just an
[45:07.36]  illustration. Um so again, I asked you
[45:11.76]  guys the question, um what will you have
[45:14.80]  accomplished before the weekend is over?
[45:18.56]  Um
[45:20.32]  so yeah mono check check one saying I
[45:23.20]  will you would say I will have read the
[45:27.20]  book before my vacation um before my
[45:32.88]  vacation ends. All right I will have
[45:35.44]  read a book before my vacation ends.
[45:38.24]  That's what uh that's the the the
[45:40.64]  correct construction you want. So, Lai,
[45:43.12]  I will uh I will have I will have done
[45:47.92]  remember the past participle. I will
[45:49.52]  have done my homework before Tuesday.
[45:52.72]  Before Tuesday arrives, I will have done
[45:55.04]  my homework. All right. Um
[45:58.72]  I Mrs. Reluctant. I will not have
[46:02.00]  accomplished much. Okay, I like I
[46:04.32]  appreciate your cander. That is a great
[46:06.40]  example sentence. Thank you for sharing
[46:07.92]  with us. I will not have accomplished
[46:09.44]  much. It's a direct answer to that
[46:11.20]  question. Let's look at the the next
[46:13.68]  one, the future perfect progressive. It
[46:16.88]  refers to an action that will start in
[46:19.44]  the future and continue to another point
[46:22.56]  in the future. Again, we're talking
[46:24.56]  about those two actions in the future,
[46:26.48]  but one's going to continue to the other
[46:28.88]  one. It has that relationship, that
[46:30.96]  connection with the future action. And
[46:34.00]  once again, this is definitely more
[46:35.92]  advanced grammar, the future perfect
[46:38.08]  progressive uh because we again we use
[46:40.64]  them a lot with those those um those
[46:44.08]  dependent clauses before, after, when,
[46:47.36]  while, by the time like my question, by
[46:50.56]  the end of the month,
[46:53.04]  how long will you have been living in
[46:55.76]  your place? I I want you to practice
[46:58.08]  using this tense. Now, it doesn't have
[47:00.96]  to be exactly the end of the month. You
[47:03.12]  can talk about the end of the year, the
[47:04.88]  end of the month, like I will have been
[47:07.12]  living here for how long. Okay? I just
[47:10.56]  want you to practice. So again, I'm
[47:13.60]  talking about how long will you have
[47:15.20]  been living in your place? If you live
[47:17.36]  in an apartment, if you live in a home,
[47:19.68]  you know, by the end of some time. All
[47:22.32]  right? How long will you have been
[47:24.88]  living there? All right? Try to give me
[47:26.88]  a sentence in the chat in the comments
[47:29.76]  using the future perfect progressive and
[47:32.72]  answering that question. By the end of
[47:35.28]  some time, I will have been living here
[47:38.24]  for what whatever amount. All right,
[47:40.48]  that would be the correct construction
[47:42.56]  of that sentence. Here are some more
[47:44.16]  examples. All right. Um, when it gets
[47:47.68]  that should I'm sorry, that's a typo.
[47:49.60]  Once it should say once it gets to 4:30.
[47:52.72]  All right. I It's almost 4:30 for me
[47:56.00]  right now. Right now, it's 4:19, but
[47:57.92]  once it gets to 4:30 p.m., I will have
[48:00.64]  been working for 6 and a half hours. All
[48:03.76]  right, 4 4:30 is in the future. We're
[48:07.04]  not there yet. But the other point, I
[48:09.44]  will have been working. Okay, because
[48:11.92]  I'm working now. I'm going to continue
[48:13.44]  working. Uh if it gets to that point and
[48:15.60]  I'm still working, I would I will have
[48:17.44]  been working for six and a half hours.
[48:19.28]  Saturdays are kind of a busy day for me.
[48:21.20]  I know many of for many of you it's the
[48:22.80]  weekend for me. It's a bit of a busy
[48:24.32]  day. And then the last one
[48:27.76]  by 2067.
[48:30.00]  All right, that is that point way in the
[48:32.16]  future. All right, we will have been
[48:35.28]  teaching on YouTube for 50 years. That
[48:38.88]  will be our golden anniversary
[48:42.16]  2067. We will have been teaching on
[48:44.72]  YouTube for 50 years. And I hope all of
[48:48.16]  you will still be studying with us in
[48:52.32]  2067.
[48:53.92]  Don't know if I'll make it there because
[48:55.60]  in 2067
[48:58.00]  I will be
[49:00.40]  89 years old.
[49:03.04]  All right. Um that's that's a that's a
[49:06.32]  long ways uh from now. So let me see. Do
[49:09.68]  you guys have any examples um about
[49:12.64]  where you will? Diama says, "Um, by the
[49:14.80]  end of the month, I will have been
[49:16.48]  living where I am now for my whole
[49:18.72]  life." All right. I will have been
[49:20.08]  living here for my entire life. Okay.
[49:22.24]  Excellent. Um, Saddam, Saddam, uh, by
[49:25.92]  the end of this month, I will have been
[49:27.84]  living here for two months. Excellent.
[49:29.92]  Great use of the future perfect
[49:31.44]  progressive. Uh, Rohan, by the end of
[49:33.60]  the year, I I'll have been living here
[49:36.08]  for 16 years. Excellent. Uh, Ramasa, by
[49:39.76]  the end of this month, I will have been
[49:41.20]  playing games for one for one hour.
[49:43.68]  Okay. Uh, say, um, where is it? Where'd
[49:46.80]  it go? Um, I will have been living in my
[49:50.56]  place for three years by the end of this
[49:52.40]  month. Excellent. Great use of the
[49:54.40]  future perfect. So,
[49:57.60]  whoa. That that we we covered a lot
[50:00.16]  today. Those are all 12 verb tenses. I
[50:03.44]  hope that the lesson was easy to follow,
[50:05.84]  easy to understand. I hope you got some
[50:08.00]  good practice in because that's what we
[50:10.16]  want. I want you guys to interact with
[50:12.16]  our lessons and practice and practice
[50:14.08]  and practice especially because next
[50:17.28]  week we are going to do a live lesson
[50:20.48]  which is going to be a quiz. And guess
[50:23.20]  what that quiz will be about? Yes, it
[50:25.68]  will be about the 12 verb tenses. So now
[50:28.64]  that you have learned the verb tenses,
[50:30.48]  next week I am going to do a quiz live
[50:33.20]  lesson using these different verb
[50:35.60]  tenses. So, I hope that you will join me
[50:38.08]  for that. Thank you guys so much for
[50:41.28]  watching uh this lesson. I hope that you
[50:44.00]  learned something new. Please, if you
[50:46.16]  haven't, usually I ask you guys already,
[50:48.24]  hit that like button if you enjoy
[50:50.96]  learning with us and and enjoy what we
[50:53.36]  do here at Interactive English. Show us
[50:55.28]  some love. Hit that like button. Write
[50:57.60]  to us in the comments. We love hearing
[51:00.08]  from you guys. And uh again, you can
[51:02.08]  check us out on social media. We are on
[51:04.16]  Facebook, Twitter and Instagram. It is
[51:06.88]  another way to connect with all of us.
[51:09.36]  Thank you guys so much. Thank you uh
[51:11.60]  Romesa uh Oda Bet Angela Diamansan Rasa
[51:16.48]  Lai Christina Saz Camila. Thank you.
[51:20.16]  Thank you. Thank you. Uh I hope you guys
[51:22.56]  enjoy the rest of your weekend. Have a
[51:24.72]  wonderful day and I will see you next
[51:27.12]  time. So long.
