Title     : LEARN THE FUTURE TENSE  | Will + (Be) Going To
Video ID  : VF9Gd8tPJeU
[34:14.81]  that time expression to help you maybe
[34:17.00]  make a little more sense if we're
[34:19.10]  talking about a business trip that is
[34:21.92]  coming up you can say yeah we're staying
[34:24.23]  at a hotel alright we're staying in a
[34:26.60]  hotel during next week's business trip
[34:29.06]  all right usually in a conversation you
[34:32.41]  already know the time that we're talking
[34:35.36]  about you're talking about a business
[34:37.37]  trip in the future a business trips next
[34:39.95]  week and somebody might ask like oh well
[34:41.96]  were you staying we're staying at a
[34:43.82]  hotel you're talking about the trip
[34:45.80]  that'll happen next week but you're
[34:47.09]  going to use the present continuous
[34:48.47]  we're staying at a hotel next we're
[34:51.77]  staying in a hotel during next week's
[34:53.66]  business trip and again sticking with
[34:56.81]  next week maybe you're talking about
[34:59.84]  your friend's wedding or something you
[35:01.94]  say next week they're getting married on
[35:04.16]  a beach in Thailand all right it's
[35:06.53]  winter you know where my mind is right
[35:09.14]  now it is on a beach in Thailand that
[35:11.57]  would be nice but if somebody's asking
[35:14.24]  about your friend's wedding they say Oh
[35:16.67]  where's the wedding say oh they're
[35:18.86]  getting married on a beach they're
[35:20.78]  getting married on a beach they're
[35:21.89]  getting married on a beach in Thailand
[35:23.36]  again you're using the present
[35:25.58]  continuous to talk about this
[35:28.28]  Planned arrangement in the future
[35:31.73]  okay this planned arrangement in the
[35:33.68]  future some more acceptance more example
[35:36.50]  sentences from you guys excellent we're
[35:41.93]  leaving town we're leaving town this
[35:44.54]  next year yeah that's great that's a
[35:46.94]  good example sentence we're leaving town
[35:48.41]  this next year you are leaving alright
[35:50.39]  you are heading out of town
[35:52.34]  so this is great this is great practice
[35:56.12]  I appreciate all your comments let's do
[35:58.91]  you know if you've joined us a little
[36:01.10]  late do a quick little review of what we
[36:03.83]  talked about today we talked about we
[36:06.56]  started easy to talk about the when to
[36:09.23]  use will alright which is to make future
[36:12.08]  make predictions spontaneous decision
[36:15.08]  that is the key one right there that is
[36:17.21]  definitely different than be going to
[36:18.86]  when you're talking about spontaneous
[36:20.66]  decision use will will will will will we
[36:23.84]  also use it to express want or
[36:25.67]  willingness or maybe to refuse something
[36:28.16]  something that we are not going to do or
[36:30.89]  will not do we won't do this for B going
[36:35.06]  to we use it to make we can also use it
[36:37.91]  to make predictions that are more likely
[36:40.07]  going to happen but we're also use it to
[36:42.95]  talk about plans again to something that
[36:47.15]  you plan to do in the future alright I
[36:50.24]  gave you that example sentence next week
[36:52.55]  I'm going to the doctor's okay future
[36:56.33]  continuous we're talking about an
[36:58.55]  unfinished action at some point in the
[37:01.61]  future okay you're talking about some
[37:04.49]  point in the future I asked you guys
[37:05.84]  what you will be doing later this
[37:08.45]  evening and you gave me some excellent
[37:11.00]  responses the future perfect is used to
[37:15.11]  talk about a completed action in the
[37:18.29]  future okay so if we said again for
[37:23.24]  example by the time when we see by the
[37:27.50]  time we think perfect tense all right we
[37:30.59]  will have we will have finished eating
[37:32.48]  by the time you arrived when you get
[37:34.67]  there what what action is completed you
[37:37.43]  finished eating the future perfect
[37:39.74]  continuous again I said this is not
[37:42.11]  very common we don't use this as much
[37:44.36]  because we're using it to project
[37:46.70]  ourselves into the future and then look
[37:49.16]  back at some unfinished action and I
[37:51.44]  asked you guys by 2019 how long will you
[37:55.43]  have been studying English and you could
[37:57.80]  have sinned you could have said I will
[37:59.42]  have been studying English for five
[38:00.71]  years ten years two years three years
[38:03.14]  however long and that is often used with
[38:06.71]  a time expression we use the future
[38:10.09]  oftentimes to talk about scheduled
[38:12.80]  events things that are scheduled events
[38:15.50]  in the near term we could use the simple
[38:18.50]  present to talk about these future
[38:20.68]  events and for the present continuous we
[38:25.10]  would use that to talk about planned
[38:26.78]  arrangements that somebody might have
[38:29.57]  all right so I said you know he's
[38:32.21]  leaving he's leaving work early tomorrow
[38:34.25]  we're staying at a hotel we're using the
[38:36.62]  present continuous to talk about those
[38:38.72]  future arrangements I know this was a
[38:41.60]  lot to go over today I'm so happy you
[38:46.04]  guys were we're joining were able to
[38:48.20]  join me today and participate and like I
[38:51.83]  said hopefully even if you're watching
[38:53.63]  this later I hope you were writing some
[38:55.31]  of those sentences it's always good to
[38:57.20]  to get practice and make it a more
[39:00.98]  active lesson so please if you enjoyed
[39:04.46]  this lesson
[39:05.57]  hit that like button share it with your
[39:09.20]  friends your classmates family members
[39:11.36]  anybody you know who is trying to
[39:14.21]  improve their English skills and as
[39:16.67]  always if you have other questions or
[39:18.71]  comments that I wasn't able to get to
[39:21.41]  just write them write them in the
[39:23.30]  comment section once the video is
[39:24.95]  published and I'll try and get back to
[39:26.78]  you and finally check out our social
[39:28.97]  media classes do to do to do to do to do
[39:31.31]  right down there Facebook Twitter
[39:32.93]  Instagram snapchat and right here on
[39:35.48]  YouTube we're always putting up lessons
[39:38.66]  to help you guys practice and improve
[39:41.24]  your English skills so Katia
[39:45.32]  denisa Dennis Edmund Adam thank you guys
[39:51.35]  thank you thank you thank you Adrian
[39:53.15]  great to have you here thanks so much
[39:55.04]  for joining us Patricia long there's
[39:57.50]  just so many of you in here right now
[39:59.60]  it's excellent
[40:00.92]  I'm so happy to see this class getting
[40:02.99]  larger and larger and larger each week
[40:05.60]  so I hope you guys have a wonderful
[40:08.57]  weekend a great day and we will see you
[40:12.56]  guys next time so long
