Title     : AMERICAN SLANG WORDS 🇺🇸  QUIZ LESSON
Video ID  : FdocSXPK07E
[27:52.96]  but the difference is you wouldn't ditch
[27:55.20]  on somebody in this case because we're
[27:58.08]  using that preposition. you bail on
[28:01.20]  someone. All right? If you're just using
[28:03.44]  ditch, you would say, "Don't ditch me."
[28:05.68]  So, that is one little thing. I tried to
[28:07.84]  trick you there, but ditch, it also
[28:09.84]  means to leave. And to jump the shark is
[28:12.56]  an expression just to let you know in
[28:14.48]  case you haven't heard of it. It's when
[28:16.48]  you're watching like a TV show and then
[28:19.20]  it just becomes unrealistic. It's just
[28:21.92]  like they after after so many seasons,
[28:24.40]  the show just becomes crazy out
[28:26.64]  ridiculous and you say, "Yeah, they
[28:28.40]  really jumped the shark." But in this
[28:29.92]  case, we're talking about leaving
[28:31.28]  somebody is to bail. It's a verb. And
[28:33.92]  you would often use it with that
[28:35.92]  preposition on. You bail on someone. All
[28:39.20]  right? It means to leave often suddenly
[28:42.40]  or unexpectedly. Like you were not
[28:44.64]  planning to leave. Somebody was not
[28:46.72]  planning to leave and then all of a
[28:48.16]  sudden they bail. That person bails. So,
[28:51.12]  and then I'd say again, I tell you guys,
[28:52.96]  hey, hey, hey, don't bail just yet.
[28:55.04]  There are more questions. I'm going to
[28:57.20]  ask you guys more questions. Don't bail
[28:59.28]  on me, okay? Please, please don't bail.
[29:01.92]  Um, the next question, all right, is
[29:05.92]  okay. Asking about the meaning. All
[29:07.68]  right, I think I think this one is is
[29:11.60]  pretty common. I think many people might
[29:14.48]  use it. I use it a lot. Uh, I think it's
[29:16.72]  used among different ages. Uh, it's an
[29:19.12]  expression. It's still slang. This means
[29:21.04]  that you made a mistake. So if you made
[29:23.84]  a mistake, you might respond and say
[29:27.20]  what are you going to say? A my spiel,
[29:30.64]  B, my bad, or C my wrong. What do you
[29:34.48]  think? So if somebody makes a mistake,
[29:36.72]  if you make a mistake, you are going to
[29:39.76]  say this sentence. All right, very
[29:42.80]  short, very sweet. Many of you know it,
[29:44.64]  I think, because we talked about it
[29:46.24]  before. Um, in our other lessons, yes.
[29:50.40]  Uh, there's just so many answers flying
[29:52.96]  by me right now. I can't give too many.
[29:54.80]  I can't give any shout outs. It's B. My
[29:56.96]  bad. So, if you make a mistake and you
[29:59.52]  want to acknowledge that you made this
[30:01.52]  mistake, you would tell somebody, oh,
[30:03.60]  you know, instead of saying, I'm sorry,
[30:05.20]  you could just say, yeah, my bad. And
[30:07.68]  again, this is much more informal. It's
[30:10.96]  much more casual than saying, "I'm
[30:13.20]  sorry." And you often use it for small
[30:16.40]  mistakes. So, if somebody makes like
[30:18.40]  just a small mistake, like you step on
[30:21.04]  somebody's shoes or foot and you say,
[30:22.64]  "Oh, you know, oh, my bad. I didn't mean
[30:24.48]  to do that." If you're talking about a
[30:26.56]  big mistake, you are not going to use my
[30:29.92]  bad. You are actually going to be I'm
[30:31.68]  sorry. I'm so sorry. I apologize. Um
[30:34.96]  because this is talking about something
[30:36.56]  that's a small mistake like like that
[30:38.64]  shirt. you get something on somebody's
[30:40.56]  shirt like some mustard say, "Oh, I
[30:42.56]  didn't mean to do that. My bad. That's a
[30:44.64]  mistake. I acknowledge that I made this
[30:46.64]  mistake." All right. So, another way
[30:49.04]  thing I want to let you guys know in
[30:50.72]  case you have not already done so if you
[30:53.12]  want to connect with us and you can
[30:56.32]  access the secret fluency lesson. We
[30:58.64]  will send you some useful resources as
[31:00.88]  well and we will also provide you with
[31:02.88]  some lesson updates so that you know you
[31:05.84]  know uh like well about the lessons that
[31:08.32]  are going to be coming out in the future
[31:10.64]  check out our email list. I will throw a
[31:12.96]  link right there. I know many of you
[31:15.12]  have already subscribed but if you guys
[31:17.36]  want to make that connection with us
[31:19.92]  join our email list, join our community.
[31:22.16]  Uh link is right there in the chat. So
[31:25.52]  let's do let's do some more slang
[31:27.20]  questions. A few more questions. So, I
[31:29.92]  could say, again, I'm saying this, I'd
[31:32.40]  be like, "Oh, this is so sweet."
[31:35.76]  What does it mean? If I say, "Oh, this
[31:37.76]  is so sweet." Am I talking sweet? That
[31:41.12]  is the slang word. Am I talking about
[31:42.96]  something that is a tasty, bunny, or c
[31:49.20]  nice or good? If somebody says, "Oh,
[31:51.76]  this is sweet." Sweet.
[31:55.20]  You can listen to how I'm saying it.
[31:56.96]  What do you think? Am I talking about
[31:58.80]  something tasty, funny, or nice or good?
[32:02.40]  What do you think? And when I say nice
[32:04.64]  or good, those that's together. And yes,
[32:06.88]  so many of you uh got the answer.
[32:10.00]  Shilpa, Paul, Rose, Angela, uh Milan,
[32:13.44]  Richard, excellent, Jean, Carlos, the
[32:15.92]  answer is C. You're talking about
[32:17.76]  something that is nice or good. You are
[32:20.56]  expressing that something is nice or
[32:22.40]  good. And you could say it in that
[32:24.08]  content like, "Oh, sweet. Yes, but you
[32:27.68]  could also you may also hear somebody
[32:29.52]  talk about another person and say, "Oh,
[32:31.68]  you know, you're so sweet. You're so
[32:33.68]  nice. You're so good. You're so sweet."
[32:36.24]  So, this is a I think this is a rather
[32:39.20]  common slang word that is used
[32:41.76]  throughout the United States because
[32:43.92]  again, we're talking about American
[32:45.76]  slang. Um, so I would tell you guys, you
[32:48.80]  know, your your comments, you guys write
[32:50.64]  us comments and your comments, they're
[32:52.40]  so sweet. Uh, they're so nice. So again,
[32:55.92]  it depends on the intonation. You might
[32:57.84]  hear somebody just say, "Oh, so sweet."
[32:59.68]  Or if somebody's just like, "Oh, sweet."
[33:02.24]  It means that it's great. It's
[33:03.84]  expressing it. It's like saying, "Yes."
[33:05.68]  All right. You are happy. Uh let's look
[33:08.16]  at the next one. Here it is. Here is my
[33:12.96]  statement, my my sentence. What I would
[33:14.80]  say, I say, "Dude, I can't believe you
[33:17.20]  bailed. You're such a
[33:20.00]  what how would you complete that that
[33:22.72]  sentence? You're such a A no-show, B
[33:27.60]  flake, C weasel. All right. Um, I'm
[33:33.68]  trying to trick you a little bit here.
[33:35.20]  Uh, but again, I'll read it to him one
[33:36.96]  more time. Dude, I can't believe you
[33:38.56]  bailed. You're such a what? You're a
[33:42.32]  no-show, you're a flake, or you're a
[33:44.56]  weasel. All right, which one uh do you
[33:48.40]  think uh which one do you think best
[33:50.56]  completes that sentence?
[33:52.72]  Uh I'm seeing some different answers
[33:54.80]  here. Uh not everybody is in agreement
[33:58.00]  on this one. Yes. Um meat. Excellent.
[34:01.44]  Krishna. Perfect. Uh hot flesh. Nice.
[34:05.60]  Sajed. The correct answer is B. If
[34:09.04]  somebody is a flake. All right. It means
[34:12.00]  that this person can't be trusted. They
[34:14.80]  do not do what they say they will do. So
[34:18.32]  if somebody bails, it means they leave
[34:20.16]  unexpectedly. You were expecting this
[34:22.96]  person to stay. They're not doing what
[34:24.88]  they say they're doing. So, you would
[34:26.56]  say they're bailing on you. That means
[34:28.72]  they are a flake. It's a noun. A no-show
[34:32.08]  is just somebody who doesn't show up.
[34:34.72]  All right? If I said, "Oh, we're going
[34:36.32]  to have a lesson." And then I don't come
[34:38.56]  and I don't arrive and you guys are just
[34:40.48]  here waiting. Then you say, "I was a
[34:42.24]  no-show." And a weasel is somebody that
[34:45.12]  you just can't trust. All right? They're
[34:46.96]  trying to trick you in some way. You'd
[34:49.44]  say they're a weasel. So again, those
[34:51.12]  are also other terms that you can use,
[34:52.96]  but in this case, we're talking about
[34:54.88]  somebody who is a flake. It is an
[34:57.68]  unreliable person who says they will do
[35:00.96]  something, but they do not do it. And
[35:03.20]  you say, yeah, that person, they're a
[35:04.96]  flake. I cannot rely on this person. So
[35:08.08]  I say, somebody might just be, oh, don't
[35:09.76]  be such a flake. All right? Don't you
[35:12.56]  need to be somebody that that I can rely
[35:15.20]  on. Don't be a flake. And I don't know
[35:17.60]  why I put that picture there of a
[35:19.44]  snowflake because we're talking about
[35:21.92]  flakes. All right, so let's look at
[35:25.28]  another. All right, so this one we're
[35:28.56]  talking about the meaning is affection
[35:32.08]  between two heterosexual men. Okay, what
[35:36.16]  does that mean? This is a word that I
[35:38.72]  think has become more popular over the
[35:40.72]  last 5 to 10 years in describing this
[35:44.08]  situation. If you have two guys, um,
[35:46.48]  they're heterosexual, they're not gay,
[35:48.56]  they're not having a relation, uh, any
[35:50.80]  kind of romantic relationship, they're
[35:53.20]  heterosexual men, but they they become
[35:54.96]  suddenly friends, and they really get
[35:56.72]  along with each other. You can describe
[35:58.88]  this situation as what? A, a bromance,
[36:03.04]  B, tomboy, or C, bffs. What do you think
[36:07.36]  would describe this situation? Affection
[36:10.48]  between two heterosexual men. Um, and I
[36:14.40]  think yes, great answers. Lai Jr., Eloa,
[36:18.08]  um, Shilpa, Rose, Angela,
[36:20.80]  Simo, uh, Jatth, uh, just trying to
[36:23.84]  throw out as many names. Uh, Russian, I
[36:26.24]  forget. It just went just went on
[36:27.92]  through. Yes, the answer is a. We're
[36:29.60]  talking about a bromance because when
[36:31.44]  you're saying bro, you're talking about
[36:33.36]  another guy. It's a it's an amalgamation
[36:36.40]  of bro and romance. A bromance. But
[36:40.00]  again, in this case, you're not talking
[36:42.00]  about a romantic relationship. It is
[36:44.72]  just people that are friends. And the
[36:47.84]  way that it's used, I would say the the
[36:50.96]  two men, they are not going to describe
[36:54.24]  their friendship as a bromance. This is
[36:57.20]  something that other people would say
[37:00.08]  about their friendship. And you'd say,
[37:02.48]  "Oh, look. Oh, these guys, they made
[37:04.88]  friends. They became friends so quickly.
[37:06.72]  It's a bromance." Other people would say
[37:09.44]  this to describe their friendship. All
[37:11.84]  right, this is not something that the
[37:13.52]  the two men would say about this, but
[37:15.84]  other people um and I say, "Oh, you
[37:18.40]  know, yeah, it's a bromance." All right,
[37:20.24]  I I do I didn't I didn't have other pi
[37:22.56]  pictures of other people. I could say,
[37:24.16]  "Yes, I do like myself. Um
[37:27.52]  I do get along with myself. Oh, it's a
[37:30.16]  bromance." Okay, those are the only
[37:32.08]  pictures that I could find. So, that is
[37:33.84]  describing that situation right there.
[37:36.48]  All right. So,
[37:39.12]  let's see what you know. Thank you guys
[37:42.16]  for joining me today. Thank you guys for
[37:44.64]  being here. That is it for your slang
[37:47.20]  quiz. I hope you were able to when when
[37:50.32]  you've watched our other videos that you
[37:52.08]  able to learn these words. And then
[37:53.92]  again, this is good practice because the
[37:56.32]  more you practice, the more likely you
[37:58.24]  are to remember the meaning of these
[38:00.64]  words. So that the next time you hear
[38:02.64]  them in when you're watching a TV show,
[38:04.96]  you're listening to somebody talk on the
[38:07.04]  street, you're going to be able to
[38:08.80]  comprehend the meaning of what they're
[38:10.48]  saying. You'll be like, "Oh, I know this
[38:12.16]  word." And you can follow along with the
[38:14.24]  conversation. Again, I told you I think
[38:16.64]  slang is most important for your
[38:18.80]  comprehension. It's not necessarily like
[38:21.52]  you need to go out and use these words
[38:24.08]  if you are an English learner. So, thank
[38:26.24]  you guys so much for joining me. Thank
[38:28.32]  you. Thank you. Thank you. Um, let's
[38:31.12]  see. Where is it? Oscar, love music.
[38:34.08]  Eloa Simo. Um,
[38:38.40]  uh, Farhang, thank you guys. Give some
[38:40.96]  more shout outs. Li, um, Musen, thank
[38:44.40]  you. Well done, dude. Yes. Yes, I am a
[38:46.48]  dude. Sure. Um, Sajid, uh, Neckla,
[38:50.24]  sorry. Yes, I am bailing on I'm gonna
[38:52.64]  have to bail on you guys right now. I
[38:54.56]  know you want to continue, but but I got
[38:56.72]  to bail. I am not a flake though because
[38:59.52]  we will be ne we will be I will be back
[39:01.52]  next Saturday for another lesson. I
[39:03.92]  promise you I'm not a flake. I will be
[39:06.00]  back next weekend. Hope you guys enjoy
[39:08.08]  the rest of your day. Uh remember like
[39:10.40]  and share the lesson, write to us in the
[39:12.24]  comments and join our social media
[39:14.40]  classes. Thank you guys for being here
[39:16.32]  with me today. I will see you next time.
[39:19.76]  So long.
