Title     : AMERICAN IDIOMS 🇺🇸  Important phrases you need to know
Video ID  : oVPgrG0LnpQ
[32:53.58]  Dario Mage yes excellent
[32:56.40]  um young he we're talking about a
[33:00.24]  ballpark figure and I've put the word
[33:03.24]  figure in parentheses because somebody
[33:05.88]  may just use the word ballpark like hey
[33:08.28]  can you can you give me a ballpark can
[33:10.32]  you give me a ballpark figure you may
[33:12.42]  hear either one but if somebody is
[33:14.52]  asking like hey can you give me a
[33:16.20]  ballpark that's what they're asking for
[33:17.82]  can you give me an estimation a guess
[33:20.34]  and typically it would refer to a number
[33:23.84]  and again that example that question you
[33:26.76]  may hear can you just give me a ballpark
[33:28.80]  figure
[33:30.30]  so let's look let's look at another one
[33:34.68]  all right what do you think again use
[33:38.16]  the picture to
[33:39.96]  to help you uh guess this idiom we're
[33:42.96]  talking about you're you're gonna stop
[33:45.54]  what you're doing because you don't want
[33:47.76]  to do it anymore and you think that you
[33:50.40]  have done enough
[33:52.68]  and you would I think likely use this
[33:56.34]  idiom or hear people use this idiom in
[33:59.22]  the context of work whether it's you're
[34:02.70]  you're doing your job or you're just
[34:05.28]  doing work at home you're working on
[34:07.44]  some project but you're working hard and
[34:09.48]  you're going to stop because you don't
[34:10.92]  want to do it anymore or you think that
[34:13.14]  you've done enough
[34:15.06]  and there are four words
[34:17.58]  in this idiom
[34:19.86]  and I'll go ahead and give you the first
[34:22.14]  letter
[34:23.10]  of each word and actually that third
[34:26.40]  word is just the article uh
[34:30.60]  so what are you going to do if we're
[34:32.76]  working really hard and I say okay it's
[34:35.52]  time to stop I think we've done enough
[34:37.56]  let's um
[34:40.86]  and again this is one that I think is
[34:43.44]  pretty common I I would hope that you
[34:45.78]  could
[34:46.92]  see these hear these idioms and try to
[34:49.26]  associate it with uh you know an
[34:51.84]  experience that you've had with watching
[34:53.88]  a TV show or movie or listening to a
[34:55.86]  podcast these are idioms that will come
[34:57.90]  up in conversation great job uh everyone
[35:00.90]  we're talking about to call it a day
[35:03.00]  well done Sid nyz Valentina uh Mina
[35:07.08]  mazzitov
[35:08.66]  so if you say let's call it a day or
[35:12.36]  like in this the example sentence I gave
[35:14.40]  you I think it's time to call it a day
[35:16.22]  you're basically saying we're going to
[35:18.54]  stop what we're doing we've done enough
[35:20.28]  I don't think we need to continue we're
[35:22.92]  going to call it a day and there is a
[35:25.14]  reason why I chose to to present this as
[35:29.28]  the last idiom because yes right now I'm
[35:31.20]  gonna have to call it a day but uh there
[35:33.96]  is a little review these are all the
[35:36.18]  idioms that I just went over these
[35:38.10]  American idioms of course some are more
[35:40.80]  common than others I'm sure that you are
[35:43.56]  familiar with some of them already and
[35:45.36]  you've heard them perhaps you use them
[35:46.92]  in conversation I think that's great
[35:49.20]  just bear in mind these are more
[35:52.56]  informal more commonly used in spoken
[35:55.74]  English
[35:57.00]  so if you would like to get these lesson
[35:59.94]  notes again check out that link down in
[36:03.00]  the description if you're already a part
[36:04.74]  of our email Community check your inbox
[36:07.32]  I have sent them to you but this is a
[36:10.08]  good way to practice become I guess a
[36:12.90]  little more comfortable with these
[36:15.12]  idioms not only to help you improve your
[36:17.28]  comprehension if you're yeah watching a
[36:19.92]  TV show or movie but hopefully when
[36:21.66]  you're having a conversation if you
[36:24.50]  experience this and you would tell
[36:26.64]  somebody look I'm I had a really rough
[36:28.80]  day at work I really need to blow off
[36:30.72]  some steam and you can actually use that
[36:33.60]  idiom in context or one that I think is
[36:36.00]  very common we all feel sick from time
[36:38.16]  to time and instead of telling someone
[36:40.14]  hey I feel a little sick you could say
[36:42.96]  right now I'm feeling a little under the
[36:44.76]  weather
[36:45.54]  very very common idiom
[36:48.12]  or again you're in that situation where
[36:51.54]  you're going to take a risk you're going
[36:53.22]  to help somebody out and you're gonna
[36:55.02]  stick your neck out for them
[36:57.24]  so hopefully I hope with all these
[37:00.60]  lessons I just hope that you learned
[37:02.28]  something new thank you guys so much for
[37:05.28]  participating in today's lesson and
[37:08.10]  joining me if you did enjoy the lesson
[37:10.80]  and you did learn something new please
[37:12.66]  hit that like button
