Title     : 373: Check: Building a SaaS Startup  You're Not Rushing to Sell
Video ID  : cSuxL6jl-zM
[25:41.08]  saying that you know it looked like you
[25:43.08]  were you know raising money like
[25:45.72]  clockwork like you you launch January
[25:48.48]  2019 the January next year you raise you
[25:51.60]  know 8 million series a the January next
[25:54.32]  year 35 million and so on uh how I'm I'm
[25:58.64]  trying to figure out like you know one
[26:00.12]  you're in stealth mode two you're still
[26:02.04]  building a a a product you you
[26:05.80]  potentially only have a handful of
[26:07.20]  customers at that
[26:08.42]  [Music]
[26:09.48]  point how easy or hard was it to raise
[26:13.48]  that money and and how important was
[26:16.76]  that funding to you to be able to build
[26:19.96]  the kind of product that you believe you
[26:21.88]  needed to build the answer is the
[26:23.72]  funding was crucial H payroll is a a
[26:27.00]  deeply complex state-by-state product
[26:29.28]  and something that requires a lot of
[26:30.60]  upfront investment you know this sort of
[26:32.96]  there's not much of a thing of an nvp
[26:34.96]  you know within uh within payroll and
[26:37.28]  the IRS frankly does not care whether
[26:39.08]  you're six months old or 60 years old
[26:41.08]  they expect you to do everything you
[26:42.64]  know the exact same way and so you know
[26:45.00]  with that in mind this is definitely a
[26:46.48]  business that needed to be Venture back
[26:48.20]  that the funding was crucial to us and
[26:50.88]  and frankly it was crucial to be able to
[26:52.28]  set up the right incentives where our
[26:53.80]  incentive matched our partners we didn't
[26:55.40]  have to ask them to you know pay us a
[26:56.88]  lot of money before we had delivered any
[26:58.44]  value to them so that was one in terms
[27:00.52]  of the ease of raising the funds I think
[27:02.72]  we were in a really fortunate spot where
[27:04.36]  none of our fundraisers were ever
[27:06.48]  particularly difficult and there were a
[27:08.68]  few factors there one the fact that I
[27:10.32]  was a second time successful founder you
[27:12.24]  know for those first couple of rounds
[27:13.68]  definitely went a long way um I think we
[27:16.40]  executed really well through those first
[27:18.08]  couple of years and folks saw that they
[27:19.72]  saw that we were actually very quickly
[27:21.72]  building something that was very complex
[27:23.48]  and the market was responding to that we
[27:25.08]  were signing up amazing you know
[27:26.64]  partners and then lastly was just the
[27:28.40]  size of the opportunity again this is
[27:30.20]  something that every single business
[27:32.28]  across the entire country needs uh in a
[27:34.72]  market where the incumbents are just
[27:36.40]  really not pushing the state-of-the-art
[27:37.96]  forward and you know that's that that's
[27:40.32]  kind of what you know Venture
[27:41.44]  capitalists dream of and and so I think
[27:43.32]  we're able to attract quite a bit of
[27:45.08]  attention in dollars what does the
[27:47.28]  competitive landscape look like today so
[27:50.52]  you know it's
[27:51.72]  it's 2019 so we're talking about you
[27:55.44]  know four five years you mean working on
[27:58.24]  this business you looked at the
[28:00.20]  incumbents back then you know players
[28:02.32]  like ADP and there wasn't really much
[28:04.60]  going on there and that's what helped
[28:06.28]  you to to believe you had an opportunity
[28:08.60]  to disrupt and and you know create a
[28:10.44]  better
[28:12.00]  solution has much changed in those last
[28:15.04]  four or five years I would say from the
[28:17.64]  big guys the the big established payroll
[28:19.84]  companies not really is the answer I
[28:22.52]  mean if you go to their websites they
[28:23.76]  all have some you know generative AI
[28:26.40]  chatbot strategy now or something or
[28:28.52]  other but uh you know you tell me if
[28:30.80]  that's really changing the payroll
[28:32.08]  experience all that much for them
[28:34.64]  they're pretty much during the same
[28:35.60]  thing they've been doing for the last 50
[28:37.04]  years and they definitely other
[28:39.20]  companies who have seen you know the
[28:42.08]  really the whole category of embedded
[28:43.72]  payroll that Czech has now created and
[28:45.32]  have tried to come in and and you know
[28:46.96]  compete with us I think is healthy and
[28:49.16]  uh you know has helped frankly push the
[28:50.76]  whole Market forward um but it's it's
[28:53.12]  very much broken out where this kind of
[28:54.52]  a I would call it a historical you know
[28:56.60]  kind of payroll set of incumbents and
[28:58.36]  then you know the the insurgence of
[29:00.40]  which you know we are the the dominant
[29:01.96]  one over on the other side trying to you
[29:03.76]  know really uh evangelize this idea that
[29:06.04]  embedded payroll is the future and
[29:07.76]  that's interesting with these new
[29:09.84]  players coming into the space going back
[29:12.56]  to what we talked about with uh going
[29:15.44]  into stealth mode do you do you feel
[29:17.68]  that that again gave you an edge because
[29:20.56]  you had a little bit of time to
[29:22.92]  establish yourself in terms of being
[29:25.56]  being a leader in the space totally we
[29:27.80]  got a two to threee Head Start over
[29:30.12]  everyone else um and we saw it even the
[29:32.20]  big incumbents in terms of how they
[29:33.56]  reacted you know there was uh they're
[29:35.20]  pretty wide-eyed you could tell you know
[29:36.68]  once we came into the uh into the market
[29:38.96]  so that's a huge part of what I'm glad
[29:40.48]  we did it so you know with your story it
[29:45.68]  it's a great one like we we talked about
[29:49.16]  you know coming up with this idea for
[29:50.96]  oyster working on that for a few years
[29:54.16]  selling it to Google um then going from
[29:57.04]  B Toc to B2B building check um raising
[30:02.12]  well over $100 million you know you you
[30:05.44]  make it look
[30:07.44]  easy and so just for a reality check for
[30:11.48]  people who are who are listening to this
[30:13.12]  and not finding it as easy give us a a
[30:17.52]  maybe a flavor of maybe you know some of
[30:19.96]  the the difficulties or challenges that
[30:22.08]  you've also faced I will say it has not
[30:24.64]  felt easy first of all and you know for
[30:26.60]  those watching can see the gray in my
[30:28.48]  beard the this comes from having built
[30:31.00]  those two companies you know there's the
[30:32.60]  typical stuff the you know the late
[30:34.96]  nights the you know working through
[30:36.76]  weekends the you know missing important
[30:39.36]  occasions things like that like that
[30:41.08]  that's definitely been true for me as I
[30:43.12]  know as it is for so many entrepreneurs
[30:45.08]  and it's one thing to do that for you
[30:47.12]  know a quarter six months a year you
[30:49.32]  know I've been over across these two
[30:50.60]  companies at this for you know a decade
[30:52.60]  or so at this point maybe a little more
[30:54.72]  that's um that point you're talking
[30:56.16]  about your life right it's like what
[30:57.20]  what are you dedicating it to and you
[30:58.88]  know that's a whole other thing that you
[31:00.68]  got to figure out how to create the
[31:02.12]  right I don't even call it balance but
[31:04.16]  integration um you know between your
[31:06.32]  life and and your your work your passion
[31:08.72]  the company that you're building so more
[31:11.16]  than anything else that's that's what
[31:12.76]  I'd say you know not only did I go
[31:14.28]  through the one acquisition which was
[31:15.80]  exciting and at the same time not what I
[31:17.36]  wanted on the personal side I went
[31:18.92]  through a divorce in that period too you
[31:20.92]  know and so I'll give you another you
[31:22.80]  know recent example of a challenge that
[31:24.96]  we've had to overcome which was the
[31:26.68]  collapse of Silicon Valley Bank uh back
[31:29.88]  in q1 of this year you know for context
[31:33.12]  svv was the partner bank that we had
[31:35.48]  worked with from the very beginning uh
[31:37.48]  of our company's life cycle and as a
[31:39.80]  payroll business you know we not only
[31:41.32]  had our own uh business bank account we
[31:43.76]  have the account that we on a custodial
[31:46.20]  basis were holding all of the funds on
[31:48.56]  behalf of all of the companies that we
[31:50.88]  serve and so you know the expectation is
[31:53.64]  we we take those funds and then we pay
[31:55.84]  them out to employ employees right on on
[31:58.64]  Friday morning typically wellb decided
[32:01.60]  to collapse uh overnight between
[32:03.76]  Thursday night and Friday morning that
[32:05.64]  meant that was the you know critical
[32:07.68]  peak time when we are holding those
[32:09.48]  funds that we are trying to pay out for
[32:10.92]  all of those employees and you know it
[32:13.72]  was probably the worst feeling I've had
[32:16.16]  I think in my my whole career was that
[32:18.16]  Friday morning when we woke up and we
[32:20.76]  saw that the funds were not in anyone's
[32:23.68]  bank account you know it's hard to and
[32:25.48]  and and what are you supposed to do too
[32:28.08]  um you know that's it's hard to imagine
[32:29.96]  kind of a worse situation uh you know as
[32:32.32]  a founder of a payroll business and
[32:34.24]  truly you know for many like is this
[32:36.36]  company killing like what are we going
[32:37.56]  to do and I think we actually managed it
[32:40.80]  was probably the craziest day of my
[32:42.84]  career but in a matter of not even 24
[32:45.12]  hours turn it from being truly our
[32:47.16]  darkest moment into I think the proudest
[32:49.76]  day in the history of the company
[32:52.24]  because we still despite the bank being
[32:54.64]  totally shut down through the weekend
[32:56.44]  everything that was was going on managed
[32:58.36]  to get every single person you know that
[33:00.44]  was supposed to be paid through the
[33:01.60]  platform get them their money before the
[33:04.20]  end of that business day and and that
[33:06.88]  took you know Moving Mountains we were
[33:09.32]  it took both fast action and a ton of
[33:11.92]  prep ahead of time so we we thankfully
[33:13.84]  had our our corporate funds and other
[33:15.88]  accounts and we had done quarters and
[33:18.00]  quarters of work to begin to integrate
[33:19.92]  with multiple different banking partners
[33:21.68]  because we knew that reliability and
[33:23.20]  redundancy were going to be very
[33:24.64]  important and so as a result of that
[33:26.60]  prepar and then some quick thinking you
[33:28.80]  know we were able to move funds around
[33:30.92]  fall over to other Banks you know
[33:32.52]  ultimately basically front the money and
[33:34.36]  uh and get folks paid do the right thing
[33:36.16]  by our partners wow what a story you
[33:39.32]  know I know many startups struggled with
[33:41.88]  that situation but your situation is is
[33:45.12]  unique because there were Partners
[33:47.88]  dependent on that money there were
[33:50.40]  people employees and small businesses
[33:53.80]  dependent on that and and saying well
[33:56.52]  you know svb nobody would care about
[33:59.24]  that all they would remember was that
[34:00.52]  you didn't you didn't work or you didn't
[34:02.64]  deliver the paycheck like you were
[34:04.12]  supposed to totally we talked about
[34:06.44]  earning trust earlier I think we
[34:08.24]  actually earned more trust in that one
[34:10.32]  day than we had at any other moment in
[34:12.64]  the company's history because we were
[34:14.44]  able to show that we went so far above
[34:16.60]  and beyond and by the way you know
[34:18.36]  communicated on a minute by minute basis
[34:20.76]  with every one of our partners
[34:21.88]  throughout the day to let them know what
[34:23.12]  we were doing too and um you know that's
[34:26.20]  just it goes a long way yeah yeah
[34:29.80]  definitely okay so before we move onto
[34:32.24]  the lightning round uh you're coming up
[34:33.84]  to in a few months I guess about five
[34:35.76]  years on this business when we talked
[34:39.08]  about you finding the idea you had a
[34:40.76]  very high bar for the type of business
[34:42.32]  you wanted to work on so in terms of a
[34:44.92]  five-year check do you feel like the you
[34:49.40]  know what you've done with this business
[34:50.64]  so far has met the the criteria that the
[34:54.64]  type of business that you wanted to work
[34:55.92]  on and and also what do you think you
[34:59.60]  know the the future looks like what what
[35:01.64]  is the opportunity ahead for you yeah
[35:03.92]  I've been reflecting on this a lot
[35:05.28]  recently too and the answer is 100% it
[35:08.20]  absolutely meets exactly all of the
[35:10.36]  criteria that I had hoped that it would
[35:12.48]  and frankly my favorite part about it is
[35:14.36]  that it feels like we are still just
[35:15.88]  getting started we have so many things
[35:18.16]  that we still want to build so far to go
[35:20.36]  you know truly if we raise another $500
[35:22.44]  million tomorrow I feel like we could
[35:24.28]  have you know really high Roi places to
[35:26.64]  go invest it and this is a space that
[35:28.92]  truly it's so large and so backwards
[35:31.60]  there's so much great software that
[35:33.08]  needs to be built and we're really
[35:34.60]  helping power this just massive wave of
[35:36.88]  vertical SAS companies and really just
[35:38.88]  custom software for small businesses
[35:41.12]  that uh you know is is really driving so
[35:43.12]  much of you know the sector of the
[35:44.48]  Venture economy right now too and uh I
[35:47.24]  just feel incredibly fortunate to uh to
[35:49.20]  be in that seat and have such an amazing
[35:50.96]  team around me that you know makes my
[35:53.16]  job fun every day and then lastly I'd be
[35:55.88]  remiss if I didn't mention that the
[35:57.60]  founders and especially the CEOs of you
[36:00.32]  know each of our partners too who I get
[36:02.52]  to work really closely with it's one of
[36:04.44]  the most fun parts of my job is we're
[36:06.08]  not just building Czech but we're
[36:07.32]  building an entire you know ecosystem of
[36:09.56]  Partners built on top of Us and other
[36:11.36]  folks who we work with who you know have
[36:13.28]  an ecosystem that help power our
[36:14.68]  partners around Czech as well and that
[36:16.56]  has been it's just incredibly rewarding
[36:18.68]  and I think we're all just growing this
[36:20.08]  whole part of the the economy together
[36:22.24]  love it love it it's a super interesting
[36:24.32]  business all right let's uh let's wrap
[36:26.64]  up let's get into the lightning round
[36:28.00]  I've got seven quick fire questions for
[36:30.04]  you you ready let's do it okay what's
[36:33.08]  one of the best pieces of business
[36:35.00]  advice you've received When someone
[36:37.28]  tells you who they are or shows you who
[36:39.32]  they are believe them I think business
[36:41.72]  day is all about people um and you just
[36:43.80]  got to believe who what believe what you
[36:45.60]  say I love that love that uh what book
[36:48.24]  would you recommend to our audience and
[36:50.28]  why there's a book called reboot
[36:52.64]  leadership uh and the Art of growing up
[36:54.88]  uh which I think is again we talk about
[36:56.24]  business being about people leadership
[36:58.76]  first and foremost is about managing
[37:00.40]  yourself and I think that is the single
[37:01.92]  best book to help you figure out how to
[37:03.32]  really manage yourself in your own
[37:04.88]  emotions in the you know towards the end
[37:06.88]  of leading a team what's one attribute
[37:09.84]  or characteristic in your mind of a
[37:11.84]  successful founder grit and
[37:14.36]  determination I think at the end of the
[37:16.08]  day that's a you gotta have other things
[37:18.20]  too but that'll take you an awfully long
[37:20.00]  way people underestimate hard work yeah
[37:24.28]  what's your favorite personal
[37:25.96]  productivity tool or
[37:27.80]  habit I don't have anything special here
[37:30.16]  mine is Apple notes uh I have a note it
[37:32.80]  is a to-do list it has each day what I
[37:35.24]  want to get done and sort of over the
[37:37.00]  course of the week what I want to get
[37:38.40]  done and I make sure to get those things
[37:41.52]  done maybe to a fault I'm I'm a
[37:43.16]  completionist if my list is not done I
[37:45.16]  don't I'm not happy I can't think I you
[37:47.24]  know can't hang out with people it's
[37:48.64]  it's all about getting through the to-do
[37:50.20]  list I I got to get props to Apple notes
[37:52.84]  I always thought of it as like this this
[37:54.96]  kind of super basic uh
[37:57.36]  Notes app and then I watched the YouTube
[37:59.12]  video the other day and I was like wow I
[38:00.40]  didn't know you could do all of this
[38:01.44]  stuff in there Apple's very good at
[38:03.20]  hiding hiding those features I if that's
[38:05.20]  good or bad they like the minimalist
[38:06.84]  design yeah uh what's a new or crazy
[38:09.36]  business idea you'd love to pursue if
[38:10.76]  you had the extra time oh we talked
[38:12.80]  about svb earlier I would love to buy or
[38:15.04]  build a modern Bank uh I think the
[38:17.56]  banking infrastructure out there is is
[38:19.44]  still kind of a mess and there there's a
[38:20.88]  couple of companies doing this who I'm
[38:22.52]  friends with and I'm big fans of I hope
[38:24.28]  they succeed uh if they don't then I in
[38:26.84]  20 years or something post check I may
[38:28.64]  have to go give it another shot what's
[38:30.52]  an interesting or fun fact about you
[38:32.40]  that most people don't know I once
[38:34.08]  camped out for two months uh in order to
[38:36.68]  get into the Duke UNC basketball game I
[38:38.96]  was a Cameron crazy two months two
[38:41.00]  months yep living in a tent in North
[38:43.00]  Carolina wow um and finally what's one
[38:46.44]  of your most important passions outside
[38:48.40]  of your work I love just getting outside
[38:50.76]  hiking skiing you know anything that
[38:53.04]  gets me into the Great Outdoors I think
[38:54.68]  we spend so much time you know at our
[38:56.60]  computer and email and slack uh opening
[38:59.32]  your eyes and Horizons to the beautiful
[39:01.00]  world around us to me is how I kind of
[39:02.72]  rejuvenate myself love it Andrew thank
[39:05.60]  you so much for joining me thank you for
[39:06.88]  sharing your story and some of the
[39:08.92]  lessons you've learned along the way it
[39:11.12]  really does sound it's a super
[39:12.08]  interesting business as I said and I
[39:13.64]  think it it does really sound like you
[39:15.52]  guys are still just getting started and
[39:17.16]  there's so much more you could be doing
[39:19.16]  so I'd love to you know keep following
[39:21.20]  up and and see where you take this
[39:23.00]  business if uh people want to check out
[39:26.12]  check out check they can go to Che
[39:29.36]  hq.com and if folks want to get in touch
[39:32.64]  with you what's the best way for them to
[39:34.16]  do that yeah just shoot me an email I'm
[39:36.64]  Andrew at Che hq.com I'm pretty easy to
[39:39.16]  find on the interwebs and uh yeah reach
[39:41.24]  out I'd love to stay in touch awesome
[39:43.24]  thanks man it's me a pleasure and I wish
[39:44.88]  you and the team the best of success
[39:46.68]  thanks om thanks for having me on
[39:52.96]  Cheers
