Title     : 370: Banzai: Pivoting from a Near  Collapse to 8 Figure ARR SaaS
Video ID  : 42RZZ3llZFs
[27:34.60]  marketing as as a as a you know as your
[27:37.92]  as your target market
[27:40.92]  and when we look at what happened with
[27:43.72]  with the pandemic obviously there were a
[27:46.08]  lot of startups or SAS companies that
[27:49.88]  benefited a lot from the pandemic you
[27:52.88]  know they don't necessarily want to talk
[27:55.00]  about it that much um some do but uh
[27:58.16]  yeah there was a it was a period of Boom
[28:00.04]  it was good times right there were
[28:01.68]  others that that maybe saw a slump and
[28:04.20]  then eventually things came
[28:06.04]  back with you and and the market that
[28:09.00]  you were going
[28:10.44]  after not only did that hurt you in the
[28:15.04]  short
[28:16.04]  term as you went on to tell me earlier
[28:19.16]  that market has never really come back
[28:21.16]  and recovered that's really true and
[28:23.04]  it's and it's and it's one of the few
[28:24.60]  markets I mean I think there were
[28:26.44]  basically I I would I would categorize
[28:28.76]  like three types of things that happened
[28:32.04]  um in in markets during Co so there were
[28:34.60]  companies that saw a temporary boost um
[28:37.16]  they saw demand pull forward so this an
[28:39.00]  example of this would be you know if you
[28:41.44]  if you sold toilet paper or baked beans
[28:44.44]  or virtual uh you know meeting software
[28:47.44]  like Zoom you know you saw a lot of
[28:49.24]  demand pull forward and then after Co
[28:52.96]  ended you probably saw some of that
[28:54.36]  demand dissipate right there were other
[28:56.96]  companies that took you know that didn't
[28:59.84]  get crushed but they took a Slowdown so
[29:03.00]  this would be like Airlines you know
[29:04.40]  Airlines continue to
[29:05.76]  operating um but they didn't have the
[29:08.56]  same you know or like restaurants like
[29:11.16]  restaurant industry a lot of restaurants
[29:12.56]  continued operating but maybe they had
[29:14.44]  to do takeout only or maybe they had to
[29:16.44]  do delivery only or something you know
[29:18.84]  um so it it messed up their business
[29:21.00]  model but it didn't you know kill them
[29:22.96]  then there were businesses that just
[29:24.60]  completely had to shut down so this is
[29:26.88]  like cruises um conferences and field
[29:30.20]  marketing so if you worked in the events
[29:32.16]  industry if you worked in like if you
[29:33.24]  had a catering business uh if you had
[29:35.64]  like a videography business you know you
[29:37.72]  were really really in trouble during
[29:39.60]  this time period because you had you
[29:41.76]  know no cash flow coming in and for us
[29:44.64]  like we had contracted Revenue but we
[29:47.44]  couldn't sell any new customers because
[29:49.84]  you know every CMO in the world said
[29:51.56]  like we're not going to make any field
[29:53.04]  marketing Investments until we know
[29:55.80]  what's going to happen and so everybody
[29:57.76]  said okay we're going to take a 90-day
[29:59.08]  pause like that was the thing that in
[30:01.04]  March 2020 everybody thought it was
[30:02.72]  going to be like this is going to be
[30:03.48]  over in 90 days so you know we'll just
[30:06.44]  wait it out so a lot of them kept teams
[30:08.40]  on for the first 90 days or even six
[30:11.72]  months as the pandemic dragged on the
[30:14.00]  industry started to just dissipate so
[30:16.04]  the people that were that had been in
[30:17.76]  field marketing for 20 years they got
[30:19.56]  rehomed into other jobs so they got
[30:22.56]  moved into digital marketing or they got
[30:24.08]  moved into other roles in the company
[30:26.12]  and so now the you know the cruise lines
[30:29.60]  still had their cruise ships out there
[30:31.72]  like they were still going to do cruises
[30:33.56]  after coid you know the Conference
[30:35.40]  Centers were still you know out there
[30:37.12]  they're still built they were going to
[30:38.20]  do conferences after Co but for field
[30:40.64]  marketing you know a lot of the
[30:42.52]  professionals that actually make this
[30:44.52]  industry happen had to find other jobs
[30:47.48]  you know they just couldn't wait around
[30:48.84]  forever and so because of the prolonged
[30:51.64]  uh nature of the shutdowns that went on
[30:53.56]  for years and years and you know and in
[30:56.24]  many cases still like we have not
[30:59.16]  returned to normal um in office
[31:02.00]  environments you know I think the the
[31:04.20]  field marketing industry is completely
[31:07.00]  it got completely taken apart and today
[31:09.28]  we're seeing you know that industry is
[31:11.04]  like maybe 10% of what it was in uh 2019
[31:15.44]  so it's it's completely different
[31:17.36]  industry and frankly I think it's one of
[31:19.24]  the big opportunities in marketing right
[31:20.68]  now because nobody's doing it um it
[31:23.64]  worked it worked really well in 2019
[31:25.52]  when everybody was trying to do it the
[31:26.84]  RO was huge that's why companies put so
[31:28.84]  much money into it so you know we uh we
[31:32.36]  continue to think that it's a great
[31:34.16]  opportunity but uh it's really hard for
[31:36.32]  companies to operationalize it because
[31:38.64]  it requires people and complexity um
[31:41.56]  that you know digital things like
[31:42.80]  webinars just don't and by the way we
[31:44.24]  love webinars too uh we think that's
[31:46.76]  also a great strategy but uh you know
[31:49.08]  they they're different levels of
[31:50.00]  complexity they different levels of
[31:51.40]  investment and so yeah a lot of CMOS
[31:53.92]  have not made a decision to bring that
[31:55.76]  investment back it's it's just got
[31:57.80]  redlined out of the budget and you know
[32:00.00]  rebuilding a whole strategy is really
[32:01.60]  really hard um especially when you're in
[32:03.24]  a big company when that momentum goes
[32:05.20]  away you know it's tough to bring it
[32:07.32]  back so so you you had been doing pretty
[32:11.16]  well in terms of growth up to that point
[32:14.12]  you've raised money um and then suddenly
[32:18.08]  this hits you many companies were in
[32:21.00]  that sort of that weit and see kind of
[32:23.92]  you know phase where they were like you
[32:26.60]  know hopefully this is going to come
[32:27.72]  back right maybe next week maybe the
[32:29.64]  week after maybe
[32:31.04]  whatever at what point did it hit you
[32:34.80]  that this wasn't coming back and that
[32:38.04]  you needed to do
[32:40.04]  something dramatically different to what
[32:43.60]  you'd been planning to do with this
[32:44.88]  money yeah our executive team started
[32:47.28]  talking about it like almost immediately
[32:49.84]  because I think for us the position was
[32:52.36]  a little bit different I got on a call
[32:54.76]  with a bunch of CEOs like a week or two
[32:57.76]  weeks into Co and everybody was talking
[32:59.20]  about what they were going to do and
[33:01.48]  half the room was like we're going to
[33:03.36]  lay off our people or maybe we already
[33:05.00]  have laid off people and we're going to
[33:06.60]  go into hibernation mode and we're going
[33:08.28]  to wait this thing out we're going to
[33:09.44]  see what happens and then we're not
[33:11.48]  going to burn you know we're going to
[33:13.00]  cut our burn to like nothing and you
[33:15.56]  know hopefully we'll still be here when
[33:17.76]  this ends and then we'll come back and
[33:19.56]  then we'll try to do what we want to do
[33:21.84]  and for us it was really like an option
[33:23.88]  of we don't know whe whether this is
[33:26.56]  going to come back back or you know we
[33:29.28]  we kind of said like we could make a bet
[33:31.04]  that it does um come back and in that
[33:34.80]  case we would probably try to keep our
[33:36.48]  organization together as much as
[33:38.16]  possible but what happens if we're wrong
[33:40.92]  you know if we're wrong this is a bet
[33:42.64]  the company type of decision so you know
[33:45.80]  we we kind of said we have to do one of
[33:47.44]  two things we can either shut down the
[33:48.76]  business and try to wait it out um or we
[33:52.16]  can keep the business running and pray
[33:55.80]  that uh this is uh you know this is over
[33:58.04]  in 30 days and it was very hard to
[34:00.80]  imagine at that time CU we had never
[34:03.00]  been through anything like that in in
[34:05.20]  the history of the world that there
[34:07.24]  would be a global pandemic that would
[34:10.16]  drag on for years so everybody had this
[34:12.60]  in their mind that it was like you know
[34:14.88]  these lockdowns are only going to last a
[34:16.28]  couple weeks they're only going to last
[34:17.64]  a month they're only going to last 90
[34:19.04]  days they're only going to last yeah but
[34:20.48]  it'll be over by summer will it be it'll
[34:22.20]  be over by Fall well it'll be over by
[34:23.64]  Christmas well it'll be over by next
[34:25.48]  summer well it'll be over by next
[34:26.60]  Christmas
[34:28.00]  and uh you know in in reality like we
[34:32.32]  sat down and and basically just said
[34:34.92]  what are we going to do here are we
[34:36.20]  going to shut the business down or are
[34:37.96]  we going to pray and we came up with a
[34:40.24]  third idea which was um we can we can
[34:43.92]  pivot and so uh we we said what what
[34:47.60]  would that look like and so we knew
[34:49.88]  customers were going to shift um this
[34:52.64]  these activities to Virtual we went and
[34:56.20]  talked to a lot of our customers and
[34:57.84]  said what are you going to do if you're
[34:58.96]  not doing field marketing what are you
[35:00.16]  going to do they said well we'll
[35:02.04]  probably you know we'll we're going to
[35:03.72]  replace conferences with virtual events
[35:06.56]  um like hoppen or whatever and we're
[35:07.96]  going to replace field marketing with
[35:10.40]  webinars and so we said okay so we went
[35:12.60]  out and um in over the next year we
[35:15.92]  bought uh a virtual event company and we
[35:18.56]  bought a webinar company and those were
[35:22.44]  phenomenal Investments for us because
[35:24.84]  ultimately they gave us a platform to
[35:27.20]  Pivot our business to focus on you know
[35:30.20]  the future uh and not you know and not
[35:33.72]  get up hung up on this and like in
[35:36.16]  retrospect um the way that it played out
[35:38.44]  if we had stuck around and committed to
[35:40.44]  that you know uh if we committed to
[35:43.08]  either of those first two plans we would
[35:45.32]  have died because even if we had gone
[35:48.00]  into hibernation the market never came
[35:49.80]  back from it the field marketing Market
[35:51.72]  never came back from it so I I think it
[35:54.24]  was the luckiest thing we ever did
[35:57.52]  uh was to decide to make that pivot and
[36:00.00]  the way that we did it um I think gave
[36:02.48]  us a huge advantage over everybody else
[36:04.48]  because there were a lot of companies
[36:06.28]  that came into the virtual event space
[36:09.80]  um raised 25 or $50 million in venture
[36:12.40]  capital and you know all of those
[36:14.64]  companies now have either blown up like
[36:16.60]  you've seen recently with hoopen or run
[36:18.28]  the world they're gone um or they've
[36:22.00]  pivoted to webinar and now they're
[36:23.84]  trying to compete with us um you know we
[36:27.24]  got lucky because we were able to find
[36:29.48]  an amazing entrepreneur David Abrams who
[36:31.04]  I know you've had on the show before and
[36:33.20]  Wyatt his co-founder and we were able to
[36:35.96]  to work out a deal with them um to uh
[36:39.36]  buy their business demio which was a
[36:41.08]  phenomenal product um that we just
[36:43.84]  thought was like these guys had done an
[36:46.56]  amazing job building it it would take us
[36:48.20]  years to replicate this um and we were
[36:50.72]  able to buy it and um and that's where
[36:53.24]  it was really handy to have some of that
[36:54.68]  VC money that we had just raised you
[36:56.80]  know so that's why I talk about luck but
[36:58.88]  you know it it ended up ended up being a
[37:00.56]  great uh outcome because of you know
[37:03.08]  largely because of those guys and their
[37:04.16]  willingness to work with us and I think
[37:06.16]  it was good for everyone yeah I think
[37:08.92]  you know I
[37:10.20]  remember talking to David about demo I
[37:13.12]  think they' been in business for a few
[37:14.56]  years back then
[37:17.08]  and it was clear that they were really
[37:21.60]  taking a Fresh Approach to a pretty
[37:24.76]  industry that been pretty stale for for
[37:27.08]  a while and uh it's it's uh it's always
[37:30.48]  nice to see you know things come full
[37:33.08]  circle that actually it did work out and
[37:35.04]  you know it became part of the Bonsai I
[37:38.00]  mean what you have to keep in mind about
[37:39.24]  that industry was on 24 uh got started
[37:43.04]  which is the you know the kind of
[37:45.92]  incumbent you know big incumbent in the
[37:47.72]  space got started in 1998 um so it means
[37:50.76]  that when they were first building that
[37:53.48]  Jeff Bezos was still like shipping books
[37:55.92]  from his table the world has changed a
[37:58.48]  lot since then just the nature of the
[38:00.92]  internet has changed a lot since then
[38:02.80]  people aren't using dialup anymore
[38:04.28]  they're doing you know they're you Wi-Fi
[38:06.88]  is you know everywhere 5G is everywhere
[38:09.48]  um the technolog is changed browsers
[38:11.12]  have changed every single thing has
[38:12.56]  changed um but a lot of people are still
[38:14.64]  using these old sty experiences that
[38:17.48]  they're getting from like go to webinar
[38:19.80]  or on 24 and they're providing these
[38:23.20]  20-year-old type customer experiences
[38:24.88]  that aren't very engaging and that you
[38:27.20]  know aren't very interactive and you
[38:28.84]  know basically people just don't like
[38:30.36]  them very much you know as a result you
[38:32.28]  know they don't really maximize the the
[38:34.72]  the business value you get out of them
[38:36.08]  so you know we've seen customers that
[38:37.80]  move from go to webinar to Dio and all
[38:40.96]  of a sudden they're getting three times
[38:42.28]  the number of leads out of every webinar
[38:44.68]  that they do because you know they're
[38:47.60]  they're just much more engaging people
[38:48.84]  are actually watching them people
[38:50.56]  actually clicking on them people can
[38:51.76]  raise their hand and say yes follow up
[38:53.20]  with me so we just have so much more in
[38:55.52]  terms of interactivity an engagement
[38:57.04]  that we can do that those other guys
[38:58.64]  can't let's talk a little bit about
[39:00.56]  content marketing I know that's another
[39:02.76]  growth Channel that's worked well for
[39:05.32]  you in terms of customer
[39:08.12]  acquisition but
[39:10.04]  also Target using content marketing to
[39:12.92]  Target marketers who are probably
[39:16.24]  already using dozens of tools and
[39:18.88]  there's a long line of hundreds of other
[39:21.36]  marketing tools out there that are
[39:22.80]  trying to get their attention and
[39:24.60]  probably nearly all of them are doing
[39:25.96]  content marketing to some in some shape
[39:27.88]  or form what did you do what approach
[39:31.44]  did you take that helped
[39:34.64]  you
[39:36.36]  get those people's attention like what
[39:39.88]  was your butts on seat approach to
[39:43.24]  content marketing well first of all like
[39:45.28]  content marketing isn't a single thing
[39:47.08]  so um it's not just SEO or whatever the
[39:51.88]  the the number one Insight that I could
[39:54.04]  give to anybody who's new and still
[39:55.72]  figuring this out
[39:57.04]  is your marketing strategy has to align
[39:59.16]  to your ACV or your average you know
[40:01.64]  value of a customer and so if you're
[40:04.12]  selling a product for
[40:05.80]  $50,000 you can do all kinds of things
[40:09.80]  you know for that customer to get their
[40:11.40]  attention because you know it's worth it
[40:14.60]  I mean you can put up a billboard right
[40:15.88]  across the street from their office
[40:17.12]  because it's worth it you um when you
[40:19.52]  sign them up they'll pay it'll pay for
[40:21.44]  that when you got a product like demo
[40:23.72]  and we acquired it I think uh the
[40:27.04]  entry level price of the product was in
[40:28.84]  the most popular package um was like 49
[40:31.92]  bucks a month and so this isn't a really
[40:36.20]  high ACV product needs a lot of
[40:38.64]  customers and needs to be done at scale
[40:40.44]  so something like outbound just isn't
[40:42.24]  going to work if you know to sign up a
[40:43.88]  $49 a month customer um you can't do it
[40:46.40]  cheaply enough so you have to have a
[40:48.92]  different approach I think our you know
[40:52.72]  realization here was same thing like we
[40:56.48]  have to get people's attention um you
[40:58.60]  have to be different everybody is doing
[41:01.16]  SEO so if you go look for any
[41:03.40]  established category if you go Google it
[41:05.88]  you're going to find you know 10
[41:07.28]  different companies that show up on that
[41:08.76]  list the thing that we did that was
[41:10.24]  really smart was we partnered with a lot
[41:12.12]  of people that had uh existing blogs or
[41:15.92]  audiences and we said and really really
[41:18.48]  I mean really I give so much credit to
[41:19.92]  David uh and Wyatt for coming up with
[41:22.00]  this idea cuz I think they're the ones
[41:23.48]  that really like pioneered it but we
[41:25.72]  went out and said okay you know there
[41:27.36]  going to be people that are financially
[41:29.44]  incented to get their stuff up to the
[41:31.40]  top and to talk about this people that
[41:33.16]  are you know doing blogs you know
[41:36.00]  blogging about marketing people that are
[41:38.04]  you know doing uh video content about
[41:40.48]  marketing so let's go partner with those
[41:42.80]  people and those Partnerships made a
[41:45.76]  huge difference for us because now if
[41:47.24]  you Google best webinar software we come
[41:49.16]  up number one on every list that's out
[41:51.84]  there just about uh because we've got
[41:54.12]  great relationships with all those folks
[41:56.24]  they use our tools all of that you know
[41:58.68]  we also went out signed up you we we
[42:00.80]  knew that the marketing automation tools
[42:02.88]  were going to be kind of central um so a
[42:05.52]  lot of the Big Marketing automation
[42:07.20]  companies that you might think of
[42:09.12]  without saying any names but the ones
[42:11.28]  that you might think you might know are
[42:13.28]  also our customers so they're using our
[42:15.04]  tools and so we're able to go out and
[42:16.64]  give a lot of discounts to them to say
[42:18.28]  hey why don't you use our tool you can
[42:19.80]  use it maybe a little bit cheaper and
[42:22.56]  now everybody who's coming through their
[42:24.84]  webinars is getting you know a demo
[42:27.68]  experience and then you know learns
[42:30.12]  about demo that way so there really was
[42:32.44]  just like a total aspect of you know uh
[42:37.04]  making the you of of leveraging those
[42:40.16]  Partnerships to get content in front of
[42:42.68]  the right people in a really
[42:44.40]  cost-effective way um because we just
[42:46.72]  knew we couldn't afford you know uh at
[42:50.20]  aera you know we would uh ship an iPad
[42:52.88]  to somebody that was pre-loaded with
[42:54.24]  content you know if we tried do that
[42:56.52]  here you know it would take them 10
[42:57.56]  years to have a payback period so we
[43:00.84]  like we can't do that so we have to we
[43:03.20]  have to change our approach so when you
[43:05.24]  were partnering with these creators were
[43:06.88]  you were you paying them or were you
[43:09.60]  just giving them the software for free
[43:12.40]  or a discounted rate like what what what
[43:14.24]  were the economics yeah it totally
[43:15.72]  depends like sometimes we would say Hey
[43:17.20]  you know we'll we'll we'll give you a
[43:18.56]  discount sometimes we would just say hey
[43:20.44]  they're already fan of ours they're
[43:21.44]  already using us like how can we how can
[43:23.24]  we partner with them more um other times
[43:25.32]  we would give them an affiliate type of
[43:26.84]  deal so the affiliate was big for us um
[43:29.76]  but it was just consistently trying to
[43:31.28]  drive people back to just consistently
[43:34.20]  trying to drive people back to our
[43:35.44]  content on our site that was the that
[43:37.68]  was the theme right and I think what we
[43:40.68]  what we learned over and over again is
[43:41.96]  like our customers are our best sales
[43:44.00]  reps was kind of the same thing that we
[43:45.80]  learned um early on with our reach
[43:48.44]  product like just growing through word
[43:50.32]  of mouth when when customers have
[43:52.20]  success with the product people are
[43:54.00]  going to find out about it and they're
[43:55.60]  going to be happy and you're going to
[43:56.76]  grow that way and those are the
[43:58.32]  customers that are the the easiest to
[44:00.08]  sell they're the customers that stick
[44:01.36]  around the longest so um you know so
[44:04.48]  that was a big thing for us was in our
[44:06.08]  content was just creating and telling
[44:08.32]  those customer stories like you know
[44:11.12]  this customer signed up they saw 15%
[44:13.24]  increase in attendance on average
[44:15.24]  wouldn't you like to have a 15% increase
[44:16.88]  in attendance like we don't have to say
[44:18.36]  it look at them they're going to say it
[44:19.64]  for us so we let our customers you know
[44:22.40]  we basically did like customer content a
[44:25.08]  lot of that case study type content and
[44:27.48]  we distributed that with you know yeah
[44:30.52]  online um but also through webinars like
[44:33.16]  we do tons of webinars with our
[44:34.60]  customers where we bring them on and we
[44:36.56]  let them talk about their experience
[44:38.12]  using us and you know if you have
[44:40.20]  customers that really love your product
[44:41.68]  they'll be willing to do that because
[44:43.80]  you know they uh you know because
[44:46.56]  because they want to help you out yeah I
[44:48.20]  love that most most SAS companies
[44:51.96]  Founders are always thinking about
[44:53.72]  customer acquisition new customers you
[44:56.48]  know new channels whatever one of the
[44:59.44]  other ways that you've been able to grow
[45:03.00]  bonsai was focusing more a lot more on
[45:06.80]  expansion and your existing customer
[45:11.00]  base so you know when we talk about it
[45:13.84]  it seems like a pretty obvious thing to
[45:15.36]  do but you know maybe it's not top of
[45:18.88]  the list when people are thinking about
[45:20.04]  grow grow grow tell us a little bit
[45:21.80]  about what you did there and why you you
[45:25.12]  would prior I that as as being you know
[45:29.00]  an important part of an overall growth
[45:31.20]  strategy I'm thinking
[45:33.24]  about you know we're talking to like
[45:35.32]  early stage Founders who probably aren't
[45:37.76]  thinking about expansion right now they
[45:39.24]  just you know it's probably the you know
[45:42.00]  not not the the thing that they're
[45:44.08]  really focused on but is that something
[45:46.56]  that happens is it's you know when
[45:48.44]  you're at multiple seven figure AR type
[45:51.28]  business you start to be doing that or
[45:53.68]  is that something that you you did
[45:55.28]  fairly early on well we did it very
[45:57.56]  early on I think companies should do it
[45:59.32]  from day one the reason for that is
[46:02.60]  retention is the single most important
[46:06.36]  thing in any business just period right
[46:10.52]  and and the reason for that is you know
[46:12.72]  your retention defines how big you can
[46:15.80]  get as a business so if you take you
[46:19.16]  know if you take
[46:20.68]  basically let's say you can retain 80%
[46:23.72]  of your customers per year right take
[46:26.76]  the amount of Revenue that you're
[46:28.56]  bringing in your new Revenue your
[46:29.88]  bookings every year divide it by one
[46:32.48]  minus your you know
[46:34.72]  80% you know that's the largest your
[46:37.84]  business will ever grow that's like the
[46:39.84]  cap um it it'll be this glass ceiling
[46:42.36]  and if you don't understand that
[46:43.64]  Principle as an entrepreneur then what
[46:45.84]  will happen is your business will grow
[46:47.84]  really really fast in the first year or
[46:49.88]  two and then it will start to slow down
[46:52.40]  and then it will flatten out and then
[46:54.96]  you will be really really frustrated and
[46:56.92]  you'll you you won't be able to figure
[46:58.88]  out why you can't grow past that so
[47:01.40]  you'll try changing your marketing
[47:02.92]  person you'll fire your sales guy you'll
[47:05.60]  you know try you'll do you'll every six
[47:08.36]  months you'll fire your whole team
[47:10.12]  you'll think these people are idiots
[47:11.56]  they're not getting it done they can't
[47:12.76]  grow me to $6 million in Revenue okay
[47:15.52]  why not because you have a fundamental
[47:18.28]  problem right which is you're not you
[47:20.72]  know you're not growing your customer
[47:22.24]  base so a good business the customer
[47:25.00]  base has to GR every year it just has to
[47:28.08]  and uh that's like you know as a as a
[47:31.88]  cuz you know I'm I'm a a Founder
[47:34.48]  obviously but I'm also an investor and I
[47:37.60]  you know in my role here now bonds I
[47:39.40]  mean I'm a capital allocator I'm looking
[47:41.36]  at companies to buy as well and uh
[47:44.56]  that's the number one thing that we look
[47:45.84]  at because our belief is if a company
[47:48.32]  has great retention then there's almost
[47:51.00]  always a great product behind that so
[47:54.20]  you can probably find
[47:56.72]  um a distribution channel that will work
[47:59.08]  if you have great retention but if your
[48:01.36]  retention is screwed up then you've got
[48:04.40]  a product problem and it's just much
[48:06.76]  harder to solve product problems than it
[48:08.48]  is to solve distribution problems you
[48:10.68]  know so yeah rake has been like
[48:13.96]  constantly investing and if you look at
[48:15.40]  the things that we build or ship like we
[48:17.88]  just shipped a new feature called
[48:19.32]  showcase you know about a month ago you
[48:22.36]  look at the stuff that we ship it is all
[48:23.96]  focused on that it is like 100% focused
[48:26.16]  on customer retention and expansion cuz
[48:29.76]  we know that like we're going to just
[48:31.64]  every month we're going to sign up more
[48:33.28]  customers um on our own right and so we
[48:36.80]  want to retain those customers longer so
[48:39.12]  we actually don't necessarily care so
[48:42.84]  much about like the bookings that we
[48:45.60]  sell on day one we care about the ACV
[48:48.44]  but we care about the lifetime value
[48:50.40]  more and we will make tradeoffs like our
[48:53.92]  number one metric as a company is not
[48:55.72]  our growth rate our number one metric as
[48:57.84]  a company is our net retention rate um
[49:00.80]  because we know that if we keep the net
[49:02.24]  retention rate high that growth will
[49:04.76]  just happen automatically you know if if
[49:07.20]  you can get your net retention up to
[49:08.88]  110% you're going to grow 10% every year
[49:11.52]  whether you sell anything or not you
[49:13.68]  know whereas if your net retention is
[49:17.44]  80% then you know you got to spend the
[49:20.20]  first three months of your year just uh
[49:23.72]  just to stay flat and and maybe more
[49:25.96]  than that you know yeah super super
[49:28.20]  important
[49:30.08]  metric and uh when you make that the
[49:33.24]  number one
[49:34.40]  metric that you that you care the most
[49:37.36]  about I think it also changes the
[49:39.36]  behavior of everyone in the organization
[49:41.12]  as well right absolutely yeah it
[49:43.04]  completely changes the incentives right
[49:45.20]  because like every organization I was at
[49:46.84]  before like I would say like aala also
[49:49.96]  we had this the same culture which was
[49:52.92]  customer you know customer customer
[49:54.72]  customer customer uh Andrea Anderson ran
[49:57.40]  our our cam group their customer account
[49:59.40]  management customer marketing and I mean
[50:03.48]  she just hit she just consistently hit
[50:04.96]  the numbers um the woman that that runs
[50:07.24]  it for us Rachel Stanley I mean she just
[50:09.08]  consistently hits these numbers that is
[50:11.16]  the most important discipline you have
[50:12.68]  to have as a company if you can't set
[50:14.92]  and consistently deliver on uh retention
[50:17.52]  and expansion goals like you know we we
[50:20.36]  we have uh you know a a number that
[50:23.08]  works out to essentially a net uh number
[50:25.92]  in bookings and that translates into a
[50:28.28]  percentage but if you don't have
[50:30.60]  discipline around hitting those numbers
[50:32.68]  I mean you're you can do all you want in
[50:35.44]  sales um but you will always be paddling
[50:38.08]  against the current so you know it it is
[50:40.88]  just so much easier to you know I don't
[50:43.84]  know if you ever floated I don't know if
[50:45.24]  you ever floated a river like you know
[50:46.56]  you take a take a keg of beer and you
[50:48.80]  get in an inter tube and you just float
[50:50.28]  down the river that is a lot more fun
[50:52.60]  and a lot more relaxing than trying to
[50:54.68]  get in a canoe and paddle Upstream you
[50:56.84]  know one of those is like a fun day out
[50:59.20]  and the other is you know horrible
[51:01.24]  horrible exercise and uh you know I I
[51:05.12]  think I'm just a believer in making
[51:06.60]  things simple and easy like if you solve
[51:08.92]  that problem the rest of your life gets
[51:10.20]  a lot simpler
[51:11.76]  yeah uh we're going to have to wrap up
[51:14.04]  in a minute we going to the lightning
[51:15.52]  round I think just before we do that I
[51:17.16]  have one more question the near the end
[51:19.64]  of last year you announced that you were
[51:23.16]  the company was going public you also
[51:25.88]  announced that you were acquiring a a
[51:29.04]  company called uh Hy Ros and this was
[51:32.28]  like valued at what like 100 100 million
[51:35.40]  110 million dollar acquisition what
[51:39.20]  happened there well I'll just say like
[51:42.44]  uh without going into any of the you
[51:44.04]  know details you know things that I I I
[51:47.40]  can't talk about but um I I I'll just
[51:50.28]  say you know going public is a very
[51:52.52]  complicated process uh if you ever have
[51:55.08]  some somebody that you really hate
[51:56.24]  encourage them to take a company public
[51:58.28]  I think uh you know the the the
[52:01.04]  regulatory regime the public accounting
[52:03.48]  regime all the stuff that has happened
[52:05.80]  you know over the last uh 20 years in
[52:09.32]  the US has made it really hard and
[52:12.88]  really unattractive for entrepreneurs to
[52:14.84]  take companies public and it's one of
[52:16.12]  the biggest problems that we have in our
[52:18.32]  Capital markets in this country right
[52:19.76]  now is this huge overcorrection that
[52:22.60]  occurred uh in the wake of the doc crash
[52:26.24]  and you know investors survived the Doom
[52:29.36]  crash just fine like public investors
[52:32.28]  they're okay you know they recovered
[52:34.04]  yeah some companies didn't survive it
[52:36.52]  but the investors did just fine but what
[52:38.68]  didn't survive it was the Public's
[52:42.04]  ability to access and invest in
[52:45.12]  companies that are still in a growth
[52:46.44]  phase um all of that value creation you
[52:49.04]  look at companies like apple Cisco you
[52:52.04]  know all the you know oracle all these
[52:53.84]  Microsoft all these huge companies grew
[52:55.60]  more after going public than they did
[52:57.48]  before the majority of their value has
[52:58.88]  been created um in the public markets
[53:01.96]  you know that's not happening today
[53:04.08]  there are you know a thousand plus think
[53:06.32]  the last number I saw something like
[53:07.64]  1,200 plus uh unicorn companies in the
[53:10.76]  US today so this means companies that
[53:12.40]  are at a scale to be public companies um
[53:15.68]  but aren't going public and why aren't
[53:18.16]  they going public in some cases they're
[53:19.48]  going public but they're not going
[53:20.92]  public because they just can't do it
[53:22.64]  it's too hard in some cases it's because
[53:24.32]  it's so on attract active because of all
[53:26.68]  these regulatory issues and the costs
[53:28.32]  and compliance and you know and and uh I
[53:31.36]  think that the current environment is
[53:33.72]  just not conducive to it and I guess the
[53:36.76]  summary is with hyros that you know
[53:39.80]  along the way that uh just events
[53:42.32]  transpired that meant that it was going
[53:44.40]  to be impossible for hyros to you know
[53:47.08]  to be a public company at this time and
[53:50.56]  you know so so ultimately we couldn't
[53:52.28]  buy them for that reason and uh so we
[53:55.52]  ended up having to we end up having to
[53:57.08]  walk away from that deal that was a
[53:58.24]  tough that was a tough deal to walk away
[54:00.04]  from because you know we really you know
[54:01.92]  we you know those uh guys we we we we
[54:05.72]  like them as people um but and obviously
[54:09.20]  we really wanted the deal you know we
[54:11.04]  were willing to pay a lot of money for
[54:12.20]  it but you know there just wasn't going
[54:14.00]  to be a way to get it done with the
[54:15.88]  current kind of current kind of SEC
[54:18.24]  requirements and and public accounting
[54:19.92]  requirements it's just a fascinating
[54:22.16]  story with how you've built this
[54:23.72]  business and you know if we kind of go
[54:25.60]  back we we're talking about going public
[54:28.72]  you know walking away from these types
[54:30.80]  of Acquisitions and it all started not
[54:33.44]  that long ago with a bootstrapped you
[54:37.04]  know couple of guys trying to
[54:39.40]  build some software right so it's uh I'm
[54:43.32]  guessing you never imagined that you'd
[54:46.08]  be
[54:46.84]  here or maybe you
[54:49.32]  did well I certainly think we uh you
[54:51.56]  know I certainly think we aspired
[54:53.40]  aspired to at some level
[54:55.64]  but um one of the hardest things about
[54:58.16]  building any company is imagining how
[55:01.52]  great a business can become over time
[55:04.20]  because things compound and uh
[55:06.48]  compounding doesn't really make sense to
[55:08.72]  the human brain which is very linear uh
[55:12.16]  so it it is hard to think about how much
[55:15.04]  things can change in just a few years I
[55:16.92]  mean three and a half years ago we were
[55:18.88]  sitting uh in a conference room talking
[55:21.36]  about what to do you know because our
[55:24.44]  business was on fire around us because
[55:26.40]  of coid you know now we're obviously in
[55:28.48]  a very different um situation so yeah I
[55:31.88]  think I think it's uh I I think I think
