Title     : 382: Walls.io: Bootstrapping Solo  to Over $10M ARR - with Michael Kamleitner
Video ID  : HiGIzcuUPMI
[28:51.36]  there was enough volume people looking
[28:53.52]  for social media management tools or
[28:56.32]  people searching for so even social
[28:58.36]  media walls which is like lower volume
[29:00.60]  but still there's enough intent there so
[29:02.76]  it was easy to to uh to work with that
[29:06.00]  and make it also work uh with a with
[29:08.36]  enough return on investment because both
[29:11.12]  my companies both our products were at a
[29:14.36]  comparatively high price point so we
[29:16.44]  never never went like a low price
[29:19.64]  strategy so it was relatively easy to
[29:22.28]  recoup uh whatever we paid for clicks or
[29:24.56]  for conversions through our customer
[29:26.88]  lifetime so figuring out paid search was
[29:30.24]  relatively easy although it has to be
[29:32.36]  said it's not getting easier over time
[29:35.04]  so uh everyone I think well maybe it's
[29:38.36]  different in consumer uh in consumer
[29:40.24]  land but in B2B software land I think
[29:42.92]  paid advertising has a clear tendency
[29:45.48]  also to to to to reach a glass seating
[29:48.32]  to saturate also getting more expensive
[29:50.96]  to more competitors you have so it's not
[29:53.04]  all fine and easy which brings me back
[29:55.96]  to my first point that uh organic SEO
[29:58.64]  and reach is basically the Holy Grail
[30:01.08]  that we are all looking for now to the
[30:03.80]  to the social media paid advertising I
[30:05.80]  mean in hindsight it's clear what we
[30:07.88]  made wrong here uh advertising on social
[30:11.00]  media uh doesn't doesn't hook into an
[30:13.52]  existing buyer intent but uh does aim
[30:16.88]  much earlier in the customer journey of
[30:20.12]  your future client your future customer
[30:22.92]  and I think uh while that is uh pretty
[30:26.08]  much obvious what we did understand is
[30:28.08]  that for catching or or touching a
[30:30.56]  customer very early in their Journey
[30:33.44]  like when they even don't know that
[30:35.32]  there is a demand for the problem we are
[30:37.16]  solving uh we need to we need to provide
[30:40.16]  much different and much broader for
[30:42.16]  example content to make such a such a
[30:44.32]  funel work we we just didn't do it uh we
[30:47.40]  we we just uh we sort of understood that
[30:51.48]  there is no intent yet but basically use
[30:53.88]  the same copy the same landing pages the
[30:56.48]  same ebooks
[30:58.04]  uh and addressed with the same material
[31:00.56]  addressed the customer who is much much
[31:02.08]  earlier and doesn't even know about us
[31:03.68]  yet well I guess that was bound to be a
[31:06.68]  failure and we wasted quite some money
[31:09.48]  on uh on that we are still working on it
[31:12.72]  by the way it's not it's not done for us
[31:14.60]  yet of course uh if you broaden up your
[31:17.48]  fundle in this way that usually means
[31:20.44]  you need to invest more uh in creating
[31:22.72]  the the the appropriate content and
[31:25.16]  that's not always easy for for a bootst
[31:27.24]  company but we're getting there and uh
[31:30.12]  uh we also learning still a lot of where
[31:33.68]  we can uh where we ideally can uh reach
[31:36.40]  our our audience LinkedIn is a is a very
[31:40.00]  interesting opportunity that works
[31:42.60]  better than many other platforms so yeah
[31:44.68]  we're learning yeah so I think now that
[31:46.80]  you you you describe it that way it
[31:48.40]  seems pretty obvious but it's a very
[31:51.80]  easy mistake to make and until you
[31:57.72]  get clarity on what stage of the
[32:02.36]  customer Journey the buyer is at and
[32:04.60]  it's very different when somebody is
[32:07.40]  looking for some kind of user generated
[32:10.80]  social media tool on Google and finding
[32:14.60]  you and the intent is to find a tool buy
[32:17.72]  a tool Etc versus somebody disc
[32:21.28]  discovering the ad on Facebook while
[32:25.84]  they were you know checking a feed about
[32:28.40]  what their friends were up to and they
[32:30.28]  may potentially still be a buyer but one
[32:32.72]  there's no intent two they may be so
[32:35.44]  early in the journey that they don't
[32:36.88]  even realize they need to be creating
[32:38.56]  user generated content right so you have
[32:41.00]  a you have a whole different type of you
[32:43.32]  know education kind of process you need
[32:45.52]  to go through before they'll even be
[32:47.60]  thinking about you know looking for a
[32:49.48]  tool like yours absolutely and and it
[32:52.28]  took us a while to to get clear on that
[32:54.28]  or to understand that that whole
[32:56.16]  customer Journey uh like thinking about
[32:58.64]  where where is this social media
[33:00.04]  marketing professional what could what
[33:02.04]  how could we create Demand with them how
[33:04.04]  could we explain our solution educate
[33:05.92]  them on that and also very often that
[33:08.76]  like I mentioned before that that means
[33:10.64]  creating investing more into content I
[33:12.76]  mean a Google search ad is pretty easy
[33:14.72]  to create even like 100 variations of it
[33:17.32]  yeah but for for targeting a customer in
[33:21.04]  this early stage you will probably maybe
[33:23.28]  need something more uh visual something
[33:25.24]  more emotional you might have to into
[33:27.56]  video and stuff like that and yeah that
[33:29.80]  took us a while to to figure out and to
[33:31.92]  allocate the right resources to it to
[33:34.56]  get that going the the other channel
[33:36.88]  which has turned out to be
[33:38.84]  crucial for for helping Drive growth
[33:41.88]  over the last couple of years and and
[33:44.24]  possibly helping you cross that 10
[33:45.84]  million ARR Mark uh has been working
[33:49.40]  with Channel partners and and doing
[33:51.60]  Integrations so you know Integrations
[33:53.92]  can mean a whole bunch of things right
[33:55.72]  and Partnerships so just tell me what
[33:57.68]  what that meant for you and what what
[33:59.76]  was it that you were doing that that
[34:01.72]  finally started working so this is
[34:03.84]  mostly about the second company about wo
[34:06.24]  because we have a really strong Channel
[34:08.48]  partnership program there it actually
[34:10.84]  happened uh in 2020 right in the middle
[34:13.12]  of the of the pandemic back then wall
[34:15.96]  here was still to a large extent used
[34:18.44]  for for events for trade shows uh
[34:21.16]  conferences all of which didn't happen
[34:23.24]  anymore in in March 2020 so uh as a as a
[34:26.56]  solo founder uh that kept me awake for
[34:29.52]  quite a while until we uh luckily
[34:31.92]  understood that our product these social
[34:33.92]  media content hubs were working in a
[34:36.88]  great way also in Virtual events which
[34:39.36]  were then of course uh seeing a lot of
[34:41.48]  traction in the middle of 20120 so our
[34:45.04]  thinking was how can we get the most out
[34:47.24]  of these uh of these industry industry
[34:49.68]  Trends and for us it was clear we need
[34:52.52]  to be we need to bring our social media
[34:55.08]  content hubs into as many virtual event
[34:57.48]  experiences as possible technically that
[35:00.00]  was very easy because our product is
[35:01.96]  basically a standard widget an iframe
[35:03.72]  widget uh which can embedded anywhere so
[35:06.36]  that was easy we didn't have a lot of
[35:08.04]  technical integration to do now it was
[35:10.32]  all about identifying as many potential
[35:12.84]  platforms as possible look at the
[35:14.84]  biggest ones those was the most traction
[35:17.20]  and then setting up a lightweight
[35:19.56]  partnership program integration program
[35:22.24]  that allowed us to integrate our product
[35:24.68]  into theirs and what that really means
[35:27.20]  is we want to be part of their app
[35:29.12]  Marketplace most of these most of these
[35:31.52]  platforms all of which are 10 have 10
[35:35.24]  have a tendency to be larger companies
[35:37.00]  than ours all of them have like an app
[35:39.36]  Marketplace a list of integration
[35:41.28]  Partners we want our logo we want the
[35:43.72]  wallo logo to be included in these app
[35:46.16]  marketplaces so that their customers can
[35:48.32]  easily find us maybe they also have no
[35:50.76]  idea about using social media walls in
[35:52.64]  the virtual events but they will find us
[35:54.64]  in the marketplace can uh can start a
[35:57.36]  free trial and hopefully uh become
[35:59.40]  customers like that so that turned out
[36:01.36]  to be a very successful uh initiative of
[36:04.08]  strategy we later first of all it it it
[36:07.20]  helped us to survive the the pandemic
[36:09.76]  year the first one uh while we saw quite
[36:13.28]  a significant drop in Revenue in the in
[36:15.44]  the first two quarters we were actually
[36:17.68]  able to balance that out in Q3 and Q4
[36:20.92]  largely by our partnership program uh so
[36:24.52]  it was really a good decision to do that
[36:26.36]  and we data branched out and uh uh
[36:29.04]  extended the partnership program to
[36:30.96]  other categories of software platforms
[36:33.28]  event platforms first and we later added
[36:35.60]  digital signage Solutions we are now
[36:38.44]  adding HR and employer branding uh
[36:40.92]  platforms so we are continuing and
[36:43.60]  extending that partnership program now
[36:45.88]  in terms of day-to-day operations I I
[36:48.32]  think you've stepped away from SWAT IO
[36:51.96]  and and are focused on on walls iio now
[36:55.92]  I want to
[36:57.92]  understand like how you think about
[37:01.44]  positioning the two products and
[37:05.28]  differentiating them from competitors
[37:09.20]  now SWAT I owe kind of more of a
[37:12.16]  traditional social media management tool
[37:15.20]  in a super crowded super saturated
[37:19.08]  market so why I want to understand what
[37:22.16]  you do there to to position and
[37:23.92]  differentiate yourself and then the same
[37:26.16]  question with walls like you know the
[37:29.16]  this idea of social walls is there are
[37:32.32]  more and more products around that do
[37:34.48]  that in different ways so again how do
[37:37.44]  you how do you
[37:38.96]  differentiate how do you make it clear
[37:42.80]  in terms of your positioning to your PO
[37:45.16]  you know your your ideal customers that
[37:46.76]  you are the the best choice for them
[37:49.12]  well uh this is a real struggle for both
[37:51.48]  companies ongoing I think for so many
[37:54.00]  for so many sou companies out there
[37:56.12]  let's be honest honest with ourself uh
[37:58.76]  there's hardly any software category or
[38:00.72]  SAS category that is not crowded and
[38:03.20]  oversaturated uh we all know those uh uh
[38:06.24]  SAS landscape logo maps right where you
[38:09.08]  can see hundreds thousands of logos and
[38:12.60]  honestly no customer can differentiate
[38:14.56]  us put the pricing page Pages next to
[38:17.56]  each other it's extremely hard for a
[38:19.80]  customer to decide uh what product is is
[38:22.80]  the right match so uh that that being
[38:25.44]  said uh we we followed we did follow
[38:27.92]  different strategies here for waro we uh
[38:31.08]  made two very clear decisions early on
[38:34.20]  which are to most extent still still
[38:37.12]  valid and in place uh the first the
[38:39.80]  first one was a super sharp focus on uh
[38:43.72]  in markets we were clearly saying hey we
[38:46.52]  want to focus on the German speaking
[38:48.08]  markets we have a great Advantage there
[38:50.32]  we speak the same language we're in the
[38:51.84]  same time zone and we understand their
[38:54.20]  legal and later privacy related uh
[38:57.52]  requirements like gdpr and things like
[38:59.56]  that so we were very focused on th on
[39:01.76]  those on those Market where our frankly
[39:04.92]  bigger and sometimes maybe better
[39:07.72]  product-wise better uh positioned us
[39:10.36]  competitors had a very hard time to uh
[39:13.00]  to compete if we would have focused on
[39:15.52]  me small or medium companies that would
[39:17.76]  have been harder because they don't care
[39:19.56]  so much about gdpr for example so at the
[39:22.40]  same time while we were focusing on
[39:23.68]  German speaking markets we were focusing
[39:25.28]  on Mid larger size companies uh and also
[39:28.64]  larger uh ACB larger larger contract
[39:31.52]  value and that combination allowed us to
[39:34.72]  find our our Niche although it's not
[39:36.96]  such a small Niche and we are still
[39:38.36]  growing uh growing from that market and
[39:40.48]  that turned out to be a successful uh
[39:43.04]  decision however I have to say
[39:45.28]  especially since as you mentioned I I
[39:47.24]  put down my operational duties at squat.
[39:50.44]  iio I'm now in an ownership role which
[39:53.24]  means of course I'm very very tightly
[39:55.12]  working with the management team
[39:56.96]  but what we also see now is that for
[40:00.32]  growing further than we are at right now
[40:02.28]  and we have to think ahead of course we
[40:04.56]  will have to reconsider both of these uh
[40:08.40]  limiting factors both the market shall
[40:11.32]  we ever play Only In the German speaking
[40:13.28]  markets and also shall we only play on
[40:16.20]  the mid to uh Enterprise sized companies
[40:20.24]  uh the latter one we already started to
[40:22.36]  relax by starting to offer a
[40:24.04]  self-service model with swo two years
[40:26.48]  ago and we will see what my management
[40:28.80]  team comes up with in terms of uh in
[40:30.80]  terms of geographies and markets so it
[40:33.12]  was a good decision for a long time but
[40:35.08]  it has to constantly be uh be
[40:38.28]  reconsidered now similar with with wall
[40:41.92]  the market by now is is also pretty uh
[40:44.88]  pretty crowded and again I think the
[40:47.12]  answer is uh positioning and uh trying
[40:50.48]  to explain to your customer to your
[40:52.60]  potential customer why you are so much
[40:54.96]  better than that uh cheap competitor
[40:57.68]  that undercuts your price constantly and
[41:00.92]  uh a lot of that answer is in quality of
[41:03.72]  service how fast is your aggregator
[41:06.64]  working is it working with official apis
[41:09.08]  or are you scraping which is very
[41:10.76]  unstable so product quality really is
[41:13.28]  something that you will in my opinion
[41:15.44]  and I think of myself as a product
[41:17.72]  person always comes first in
[41:19.36]  differentiating like making clear the
[41:21.24]  product value is better investing and
[41:23.28]  double investing into your your product
[41:26.00]  value you uh secondly as I mentioned
[41:28.28]  yeah the pricing and the positioning
[41:30.08]  should make that also clear that you are
[41:31.68]  a high quality solution that you don't
[41:34.16]  want to compare yourself to the $10 per
[41:36.40]  month uh competitor that you're are
[41:39.00]  completely different beast and that's
[41:40.84]  the challenge of course in for marketing
[41:42.76]  and communicating your value not not
[41:44.84]  going to be easy but it's the only way
[41:47.48]  uh it's the only way you will survive if
[41:49.24]  you are in a market where there is very
[41:51.20]  lowc cost competitors or new new entries
[41:54.48]  onto the market I wanted to talk a
[41:56.52]  little bit about your role as a
[42:00.48]  founder and one being a solo
[42:04.96]  founder and
[42:06.76]  two running two companies at the same
[42:11.40]  time when people listening to this
[42:15.24]  interview or listening to you could
[42:18.44]  easily be mistaken for thinking well you
[42:21.92]  know he had it easy he got lucky it
[42:25.60]  worked out for him he's got this you
[42:28.52]  know this this uh these two businesses
[42:31.40]  that have have both you know survived
[42:33.80]  and thrived but there was a time when
[42:37.40]  you realized you know this was a big
[42:39.76]  struggle this was affecting your
[42:41.72]  personal health it wasn't necessarily
[42:44.56]  helping you know the the growth of the
[42:47.44]  companies so give us a picture of that
[42:50.48]  give us a picture of the struggle so
[42:51.76]  people can understand you know the the
[42:54.04]  both sides of of this journey here I
[42:56.32]  want to take the the the opportunity and
[42:58.52]  first uh State something completely
[43:00.96]  clear while I often talk about that I
[43:03.72]  created the product and I came up with
[43:06.16]  this idea and I did that of course it
[43:08.48]  was very often me but uh I wouldn't sit
[43:11.16]  here almost 15 years later with two uh
[43:13.80]  with two profitable sarce businesses if
[43:16.04]  it wasn't for a very very strong team uh
[43:18.28]  that is working behind me not on a
[43:20.16]  co-founder level of course it's
[43:21.56]  different but uh I I have people on both
[43:24.48]  my teams who are working with me for 10
[43:26.76]  years or more and without them it would
[43:29.92]  not be possible so if I can or want to
[43:33.16]  be uh like like remembered I want to be
[43:35.64]  proud of something is that uh at least a
[43:38.40]  few times I really had a good uh a good
[43:40.84]  intuition to pick the the right person
[43:42.84]  the right people for my team so and that
[43:45.16]  being said you are right a lot of and
[43:48.72]  that's going back to my to the quote I
[43:51.24]  initially uh threw threw into the
[43:53.88]  microphone this once your uh once you're
[43:56.52]  lucky twice you're good or or stupid
[44:00.20]  there is of course a certain amount of
[44:02.08]  luck involved I also won't deny that we
[44:04.20]  had a very great timing being right in
[44:06.40]  the right moment uh of
[44:09.00]  uh in the right moment of time focusing
[44:11.56]  on social media that was exactly the
[44:13.64]  right time that is partly luck partly
[44:17.36]  intuition honestly if I would have
[44:19.40]  started 10 years later I would probably
[44:21.84]  have had maybe a similar intuition about
[44:24.68]  uh crypto I might have failed most
[44:26.88]  likely with that intuition so it's not
[44:28.72]  that easy you also uh have to have luck
[44:31.88]  and of course there was all this organic
[44:34.40]  uh development of my two companies I
[44:36.76]  think I hope I was able to explain the
[44:39.00]  history of how we came to swo and bsio
[44:41.68]  that a lot of these things happened uh
[44:44.04]  from a point of uh Nativity and not
[44:46.84]  having like super strong vision and I'm
[44:49.28]  fine with that uh that's I'm not
[44:51.56]  embarrassed by that or anything it was
[44:53.08]  just the way I I evolved personally as
[44:55.68]  an
[44:56.60]  entrepreneur but that being said that's
[44:59.00]  how I ended up in this double CEO role
[45:01.64]  uh nobody in their right mind I guess
[45:03.92]  would do this in a planned way two like
[45:07.00]  you said two companies two times
[45:08.36]  bootstrap two times solo founder that's
[45:10.48]  that is not healthy uh at least for most
[45:12.40]  people I mean maybe if you if you if you
[45:15.16]  think you're IL musk you can do that and
[45:17.00]  run 10 companies as a CEO but I think
[45:19.76]  most uh most human beings should uh
[45:22.60]  focus on one thing uh but it is what it
[45:25.24]  is I had what that's that's what I woke
[45:27.44]  up with and you're right it took it took
[45:30.04]  a tall it took many years of of of being
[45:34.20]  focused only on work and having no no
[45:36.68]  balance at all with private life and
[45:39.00]  that certainly wasn't healthy wasn't
[45:41.40]  healthy all the time luckily it get
[45:43.20]  never got to a point where where I
[45:45.64]  really had to like I don't know uh pull
[45:47.48]  the emergency switch or whatever but uh
[45:50.44]  I might have been close to that more
[45:52.40]  importantly I just realized uh how I'm
[45:55.28]  like uh
[45:56.48]  making my own life harder by this
[45:58.24]  constantly switching back and forth like
[46:01.56]  I mean there is no multitasking really
[46:03.64]  you just switch from one task to the
[46:05.40]  other and some people do it faster than
[46:07.20]  others but you always lose time with
[46:09.72]  context switching and I had that 10 10
[46:12.60]  hours a day at least U switching between
[46:15.24]  swo and Wario so at one point luckily I
[46:18.28]  realized this is not ideal not for me
[46:20.60]  personally but more importantly it's not
[46:23.32]  ideal for the companies for both
[46:25.04]  companies because because we had two
[46:26.76]  growing products both had a lot of
[46:28.80]  potential and I'm very sure that uh by
[46:32.20]  remaining in that single or double coo
[46:34.36]  role uh that cost us time or potential
[46:37.24]  uh which we would have achieved faster
[46:40.00]  if I would have made the step back from
[46:42.24]  one of the companies earlier I'm not
[46:44.44]  complaining uh it I think in a way it
[46:47.04]  was necessary like I said for my
[46:49.00]  personal trajectory as a Founder uh it
[46:52.20]  all has probably some some some meaning
[46:54.32]  in the end but uh it might have been
[46:56.76]  better to to make such decisions to step
[46:59.20]  down from one earlier all right um we
[47:02.36]  should wrap up let's get on to the
[47:05.76]  lightning round I'm going to ask you
[47:07.36]  seven quick fire questions what's one of
[47:09.88]  the best pieces of business advice
[47:12.20]  you've received so uh I think I think
[47:15.36]  it's about networking and and and what I
[47:18.00]  believe networking really should be um
[47:20.68]  it's not that you're connecting sending
[47:22.52]  someone a LinkedIn connection request
[47:24.24]  and once they have accepted start
[47:26.24]  selling to them uh for me networking
[47:28.60]  really means investing a lot in onetoone
[47:32.60]  relationships and that usually means you
[47:35.40]  offer your help you give a lot of things
[47:37.88]  uh you you pay forward until you finally
[47:40.24]  maybe uh ask for a favor in return
[47:43.64]  that's that's so so trivial and obvious
[47:46.00]  but yet so many people think networking
[47:48.28]  is sending out as many LinkedIn request
[47:50.44]  as possible I also am a believer in
[47:52.68]  duners number which I think says you can
[47:54.96]  only have meaning full relationships
[47:57.08]  with about 150 people and I think even
[48:00.24]  that number might be too high so uh I
[48:02.68]  think uh having like a small but
[48:05.00]  meaningful Network goes a long way what
[48:07.72]  book would you recommend to our audience
[48:09.04]  and why it's an older book I think the
[48:11.20]  first edition is 10 plus years ago but
[48:13.12]  they had a a reprint or rewise Edition
[48:16.48]  lately it's called in search of
[48:18.48]  stupidity 40 Years of high-tech
[48:20.84]  marketing failures by meril Chapman and
[48:24.48]  it's basically it does what it promises
[48:26.68]  on the cover it's super fun stories
[48:28.56]  especially for people who have been in
[48:30.04]  the industry for more than five or 10
[48:32.52]  years who will uh uh revisit a lot of
[48:35.40]  fun marketing failures from the days of
[48:37.68]  IBM to Microsoft up to HubSpot it's
[48:40.16]  really a fun read and very much
[48:42.00]  recommended that's super interesting I'm
[48:44.16]  definitely going to read that book um
[48:46.48]  what's one attribute or characteristic
[48:48.92]  in your mind of a successful founder I
[48:51.32]  would say it's openness and eagerness to
[48:53.12]  learn uh and to learn from everyone in
[48:55.32]  your organization whether it's your
[48:57.28]  co-founder or whether it's a customer
[48:59.24]  support agent being on eye level and
[49:01.16]  being open to learn from everyone what's
[49:03.08]  your favorite personal productivity tool
[49:05.00]  or habit I would say it's doing a
[49:07.48]  personal time audit and I'm sure for
[49:10.04]  those who are not familiar the concept
[49:11.76]  is that for at least a month you make a
[49:14.32]  very very uh detailed log of every task
[49:17.28]  of every of every task you do with the
[49:19.24]  goal of having a really good
[49:21.64]  understanding what am I actually
[49:23.40]  spending time on and you can do this
[49:25.60]  with a Google sheet I'm doing it with a
[49:27.20]  software tool called time time UL
[49:31.04]  L um um whatever you do it's very
[49:33.84]  insightful and I'm kind of addicted to
[49:36.12]  it by now and and I keep doing these
[49:37.84]  time audits to optimize and to be aware
[49:40.08]  of my time being spent I've been
[49:42.72]  thinking about doing that as well but
[49:44.20]  I'm uh I'm afraid what I might learn
[49:46.52]  from that
[49:47.48]  experience that's a very good point and
[49:49.68]  it is very revealing and it can be scary
[49:52.16]  and it can hurt but I think that's the
[49:54.00]  point of it yeah what's a new or crazy
[49:56.60]  business idea you'd love to pursue if
[49:58.60]  you had the extra time and wanted to
[50:00.16]  build a third business in parallel uh
[50:03.16]  okay first of all I go on the record
[50:05.00]  here uh I'm not going to found a third
[50:07.44]  SAS company in parallel I'm I swear to
[50:09.92]  God I'm not going to do that I can also
[50:12.12]  go on a record if I ever found another
[50:14.20]  company it will not be in the social
[50:15.80]  media space but uh that's a different
[50:17.76]  story so I don't have any crazy business
[50:20.40]  idea per se but what I really would love
[50:22.72]  to do is to do something in the physical
[50:25.24]  world like in-person events for example
[50:27.84]  I'm super huge on on on community on
[50:31.00]  getting together sharing uh so something
[50:33.96]  like like a conference or a Meetup it
[50:36.20]  doesn't have to be a business per se but
[50:38.00]  that is something I would be very
[50:39.32]  interested in doing and who knows maybe
[50:41.84]  uh I have some ideas maybe there is
[50:43.24]  something happening in
[50:44.60]  2024 right what's an interesting all fun
[50:47.40]  fact about you that most people don't
[50:48.80]  know um okay those who are working with
[50:51.20]  me they know it by now but uh but
[50:53.40]  everyone else probably not I'm uh I'm a
[50:56.00]  huge I'm a huge fan of the country of
[50:58.60]  Greece actually I been in Greece every
[51:01.20]  year for the for my whole life starting
[51:03.80]  from age age one and I also yeah yeah so
[51:07.48]  I like my parents brought me there and
[51:09.68]  and I have been there every year
[51:11.24]  sometimes more than once a year so
[51:12.96]  obviously I love the country and yeah
[51:15.32]  that's that's a fun fact that some
[51:17.12]  people know but not everyone and finally
[51:19.52]  what's one of your most important
[51:20.48]  passions outside of your work yeah uh I
[51:23.56]  would say I would say my friends my
[51:25.56]  family my friends that's that's the only
[51:27.64]  that's the only thing that is as
[51:29.20]  important as work and where I spend as
[51:30.92]  much time for and with yeah I totally
[51:33.64]  agree okay great well Michael thank you
[51:35.60]  so much for for joining me and and
[51:37.48]  unpacking the the story of the last 10
[51:41.40]  or 15 years in in a relatively short
[51:44.08]  amount of time appreciate that if people
[51:46.40]  want to check out the two products they
[51:50.08]  can go to
[51:52.24]  walls.io or
[51:54.36]  swat.
[51:56.00]  and if folks want to get in touch with
[51:57.40]  you what's the best way for them to do
[51:59.16]  that easiest of course is look my name
[52:01.72]  up on on LinkedIn if you prefer email
[52:04.84]  that's Michael
[52:06.68]  walls.io please don't hesitate to get in
[52:08.88]  touch if you if you want to share
[52:10.80]  something or maybe even if you need some
[52:12.88]  help somewhere please please let me know
[52:14.92]  thank you so much it's been a pleasure
[52:16.60]  uh I'm glad we got to to do this and I
[52:19.52]  wish you and the team the the best of
[52:21.48]  success and uh a successful New Year as
[52:25.44]  approach it thanks a lot om it's uh it's
[52:28.04]  been a it's been a pleasure it's been
[52:29.32]  fun and it's been an honor to be on your
[52:30.88]  show my pleasure too
[52:38.96]  cheers
