Title     : Failure
[26:02.76]  invitation to get involved somehow and
[26:05.48]  then late in that year I uh went to
[26:10.04]  lunch one more time and Meg explained
[26:13.36]  that they brought on someone to lead
[26:15.40]  technology and they brought another
[26:16.84]  person to lead product and both of them
[26:20.36]  for really truly for reasons that are
[26:21.88]  completely disconnected from from quby
[26:23.84]  itself both of them had left after about
[26:26.84]  six weeks
[26:29.64]  and Meg's like we've raised all this
[26:32.36]  money and we've told the world that
[26:34.28]  we're shipping this product in about a
[26:35.64]  year we got an awful lot to do and I
[26:38.40]  really could use some help and I would
[26:40.16]  like consider it a personal favor if you
[26:41.84]  would to come and spend just a couple
[26:43.28]  days a week helping you know she's like
[26:46.24]  I'll continue to look for someone who
[26:47.60]  actually wants the job but it would
[26:48.96]  really be it' be you know great if you
[26:50.60]  could help me get this off the ground
[26:53.12]  and um my wife is a freelance writer
[26:57.60]  marketing strategist and loves her life
[27:00.80]  as a freelance contributor and she's
[27:03.12]  like you should do this like why not
[27:05.24]  it's two days a week it's just a few
[27:07.04]  months what's the worst thing that could
[27:08.84]  happen like maybe maybe you'll like it
[27:11.32]  and and I'm like no no the wor here's
[27:13.16]  the thing that will happen like I won't
[27:14.56]  do it two days a week it will like
[27:15.72]  immediately be three days then four days
[27:17.88]  then five days then six days like I just
[27:19.40]  know myself and she's like no she's like
[27:22.08]  you know just on Wednesday night at 6 o'
[27:26.16]  close your quby laptop and be like all
[27:29.12]  they're paying me for is for Tuesday and
[27:30.72]  Wednesday and then open it back up on
[27:32.28]  Tuesday morning like that's all you've
[27:33.76]  got to do well you know she's right
[27:36.96]  about most things and she's wrong about
[27:38.28]  this I fell you know deeply into it
[27:41.28]  right away and it was just so fun to get
[27:45.56]  to build a team from scratch and to
[27:48.16]  design and build a product from scratch
[27:51.40]  and to take advantage of all of the sort
[27:53.40]  of modern software architecture stuff
[27:55.28]  that had come into being over the course
[27:57.64]  of the 15 years since we had started
[28:00.84]  Pandora and you know I'm I'm I'm I'm
[28:06.40]  embarrassed about about some of of what
[28:09.08]  happened with quibby for
[28:11.00]  sure but I'm super grateful for the
[28:15.20]  experience because I just really fell in
[28:16.80]  love with the industry again and was
[28:18.72]  reminded of just how rewarding it can be
[28:21.16]  to to build something and and to try to
[28:23.40]  put it out there even if even if you you
[28:25.60]  stumble pretty mightily along way is
[28:28.88]  there something that you took away from
[28:30.16]  that experience that taught you what to
[28:32.60]  try to avoid what to try to pull towards
[28:36.32]  I think I sort
[28:37.64]  of misunderstood or misjudged companies
[28:42.68]  sometimes by thinking about them like
[28:46.08]  really focused on the on the the product
[28:48.56]  execution you know kind of if you find
[28:51.24]  an interesting problem that people you
[28:53.80]  know people care about and you you solve
[28:56.60]  that problem in a really beautiful
[28:57.88]  elegant delightful way that's 10 times
[29:00.96]  better than than anything else that they
[29:02.60]  can get in that same space they'll tell
[29:05.16]  their friends and like all the rest of
[29:06.36]  sort of take care of itself so that was
[29:08.68]  always my ambition find a thing that I
[29:10.04]  cared about building do a great job
[29:12.40]  building it really delightful way go
[29:15.08]  really deep on listening to people and
[29:16.60]  their feedback and iterate your way to
[29:18.72]  success and sort of breaking through
[29:20.60]  that membrane that we all strive to get
[29:23.44]  across the you know kind of really great
[29:25.68]  Word of Mouth but I think the thing i'
[29:28.20]  I've come to better appreciate is
[29:32.16]  that companies are also kind of like a
[29:34.68]  they're kind of a math problem that
[29:36.32]  describes how you take you know
[29:38.72]  investment and pour them into the
[29:41.00]  equation and out the other side comes
[29:43.96]  Returns on some time
[29:45.64]  Horizon and
[29:48.28]  yes there are variables in that equation
[29:50.56]  that are influenced by the the product
[29:52.92]  that you build and all of the little
[29:54.20]  details and decisions that you make
[29:55.64]  about making that product great great
[29:58.40]  but if the equation is fundamentally
[30:01.12]  broken or a big swing in and of itself
[30:04.36]  no amount of like iteration and
[30:06.04]  execution can like kind
[30:08.36]  of get you out of the the failed outputs
[30:11.92]  of the broken equation and I
[30:15.12]  think you
[30:16.84]  know quibby made a bet that you could
[30:22.00]  build an entirely bespoke Content
[30:25.24]  Library that was sufficiently scaled to
[30:28.76]  get people to subscribe and
[30:33.16]  retain for a couple billion dollars I
[30:35.56]  mean was a huge amount of
[30:37.80]  money but you know we made we made 70
[30:41.76]  shows in 18 months which is like more
[30:46.04]  content than all of the major broadcast
[30:48.04]  networks combined made in a single year
[30:50.52]  so it's a pretty major
[30:52.40]  accomplishment and we made a bet that we
[30:54.76]  would augment those sort of episodic and
[30:58.00]  serialized for Hollywood style shows
[31:01.00]  with a bunch of daily content that we
[31:03.76]  produce at the level of like Network
[31:06.40]  television Nightly News and so forth
[31:09.20]  that would be an alternative to some of
[31:10.64]  the sort of daily content that you might
[31:11.96]  otherwise get on
[31:14.08]  YouTube and that was going to be about a
[31:16.56]  third of the content spend one like
[31:19.48]  super interesting thing that no one
[31:20.56]  talks about is that all of that content
[31:24.48]  was designed to be made like day of or
[31:26.52]  day before it aired so there was no back
[31:29.48]  catalog of it and it was all designed to
[31:32.28]  be shot in these professional Studios
[31:35.08]  that we built
[31:36.16]  out and it was really expensive like I
[31:38.32]  said it was like a third of the of the
[31:40.24]  investment we were going to make in
[31:41.24]  content maybe half almost half the
[31:42.56]  investment we making content and we
[31:44.92]  launched two weeks into covid and we
[31:46.68]  couldn't make any of that content except
[31:48.76]  literally in the garages of the host
[31:52.24]  homes and so we had this thing that was
[31:54.56]  supposed to seem like really set apart
[31:56.84]  from from YouTube that literally now was
[32:00.72]  being made exactly like YouTube content
[32:03.40]  which is sort of like self-produced at
[32:05.08]  home with you know very little sort of
[32:08.32]  of the support infrastructure of
[32:09.88]  Hollywood now you can argue I mean I
[32:11.92]  think the content on YouTube is really
[32:14.48]  really exceptional in this category and
[32:17.04]  maybe we were never going to do better
[32:18.84]  than that but I think what was really
[32:21.16]  fundamentally broke with pby was that
[32:23.96]  the actual foundational equation of can
[32:26.48]  you make enough premium content that's
[32:28.64]  totally bespoke and made for the service
[32:30.60]  and takes advantage of the nature of the
[32:32.76]  phone it is that enough content to get
[32:36.04]  people to sign up and
[32:38.68]  retain and can you do that for a couple
[32:40.68]  billion dollars and I think the answer
[32:42.52]  is no the library has to be much much
[32:45.12]  bigger and you have to have like any
[32:48.56]  company you have to have sufficient time
[32:50.32]  and energy to iterate on the content
[32:52.72]  format itself because we really our road
[32:55.16]  map really wanted to innovate on the
[32:56.80]  cont content
[32:58.72]  format and so I think part of what
[33:00.96]  happened is pretty quickly it became
[33:03.24]  clear that the math was just wrong it
[33:05.44]  wasn't going to take two billion it was
[33:06.96]  going to take six or eight or 10 billion
[33:10.72]  and the risk reward profile of betting
[33:14.68]  10 billion on the format was just more
[33:17.56]  than than anyone can stomach next up
[33:20.44]  we've got sh bachu former head of growth
[33:22.96]  at ramp who shares something that I've
[33:24.96]  thought about ever since we had this
[33:26.44]  conversation which is this idea that
[33:28.64]  when you fail make sure you fail
[33:30.88]  conclusively to make this failure an
[33:32.80]  actual learning that you can build off
[33:34.24]  of versus just a waste of time here's
[33:37.28]  Shri growth uh experiments in my history
[33:41.00]  uh are typically like 30% is success
[33:44.16]  rate so the vast majority of things that
[33:45.52]  you try don't work and so you want to
[33:47.88]  create a culture where people aren't
[33:49.08]  afraid to take risk and and aren't
[33:51.20]  afraid to fail and for me failure is not
[33:55.20]  that you didn't drive Revenue failure is
[33:57.60]  not learning like so it's really
[33:59.44]  important that you learn when you fail
[34:01.76]  uh and uh and so we we celebrate failure
[34:04.56]  as long as you're learning and and you
[34:06.36]  can only learn if you've designed the
[34:08.56]  right test and you failed conclusively
[34:11.08]  because otherwise I think many of us
[34:12.44]  have been in situations where there's
[34:14.76]  intuition that something might work and
[34:16.76]  it doesn't work and then you end up
[34:18.24]  doing it over and over for years like
[34:20.40]  because every time a new executive or
[34:21.80]  somebody else has the same idea you try
[34:23.88]  it again and uh and it's because you
[34:26.60]  haven't been able to design the the test
[34:29.00]  to to fail conclusively and it's it's
[34:32.40]  hard to do but at the end of the day
[34:33.56]  there's only two two ways to you know
[34:35.96]  make a an experiment successful uh
[34:39.16]  either you have a very large n uh or you
[34:43.40]  have a very significant treatment which
[34:45.32]  is like you know what you're doing in
[34:47.04]  the experiment itself and you know in
[34:49.44]  B2B you don't usually have the luxury of
[34:52.08]  large end which you do in consumer you
[34:54.16]  know Facebook can get stats say in two
[34:56.04]  hours uh uh you know a B2B company could
[34:58.68]  take two years to to get to the same
[35:00.60]  number of you know touch points and uh
[35:03.16]  and so to counteract that I I recommend
[35:05.84]  people like just trying to maximize the
[35:09.12]  treatment effect which is like if you
[35:10.76]  have a hypothesis that you're testing
[35:12.64]  just throw all of the possible tactics
[35:15.68]  and resources that you think would move
[35:18.08]  that needle because you can always cost
[35:19.88]  rationalize later if it works right uh
[35:22.52]  and so just maximize the treatment
[35:24.64]  effect and if with all of that it didn't
[35:26.96]  work then you can say hey like we're not
[35:29.48]  going to try this again uh because we
[35:31.08]  literally did try everything that we
[35:33.08]  could to test this hypothesis and if it
[35:35.40]  doesn't work in the best version and
[35:36.88]  it's expensive as it is this is not
[35:38.88]  worth spending more time on uh but if it
[35:41.12]  does work great then you you know do
[35:42.84]  another version of the test with like
[35:44.24]  half the tactics or whichever tactics
[35:45.68]  you think work better or worse uh and
[35:47.72]  you optimize over time is there an
[35:49.80]  example you could share when you did
[35:51.28]  that I mean account based marketing is
[35:54.12]  something that is very common in uh in
[35:56.40]  Enterprise
[35:57.56]  uh software right where you've selected
[36:00.40]  uh you know uh certain customers that
[36:02.68]  you think are high priority and you
[36:04.24]  you're saying I want to touch them in as
[36:08.28]  many you know nuanced ways possible uh
[36:11.36]  to see if that drives conversion and
[36:14.20]  this is something you know I've seen
[36:16.12]  tried many times where people do it but
[36:18.88]  they kind of you know uh do it halfway
[36:21.88]  where they're like okay tried these
[36:23.64]  three things conversion of the control
[36:25.60]  group like wasn't Tire uh and so we're
[36:29.96]  you know we think it's this not going to
[36:32.16]  work and then a new go to market
[36:35.00]  executive comes and they have to do it
[36:36.56]  again they have to do it again they have
[36:37.60]  to do it again it's like a very common
[36:38.84]  one wherever this happens and uh and so
[36:41.44]  when we did it at ramp uh we we did
[36:44.88]  exactly you know what I just described
[36:46.72]  which is like let's really be thoughtful
[36:49.80]  about the experiment design both in
[36:51.64]  terms of like maximizing the number of
[36:53.76]  people as well as you know maximizing
[36:56.24]  the number of ways and types of ways
[36:58.48]  that we're effectively uh touching these
[37:00.40]  Target customers to to show the value
[37:02.64]  one way or the other so what it sounds
[37:04.48]  like is the hypothesis isn't like this
[37:07.28]  email will have a big impact on
[37:09.96]  conversion it's like this strategy of
[37:12.48]  coming after customers is what we're
[37:15.08]  testing that's the example there right
[37:17.48]  like and I think like if you for example
[37:20.16]  if you had the it's a this kind of
[37:24.00]  framework is more important for cross
[37:26.64]  functional larger scale bigger test uh
[37:29.04]  rather than like you know an email
[37:30.60]  modification right but we could even use
[37:32.80]  it on a micro example like an email
[37:34.84]  modification right where you are like
[37:37.84]  okay I think this particular email is
[37:41.60]  underperforming because it's not talking
[37:44.24]  to this part of the customer's paino or
[37:46.28]  Journey or what have you and uh and you
[37:48.96]  could just the simplest test would be
[37:50.92]  okay let me make some tweaks and to the
[37:53.28]  text and edit that and that could be the
[37:55.68]  end of that test and if that doesn't
[37:57.80]  work you're like oh maybe those weren't
[37:59.04]  the right text edits let me do different
[38:00.68]  text edits or whatever and that's fine
[38:02.56]  that's low cost it's not the end of the
[38:03.88]  world and it's uh for you to be wrong
[38:05.84]  there but an alternative that you could
[38:08.12]  do is like oh what are all of the things
[38:10.72]  that I could change about this email uh
[38:12.92]  in the same test is it the trigger of
[38:15.12]  the email is it the text content of the
[38:17.32]  email is it uh you know additional
[38:20.08]  personalization is it the design of the
[38:22.12]  email like trying to think of like what
[38:23.36]  are all of the various levers that uh
[38:26.60]  you think could be wrong and put them
[38:28.68]  all together test your hypothesis of
[38:31.28]  this touch point is wrong uh and how do
[38:33.44]  I improve that well obviously the
[38:35.48]  downside of that is you don't if it
[38:36.96]  doesn't work you don't know if it's like
[38:38.24]  oh maybe it was this thing could have
[38:39.52]  worked in the subject yeah so there
[38:41.20]  there's always trade-offs on this and so
[38:43.44]  but what you're hoping is like you've
[38:44.92]  done a a complete refresh where you did
[38:47.76]  all the things that you thought were
[38:48.88]  intuitive that should work and if it
[38:50.68]  doesn't work then you're like okay maybe
[38:52.64]  my hypothesis is wrong but you're right
[38:54.36]  there's always going to be a challenge
[38:55.68]  if maybe the exec ution is wrong uh and
[38:57.92]  I did too many things potentially in
[38:59.84]  that case our next story is from JayZ
[39:02.96]  who is a colleague of mine it beam B had
[39:05.24]  a product at webflow when we recorded
[39:06.96]  this episode and this is her sharing the
[39:09.24]  story of one of the biggest product
[39:11.28]  misses at airbeam B you've seen a lot of
[39:14.92]  new PMs and you've seen these PMS
[39:17.72]  succeed you've seen some fail what are
[39:20.08]  the most common mistakes that you find
[39:21.60]  newms make in this experience of kind of
[39:24.32]  helping newms get into the field I think
[39:26.96]  something that is really hard to untrain
[39:29.36]  but I think every human does it is you
[39:31.12]  jump to Solutions and so one of the
[39:33.20]  biggest things I see not just in my
[39:34.80]  course but also just as a PM and like
[39:37.04]  some of the mistakes that you make as a
[39:38.24]  PM is the idea of get really attached to
[39:41.12]  a solution a way of implementing
[39:42.88]  something something that you you can see
[39:44.72]  in your head that you want to build and
[39:46.24]  so that's the first thing I really want
[39:47.48]  to like unte in in our course and so a
[39:50.72]  lot of people will literally come in
[39:52.08]  they'll be like I want to build X
[39:53.24]  startup or I want to do you know this
[39:55.08]  thing or I I'm in blank school and I've
[39:57.56]  been doing a lot of research on this
[39:58.84]  particular area and so like untraining
[40:00.72]  that and being like Hey we're going to
[40:02.08]  go out there we are not going to think
[40:04.12]  at all about the thing that you want to
[40:05.76]  build but instead we're going to be
[40:07.04]  focused on users and PE like people in
[40:10.24]  the real world and their problems and
[40:11.84]  the first step is to understand their
[40:13.28]  problems and then to understand if
[40:14.52]  there's an opportunity here as opposed
[40:16.56]  to hey you want to build X thing for y
[40:18.84]  person so that's the biggest mistake
[40:20.96]  that you really have to unte and like
[40:23.48]  retrain thinking around so let's kind of
[40:26.08]  go to the the other side of this
[40:27.16]  question we talked about what mistakes
[40:29.40]  news make I'm curious what's the biggest
[40:32.32]  product mistake that you've made wow
[40:34.80]  that's a good one it's so interesting I
[40:36.04]  feel like as product people we're always
[40:37.72]  making mistakes we're always learning
[40:39.52]  maybe I'll give an example from Airbnb
[40:41.60]  since you and I were book there and and
[40:43.64]  this one does stand out to me so you
[40:45.76]  know we're working on this concept
[40:47.08]  called ainv plus you know if you took a
[40:49.88]  step back where we really trying to do
[40:50.96]  is to be like hey not everyone trusts
[40:53.16]  Airbnb in terms of you know it's it's a
[40:55.48]  platform it's not like it's managed
[40:57.12]  inventory it's not a hotel how do you go
[40:59.08]  in and really make sure that we're like
[41:01.04]  all the airbnbs are meet in the quality
[41:02.64]  bar but I do think we were very solution
[41:05.04]  first and I think we're also competitor
[41:07.68]  afraid at the time right so it was
[41:09.48]  during a time where there were managed
[41:10.60]  marketplaces there were the the Saunders
[41:12.68]  out there and I think that as a as a
[41:14.16]  company we're very much like oh good
[41:15.96]  this like what what are we going to do
[41:17.84]  in the world of managed marketplaces and
[41:19.56]  so we went really hard down the solution
[41:21.64]  space we essentially were like let's go
[41:23.44]  inspect our inventory let's actually try
[41:26.32]  to manage our inventory more and really
[41:28.48]  what we sort have done is taken a step
[41:29.64]  back and be like what's the real problem
[41:31.28]  the real problem is people want to know
[41:33.00]  what they're getting themselves into we
[41:35.20]  need to represent the homes a lot better
[41:37.44]  and I think the other piece here that's
[41:38.72]  really important is what as a company is
[41:41.64]  your strategic strength and like what's
[41:44.00]  in your wheelhouse so for example Airbnb
[41:46.64]  we weren't that strong in operations we
[41:48.88]  again we're this platform with this
[41:50.20]  marketplace right and so if you don't
[41:51.40]  have that muscle and then you're asking
[41:53.56]  the company the teams to essentially
[41:55.24]  build it from the ground up that's
[41:56.80]  really really difficult not to mention
[41:58.36]  the unit economics is are the unit
[42:00.08]  economics actually going to work even as
[42:01.88]  you scale yeah I feel like arbb plus is
[42:04.84]  an untold story that somebody should
[42:06.92]  tell and that could be its own podcast I
[42:09.00]  guess you and I can tell it we could
[42:10.92]  tell this could bebb plus the hidden the
[42:13.36]  story as you said the problem it was
[42:15.44]  trying to solve was people don't really
[42:17.40]  trust they don't really even consider
[42:19.00]  itbb because it's like no I don't want
[42:20.44]  to stay in someone's home I don't know
[42:21.60]  what it'll be it's unpredictable and so
[42:24.52]  as an outsider felt like a really clever
[42:26.56]  approach we're going to vet them we're
[42:28.56]  going to make sure they're awesome
[42:29.60]  there's a minimum bar I think the and I
[42:32.72]  guess this is the question is do you
[42:34.52]  think it was just like this is never
[42:36.16]  possible because they we'll never make
[42:38.16]  money as a business doing this because
[42:39.60]  we don't make that much per booking and
[42:42.00]  investing time resources sending people
[42:44.60]  pillows all that stuff is ever going to
[42:47.52]  be economical or do you think there was
[42:48.80]  a path and was just not executed well I
[42:51.60]  think there wasn't really a clear path I
[42:53.84]  think it was less exactly and it more
[42:56.36]  just like if you understood again this
[42:58.52]  is what my point around unit economics
[43:00.48]  there are things where I think you have
[43:01.56]  like magical thinking around unit
[43:02.76]  economics you're like well when we get
[43:04.28]  to the scale of X it's all going to work
[43:06.64]  out we can make these things happen I
[43:08.52]  think you actually need to really make
[43:10.00]  sure the unit Economics work quite at
[43:11.72]  the beginning so that is definitely one
[43:13.60]  lesson and I think the other thing is
[43:15.68]  and going back to Spirit of what are you
[43:16.88]  trying to achieve if if you're trying to
[43:18.20]  achieve this idea of like really knowing
[43:20.20]  the quality of the place and and for a
[43:23.04]  platform like Airbnb the right way to go
[43:24.72]  about doing is through a review
[43:26.72]  right through our guest reviews which
[43:28.52]  are essentially free as opposed to
[43:30.76]  literally sending out inspectors and I
[43:32.64]  think that the other things are if you
[43:34.12]  can get signal on what are the things
[43:35.96]  around on quality that people care about
[43:38.08]  is it cleaner cleaning is it is it the
[43:41.08]  hey I'm I'm locked out and I think that
[43:43.00]  there are other Solutions besides
[43:44.96]  inspection that then get at that so for
[43:47.08]  example it is actually cheaper to go
[43:49.40]  send everyone a lockbox than to deploy
[43:52.60]  an inspector and go look at your
[43:54.52]  property right it is actually cheaper to
[43:57.44]  maybe do a partnership with like a you
[43:59.20]  know a bunch of cleaners in different
[44:00.32]  local areas and then get that as part of
[44:02.16]  the feat like as opposed to doing the
[44:03.92]  inspection so again it's really about
[44:05.48]  what are you really trying to achieve
[44:06.76]  what is the user problem in each of
[44:08.08]  these areas and can you target that
[44:10.28]  problem with the particular listing that
[44:12.16]  is you know that you're looking at and
[44:14.20]  so yeah I I personally don't believe the
[44:15.68]  unit economics ever would have really
[44:17.68]  worked out I think we should have known
[44:19.00]  that or we should have uh dug into that
[44:21.24]  more at the very beginning and then to
[44:22.88]  get very tailored instead of like one
[44:24.72]  blunt instrument to solve it all hey
[44:26.80]  we're going to go inspect it's like what
[44:28.68]  is the problem for this listing and
[44:30.32]  what's the best solution to fix that
[44:31.80]  problem our second to last story is from
[44:34.52]  Gina Godel who is an early growth leader
[44:36.80]  at dualingo she's currently COO of
[44:39.28]  latitude and this is her sharing a wide
[44:42.00]  ranging and important point about how
[44:44.32]  everyone has both an aside and a B-side
[44:47.16]  to their career and people often only
[44:48.88]  share their aside so this is Gina
[44:51.44]  sharing her bside we are very encouraged
[44:54.56]  in our lives ESP especially
[44:56.28]  professionally to talk about our as
[44:57.76]  sides all the time because that's what
[45:00.08]  impresses people that that's what opens
[45:02.28]  doors that's what allows us to keep
[45:04.44]  growing and it's so important so it
[45:06.36]  means that a lot of what you hear in
[45:08.20]  podcasts and on on stage ends up being
[45:10.56]  the instagramable version of someone or
[45:12.92]  a company or a country's trajectory it's
[45:16.24]  just the highlights you know and when I
[45:18.40]  talk about my aside it's very impressive
[45:20.28]  you know I did things like we'll talk
[45:21.52]  about I met President Obama I worked on
[45:23.36]  the Mike Bloomberg presid Mike Bloomberg
[45:25.16]  presidential campaign I helped dualingo
[45:26.92]  scale from 3 to 200 million users I
[45:28.84]  worked with Tumblr helping them scale
[45:30.24]  Latin America andreon Horowitz invested
[45:32.88]  in my company Etc but between all of
[45:35.96]  those highlights there were so many B
[45:37.84]  moments that get sort of like shoved
[45:39.72]  under the rug because it's just easier
[45:41.92]  for me and it's more impressive for
[45:43.40]  others but I really like to highlight
[45:45.60]  those because I think that most of us
[45:47.92]  have a lot of be moments every day every
[45:50.32]  week every month and every period of our
[45:52.04]  lives and it's easy to think that things
[45:53.92]  AR just not going to work out for us
[45:55.32]  because we're in one of those be moments
[45:56.72]  if we don't recognize them as moments I
[45:59.36]  love this concept we're going to talk as
[46:01.52]  you expected about a lot of your aside
[46:03.44]  stuff is there any example of a bside
[46:07.16]  story of your life that would be
[46:08.44]  interesting to share look I think those
[46:10.52]  are the most interesting because they're
[46:12.76]  they're they're funny or ridiculous you
[46:14.56]  know I had a lot of bsides and I still
[46:16.72]  do for example I you know I had I had no
[46:19.92]  idea what I wanted to do I actually
[46:21.08]  wanted to be I thought I wanted to be an
[46:22.52]  actress I either wanted to be that
[46:24.24]  person in SeaWorld who goes like this
[46:26.12]  with the dolphin this is before SeaWorld
[46:27.92]  was cancelled or I wanted to be an
[46:30.16]  actress I applied to schools I didn't
[46:32.52]  get into any IV League I didn't get into
[46:34.44]  any of the top schools I wanted to go to
[46:36.68]  when I got to college I actually ended
[46:38.40]  up dropping out because I got so
[46:40.08]  depressed like incredibly depressed
[46:42.12]  couldn't get out of bed depressed
[46:43.60]  ironically I dropped out of Reed College
[46:45.60]  which is the same college that Steve
[46:47.00]  Jobs dropped out of so you know I was
[46:49.12]  just Destin for greatness I knew it at
[46:51.32]  that
[46:52.04]  moment it all makes sense looking
[46:54.08]  backwards as he said totally I was
[46:56.08]  dropping out being like yes this is
[46:57.76]  exactly the path no I was I was
[46:59.40]  miserable I thought there was no path
[47:00.92]  forward and when I and I finally went
[47:03.16]  back and graduated the the college
[47:05.20]  counselor looked at my curriculum and
[47:06.60]  said what have you even done with your
[47:08.20]  life there's nothing to show for and it
[47:10.16]  was shocking because I was always like
[47:11.80]  the overachiever who wanted to do the
[47:13.52]  maximum curriculum and like Ace all of
[47:15.96]  my classes and do whatever you know like
[47:18.44]  I I did three diplomas in high school
[47:20.00]  the international the American the
[47:21.28]  Brazilian um and so I re that for me I
[47:24.24]  think my one learning there that had
[47:25.88]  stuck with me and I think can can work
[47:27.40]  for other people too is that it's not
[47:29.80]  just about doing things that actually
[47:32.36]  matter and like and and learning it's
[47:35.08]  about being able to tell a story and
[47:37.48]  it's about understanding what other
[47:39.36]  people perceive as valuable I applied to
[47:42.84]  100 companies I didn't hear back from
[47:44.96]  most of them I finally got an internship
[47:47.00]  at kind of like a tier BC digital
[47:49.84]  marketing agency in New York City
[47:51.88]  because I wanted to live in New York so
[47:53.64]  badly um and they forgot to apply for my
[47:56.80]  Visa on time so I lost my Visa and had
[47:58.64]  to go back to Brazil and then I ended up
[48:01.68]  leaving that organization to go work for
[48:03.96]  another one and like I won't even go
[48:05.48]  into the details of the the shadiness of
[48:08.28]  that company that I worked for but then
[48:10.48]  they ended up laying me off so I lost my
[48:12.60]  Visa again had to go back home found
[48:14.72]  another opportunity got fired that time
[48:17.08]  so there was just a lot of rockiness in
[48:19.08]  my start that I don't think you would
[48:20.40]  imagine when you see someone up on stage
[48:22.28]  like leading a conference for 5,000
[48:24.00]  people um that I think is important and
[48:26.32]  even when I started working for Tumblr I
[48:28.36]  was like this is it like I made it this
[48:30.76]  is a really interesting company this is
[48:32.32]  going to work out that was super Rocky
[48:34.60]  because it was an early stage startup so
[48:36.28]  for example you know they couldn't
[48:37.48]  figure out how to wire money to Brazil
[48:39.36]  so I was not paid for six months and at
[48:41.44]  one point me and like my colleagues were
[48:42.92]  trying to get money out of the teller to
[48:44.56]  pay contractors because we had no money
[48:46.48]  to pay them and like we borrowed money
[48:49.12]  from people and and finally they also
[48:51.72]  laid me off because they decided to sell
[48:53.64]  to Yahoo and then I had to figure out
[48:55.48]  like like what am I going to do no one's
[48:56.72]  going to hire me I've been fired and
[48:58.24]  laid off so many times so this is all
[49:00.84]  before I started like an agency to help
[49:03.24]  us based tech companies and startups
[49:05.36]  grow in Latin America because I figured
[49:07.32]  I was in like this really great place to
[49:08.72]  make that happen and it eventually
[49:10.52]  worked for welln companies such as
[49:12.80]  dualingo at the time they weren't well
[49:14.36]  known they were a tiny little startup
[49:15.80]  they didn't have an Android app and
[49:18.08]  that's how I started working with
[49:19.16]  dualingo because their head of marketing
[49:22.36]  connected with someone they had worked
[49:24.00]  with at Flickr and said noticed Tumblr
[49:26.16]  grew a lot in Brazil last year can you
[49:28.08]  recommend like a company or an agency to
[49:29.76]  help and they said this girl and I was
[49:32.24]  26 and so they connect that's how they
[49:34.44]  connected me with dualingo and I started
[49:36.56]  helping them grow in Brazil as a
[49:37.80]  consultant they were like this is great
[49:39.20]  can you help us grow in Chile Argentina
[49:41.56]  and I was like yes they were like how
[49:42.80]  about Mexico and I was like yes you know
[49:44.68]  I I did I know anything about these
[49:46.56]  places Lenny did I know people there no
[49:49.28]  but like you can figure it out and then
[49:51.56]  they ended up asking me to come on
[49:52.80]  full-time do that across the world Japan
[49:55.68]  China Korea turkey Spain France Etc and
[49:59.32]  then to own growth which ended up
[50:00.72]  meaning communication social media
[50:03.00]  government Partnerships anything to grow
[50:05.24]  and then a lot of and then eventually
[50:06.60]  became an AB testing growth Engine with
[50:10.36]  engineers and PMs and designers of which
[50:13.60]  I knew nothing about and you know even
[50:16.20]  after that like I left dualingo five
[50:19.20]  years later didn't know what to do with
[50:20.92]  my life you'd think oh wow you have it
[50:22.28]  figured out now you left dualingo you
[50:23.80]  have the world in front of you and I'm
[50:25.32]  like like maybe I can finally go work
[50:27.20]  for nonprofits which is what I actually
[50:28.92]  wanted to do in the first place try to
[50:31.60]  hand at that like had a couple of
[50:33.12]  experiences before going to work for the
[50:34.68]  Mike Bloomberg campaign working for the
[50:36.84]  Mike Bloomberg campaign is impressive
[50:38.56]  but you know what Mike Bloomberg didn't
[50:39.84]  win he's not the president so that was
[50:41.64]  not a successful campaign you know if
[50:44.12]  you really look at it um and and and
[50:46.68]  yeah latitude seems like it's a really
[50:48.44]  promising path but it there's a days and
[50:52.16]  B days um so it's just a lot of that and
[50:54.72]  just staying resilient and and believing
[50:56.56]  in yourself and getting back on the
[50:58.36]  horse when you fall in your face amazing
[51:00.68]  that's such an important message I think
[51:01.96]  one of the threads from what you're
[51:03.12]  describing something that I think about
[51:04.52]  a lot is people kind of underestimate
[51:06.96]  how long their career is there's just so
[51:08.96]  much time to do stuff and for things to
[51:10.96]  start to work this going to sound really
[51:13.20]  fancy but I think Marcus aelius has this
[51:14.96]  quote about how our life is actually
[51:17.08]  very long we just use it really badly
[51:19.24]  and we just waste a lot of our time I
[51:21.12]  think you're so right Lenny and I love
[51:22.44]  that because people are going around
[51:23.48]  being like life is short life is short
[51:25.44]  but that's so true we waste so much time
[51:28.08]  but also I think we don't we don't
[51:30.28]  recognize how much opportunity we have
[51:31.96]  in front of us and as a 26 year old I
[51:34.72]  definitely thought my career was over
[51:36.48]  you know I was like I blew it and like
[51:38.72]  looking back it's funny you know yeah I
[51:41.48]  know exactly what you mean like I spent
[51:42.84]  nine years at my first job at a random
[51:44.96]  company in San Diego and a startup I was
[51:47.16]  like what am I doing here so long and
[51:49.88]  then and it turned out that was really
[51:51.16]  useful for the thing I did next and then
[51:52.56]  eventually wow things started to really
[51:53.88]  take off so I think that's a really good
[51:55.56]  lesson for people just for a long time
[51:57.68]  like this is my fourth career like I've
[51:59.36]  switched careers many times I was a
