Title     : Career frameworks, A/B testing, onboarding tips, selling to engineers |  Laura Schaffer (Amplitude)
Video ID  : UMAmj1bciww
[24:16.02]  to be difficult they're anticipating
[24:18.06]  that there's going to be friction and
[24:19.68]  challenges and then they're not going to
[24:21.24]  figure it out I was like looking for the
[24:22.56]  bogeyman right and that's the headspace
[24:25.44]  it's often the headspace that any of us
[24:27.12]  are in when we're doing something new
[24:28.20]  for the first time like oh let's just be
[24:30.42]  very challenging and so by putting in
[24:33.36]  these questions it's like what's your
[24:35.22]  language it's like oh like I do I I code
[24:38.40]  in JavaScript and and I can select that
[24:40.56]  well that's something I'm comfortable
[24:42.00]  with that would make my my journey
[24:43.56]  easier like yeah Bingo oh and you're you
[24:46.68]  know that's that's my use case okay like
[24:48.90]  I'm in the right place here like you
[24:50.88]  know it was it was actually giving folks
[24:53.46]  something comforting and and challenging
[24:56.64]  the notion that this was going to be
[24:58.86]  difficult just the questions because it
[25:01.56]  was aligning to some of the things that
[25:03.12]  they were organically thinking about
[25:04.20]  which is what if they don't support my
[25:06.36]  language or like can can I even do this
[25:08.58]  use case I want to do and so it was just
[25:11.10]  a really interesting you know the
[25:13.02]  takeaway for me for this like the
[25:14.52]  relationship takeaway was the psyche of
[25:16.74]  the user is so so critical right like
[25:19.74]  that's just as important as
[25:20.88]  understanding your product and the
[25:22.56]  broader like Market you're applying to
[25:24.36]  and all those things like just the
[25:25.74]  psyche of of users new people doing
[25:28.74]  things for the first time with your in
[25:30.12]  your user flow like understanding that
[25:32.16]  it's powerful you know in this simple
[25:34.50]  like kitschy thing I say is that you
[25:36.48]  know ultimately the learning here was
[25:37.92]  bad friction is bad and good friction is
[25:40.62]  good right there's no such thing as
[25:43.26]  being simple as just all friction is bad
[25:45.72]  which is sort of kind of what I had
[25:47.34]  assumed going into this
[25:49.80]  I love that you uh you're new to twilio
[25:52.44]  and he just yellowed an experiment to
[25:54.78]  production that's uh it's a big move it
[25:58.62]  ended up being like very you know very
[26:00.84]  helpful for everyone like you know
[26:02.10]  shared the insights from it and like all
[26:03.66]  these things
[26:05.24]  conversion but for sure like you know
[26:08.34]  use such you know processes with with
[26:11.22]  caution uh for sure yeah the right way
[26:14.40]  to do this like advocating for for the
[26:16.74]  engineers here is the right way to make
[26:17.88]  any changes in production is is you know
[26:19.86]  through or with the approval of
[26:21.48]  engineering but it was
[26:23.70]  um it was it was the right move overall
[26:25.44]  and definitely helped business right so
[26:27.66]  yeah I love it that's great I like that
[26:29.82]  move I think we need more of that
[26:31.26]  probably I want to dig into which
[26:33.00]  actually so what is it you change you
[26:34.68]  added how many questions and then what
[26:35.94]  were the questions there was a question
[26:37.44]  around like what language are you coding
[26:38.88]  in and then as an option to that it was
[26:41.28]  like oh like I'm not I'm actually not
[26:42.96]  coding like I'm not a developer like so
[26:45.30]  that was uh it you know for us it
[26:47.34]  actually gave us two really really
[26:48.60]  interesting data points one was was like
[26:50.40]  you know how many developers versus
[26:52.14]  people who are not coding or in our flow
[26:54.18]  and then what language are they coding
[26:55.98]  which was massively helpful not just for
[26:57.78]  like growth and onboarding but our
[26:59.46]  documentation team Doc's team you're
[27:01.14]  gonna like what we should you know would
[27:02.58]  that end up being a critical way for us
[27:03.90]  to gauge Trends over time and catch
[27:05.94]  things before like you know whatever you
[27:08.22]  know reports would come out the end of
[27:09.66]  the year what people are doing we could
[27:11.04]  start to see it and then also product
[27:13.50]  what product are you interested in using
[27:15.90]  that was very critical for knowing kind
[27:18.72]  of the basics of how to organize
[27:20.16]  someone's onboarding right are you doing
[27:21.48]  SMS you're doing voice you know two
[27:24.30]  eight one whatever and then use case in
[27:26.88]  use cases like you're doing a point
[27:28.08]  where reminders or are you doing like a
[27:30.60]  you know autoresponder or are you doing
[27:32.76]  Anonymous Communications like for a
[27:34.38]  dating app or something right so those
[27:36.42]  were those were the very first questions
[27:38.94]  wow okay so it was like four four drop
[27:41.82]  down questions
[27:43.14]  and that increased conversion I love
[27:45.24]  these examples where friction and
[27:46.68]  increase conversion like there's so few
[27:48.00]  of them like you hear about this could
[27:50.10]  work and it's rare and so what did you
[27:53.34]  take away like like what's the pattern
[27:55.26]  you took from this like there's the idea
[27:57.18]  it's good friction but is there
[27:58.26]  something that you're like here's what
[27:59.82]  is a sign of this is going to be good
[28:01.32]  friction this still alleviated a problem
[28:03.86]  alleviated the problem they had where
[28:06.00]  they're coming in and worried that it
[28:07.98]  was going to be difficult or that they
[28:09.66]  weren't going to be able to figure it
[28:10.68]  out they weren't going to be able to get
[28:11.52]  their footing and I'd say that that's
[28:13.44]  not unique to twilio that's that's
[28:15.36]  something that I think users experience
[28:16.92]  at any front door at any company any
[28:19.02]  sign up beginning the sign up flow it's
[28:20.46]  like
[28:21.18]  here we go right like Buck like buckling
[28:24.24]  up especially when you know it's in a
[28:25.62]  work context and you know there might be
[28:27.72]  extra pressure on you to succeed or you
[28:30.84]  know for you to make an accurate
[28:32.58]  assessment right so you just kind of you
[28:35.46]  know I think that's psyche of like okay
[28:37.32]  am I like in the right place because
[28:39.06]  it's gonna do what I needed to do like
[28:40.92]  okay can I figure it out am I capable
[28:43.08]  like that's these are extremely common
[28:45.90]  things for people to feel when when
[28:47.64]  they're signing up and so you know
[28:50.10]  certainly you know that I think can
[28:51.78]  concur to any any place I'd encourage
[28:53.94]  absolutely everybody to be putting those
[28:56.22]  those kind of experiences within their
[28:58.62]  early onboarding not just you know for
[29:00.60]  you selfishly so you can learn and same
[29:01.98]  with them appropriately but also so the
[29:03.78]  user can feel more confident as or get
[29:05.94]  going like hey I'm in the right place
[29:07.98]  this is going to do what I needed to do
[29:09.24]  but I think that the carry over there is
[29:11.22]  just the the psyche of the user right
[29:13.20]  and just being so aware that it's not so
[29:17.22]  cookie cutter as what is the problem my
[29:19.68]  market experiences and what can my
[29:21.24]  product you to help them there's also
[29:23.28]  this other thing in the room which is so
[29:25.50]  important to people's success their
[29:27.18]  ability to succeed with your products in
[29:29.58]  your self-serve experiences which is
[29:31.20]  what is the mentality and the psyche of
[29:33.84]  the person at the various stages in your
[29:36.12]  journey and it's you know if you're if
[29:39.18]  you're not incorporating that or
[29:40.68]  addressing that you will absolutely miss
[29:44.58]  things or things will fail and you'll be
[29:46.38]  very confused as to why we had a great
[29:49.38]  um
[29:49.98]  experiment that I'm happy to talk about
[29:52.14]  where like same same concept but totally
[29:55.68]  different situation which is later you
[29:58.74]  know in in onboarding one of the things
[30:01.32]  that that we tried to do over time to
[30:03.96]  make twilio less complex was to offer
[30:06.66]  steps like you know if season one
[30:08.88]  onboarding like
[30:09.96]  welcome step one like here's what you
[30:12.06]  want to build great we all know that now
[30:13.32]  okay step one go do this thing step two
[30:14.94]  go to this thing three this thing four
[30:16.38]  this thing if I bam you're live
[30:18.06]  congratulations aha all these things so
[30:20.76]  you know we shipped that you know got
[30:22.74]  that out there and it was like yeah it
[30:24.60]  was like improved conversion it wasn't
[30:25.98]  like that great it's like man like we
[30:27.90]  went from like they're being like
[30:29.04]  absolutely nothing like Choose Your Own
[30:30.30]  Adventure figure it out go figure it out
[30:32.22]  good luck to this kind of prescriptive
[30:35.16]  thing and it like wasn't converting as
[30:36.60]  well and you know sort of talk to some
[30:38.88]  users and
[30:40.98]  there wasn't anything particularly
[30:42.96]  obvious that was coming out as to like
[30:45.54]  what the issue was it was like oh yeah
[30:47.94]  like I do step one and we did like mocks
[30:49.50]  of the people like okay now I do stuff
[30:51.12]  too but there was one thing that like I
[30:54.36]  was hearing that was coming out that was
[30:56.10]  like feels like something and that was
[30:57.84]  that the telephone number the Telecom
[31:00.96]  part developers when they were coming
[31:03.54]  into twilio was like things that were
[31:06.00]  familiar to them apis the language
[31:08.40]  they're coding in code samples
[31:10.16]  documentation things that like the
[31:12.84]  bogeyman right the things that would
[31:14.40]  like psychologically trip them up
[31:16.04]  telecom phone numbers things that like
[31:19.92]  you know
[31:21.44]  these things that just were completely
[31:23.58]  out of the zone of anything that they'd
[31:25.14]  ever worked with before especially you
[31:27.18]  know early earlier on in twilio's
[31:28.80]  Journey but even now right telecom's
[31:30.54]  very different Beast for most developers
[31:33.30]  and guess what was step one get a phone
[31:36.00]  number because that's step one anytime
[31:37.92]  that anyone's trying to teach one of
[31:39.18]  these twilio like one-on-one they're
[31:40.56]  always gonna sit down nice and like okay
[31:41.64]  like here we're gonna go get a phone
[31:42.48]  number and configure it and that's what
[31:43.98]  anyone every time will do however in a
[31:46.80]  self-serve experience when you don't
[31:48.24]  have that safe person sitting next to me
[31:50.28]  like don't worry it's gonna be okay I'm
[31:51.48]  gonna take you through this crazy
[31:52.32]  Telecom Journey they're on their own
[31:54.12]  with that psyche telling them like oh my
[31:55.98]  God Telecom well I can't do that that
[31:58.08]  sounds scary we're getting a phone
[31:59.16]  number configurate like whoa I'm out of
[32:00.72]  my debt right and so what did we do to
[32:04.14]  test this out like test out whether that
[32:06.00]  was the issue
[32:07.62]  actually and it's first we're in the MVP
[32:09.98]  they kicked them out of the the portal
[32:13.92]  entirely and put them into a docs page
[32:16.44]  where we could kind of manufacture an
[32:18.72]  experience where the first thing they
[32:20.34]  saw was code and either in the docs safe
[32:22.44]  plays the language that they're coding
[32:24.30]  in and then like snuck in there I was
[32:26.94]  like go get a phone number like let's go
[32:28.62]  configure it right not as like step one
[32:30.30]  not as like the leading thing but sort
[32:31.68]  of embedded and the analogy I have for
[32:34.50]  this is like killing the hot dog
[32:36.78]  so like if anyone ever has if you've if
[32:38.76]  anyone's got a dog or an animal you have
[32:40.80]  to feed a pill too it's like you can't
[32:42.96]  just feed the pill to the animal it's
[32:44.52]  never gonna happen but if you shove it
[32:46.50]  inside of a hot dog which like looks
[32:48.36]  good and that's exciting then you can
[32:50.94]  get them to consume it more easily and
[32:53.16]  so yes we do peanut butter that's our
[32:55.20]  movie that yeah exactly right yeah hot
[32:57.78]  dog peanut butter all all that right you
[32:59.52]  would you you kind of bury it right you
[33:01.74]  embed the like scary unpleasant thing
[33:04.02]  and so that's what you said with the
[33:05.94]  phone number stuff that telecom stuff
[33:07.68]  and guess what even they were we good in
[33:09.60]  the amount of the you know console and
[33:11.88]  they're going off and and we had no easy
[33:13.80]  return button it converted better
[33:15.42]  because we were addressing the big
[33:17.94]  problem that was there at the time which
[33:19.44]  is their psyche they were not ready to
[33:21.60]  come in immediately thrown into a phone
[33:23.16]  number experience that was you know
[33:24.96]  letting the bogeyman and out to party
[33:26.52]  and that's not what was going to work we
[33:28.20]  needed to you know put that bogeyman
[33:30.30]  pill in the hot dog and so you know then
[33:32.16]  you know once that validated then we can
[33:33.66]  actually go through the the business of
[33:35.34]  putting that into the the onboarding
[33:37.02]  float correctly and then that covered
[33:38.58]  even better but yeah so again the psyche
[33:41.22]  of your user is such a critical thing to
[33:43.02]  be thinking about and if something like
[33:44.52]  very logical isn't converting well
[33:47.46]  sometimes it means that you're battling
[33:50.10]  against the psyche of a user and you
[33:52.14]  want to take a step back and you know
[33:55.20]  think about and learn about where
[33:56.70]  someone is psychologically in your space
[33:58.38]  it feels like you had this experiment
[34:00.84]  that was like a complete redesign of the
[34:03.12]  onboarding flow and that didn't work and
[34:05.94]  then your second attempt was like a
[34:08.46]  different approach that's like a full
[34:10.34]  onboarding flow and I'm curious you have
[34:13.38]  a take on just when you run experiments
[34:15.54]  and something we dealt with a lot of
[34:17.28]  Airbnb in other places like you just
[34:18.96]  redesign the whole thing
[34:20.40]  or is it better to iteratively work from
[34:22.32]  where you are today and just experiment
[34:23.52]  piece by piece towards some future much
[34:25.20]  better experience here's what I said to
[34:27.54]  this is that from a high level
[34:29.34]  it's always going to be better to be
[34:30.96]  iterative the reason that it's better is
[34:33.72]  that roughly eighty percent of the times
[34:36.56]  there isn't the time are hypotheses and
[34:39.60]  the things that we believe will be true
[34:41.46]  or
[34:42.54]  and this is like amazing I mean the
[34:44.64]  there's an amazing article out there I'm
[34:46.38]  happy to share with you you can put in
[34:47.58]  the the um show notes yeah absolutely
[34:49.50]  that really takes a scientific approach
[34:51.18]  to proving that out companies like
[34:52.38]  Netflix and Microsoft there's over and
[34:54.24]  over again 80 plus percent some
[34:56.70]  companies saying 90 of things fail and
[34:59.22]  so when you the the closer you get to
[35:03.72]  something that is you know you kind of
[35:05.76]  go bury your your you know head in the
[35:08.28]  sand or go into an attic and build
[35:09.42]  something for six months and ship it the
[35:11.46]  more likely it is that you are gonna
[35:13.86]  ship the 80 wrong stuff right whereas
[35:17.88]  the more iterative you are the more
[35:19.26]  likely it is you're going to catch it
[35:20.46]  sooner and you know failure doesn't have
[35:23.28]  to be a wall it can be a compass right
[35:25.68]  it can be the thing that leads you to
[35:27.48]  the right thing
[35:28.74]  and so you know you always want to as
[35:31.74]  best you can get stuff in front of
[35:33.96]  customers so that you can get that
[35:36.18]  compass and you know get get that
[35:37.92]  Compass activated know where to go and
[35:40.20]  yeah and so that means doing you know
[35:42.12]  ugly things like to tell my teams all
[35:43.50]  the time if it's not embarrassing you've
[35:45.54]  gone too far right gotta be embarrassing
[35:47.94]  the first thing that was embarrassing
[35:49.32]  kicking people out you know onboarding
[35:51.48]  spend all this money and like whatever
[35:53.88]  to get them into your Center phone and
[35:56.40]  the first thing when you get out of here
[35:57.96]  right I mean that's that's nuts but if
[36:01.56]  it hadn't validated that would have been
[36:03.48]  a very cheap but very valuable learning
[36:05.70]  instead it was a very powerful cheap
[36:07.74]  learning in the other direction where
[36:09.06]  okay now we know we can invest in it we
[36:10.56]  know that's the right thing to do
[36:12.18]  so always better to be iterative so that
[36:16.20]  you are letting failure work for you
[36:18.60]  instead of having it to be a trap that
[36:20.76]  you fall into I know that stat you just
[36:22.92]  shared is like per experiment you're
[36:24.24]  probably wrong 80 of the time in my
[36:26.22]  experience launching a whole redesign is
[36:28.62]  is negative 100 of the time I've been
[36:31.74]  I've grown weary to avoid that as much
[36:33.30]  as possible which is like you kind of
[36:34.44]  know that you taught that as you go into
[36:36.90]  growth and product but you're just like
[36:38.28]  wow come on let's make it awesome just
[36:40.14]  redesign this whole thing especially you
[36:42.00]  know your designer is always like now
[36:43.26]  let's start again let's make it amazing
[36:45.90]  but it always ends up being negative and
[36:47.46]  you're like okay well it's too late now
[36:49.02]  we gotta launch this thing we don't have
[36:50.34]  time to start again well it's funny I
[36:53.34]  mean in the Articles and you'll see like
[36:54.90]  it was um it was written by Somebody
[36:56.28]  from Microsoft who kind of built the
[36:58.20]  implementation platform and did all
[36:59.34]  these cool things like as he went into
[37:01.02]  actually trying to apply a scientific
[37:02.40]  method of figuring out like how often
[37:04.26]  people are wrong about their hypotheses
[37:07.08]  and and you know what they're planning
[37:08.64]  to do he's like I wonder if like that
[37:11.04]  applies to us here at like Microsoft
[37:13.02]  there's even for him that kind of
[37:14.40]  question of like and it went it wore out
[37:17.04]  right like it's just you know I think
[37:18.96]  it's challenging to you know when
[37:20.58]  there's a lot of smart people in the
[37:23.04]  world in this space doing things and
[37:24.84]  it's very difficult to think gosh am I
[37:26.34]  really wrong like 80 plus 90 of the time
[37:29.04]  but when you think about it makes total
[37:31.26]  sense right because what has to happen
[37:33.06]  for something to be successful you have
[37:35.16]  to understand the problem perfectly you
[37:37.56]  have to then understand who's having the
[37:39.66]  problem perfectly the customer at what
[37:42.00]  time they're having the problem then
[37:43.32]  you've got to put the right solution in
[37:45.42]  front of them to solve that problem
[37:46.62]  maybe is that the problem right now all
[37:47.88]  that stuff right but your solution
[37:49.14]  something off right or maybe your
[37:51.72]  solution is right but maybe it's just
[37:53.70]  not presented it kind of communicated in
[37:56.16]  the right way you could have any one of
[37:58.50]  those things off and
[38:01.26]  it's not going to succeed right it's not
[38:03.48]  going to have you know the the metric
[38:05.46]  impact you're expecting to have so in
[38:07.26]  that context it's almost like incredible
[38:09.18]  we do succeed 20 to 10 of the time given
[38:12.60]  everything that has to line up and so I
[38:15.12]  think it's one of those things where you
[38:17.22]  know you really want to go into it
[38:19.08]  embracing that okay this isn't about how
[38:21.90]  smart I am or how good my team is or any
[38:24.12]  of that stuff it's just hey the logic of
[38:26.40]  this is a you know it's challenging to
[38:28.68]  get it right and let's Embrace that and
[38:30.60]  let's um lean into let's lean into to
[38:33.90]  that that knowledge and make it a part
[38:36.18]  of our strategy instead of fighting
[38:37.44]  against it
[38:38.76]  have you found anything that helps you
[38:41.10]  increase those odds or is it just this
[38:44.22]  is the way of the world and you probably
[38:46.14]  can't significantly increase the chances
[38:49.02]  your experiment works out
[38:51.00]  so here's the thing I mean I think I
[38:52.86]  think there's there's very little that
[38:54.96]  we can do to make that space easier
[38:57.54]  right all those things have to be
[38:59.10]  figured out and so I I definitely think
[39:02.16]  that you uh that that everybody is going
[39:05.16]  to be in a space where their original
[39:07.32]  you know ideas untested ideas are going
[39:09.60]  to be around that hit rate however the
[39:12.36]  way that you go about validating those
[39:14.70]  can be totally different and you can be
[39:17.64]  very fast about valuing those ideas and
[39:20.52]  that's the key right and you know uh a b
[39:23.64]  testing is one of the most expensive
[39:26.60]  kinds of ways to validate an experiment
[39:29.10]  right it uh you know often requires
[39:32.22]  design and engineering and the PM or
[39:35.04]  growth person or marketing person who's
[39:36.54]  crafting it right all these things
[39:39.48]  or Investments that take a lot of time
[39:41.46]  even for simple things and then you have
[39:43.62]  the time Factor not only is the thing I
[39:45.54]  have to run to have and have an impact
[39:47.04]  so all of that is extremely expensive
[39:49.20]  and so I think the key is to just think
[39:52.74]  through okay what are the things I can
[39:54.30]  do to quickly validate what what these
[39:58.32]  ideas are that we
[39:59.70]  and you can do that with painted doors
[40:01.62]  right which is where you test rate the
[40:03.12]  concept and the idea before it exists
[40:05.64]  versus the actual experience you can do
[40:07.74]  mocks like create have you know create
[40:10.08]  you know if you've got a designer create
[40:11.52]  those mocks with that experience put it
[40:13.08]  in front of people see how they engage
[40:14.70]  with it that can be so powerful you
[40:16.56]  could invalidate
[40:18.56]  tons of hypotheses at that State you
[40:21.84]  know you really want to only things the
[40:23.70]  only things you want to get to that kind
[40:25.02]  of that deep a b testing environment or
[40:28.14]  ones that have been kind of vetted along
[40:29.64]  the way and that way you reduce
[40:31.94]  your fail rate right because you're
[40:34.98]  you're failing Faster by using other
[40:36.84]  methods so you know I think that's I'm
[40:39.54]  more advocate for that side like let's
[40:41.58]  fail fast by using those tools rather
[40:44.88]  than figuring out a way that you can
[40:46.68]  rise above where everyone else is
[40:49.02]  operating and figure out ways to solve
[40:50.34]  all that complex stuff better because
[40:52.56]  that's going to be challenging but you
[40:54.84]  can always get better at experimenting
[40:56.34]  and validating things faster
[40:58.80]  this episode is brought to you by writer
[41:01.32]  how much hype have you been hearing
[41:03.00]  about generative AI so much but how do
[41:06.72]  you take it from a Shiny Toy to an
[41:08.46]  actual business tool that helps you do
[41:10.26]  your actual job writer is an Enterprise
[41:12.66]  grade generative AI platform built
[41:15.30]  specifically for the needs of businesses
[41:16.92]  an already widely deployed it
[41:18.72]  world-class Brands like uber Spotify
[41:21.18]  HubSpot and uipath with writer you can
[41:24.30]  break through content bottlenecks across
[41:25.98]  your organization from marketing web
[41:27.90]  pages to sales emails and product
[41:29.40]  messages to creating high quality
[41:31.80]  on-brand content at scale and unlike
[41:34.74]  other AI applications writer's training
[41:37.20]  happens securely on your data and your
[41:39.42]  style and brand guidelines so you
[41:40.98]  provide specific to your organization
[41:42.66]  the result is that you get consistent
[41:44.94]  content in your brand voice at scale get
[41:48.06]  AI that your people will love for a
[41:50.40]  limited time listeners to Lenny's
[41:52.20]  podcast can get 20 off if they go to
[41:54.54]  writer.com Lenny that's writer.com Lenny
[41:59.10]  where do you find the best ideas come
[42:01.50]  from for driving meaningful lift like is
[42:04.50]  it gut instinct type and experience uh
[42:09.18]  bucket or is it data telling you like
[42:11.40]  hey or here's a huge opportunity in your
[42:13.56]  experience
[42:14.76]  I'm a very like data driven person like
[42:18.36]  I self-describe and think of myself that
[42:20.52]  way because you know in large part
[42:22.38]  because of that I feel really you have
[42:23.58]  to be constantly checking yourself and
[42:24.96]  data is a really great way to do that
[42:26.28]  but uh I definitely think that I would
[42:29.46]  be described as someone who's like going
[42:31.80]  more by their gut when looking at date
[42:34.02]  end results just because of the way that
[42:36.78]  I approach it which is I'm very
[42:38.88]  comfortable and very common in using
[42:40.92]  qualitative responses and things like
[42:42.90]  that and supplement to quantitative data
[42:46.26]  to make a decision and that puts less of
[42:47.82]  a burden on the quantitative to really
[42:49.20]  make an assessment whether something was
[42:50.76]  working or not you know one of the
[42:52.38]  things I see
[42:53.58]  uh like I I think sometimes goes against
[42:56.40]  whether folks do although I'm seeing
[42:58.20]  kind of things shift a little is that 95
[43:00.36]  confidence rate right I like I I came
[43:04.92]  from uh like my background like in
[43:07.20]  college I was in a lab running
[43:08.52]  experiments or really publishing to a
[43:10.44]  journal and stuff and we had to have
[43:12.06]  that 95 confidence I had to because the
[43:14.88]  things that were coming out of the lab
[43:16.26]  and being published were influencing
[43:18.48]  things like how we do education and how
[43:20.34]  we understand how bias works and when it
[43:22.26]  shows up and therefore how we can combat
[43:23.52]  it things were were wrong and seeing a
[43:25.62]  bunch of baloney like that can cause
[43:26.88]  some significantly bad things like false
[43:29.40]  positive false negatives in that context
[43:31.08]  it's gonna be very um dangerous for like
[43:34.20]  a better word you think of other you
[43:35.76]  know Pharmaceuticals like there's the 95
[43:37.80]  confidence rate belongs in some
[43:40.68]  companies in some Industries because the
[43:43.26]  risk of of you know the impact of a
[43:46.14]  false success is very high but those of
[43:49.02]  us converting users and trying to upsell
[43:50.94]  folks like we're very fortunate to not
[43:52.98]  have the that level of burden on us and
[43:56.46]  we can take advantage of that right and
[43:58.68]  so there are definitely times where I
[44:01.44]  will advocate for and I will push for an
[44:03.60]  owl myself used lower lower confidence
[44:06.96]  intervals and 95 especially if that like
[44:09.42]  doubles amount of experiments that you
[44:10.86]  can run in a year right end of the day
[44:13.26]  these are all methods that we use to try
[44:16.08]  to validate the hypotheses that we have
[44:19.22]  and if if you have like if you're doing
[44:22.92]  a 95 confidence interval you're still
[44:25.50]  accepting a five percent you know some
[44:28.32]  amount of of false success do that a
[44:32.04]  little bit more challenge you do a
[44:33.36]  little bit more and then run way more
[44:34.98]  experience if you look at the the net of
[44:37.50]  what your team is doing over the course
[44:38.64]  of your what you're doing over the
[44:39.60]  course of a year you will be positive
[44:42.42]  wow that is a big idea idea of releasing
[44:45.36]  the p-value confidence interval for
[44:48.48]  experimentation and data team Z like any
[44:51.66]  everyone would be happy to like be
[44:53.40]  excited about this probably maybe not
[44:54.90]  some data scientists on teams do you do
[44:57.78]  that like how do you actually is that
[44:59.28]  how you operate on your teams just like
[45:00.72]  we don't need 95 confidence
[45:02.82]  so I'll say this is actually very
[45:04.38]  critically important you must have this
[45:06.30]  game plan set before you run something a
[45:08.58]  failure mode that I've seen so many
[45:10.50]  teams fall into is they'll run the
[45:12.54]  experiment or whatever it is and then
[45:14.82]  they'll you like make the data fit yeah
[45:19.38]  the hypothesis right yeah or sometimes
[45:21.96]  alone without a hypothesis just like
[45:23.64]  this is gonna do better things for our
[45:25.20]  metrics but not like a core reason as to
[45:27.18]  why or what you know what exactly are we
[45:30.54]  testing here and so this this is another
[45:33.24]  area where you could absolutely fall
[45:34.44]  into that trap let's hope we're only
[45:36.48]  good 80. I think it's good that that
[45:38.40]  Laura person said it was cool so I I
[45:40.38]  think that that's fine like that will
[45:42.78]  always be a trap right so it needs to be
[45:45.00]  very deliberately thought of in advance
[45:46.92]  as a way of like hey here's we're going
[45:48.18]  to validate this and always always if
[45:49.98]  you're going to you know accept more
[45:52.74]  risk of a false success or false
[45:54.96]  positive false negative you want to then
[45:58.20]  be really thinking about how you're
[46:00.42]  gonna
[46:01.50]  Harden your your validation of
[46:03.42]  hypothesis for example let's take that
[46:05.64]  when we talked about with uh trillia
[46:08.34]  where we're kicking people out and we're
[46:09.78]  sending them to that you know that the
[46:11.34]  pilton hot dog experiment right and
[46:13.14]  we're sending people to the experience
[46:14.22]  to kind of hide the phone number
[46:15.96]  you know in that case right let's say
[46:18.96]  that we were going to accept a lower
[46:21.48]  confidence interval I would very much
[46:23.58]  want to see qualitative feedback to
[46:25.92]  confirm that that hypothesis was true I
[46:28.98]  want to be looking at the qualitative
[46:30.78]  data from the ones where people were
[46:32.40]  thrown into the existing flow and one's
[46:34.98]  put into the dogs that one of them felt
[46:37.32]  more confident and more like this was
[46:38.88]  really easy to get through and like they
[46:41.10]  they felt better territory and things
[46:42.96]  like that and I'd be wanting to hear
[46:44.58]  from the ones who were in the other one
[46:45.78]  things like oh I kind of got stuck on
[46:47.76]  that phone number like ah like kind of
[46:50.64]  figure this out but it just it feels
[46:51.90]  like it's I'm out of my depth like I
[46:52.98]  would want to be looking for other
[46:54.24]  things to corroborate
[46:56.40]  um the hard data that I'm seeing right
[46:58.44]  and yes it opens the door
[47:02.10]  to you know whenever whenever you open
[47:03.90]  the door to more risk acceptance you are
[47:07.26]  going to have some false successes there
[47:10.32]  but all of these things together can
[47:13.38]  overall make it more likely that you're
[47:15.48]  shipping more things that are going to
[47:17.58]  positively influence the customer and
[47:19.20]  again it can't say it enough it is a
[47:21.42]  huge risk in and of itself to not ship
[47:24.60]  as much as you possibly could in a year
[47:27.06]  that is a huge risk given that very high
[47:30.18]  fail rate so you know I wouldn't you
[47:33.18]  know to this data scientists and I've
[47:34.50]  you know chatted with a few of my time
[47:36.36]  what I try to explain is that that
[47:38.58]  article that data that the 80 like
[47:41.58]  that's hard data right about what a
[47:45.30]  detriment it can be if you are
[47:48.18]  um you know if you don't run enough
[47:49.98]  experience you could literally if you
[47:51.96]  just run 10 in a year on there are maybe
[47:54.72]  two around in fact two of course an
[47:56.58]  entire year if you kind of take that
[47:57.72]  approach so you know data scientists can
[47:59.82]  understand hey if we do this you know if
[48:01.86]  we we move this down we can like double
[48:04.50]  or triple whatever it is or the number
[48:06.00]  experiments we can run and overall net
[48:08.04]  that's going to result in you know few
[48:10.38]  you know more successes that will
[48:12.66]  overall net us to a positive place like
[48:14.46]  you can still tell a data story to the
[48:16.26]  data scientist about why you're doing
[48:18.12]  this again this is why I you know when
[48:19.74]  you ask that question identify it's a
[48:21.72]  very data driven person but I think you
[48:23.82]  know some of the methods that I use can
[48:26.22]  uh you know sound at the service level
[48:29.16]  as more like oh I'm going by my gut but
[48:30.96]  again very data driven it's just
[48:33.24]  embracing the reality of some of the
[48:36.06]  hard data that I don't think we all
[48:38.06]  Embrace or are even aware of sometimes
[48:40.80]  about that that sale rate
[48:42.60]  this is awesome this is a big idea have
[48:44.70]  you written about this anywhere for
[48:45.84]  folks that maybe want to try this
[48:47.88]  Approach at their company and if not you
[48:49.26]  should
[48:50.16]  I appreciate that I it's funny I it's
[48:52.38]  been it's like on my general life to do
[48:54.90]  this is to start writing some of this
[48:56.70]  down I have three children one of whom
[48:59.22]  is five months old two and four and so
[49:02.94]  um sometimes they'll start to write and
[49:04.38]  then like one of them like crawl across
[49:06.00]  the keyboard and you know like this like
[49:09.30]  you know one of them I mean all of them
[49:10.92]  multiple times but eventually yeah I'll
[49:13.98]  be very happy to to do that if folks
[49:16.20]  would be interested I um I'm always I'm
[49:18.42]  always happy to do whatever I can to
[49:20.88]  help folks help Empower folks with
[49:22.98]  knowledge to do better because this none
[49:25.20]  of this is like Secret Sauce really it's
[49:26.88]  just sort of learn from experience and
[49:29.40]  it's always better to learn from others
[49:31.08]  experience than your own it's faster so
[49:33.66]  yeah I would definitely I aspire to
[49:35.40]  Lenny is that I think that's the best
[49:37.80]  that I can say but eventually my kids
[49:39.42]  will get older I hear this and and maybe
[49:41.40]  I I can do so hopefully uh cool so maybe
[49:44.94]  if you're watching this YouTube leave a
[49:46.32]  comment if you want Laura to write in
[49:47.64]  depth about this idea and spread it it's
[49:49.80]  your company
[49:51.30]  okay I want to talk about growth but I
