Title     : How Anthropic, Costco, and Patagonia all build incorruptible companies  | Eric Ries
Video ID  : PoJ1vTdHpks
[21:01.04]  credentialed doctor. She was a big
[21:02.48]  advocate for women's medical education
[21:03.84]  and she lived a very cool life in her
[21:05.52]  own right. But she's famous today mostly
[21:08.32]  because of her husband August who had
[21:10.64]  just won the Nobel Prize who's a very
[21:12.88]  famous scientist. And
[21:16.32]  she unfortunately right around the same
[21:17.92]  time got diagnosed with a fatal illness,
[21:20.24]  an illness for which there was no known
[21:21.92]  cure at that time. it was called
[21:23.20]  diabetes.
[21:24.72]  So she gets this death sentence right as
[21:27.60]  he's weighing the Nobel Prize and he
[21:29.04]  asks her would she come with him to
[21:30.48]  North America for his lecture tour
[21:32.24]  anyway and she says yes. So the two of
[21:34.24]  them travel to North America. He's going
[21:36.24]  around talking to scientists about his
[21:37.84]  Nobel Prize. And one night at dinner,
[21:41.52]  Maria is sitting next to a scientist who
[21:43.04]  tells her, "Hey, actually in Canada,
[21:44.80]  there are these researchers who have
[21:46.24]  figured out a new technology to isolate
[21:48.16]  a substance called insulin, a potential
[21:51.44]  cure for diabetes."
[21:54.00]  So Marie convinces her husband, "We
[21:57.20]  should send our trip, go to Canada, see
[21:59.20]  this thing for themselves." They do.
[22:00.72]  They are both scientists, so they
[22:01.92]  instantly understand the implications.
[22:03.44]  this could not only save Marie's life,
[22:05.20]  but millions more. So, they talked to
[22:07.44]  the Canadians. Could we commercialize
[22:09.20]  this technology? And the Canadians say
[22:11.12]  they're open to it, but everyone
[22:12.32]  involved has a concern. We've been
[22:14.40]  talking so far about the concern of
[22:16.96]  being forced out of your company or
[22:18.72]  having it taken away from you. That is
[22:20.08]  one danger. But there's also the
[22:22.56]  temptation to harvest what others plant.
[22:25.36]  The temptation to exploit, to extract
[22:28.00]  instead of creating new value. They were
[22:29.68]  worried about that. Now, Lenny, I want
[22:31.20]  you to imagine this scenario with me,
[22:32.64]  okay? Imagine that I depend on you for a
[22:36.56]  life-saving cure. I have diabetes.
[22:38.16]  You're the only maker of insulin in the
[22:39.76]  world. In that case, I would want you to
[22:42.88]  charge me a fair price. Like, very much
[22:45.04]  so. It's it's a it's both morally right,
[22:47.04]  fair, but also I want you to have every
[22:48.88]  incentive possible to keep making the
[22:50.32]  drug. Otherwise, I might die. Okay. But
[22:52.96]  what if one day you wake up and you're
[22:54.48]  like, "Wait a second. I don't have to
[22:55.60]  charge Eric a fair price." or you have
[22:58.00]  investors whispering in your ear, Lenny,
[23:00.16]  you don't have to charge him a fair
[23:01.44]  price. You can charge him anything you
[23:04.48]  want. That's what I would live in fear
[23:06.72]  of. So decades before Martin Skrey
[23:09.04]  actually did this as a business
[23:10.48]  strategy, the crows and the Canadian
[23:13.04]  scientists, they were worried that this
[23:14.40]  might happen to their new company. So
[23:16.24]  when they went back to Denmark to create
[23:17.76]  this company, which they called the
[23:19.20]  Nordisk Insulin Laboratorium,
[23:22.24]  they incorporated it using this very
[23:24.08]  particular structure. It is a for-profit
[23:26.16]  company. It does have outside investors,
[23:29.44]  but it is owned, governed by a nonprofit
[23:32.80]  foundation, a two-tiered structure
[23:34.48]  that's called an industrial foundation
[23:36.08]  in the literature. And if Nordisk
[23:38.40]  Insulin Laboratorium sounds familiar, it
[23:40.56]  should. This is the predecessor company
[23:42.48]  to what we today call Nova Nordisk, one
[23:44.72]  of the largest companies in the world.
[23:47.04]  And what's so interesting to me about
[23:49.20]  this story is this structure has endured
[23:52.40]  and protected the ethos of scientific
[23:55.20]  integrity of Nova Nordisk for more than
[23:58.40]  a hundred years. Meanwhile, so many of
[24:01.04]  the best practices that your lawyers,
[24:03.04]  your bankers, whoever advisers you have,
[24:05.20]  they're going to be pushing best
[24:06.32]  practices on you that are younger than
[24:08.16]  the trees in your local park. And so
[24:11.20]  what I want for everyone who's listening
[24:12.88]  to this, founders, product managers,
[24:14.32]  leaders, board members, I don't care.
[24:15.92]  The next time someone comes to you
[24:17.52]  pushing a best practice and you're like,
[24:19.28]  "Oh, I guess I have to do it this way
[24:21.12]  because we live in an ROI dominated
[24:23.12]  culture. We have to stack rank by ROI or
[24:25.20]  whatever the practice is, I want you to
[24:27.36]  be like, well, that person sounds very
[24:28.64]  smart. They're very well credentialed.
[24:29.84]  They went to business school or
[24:30.88]  whatever." But ask yourself, are you
[24:32.88]  sure they're smarter than a Nobel
[24:35.52]  laureate? Because August and Marie
[24:37.92]  worked this out a hundred years ago and
[24:39.84]  it has held so many attacks. In fact, I
[24:42.80]  tell a story in the book, and Lonnie, I
[24:44.48]  know you're going to think I'm
[24:45.36]  exaggerating, or I know at least some of
[24:46.80]  your listeners are going to think, "Oh,
[24:47.68]  America is an exaggerator." I promise
[24:49.12]  you, this is a 100% true story. The the
[24:53.68]  trustees of the nonprofit foundation
[24:55.36]  once had to intervene to protect the
[24:57.52]  for-profit from this exact temptation to
[25:00.00]  want to sell it out. And I won't get
[25:01.36]  into the whole story. They did the right
[25:02.80]  thing in this case because they had the
[25:04.48]  legal power to do so. Their intervention
[25:07.28]  ultimately created more than $500
[25:10.80]  billion dollar of shareholder value. I'm
[25:13.68]  not I didn't add an extra zero for
[25:15.68]  emphasis. $500 billion. So when people
[25:19.20]  hear about these things for the first
[25:20.72]  time, it's natural to feel like we're
[25:22.56]  talking just about business ethics or
[25:24.24]  mission. It's like some extra nice to
[25:26.00]  have thing that after you do the real
[25:27.76]  serious business, now you worry about
[25:29.12]  this stuff. No, this is one of the most
[25:31.44]  powerful engines of value creation in
[25:33.44]  the world. And for a lot of people
[25:35.28]  listening, this will be the first time
[25:36.32]  you're hearing about it. But just
[25:37.36]  because it's new to you doesn't make it
[25:39.04]  new. The German optics company, Zeiss,
[25:41.44]  who make the the lenses in my glasses
[25:43.28]  and yours, too,
[25:45.52]  they had this structure in 1885.
[25:49.36]  So I think it's really interesting that
[25:52.24]  we have enough of these examples to know
[25:54.40]  that there's nothing inevitable about
[25:56.16]  this financial gravity. We actually have
[25:58.00]  a data set. They can be studied. There's
[25:59.68]  a whole branch of academic research that
[26:01.20]  has shown, for example, companies with
[26:02.96]  that structure like Novo and Zeiss, they
[26:05.52]  are six times more likely to live to
[26:08.00]  year 50 compared to their conventional
[26:10.08]  counterparts. We they have superior
[26:11.92]  return on invested capital. They make
[26:13.60]  more money for investors. They're better
[26:15.04]  in so many ways. So, it's kind of a bit
[26:17.20]  of an open secret
[26:19.28]  that these techniques exist. So, I want
[26:21.84]  us to kind of have these stories in our
[26:23.28]  mind because it's it's going to sound as
[26:24.64]  we get into the technique, some of them
[26:25.84]  are going to sound radical. We want to
[26:26.96]  say, "Wait a second. Is this really
[26:28.24]  doable for me? I'm just a little
[26:29.60]  startup. I'm just doing, you know, I'm
[26:31.60]  just trying to get to product market
[26:32.64]  fit. Why are we talking about this long
[26:34.16]  off stuff hundred-y old companies? No.
[26:36.88]  August and Marie was just it was they
[26:38.24]  were a tiny startup two once. Now that
[26:40.32]  company's worth hundreds of billions of
[26:41.52]  dollars. So before we get into that,
[26:43.44]  just let's remind people again why this
[26:45.28]  is worth doing because it's going to
[26:47.52]  sound like oh my god, this is so
[26:48.88]  annoying. I have to do all these weird
[26:50.16]  things that no one else is doing. I have
[26:52.00]  to convince all these people this is not
[26:53.76]  not going to limit us and not hurt us
[26:55.44]  down the road. Let just let's remind
[26:57.44]  people again just why this is important.
[26:59.60]  Why this is so painful if they don't do
[27:01.44]  it right.
[27:02.24]  >> Gosh, there's so many things to choose
[27:04.64]  from.
[27:05.84]  >> So much pain.
[27:06.88]  >> So much pain. I I'll tell another story
[27:09.20]  like we've been telling kind of happy
[27:10.32]  stories. Let me tell you a not very
[27:11.52]  happy story. So I've been doing this
[27:13.52]  exercise for many years uh where I would
[27:15.68]  ask founders um or leaders of really of
[27:18.56]  any any seniority. I'm just like listen
[27:20.48]  before we get into the details first
[27:22.32]  tell me who you think is the most evil
[27:24.08]  company in the world. And people
[27:26.32]  sometimes, sometimes they like instantly
[27:27.60]  know who to say. They're like, "Oh, I
[27:28.64]  know." But some people are like, "What
[27:29.52]  do you mean evil?" I'm like, "The
[27:30.80]  company where there's no amount of money
[27:33.12]  they could offer you that you would go
[27:34.32]  work there. You just, you know, they're
[27:36.32]  up to no good." Everybody has a company
[27:38.56]  like that in their mind. I don't know if
[27:39.84]  you want to say who it is for you. I
[27:42.32]  understand. If you don't want to, it's
[27:43.44]  okay. But like I'll just for the sake of
[27:45.92]  us having a hypothetical that we can do.
[27:47.68]  I would always tell if people we go
[27:48.80]  around the room. I go on some of them on
[27:50.24]  Zoom. Everyone puts in the chat, right?
[27:51.44]  And there'll be someone will be like
[27:52.32]  Hallebertton and someone else will be
[27:53.60]  like increasingly like like tech
[27:54.96]  companies are showing up on these lists
[27:56.08]  now which when when I was younger that
[27:57.84]  would never have been the case but now
[27:58.96]  you sometimes see tech companies there
[28:00.48]  some see Monsanto or you see um you know
[28:03.36]  some or some private equity fund like
[28:05.04]  people are like mad about something they
[28:07.28]  can name a company usually so it's not
[28:08.80]  hard to find examples now my father was
[28:11.04]  a pulmonologist growing up so I was
[28:13.68]  raised that Philip Morris is the most
[28:15.20]  evil company in the world so we'll just
[28:16.56]  use that as our hypothetical just for
[28:18.08]  the sake of argument today um if you
[28:21.04]  think Philip Morris is great and you
[28:22.32]  have different values. You know,
[28:23.20]  whoever's listening, fine. You pick the
[28:24.72]  company you really would never ever ever
[28:26.56]  want to have to work for no matter what.
[28:28.80]  Now, I ask people to imagine the company
[28:30.80]  they currently work at. If you're a
[28:32.08]  founder, you're a company. If you're an
[28:33.28]  employee, your company, but if you've,
[28:34.88]  you know, the company you hold dear,
[28:36.72]  just imagine Philip Morris shows up one
[28:39.52]  day and says, "I'd like to buy this
[28:40.96]  company from you for $1 more per share
[28:44.32]  than it's currently worth. You selling?"
[28:48.00]  Most people are like, "Hell no. Hell no.
[28:50.00]  No, I'm not selling. One person once
[28:52.00]  asked me, um, well, what are they going
[28:53.28]  to use it for? Oh, sorry. To be clear,
[28:55.52]  they're going to use it to sell
[28:56.24]  cigarettes to children. Now you're
[28:57.44]  selling. Yeah. No, no deal. Of
[29:00.48]  obviously, f no, I can't actually say on
[29:02.48]  your podcast the kind of things people
[29:03.84]  say when they are presented with this.
[29:05.68]  Um, because there might be that might be
[29:06.96]  children listening. Okay. People get
[29:08.40]  real upset at this idea. And and when we
[29:11.52]  talk about I'm like, "Okay, well, did
[29:13.20]  you know that according to the legal
[29:16.00]  documents you yourself signed, your
[29:18.48]  company's literal charter that you have
[29:20.32]  right now, and this is not some
[29:21.44]  hypothetical future thing, you've
[29:23.12]  already put in motion,
[29:26.40]  a rule that says you have a fiduciary
[29:28.72]  duty to say yes in this situation."
[29:31.68]  People are so outraged. They're like,
[29:33.76]  "That cannot be right. My lawyer, my
[29:37.36]  guy, he would never have done that to
[29:39.36]  me. I'm like, "Call him up. Ask him if
[29:41.76]  what I say is true and call me back."
[29:43.20]  And they're like, "He said it. He said
[29:45.36]  he was doing me a favor by giving me the
[29:48.08]  best practice documents to make it
[29:49.60]  easier to raise money." Yeah. So,
[29:52.00]  occasionally though, people will say,
[29:53.12]  "Eric, you are exaggerating.
[29:55.60]  That is not Yes, that can happen, but
[29:58.48]  come on. Does that really happen in real
[29:59.92]  life? Is that something I really need?
[30:01.20]  I'm trying to get product market fit. Do
[30:02.56]  I have to worry about it?" So before you
[30:04.16]  tell me I'm exaggerating, I want you to
[30:05.60]  consider this from the perspective of
[30:07.60]  the founder scientists of the Vector
[30:09.76]  Corporation. Vector was a UK company, a
[30:12.56]  spinout from the University of Bath.
[30:14.64]  They made inhaler therapeutics like for
[30:16.56]  asthma and COPD. You've seen inhalers.
[30:18.72]  Yeah. Med a medicine company. They were
[30:21.36]  really successful. They raised money.
[30:22.72]  They went public on the London Stock
[30:24.00]  Exchange. And one day
[30:26.72]  the actual Philip Morris tried to buy
[30:29.52]  them. Okay, I only know this story
[30:31.60]  because I've been using the Philip
[30:32.88]  Morris example for years. And when I was
[30:35.04]  researching the book, I was like, I
[30:37.68]  wonder I actually asked Claude, "Has
[30:39.52]  anybody
[30:41.12]  has anyone ever actually been bought by
[30:43.20]  Philip Morris?" Like this. I sketched
[30:44.88]  out the hypothetical and it was like,
[30:46.08]  are you asking me about Vector? And I
[30:47.60]  was like, tell me more. There's this
[30:49.84]  company. This is what happened. Phil
[30:52.08]  Morris said they wanted to diversify
[30:53.52]  beyond nicotine. And they were like, oh,
[30:55.44]  we know a lot about inhaling things, so
[30:57.12]  having an inhaler company makes anyway.
[30:59.60]  No, normal people hearing about this
[31:01.12]  were like, "This doesn't make sense. Why
[31:02.48]  would a why would big tobacco own a
[31:04.56]  health company? That doesn't seem
[31:05.76]  right." So, here were the three choices
[31:08.00]  that were facing the Vector board. They
[31:10.64]  had this bid from Philip Morris for 165
[31:13.76]  p per share. They had a bid from an
[31:16.64]  American private equity firm for 155
[31:18.96]  pair or in door number three, they could
[31:21.76]  just stay independent because there was
[31:23.20]  really no problem. The company's doing
[31:24.72]  fine.
[31:27.04]  The public in the UK was super outraged.
[31:29.84]  The British Thoracic Society begged them
[31:31.76]  to say no. Like every person who thought
[31:33.28]  about this for 5 seconds could see this
[31:34.96]  is going to be a massively valued
[31:36.40]  destroying error. But the only people
[31:39.12]  that mattered were the people on the
[31:40.32]  board of directors of the Vector
[31:41.92]  Corporation. They had, I think, two
[31:43.92]  meetings about it and they just said,
[31:45.28]  "Our hands are tied. We have a fiduciary
[31:47.92]  duty to accept the highest bid." Which
[31:50.40]  they did. So yes, if you think I was
[31:52.48]  exaggerating, I was. I said it was a
[31:54.72]  dollar per share. In real life, it was
[31:56.24]  more like 15 cents a share. So, let's
[31:58.96]  find out what happened next, shall we?
[32:00.64]  Can you guess?
[32:02.08]  >> Not great.
[32:02.72]  >> Philip Morris spent 1.1 billion pounds
[32:05.68]  to buy Vectura.
[32:07.84]  Uh, within three years, they had taken a
[32:09.68]  $900 million write down and disposed of
[32:13.20]  the company for Peace Parts. It doesn't
[32:14.72]  exist anymore to me. These are the
[32:17.36]  stakes. This is what happens. And I
[32:19.28]  can't tell you, I feel like Perry Mason
[32:20.72]  sometimes when like people are like, I
[32:22.32]  would never do that. And I'm like,
[32:23.52]  "Okay, I hear you have good intentions,
[32:25.04]  but can I please see your signature on
[32:26.72]  the document?" Oh, look. Delaware
[32:29.04]  charters are public record, by the way.
[32:30.32]  If you ever want to know have a friend
[32:31.60]  who's a lawyer, just you want to know if
[32:33.28]  a company has a mission or if they this
[32:35.60]  is going to happen to them, just pull
[32:36.96]  the charter. You can just read it. Read
[32:38.40]  it for yourself. I'm like, is this your
[32:39.60]  signature right here? You yourself sign
[32:41.92]  this document. You don't even understand
[32:43.28]  how your company works.
[32:45.52]  uh this is the stakes I think are are
[32:47.52]  significantly existential and especially
[32:49.20]  now that we're entering an age the age
[32:50.96]  of wonders the age of technologies that
[32:53.12]  are incredibly powerful that have planet
[32:54.88]  scale consequences to them you know I
[32:57.36]  think a lot of founders a lot of product
[32:58.80]  people like they want to build a product
[33:00.96]  that they can be proud of that their
[33:02.72]  grandkids will be like happy to hear
[33:04.80]  that that's how the family fortune was
[33:06.40]  made and I know a lot of people that are
[33:09.36]  incredibly rich and so miserable because
[33:12.56]  the thing their baby it got ruined and
[33:15.04]  it got destroyed. Why are we doing this?
[33:17.28]  Okay, let's talk about how to act what
[33:19.52]  to actually do. And you know, this is
[33:21.68]  going to be a kind of a high level
[33:23.04]  overview. Obviously, buy the book if
[33:24.64]  you're really get want to get serious
[33:25.92]  about this stuff coming out May 26 that
[33:28.16]  all
[33:28.48]  >> May 26. Yes. Thank you.
[33:29.60]  >> Anywhere you buy books, talk about what
[33:31.60]  we should do and I just want to plant
[33:32.80]  the seed of Open AI is probably on
[33:34.32]  people's minds as they hear this idea of
[33:35.68]  building a nonprofit.
[33:36.72]  >> Yeah. Yeah. We'll get there and
[33:37.60]  obviously in the book I tell the
[33:38.56]  anthropic story where I I played a bit
[33:40.56]  part. So, we'll we'll get to all that.
[33:42.56]  We'll get to all that. But let but let's
[33:44.48]  start with the easy stuff first because
[33:45.84]  like when you like AI is kind of like
[33:48.48]  the humanity's final exam. You know,
[33:50.08]  you've heard that that joke. Like these
[33:52.80]  issues are so amplified in AI. Of
[33:55.28]  course, we have to get it right. I think
[33:56.56]  it's incredibly important. And I've done
[33:58.00]  my I've done what I can to to set us on
[33:59.92]  that proper path. But but it's easier to
[34:02.96]  see it I think in simpler businesses. Um
[34:05.12]  open eyes insanely complicated. So let's
[34:07.12]  look at it in some some simpler
[34:08.80]  examples. First let's start with the
[34:10.96]  principle I call harder is easier. This
[34:13.76]  is the this is the the leadership
[34:16.08]  principle that anybody can adopt.
[34:18.08]  There's truly like there's nobody who's
[34:19.76]  not who you tell me you have no power
[34:21.60]  whatsoever. Like everyone's got some
[34:23.28]  influence. And if you have any influence
[34:25.04]  at all, you can adopt this principle.
[34:28.00]  Like when I talk to people about
[34:29.28]  business, I don't care if I'm talking to
[34:30.64]  two guys in a garage, founders, you
[34:32.24]  know, or or I'm talking to super boards
[34:34.80]  or CEO seuite, whatever. Everyone always
[34:36.88]  says to me just what you were saying a
[34:38.16]  minute ago. I was like, "Man, Eric,
[34:39.68]  business is already so hard.
[34:43.12]  I now you want me to do extra now. I got
[34:45.68]  to worry about the Vector thing and this
[34:47.44]  other stuff. Like, like, man, I'm
[34:49.12]  already just trying to get through the
[34:50.56]  day." Like, it's so hard. But I think
[34:53.52]  this is a basically backwards way of
[34:56.08]  looking at it because I ask people,
[34:59.92]  could it be just consider the
[35:01.68]  possibility that one of the reasons
[35:03.28]  you're finding business so hard is that
[35:06.00]  nobody trusts you?
[35:08.24]  If they trusted you, maybe it would be a
[35:10.16]  little bit easier. Now, actually, this
[35:11.36]  is not a supposition. We have really
[35:13.12]  good evidence. Companies where their
[35:15.12]  employees trust them spend way less time
[35:16.96]  on employee communications. They have
[35:19.36]  much better alignment. Everyone's kind
[35:21.12]  of rowing in the same directions. When
[35:22.64]  customers trust you, they are, of
[35:24.40]  course, you have way higher loyalty.
[35:25.92]  Your cost of customer acquisition is
[35:27.44]  lower, but also customers more likely to
[35:29.52]  stick with you after you make a mistake.
[35:31.52]  Uh they're more likely to try your new
[35:33.20]  product. Like so many people are like,
[35:34.48]  "God, customers are so fickle. they have
[35:36.16]  no loyalty, you know, just like they
[35:38.72]  only care about the slick marketing from
[35:40.16]  our competitors. But maybe because you
[35:43.04]  view these things as extra is part of
[35:45.28]  the problem. So harder is easier is a
[35:48.48]  principle that says if you're willing to
[35:49.84]  do the work upfront to commit to
[35:52.24]  quality, to design, to ethics, to
[35:54.16]  integrity, to safety, whatever the
[35:55.68]  thing, I don't want to tell you what
[35:56.48]  your values are, you tell me what they
[35:57.84]  are. If you're willing to be principled
[35:59.76]  in your decision-making, you will get
[36:02.72]  these unexpected rewards. Now, you can't
[36:06.00]  do it for the reward or it doesn't work.
[36:08.40]  You have to do it for the thing itself.
[36:10.80]  Trustworthiness is the most underrated
[36:12.56]  asset in all of business. And the things
[36:15.44]  that create trustworthiness
[36:17.52]  by definition stack rank to the bottom
[36:20.56]  if we do it by ROI because doing the
[36:24.00]  right thing has intangible rewards but
[36:26.48]  tangible costs.
[36:28.56]  So, let me give you another story
[36:30.08]  because now we've been talking about
[36:31.20]  like lofty stuff and I want to talk
[36:32.64]  about something super practical and
[36:33.76]  that's I mentioned Cloudflare before.
[36:35.12]  So, let me actually tell the Cloudflare
[36:36.56]  story. I like Cloudflare because Matthew
[36:38.08]  Prince and his co-founders they like
[36:42.00]  they were really anti- consulting BS
[36:45.36]  talk like they didn't want if you in the
[36:47.76]  early days you know they came out of
[36:48.96]  Harvard Business School and so they were
[36:50.16]  like traumatized. They were like no I
[36:51.76]  don't want to hear about mission
[36:52.72]  statement. I don't want to hear about
[36:54.16]  values. I don't just we making a
[36:55.84]  firewall and putting it in the cloud.
[36:57.52]  it's not that complicated like we don't
[36:59.68]  want to hear it. So for years they had
[37:02.00]  no mission statement and this is a
[37:03.44]  critical point. Uh as leaders we get so
[37:06.16]  focused on value statement mission
[37:08.08]  statements we forget the mission
[37:09.68]  statement is not the mission. The map is
[37:11.60]  not the territory. Mission is an
[37:14.00]  emergent property of the living
[37:16.00]  superorganism of the thing we're
[37:17.44]  birthing. Okay? It's not something you
[37:19.36]  can slap on with a label. You have to
[37:21.84]  build it in. You want to have a company
[37:23.60]  that stands for quality. You got to
[37:25.20]  build quality in from the inside. Deming
[37:26.96]  taught this in the 40s like this is not
[37:28.48]  some new idea. This is a critical idea.
[37:30.48]  This is what craftsmanship really means.
[37:32.00]  Okay. So, we know that Cloudflare had a
[37:35.20]  mission because quite often they would
[37:37.68]  do this harder is easier stuff and
[37:40.16]  without even really knowing why. Like
[37:41.60]  there's a very famous example in their
[37:43.12]  history where pro-democracy protesters
[37:46.40]  want to say, oh, I forget what nation
[37:48.16]  state they were pissing off. I better
[37:49.84]  not say in case I get it wrong. Pissing
[37:51.36]  off some nation state were having their
[37:53.84]  having like state sponsored hackers try
[37:56.08]  to take their websites down so they
[37:57.36]  couldn't coordinate their pro-democracy
[37:58.80]  protests. They were going around Silicon
[38:00.56]  Valley begging big tech companies to
[38:02.24]  help them defend their websites. No one
[38:04.96]  would do it. All these big mega
[38:06.72]  companies, even like Google, were just
[38:08.64]  like, I'm too scared. And so Cloudflare,
[38:11.04]  the tiny startup, is like we'll do it.
[38:12.80]  These were like free tier customers.
[38:15.12]  They weren't even paying any money. and
[38:17.20]  they're like, "Yes, we will incur the
[38:18.56]  wrath of nation state level hackers to
[38:20.80]  protect you because it's the right thing
[38:22.64]  to do for no reward whatsoever." That
[38:24.48]  was just the kind of company they were.
[38:25.92]  So anyway, a couple years in, they're
[38:27.68]  having lunch and one of the engineers
[38:29.12]  says, "You know why I like working at
[38:30.88]  this company? I just feel like it's the
[38:33.68]  first place I've worked where we're just
[38:35.04]  we're trying to make a better internet."
[38:37.36]  And everyone at the table's like, "Yeah,
[38:38.96]  make a better internet." Someone asked
[38:40.96]  Matthew, "Oh, is that our mission
[38:42.40]  statement?" Matt, no. We don't have a
[38:44.72]  mission statement. What are you talking
[38:45.84]  about? note but it actually was over
[38:49.12]  time the engineers people worked there
[38:50.72]  kept saying make a better internet that
[38:52.24]  was that was how we talk about it and
[38:54.00]  eventually the founders had to be
[38:55.44]  convinced okay let's adopt this as our
[38:57.12]  mission statement which they did that is
[38:58.24]  their mission statement to this day they
[38:59.84]  had to eventually adopt formal values
[39:02.16]  like as you get bigger these things
[39:03.36]  really matter it matters that you
[39:04.80]  document those emergent properties
[39:06.40]  otherwise how are people supposed to
[39:07.36]  know what they are their number one
[39:09.84]  value by the way is be principled which
[39:12.00]  is the ultimate harder is easier move so
[39:14.80]  this all sounds great It's fun to have
[39:16.32]  values. It's fun to have a mission
[39:17.60]  statement when it doesn't cost you
[39:18.88]  anything. But sometimes it can be very
[39:20.88]  expensive. Can make your life a lot
[39:22.64]  harder. That's why we call the principal
[39:24.00]  harder is easier. One day, an engineer,
[39:26.56]  a junior engineer, not like some senior
[39:28.64]  executive or anything, walks into
[39:29.92]  Matthew Prince's office and he says,
[39:31.20]  "Boss, isn't our isn't our uh mission
[39:35.04]  statement to make a better internet?"
[39:37.28]  Uhhuh. When you're a CEO, any any
[39:40.08]  conversation that starts this way is
[39:41.52]  generally going to be extra work for
[39:42.80]  you. So, you're like, "What is it now?"
[39:44.56]  It's like, well, you were saying at the
[39:45.68]  board meeting that our number one driver
[39:47.76]  of revenue, the thing that causes people
[39:49.84]  to upgrade from our free to premium
[39:51.68]  plans, this is a few years ago now, is
[39:54.00]  uh web encryption, SSL encryption,
[39:57.20]  right? You said that makes sense because
[39:59.04]  SSL encryption is expensive to offer. We
[40:00.80]  can't offer it for free. We have to get
[40:01.92]  the certificates and pay for them. We
[40:03.36]  have to do all this extra cryptographic
[40:04.80]  stuff. It has compute, you know, we have
[40:06.32]  scarce comput.
[40:09.60]  What boss?
[40:11.44]  Wouldn't a better internet be an
[40:13.04]  encrypted internet?
[40:15.92]  And he's like, "Yes." So what's your
[40:17.36]  point? So like why? But if it would be
[40:19.20]  better, why are we giving it away for
[40:20.80]  free? And so many people have heard this
[40:22.80]  story. If you've ever been a middle
[40:24.80]  manager in a company, okay, you know
[40:27.20]  this. You're just like, "Oh my god."
[40:28.56]  Every day someone walks into your
[40:29.84]  office, it's like, "Hey boss, let's give
[40:31.52]  our product away for free for no
[40:33.04]  reason." Okay? Like your job as a middle
[40:34.72]  manager is to be like, "No, we have a
[40:36.88]  strategy. Get back on the strategy."
[40:38.72]  Right? redirect. Hey, thank you for your
[40:40.64]  buy in and your input, but we have a job
[40:42.96]  to do. So, everyone's expecting Matthew
[40:45.60]  to react that way and we be the most
[40:47.36]  normal thing in the world. This is our
[40:48.80]  most profitable product and you're
[40:50.16]  saying we should give it away for free,
[40:51.52]  get lost. No. Matthew told me once I saw
[40:55.20]  it, I couldn't unsee it.
[40:58.32]  And he he uttered the three key words.
[41:00.80]  He said, "Let's figure it out. Figure it
[41:03.04]  out." This is the the leadership
[41:05.12]  principle I think is so powerful. The
[41:06.56]  figure it out principle. When you have
[41:08.64]  if you're committed to something, you
[41:10.56]  stand for quality or whatever, it is
[41:11.76]  going to make life harder. The best
[41:13.68]  leaders, the ones I really admire, they
[41:16.08]  revel in it. They love the difficulty
[41:19.36]  because every time you have one of these
[41:21.20]  impossible dilemmas, it's a chance to
[41:22.96]  teach what you really stand for. So,
[41:24.64]  Matthew insisted the whole team rally to
[41:27.28]  figure out how to give encryption away
[41:28.64]  for free. Now, they couldn't just give
[41:29.60]  it away for free. He's like, go
[41:30.96]  bankrupting the company won't achieve
[41:32.32]  the mission. We had to find a way to
[41:34.32]  make it sustainable. And I won't go
[41:35.60]  through all the technical details of
[41:36.80]  like how they managed to get the cost.
[41:38.32]  They had to hand roll their own software
[41:39.76]  and assembly language. They had to do
[41:41.44]  these complicated bisdev deals with
[41:42.96]  certificate authorities. Like they
[41:44.24]  figured out how to do it and they drove
[41:46.88]  their own cost down. Now keep in mind
[41:48.80]  that at any time, first of all, they
[41:50.32]  could have used the difficulty as an
[41:51.60]  excuse. Oh, it's too hard. We can't do
[41:52.96]  it. Give up. Once they did it, they
[41:55.04]  could have said, "Wait a minute. This is
[41:56.24]  just free margin. We can make our costs
[41:58.80]  lower and then we just get free money."
[42:02.00]  when they shipped it, they had to report
[42:04.24]  to their board on what happened. The
[42:06.24]  conversion rates for their for premium
[42:08.08]  product went down. So, they could easily
[42:09.92]  have bailed out at that point, but they
[42:11.52]  didn't. They stuck with it because this
[42:12.80]  is what we stand for. Now, of course,
[42:15.52]  it's a happy ending story. The top of
[42:18.48]  funnel increased by an order of
[42:19.68]  magnitude. In fact, to this day, people
[42:21.04]  still talk about how Cloudflare is like
[42:22.72]  the reason you take for granted we have
[42:24.08]  an encrypted internet. The trust that
[42:26.00]  they gained is the reason why they're a
[42:27.60]  70 billion dollar company today.
[42:30.24]  But most leaders when asked to defend
[42:34.16]  their principles can't do it because
[42:36.80]  they've been taught ROI based thinking.
[42:38.80]  They've been taught shareholder primacy.
[42:40.64]  They've been taught that that's the path
[42:42.00]  of maximum profitability. To give you
[42:43.92]  like an easy contrast, um Andrew Mason,
[42:47.04]  the founder of Groupon, once told me
[42:48.32]  this story. Everyone remember Groupon?
[42:50.08]  Maybe not now. It's kind of fallen out
[42:51.60]  of public consciousness, but there was
[42:52.72]  this time when Groupon was one of the
[42:53.92]  fastest growing private companies in
[42:55.28]  America. It was powered by a daily email
[42:58.40]  with a cool deal. And the whole thing
[43:00.64]  was you got one email a day from
[43:01.84]  Groupon. They went public on the one
[43:03.52]  email a day. That's how successful it
